"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009887015435","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887015435","","Data Analyst","Pinnacle Global Group","","2025-09-25","","direct_data","monthly",70000.0,70000.0,"INR",True,"","","organic","","**Job Title:** Data Analyst  
**Location:** Remote (India\\-based, supporting UK business)  
**Working Hours:** UK business hours

**Job Purpose:**

We are seeking a **Data Analyst** with hands\\-on experience in working with UK companies or clients. The ideal candidate will have strong analytical skills, experience handling large datasets, and the ability to translate data into actionable insights to support business decision\\-making.

**Key Responsibilities:**

* Collect, clean, and analyse structured and unstructured data from multiple sources.
* Build and maintain dashboards, reports, and visualisations for business stakeholders.
* Identify trends, patterns, and correlations in data to provide actionable insights.
* Work with business teams to define data requirements and support decision\\-making.
* Ensure accuracy, integrity, and compliance of data used in reporting and analysis.
* Present findings in a clear, concise manner to both technical and non\\-technical audiences.
* Collaborate with cross\\-functional teams, including finance, operations, and marketing.

**Key Skills \\& Experience Required:**

* Strong experience as a **Data Analyst / Business Analyst / Reporting Analyst**.
* Hands\\-on skills in **SQL, Excel, Power BI and/or Tableau**.
* Knowledge of **Python or R** for data manipulation and analysis (preferred).
* Experience working with **UK\\-based clients or teams** is highly desirable.
* Ability to handle large datasets, ensure data quality, and derive insights.
* Strong communication and stakeholder management skills.
* Problem\\-solving mindset with attention to detail.

Job Type: Permanent

Pay: From ₹70,000\\.00 per month

Benefits:

* Work from home

Application Question(s):

* How many years of experience do you have working as a Data Analyst?
* Which of the mentioned tools you have experience with \\- Power BI/Tableau/Excel (Advanced)/SQL/Python/R?
* Kindly mention your expected CTC in LPA

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009886220776","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886220776","","Sr Analyst - Accounts Payable (Payment & Audit)","Aristocrat","Gurgaon","2025-09-25","","","","","","",False,"","","sponsored","","Senior Analyst – Payment \\& Audit Team is responsible for the accurate and timely payments using three (3\\) ERP systems and multi global banks. This role guarantees that all invoices undergo auditing before payment following company controls, policies, and procedures. The role is essential for ensuring detailed and punctual payments. This role may also be required to support the end\\-to\\-end Accounts Payable process which includes Invoicing PO \\& Non\\-PO, Vendor Management and Employee expenses.


What You'II Do:* Handle and review payments across various global regions: Americas, ANZ, APAC, and EMEA.
* Prepare, schedule, and complete weekly and ad hoc payment runs using D365, Microsoft Dynamics, and SAGE.
* Process domestic and international payments, including EFT, ACH, wire transfers, cheques, and SEPA.
* Maintain and handle payment inclusion spreadsheets to ensure accurate tracking and completeness.
* Verify payment proposals, ensuring all payments have proper supporting documentation and approvals.
* Reconcile payment batches and bank reports to confirm successful processing and posting.
* Monitor due dates and ensure timely vendor settlements in compliance with agreed payment terms.
* Handle urgent and manual payment requests in accordance with company policies.
* Maintain detailed and accurate payment records to support audit readiness and compliance reviews.
* Respond to and resolve vendor payment issues and discrepancies in coordination with internal collaborators.


Banking \\& Systems:* Implement automated payments across multiple banking platforms.
* Troubleshoot payment failures, investigate discrepancies, and take corrective actions as needed.
* Ensure payments align with regional financial regulations and company\\-specific policies.

**Reporting \\& Month\\-End:**

* Support month\\-end close processes, ensuring payments are recorded in the correct accounting periods.
* Assist in the reconciliation of payment accounts, comparing payments to invoices to ensure accuracy.
* Generate and submit relevant payment reports as part of financial reporting cycles.

**Collaboration \\& Communication:**

* Act as a point of contact for vendor payment inquiries, delivering prompt updates and resolutions.
* Collaborate cross\\-functionally with teams such as Invoice Processing, ServiceNow, Vendor Management, and Fraud Prevention.
* Maintain and manage the AP shared mailbox, addressing queries and payment\\-related communications efficiently.


Compliance \\& Process Improvement:* Ensure strict adherence to internal controls, compliance policies, and standard operating procedures related to payments and audits.
* Maintain well\\-organized electronic records for payment approvals and supporting documentation.
* Continuously analyze and improve existing payment processes, systems, and platforms to enhance efficiency and accuracy.


Work Schedule* Hybrid Working Model – Minimum Two (2\\) Days in the Gurugram office (unless working flexible shift)
* Should be adaptable and willing to operate in various time\\-zones as needed by the process requirements.


	+ US Hours 2\\.30pm to 11\\.30pm IST
	+ Europe Hours 1\\.30pm to 10\\.30pm IST
	+ ANZ APAC Hours 6\\.30am to 3\\.30pm IST


What We're Looking For:* 5 \\- 7 years demonstrated expertise in a comparable position.
* Strong attention to detail and high level of accuracy in financial data processing.
* Experience in a global organization with multi\\-regional teams and processes.
* Proficient in ERP systems such as Microsoft Dynamics 365, SAGE, and relevant banking platforms.
* Good understanding of regional tax regulations including GST, VAT, and withholding tax.
* Ability to excel in a fast\\-paced environment, managing multiple tasks with tight deadlines.

**Why Aristocrat?**


Aristocrat is a world leader in gaming content and technology, and a top\\-tier publisher of free\\-to\\-play mobile games. We deliver great performance for our B2B customers and bring joy to the lives of the millions of people who love to play our casino and mobile games. And while we focus on fun, we never forget our responsibilities. We strive to lead the way in responsible gameplay, and to lift the bar in company governance, employee wellbeing and sustainability. We’re a diverse business united by shared values and an inspiring mission to bring joy to life through the power of play.


We aim to create an environment where individual differences are valued, and all employees have the opportunity to realize their potential. We welcome and encourage applications from all people regardless of age, gender, race, ethnicity, cultural background, disability status or LGBTQ\\+ identity. EEO M/F/D/V

* World Leader in Gaming Entertainment
* Robust benefits package
* Global career opportunities

**Our Values**

* All about the Player
* Talent Unleashed
* Collective Brilliance
* Good Business Good Citizen

**Travel Expectations**


None**Additional Information**

*At this time, we are unable to sponsor work visas for this position. Candidates must be authorized to work in the job posting location for this position on a full\\-time basis without the need for current or future visa sponsorship.*","","https://www.glassdoor.co.in/Overview/W-EI_IE2320.htm","https://media.glassdoor.com/sql/2320/aristocrat-technologies-squareLogo-1680087626961.png","","","","","","","","","","",""
"gd-1009886749096","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886749096","","Execution Analyst, Invoice Processing","BP Energy","Pune","2025-09-25","","direct_data","yearly",700000.0,980000.0,"INR",False,"","","sponsored","","**Entity:**

Finance **Job Family Group:**

Procurement \\& Supply Chain Management Group **Job Description:**

We are a global energy business involved in every aspect of the energy system. We are working towards delivering light, heat, and mobility to millions of people every day. We are one of the very few companies equipped to solve some of the big complex challenges that matter for the future. We have a real contribution to make to the world's ambition of a low\\-carbon future. Join us and be part of what we can accomplish together. You can participate in our new ambition to become a net zero company by 2050 or sooner and help the world get to net zero.

**Would you like to discover how our diverse, hardworking people are leading the way in making energy cleaner and better – and how you can play your part in our premier team?**

**Key responsibilities:**

* Accountable for ensuring accurate and timely recording and payment of all third\\-party supplier invoices while ensuring adherence to policies and procedures in the drive for exceptional service, operational excellence and compliance.
* Invoices need to be indexed, processed and verified in an accurate and timely manner within tight deadlines
* Handle more complex \\& unique portfolio/countries for O\\&G business with challenging and constantly changing requirements and demands.
* Establish \\& be a great partner with collaborators of different levels of seniority.
* Regularly track and resolve outstanding issues that have been called out, or further bring up to the necessary parties, complete incident root cause analysis and action closures.
* Provide invoice processing related advice and information to staff across the GBS and its Business Partners as and when required. The role is expected to provide extensive \\& beneficial analysis with proposal \\& recommendations
* Implement standard methodologies for the invoice processing process and proactively identify, propose and implement continuous improvement opportunities in existing processes within the team.
* There is a high financial and reputational risk involved in prompt and accurate payments and invoice processing. Payments and invoices processed to be reviewed thoroughly to ensure completeness and accuracy

**Required skills:**

* SAP ERP proficiency would be added advantage.
* Hands on experience of MS Excel \\& Outlook.
* Good command over English language \\-verbal and written

**Experience:** 1\\-5 Years.


Come, join our bp team!

 **Travel Requirement**


No travel is expected with this role **Relocation Assistance:**


This role is eligible for relocation within country **Remote Type:**


This position is a hybrid of office/remote working **Skills:**


Agility core practices, Agility tools, Business Requirements Analysis, Category Strategy, Digital Fluency, Negotiating, Negotiation planning and preparation, Product and market intelligence, Supplier Relationship Management **Legal Disclaimer:**


We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, socioeconomic status, neurodiversity/neurocognitive functioning, veteran status or disability status. Individuals with an accessibility need may request an adjustment/accommodation related to bp’s recruiting process (e.g., accessing the job application, completing required assessments, participating in telephone screenings or interviews, etc.). If you would like to request an adjustment/accommodation related to the recruitment process, please contact us.  

  

If you are selected for a position and depending upon your role, your employment may be contingent upon adherence to local policy. This may include pre\\-placement drug screening, medical review of physical fitness for the role, and background checks.","","https://www.glassdoor.co.in/Overview/W-EI_IE9011.htm","https://media.glassdoor.com/sql/9011/bp-squarelogo-1618580256453.png","","","","","","","","","","",""
"gd-1009886849923","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886849923","","Data Analyst","BKS Galaxy Group","India","2025-09-25","","direct_data","monthly",20000.0,30000.0,"INR",False,"","","organic","","**Job Overview:**

We are seeking a skilled **Data Analyst** who will be responsible for managing, analyzing, and reporting business data to support decision\\-making. The role involves preparing MIS reports, ensuring transaction accuracy, handling data reconciliation, and generating insights through analytical tools and dashboards.

**Key Responsibilities:**

\\* Update and maintain daily booking, transaction, and payment records.

\\* Perform data reconciliation and ensure accuracy in financial and operational data.

\\* Handle customer\\-related data processes such as cancellations and refunds.

\\* Prepare and present MIS reports to management for actionable insights.

\\* Coordinate with CRM, finance, and admin teams for payment and data\\-related queries.

\\* Build dashboards and visualizations to track key business metrics.

\\* Support cross\\-functional teams by providing accurate and timely data insights.

**Skills \\& Qualifications:**

\\* Bachelor’s degree in Statistics, Mathematics, Computer Science, Finance, or related field.

\\* 0\\-1 years of experience in data analysis, MIS, or reporting.

\\* Proficiency in Python, SQL, and Tableau .

\\* Strong skills in **MS Excel** and database management.

\\* Ability to work with large datasets, perform data cleaning, and ensure data integrity.

\\* Analytical mindset with strong problem\\-solving skills.

\\* Good communication skills to collaborate across teams.

What We Offer:

\\* Opportunity to work with dynamic datasets and contribute to data\\-driven decision\\-making.

\\* Exposure to advanced tools for data analysis

\\* Collaborative work environment with growth opportunities.

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹30,000\\.00 per month

Benefits:

* Cell phone reimbursement

Ability to commute/relocate:

* Sanpada, Navi Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

* Do you know to use MS excel?

Experience:

* total work: 1 year (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009886908146","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886908146","","Data Analyst","Infobyd software solution pvt ltd","","2025-09-25","","direct_data","monthly",50000.0,70000.0,"INR",True,"","","organic","","**Required Skills and Qualifications:**

* 5–7 years of experience in data analysis or analytics engineering
* Strong experience with **data quality analysis** and defining transformation logic
* Expertise in **Google BigQuery** and **SQL**
* Solid hands\\-on experience working with **GA4 (Google Analytics 4\\)** datasets
* Proficiency with **DBT** for data transformation and **GitHub** for version control
* Strong problem\\-solving skills and attention to detail
* Excellent communication and collaboration abilities in a remote environment

Job Types: Full\\-time, Contractual / Temporary  
Contract length: 12 months

Pay: ₹50,000\\.00 \\- ₹70,000\\.00 per month

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE3957213.htm","https://media.glassdoor.com/sql/3957213/infobyd-software-solutions-squarelogo-1634130878070.png","","","","","","","","","","",""
"gd-1009885898141","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885898141","","Fin Solutions Sr. Analyst - C12 - MUMBAI","Citi","Mumbai","2025-09-25","","","","","","",False,"","","sponsored","","The Finance Issues Quality Assurance (IQA) team, part of Finance Risk and Controls, is responsible for the design and implementation of risk and control frameworks that span the Finance function globally. The IQA Team manages the quality and control of documentation across the issue management lifecycle. This will include all aspects of the lifecycle from identification, planning, monitoring, and remediation and ensure that issue responses, action plans and documentation in each step are held to the highest standard.


The Analyst will have responsibility for supporting the quality review of documentation and artifacts which evidence the completeness and accuracy of work done to complete audit, regulatory, first and second line issues as they go through the issue remediation lifecycle. Analyst will support the oversight of a portfolio of issues across Finance departments and will serve as the first line of defense for the support of Quality Assurance and Control for Finance owned Issues and CAPs, across all issue sources (IA, Reg, Self\\-identified, other) across the issue management lifecycle. The IQA team will engage directly with issue owners and coordinators and partner with Finance function Control officers.


The ideal candidate will demonstrate strong understanding of Finance process (Controllers, Treasury, Capital Management, FP\\&A, Tax etc.) and in\\-depth specialty knowledge of risks, control design/implementation and IA validation methodology. Candidate will demonstrate strong and disciplined analytical skills, developed through a consulting, audit, controls, QA or other similar function. Candidate will be curious and diligent, ensuring thorough evaluation of documentation and artifacts, rigorous audit planning and pre\\-validation testing. The analyst will demonstrate excellent people skills, given the level of interaction with senior managers, various business units, auditors, and regulators. This is not a check the box control role – a successful analyst will go beyond the technical requirements to understand the spirit of the issue at hand and provide effective challenge to issue owners on the work completed and submitted. Candidates will also demonstrate a good understanding and prior expertise in driving partnership required across the first, second and third lines to complete remediation effectively. This is an exciting opportunity for a highly motivated and experienced analyst to get exposure to a wide range of control issues and their remediation, across multiple finance processes and varying levels of complexity.

**Responsibilities:**

* Complete and support the pre\\-validation testing for High Severity L1\\-L2 Issues
* Support the effective review and challenge to ensure issue opening (before submission), monitoring and pre\\-validation, pre\\-closure reviews occur and are of high quality focusing on:
	+ Root cause assessment
	+ Control design and operating effectiveness
	+ Completion criteria
	+ Dependency evaluation
	+ Sustainability
	+ Risk reduction
	+ Action plan quality
* Liaise with issue owners and coordinators to ensure evidence and artifacts are aligned and sufficient to meet IA validation requirements
* Establishes and oversees the application of firmwide policies and procedures, control standards, operational risk policies, technology and tools, and governance processes to create lasting solutions for minimizing losses from failed internal processes, inadequate controls, and emerging risks.
* Independently assess risks and drive actions to address the root causes that persistently lead to operational risk losses by challenging both historical and proposed practices.
* Performs other duties and functions as assigned.
* Appropriately assess risk when business decisions are made, demonstrating consideration for the firm's reputation and safeguarding Citigroup, its clients, and assets, by driving compliance with applicable laws, rules, and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing, and reporting control issues with transparency.

**Qualifications:**

* Minimum 8 years of experience, preferably in Audit and/ or controls testing
* 8\\+ years’ experience in financial services.
* Consistently demonstrates clear and concise written and verbal communication skills
* Effective organizational influencing skills required.
* Demonstrated ability to lead global team efforts
* Excellent problem\\-solving skills ability to comprehend the big pictures with high attention to critical details
* Demonstrated ability to develop and implement strategy and process improvement initiatives.
* Strong verbal and written communication skills
* Proficiency in Microsoft Office suite, particularly Excel, PowerPoint, and Word.

**Education:**


Graduate/Post Graduate with equivalent experience.


\\-

**Job Family Group:**

Finance
\\-

**Job Family:**


Fin Solutions Dsgn \\& Implement
\\-

**Time Type:**


Full time
\\-

**Most Relevant Skills**

Assessment, Change Management, Communication, Credible Challenge, Management Reporting, Problem Solving, Program Management, Risk Management, Stakeholder Management, Strategic Planning.
\\-

**Other Relevant Skills**

For complementary skills, please see above and/or contact the recruiter.
\\-

*Citi is an equal opportunity employer, and qualified candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other characteristic protected by law.*

 *If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review* *Accessibility at Citi**.*  

  

*View Citi’s* *EEO Policy Statement* *and the* *Know Your Rights* *poster.*","","https://www.glassdoor.co.in/Overview/W-EI_IE8843.htm","https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png","","","","","","","","","","",""
"gd-1009886031406","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886031406","","Data Science Lead Analyst - Vice President","Citi","Mumbai","2025-09-25","","direct_data","yearly",330000.0,440000.0,"INR",False,"","","sponsored","","The Data Science Lead Analyst is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering their application in own job and the business. Recognized technical authority for an area within the business. Requires basic commercial awareness. There are typically multiple people within the business that provide the same level of subject matter expertise. Developed communication and diplomacy skills are required in order to guide, influence and convince others, in particular colleagues in other areas and occasional external customers. Significant impact on the area through complex deliverables. Provides advice and counsel related to the technology or operations of the business. Work impacts an entire area, which eventually affects the overall performance and effectiveness of the sub\\-function/job family.  

  

**Responsibilities:**

* Conducts strategic data analysis, identifies insights and implications and make strategic recommendations, develops data displays that clearly communicate complex analysis.
* Mines and analyzes data from various banking platforms to drive optimization and improve data quality.
* Deliver analytics initiatives to address business problems with the ability to determine data required, assess time \\& effort required and establish a project plan.
* Consults with business clients to identify system functional specifications. Applies comprehensive understanding of how multiple areas collectively integrate to contribute towards achieving business goals.
* Consults with users and clients to solve complex system issues/problems through in\\-depth evaluation of business processes, systems and industry standards; recommends solutions.
* Leads system change process from requirements through implementation; provides user and operational support of application to business users.
* Formulates and defines systems scope and goals for complex projects through research and fact\\-finding combined with an understanding of applicable business systems and industry standards.
* Impacts the business directly by ensuring the quality of work provided by self and others; impacts own team and closely related work teams.
* Considers the business implications of the application of technology to the current business environment; identifies and communicates risks and impacts.
* Drives communication between business leaders and IT; exhibits sound and comprehensive communication and diplomacy skills to exchange complex information.
* Conduct workflow analysis, business process modeling; develop use cases, test plans, and business rules; assist in user acceptance testing.
* Collaborate on design and implementation of workflow solutions that provide long term scalability, reliability, and performance, and integration with reporting.
* Develop in\\-depth knowledge and proficiency of supported business areas and engage business partners in evaluating opportunities for process integration and refinement.
* Gather requirements and provide solutions across Business Sectors
* Partner with cross functional teams to analyze, deconstruct, and map current state process and identify improvement opportunities including creation of target operation models.
* Assist in negotiating for resources owned by other areas in order ensure required work is completed on schedule
* Develop and maintain documentation on an ongoing basis, and train new and existing users
* Direct the communication of status, issue, and risk disposition to all stakeholders, including Senior Management
* Direct the identification of risks which impact project delivery and ensure mitigation strategies are developed and executed when necessary
* Ensure that work flow business case / cost benefit analyses are in line with business objectives
* Deliver coherent and concise communications detailing the scope, progress and results of initiatives underway
* Develop strategies to reduce costs, manage risk, and enhance services
* Deploy influencing and matrix management skills in order to ensure technology solutions meet business requirements
* Performs other duties and functions as assigned.
* Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

 **Qualifications:**

* Strong understanding of local AML and KYC regulations with the ability to interpret red flag indicators issued by FIU using analytical approach.
* Proficient in redefining and analyzing large datasets to derive targeted population for AML reviews and investigations, including accounts with common features or linked behavior patterns.
* Experienced in conducting variance and trend analysis on customer and account data to support non transactional reports
* 6\\-10 years experience using tools for statistical modeling of large data sets
* Process Improvement or Project Management experience
* Strong working knowledge of Python, SQL and other programming languages.
* Knowledge in Machine Learning

 **Education:**

* Bachelor’s/University degree or equivalent experience, potentially Masters degree
* MBA or Advanced Degree Information Systems, Business Analysis / Computer Science
* ACAMS certification will be plus

  

This job description provides a high\\-level review of the types of work performed. Other job\\-related duties may be assigned as required.


\\-

**Job Family Group:**

Technology
\\-

**Job Family:**


Data Science
\\-

**Time Type:**


Full time
\\-

**Most Relevant Skills**

Please see the requirements listed above.
\\-

**Other Relevant Skills**

For complementary skills, please see above and/or contact the recruiter.
\\-

*Citi is an equal opportunity employer, and qualified candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other characteristic protected by law.*

 *If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review* *Accessibility at Citi**.*  

  

*View Citi’s* *EEO Policy Statement* *and the* *Know Your Rights* *poster.*","","https://www.glassdoor.co.in/Overview/W-EI_IE8843.htm","https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png","","","","","","","","","","",""
"gd-1009886841710","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886841710","","Operations Analyst","Vplak India Pvt ltd.","Gurgaon","2025-09-25","","direct_data","monthly",25000.0,40000.0,"INR",False,"","","organic","","**Job Description – Operations Analyst**

**Company:** Vplak India Pvt. Ltd.  
**Location:** Gurugram  
**Experience Required:** 2–4 Years  
**Salary Range:** ₹3,00,000 – ₹6,00,000 per annum

**About Vplak**

Vplak India Pvt. Ltd. is a rapidly growing company, committed to operational excellence and innovation. We are looking for a detail\\-oriented and analytical **Operations Analyst** to support our business operations, optimize processes, and improve efficiency.

**Roles \\& Responsibilities**

* Monitor and analyze **day\\-to\\-day business operations** to identify gaps and opportunities for improvement.
* Prepare and manage **MIS reports, performance dashboards, and operational KPIs**.
* Support senior management with **data\\-driven insights** for better decision\\-making.
* Coordinate with internal teams (Sales, Supply Chain, HR, Finance) to ensure smooth workflows.
* Evaluate processes and recommend **cost\\-effective, efficient solutions**.
* Work on **process automation, SOP development, and compliance tracking**.
* Assist in vendor management, purchase tracking, and resource allocation.
* Identify operational risks and develop mitigation strategies.

**Key Requirements**

* Bachelor’s degree in Business Administration, Operations, or related field (MBA preferred).
* 2–4 years of proven experience as an **Operations Analyst / Business Analyst**.
* Strong analytical and problem\\-solving skills with attention to detail.
* Proficiency in **MS Excel, SQL, and data visualization tools.**
* Excellent communication and coordination skills.
* Ability to multitask, prioritize, and work under pressure.

Job Type: Full\\-time

Pay: ₹25,000\\.00 \\- ₹40,000\\.00 per month

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE1369835.htm","https://media.glassdoor.com/sql/1369835/vplak-squarelogo-1505206228360.png","","","","","","","","","","",""
"gd-1009886015543","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886015543","","Data Analyst","TruBridge","","2025-09-25","","","","","","",True,"","","organic","","Data Analyst Business Intelligence
Job Description:
1\\. Data collection from various source/PM systems.
2\\. Ensure BI deliverables are timely \\& accurately met.
3\\. Ensure Reporting SLAs are Met.
4\\. Prepare Custom report based on requirement.
5\\. Prepare Daily, Weekly \\& Monthly reports.
Eligibility:
1\\. Graduate in Any Discipline
2\\. Preferrable experience in US Healthcare RCM
Skill Set:
1\\. Knowledge in MS Excel
2\\. Strong Analytical and Problem\\-Solving Skills
3\\. Add on Desirable Skills : SQL, Power BI
Individual Contributor","","https://www.glassdoor.co.in/Overview/W-EI_IE14935.htm","https://media.glassdoor.com/sql/14935/trubridge-squareLogo-1728325374174.png","","","","","","","","","","",""
"gd-1009886392576","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886392576","","Data Analyst","Technology Next","","2025-09-25","","direct_data","monthly",70000.0,80000.0,"INR",True,"","","organic","","**Data Analyst** **(immediate joiners)**

**Location:** Remote (1–2 days/month onsite at locations—Pune, Bangalore, Chennai, Indore, Noida, Gurgaon)  
**Work Hours:** 11:00 AM – 9:00 PM IST  
**Experience:** 5\\+  
**Contract:** 6 Months (Extendable)

**About the Role**

We are seeking an experienced **Data Analyst** to support data modeling, profiling, and governance initiatives. The role involves working with healthcare data systems, extending IBM UDMH models, and collaborating with cross\\-functional teams to ensure high\\-quality data delivery.

**Key Responsibilities**

* Develop **conceptual, logical, and physical data models** aligned with IBM UDMH.
* Create **source\\-to\\-target mapping** and **data lineage documentation**.
* Extend IBM UDMH models for **custom business requirements**.
* Conduct **data profiling** across systems such as Epic, Cerner, Athena, and Oracle FDI.
* Assess **data granularity, quality, volume, and frequency**.
* Collaborate with cross\\-functional teams to define **subject\\-area models**.
* Ensure alignment with **data modeling standards and governance protocols**.
* Document metadata and maintain compliance standards.

**Required Skills**

Strong experience with **ER/Studio, ERwin, or PowerDesigner**.  
Proficiency in **SQL, Python, Unix** for ETL scripting \\& transformation.  
Knowledge of **Snowflake, Hadoop, Spark**.  
Hands\\-on experience with **cloud platforms (AWS, Azure)**.  
Familiarity with **healthcare data systems** is a plus.

Job Type: Contractual / Temporary  
Contract length: 6 months

Pay: ₹70,000\\.00 \\- ₹80,000\\.00 per month

Experience:

* Data modeling: 5 years (Required)

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE5798725.htm","https://media.glassdoor.com/sql/5798725/technology-next-squarelogo-1646368179427.png","","","","","","","","","","",""
