"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009884254469","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009884254469","","DevOps Engineer","Trident Techlabs Pvt. Ltd","","2025-09-23","","direct_data","monthly",40000.0,70000.0,"INR",True,"","","organic","","**Job Title: DevOps Engineer**

**Location: New Delhi**  
**Experience required: 3 to 6 years**  
**Qualifications: BCA / MCA**  
**Languages: Proficiency in Hindi \\& English**

**Job Overview:**

We are looking for a skilled **DevOps Engineer** to join our team in Delhi. The ideal candidate will have hands\\-on experience with CI/CD, cloud platforms, containerization, and infrastructure automation. You’ll work closely with development and operations teams to build, deploy, and maintain scalable, secure, and high\\-performance systems.

**Key Responsibilities:**

* Manage CI/CD pipeline (Jenkins, GitHub, ArgoCD, Kubernetes).
* Automate builds, testing, and deployments.
* Containerize applications (Docker, Kubernetes, Kubeadm).
* Implement infrastructure as code (IaC) for consistency.
* Integrate security checks (SAST, SCA, DAST) into pipeline.

**Required Skills:**

**CI/CD Tools:**

· Jenkins, GitLab CI/CD, CircleCI, Travis CI, Azure DevOps

**Infrastructure as Code (IaC):**

· Terraform, Cloud Formation, Ansible, Chef, Puppet

**Cloud Platforms (any one):**

· AWS, Azure, or Google Cloud Platform (GCP)

**Containerization \\& Orchestration:**

· Docker, Kubernetes, Helm, (OpenShift \\- nice to have)

**Monitoring \\& Logging Tools:**

· Prometheus \\+ Grafana, ELK Stack, Datadog, New Relic, Splunk, Nagios

**Networking \\& Security:**

· Basic networking (DNS, firewalls, load balancing)

· IAM, SSL, secrets management, and other security best practices

**Soft Skills:**

· Strong collaboration and communication skills

· Problem\\-solving mind set with a focus on root cause analysis

· Ability to work in a fast\\-paced, changing environment

· Passion for automation and continuous improvement

Job Types: Full\\-time, Permanent

Pay: ₹40,000\\.00 \\- ₹70,000\\.00 per month

Benefits:

* Health insurance
* Provident Fund

Experience:

* total work: 2 years (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009883417685","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883417685","","DevOps Lead","FirstHive","Bengaluru","2025-09-23","","direct_data","yearly",2500000.0,2900000.0,"INR",False,"","","organic","","Job description:

Key Responsibilities:

* Manage and maintain cloud infrastructure (preferably AWS/Azure) including networking (VPC, VPN, NAT, routing).
* Administer and monitor Kubernetes clusters (EKS/AKS), ensuring high availability and security.
* Implement infrastructure automation using Terraform or equivalent IAC tools.
* Configure and manage system observability (Prometheus, Grafana, Node Exporter, Kafka Exporter).
* Integrate security and quality gates into CI/CD workflows (SAST, DAST, code coverage).
* Ensure robust logging, alerting, and uptime monitoring across zones and services.
* Optimize infrastructure for cost, performance, and scalability.
* Enforce security best practices at infrastructure and network levels (TLS, firewalls, IAM).

Required Skills:

* 3–6 years of experience in cloud infrastructure management (AWS/Azure).
* Strong experience with Kubernetes (deployment, scaling, networking, RBAC).
* Proficiency with monitoring tools (Prometheus, Grafana) and Linux OS (Ubuntu / Linux).
* Experience managing cloud\\-native components like Kafka, MongoDB, Scylla / Cassandra, and MySQL RDS (8\\.4\\).
* Understanding of CI/CD pipelines and secure container management.
* Strong scripting in Bash, Python

Job Types: Full\\-time, Permanent

Pay: ₹2,500,000\\.00 \\- ₹2,900,000\\.00 per year

Benefits:

* Commuter assistance
* Health insurance
* Provident Fund

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE3427745.htm","https://media.glassdoor.com/sql/3427745/firsthive-squarelogo-1636636039283.png","","","","","","","","","","",""
"gd-1009883341727","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883341727","","Junior DevOps – Azure","Feathersoft","India","2025-09-23","","","","","","",False,"","","organic","","Job Summary:

  

We are seeking a motivated and detail\\-oriented Junior DevOps Engineer with 2–3 years of experience in Microsoft Azure to join our growing technology team. This role is responsible for assisting in the design, implementation, and maintenance of cloud infrastructure and CI/CD pipelines, helping to streamline development processes and ensure the reliability and scalability of applications.

  

The ideal candidate will have solid foundational knowledge of Azure services, scripting, and DevOps practices, along with a strong willingness to learn and grow in a fast\\-paced, collaborative environment.

  

Key Responsibilities:

* Support the setup, configuration, and maintenance of Azure resources (Azure VMs, Azure Blob Storage, Azure Active Directory, Azure Virtual Network, Azure SQL Database, Azure Monitor, Azure Kubernetes Service).
* Assist in building and maintaining CI/CD pipelines using tools like Azure DevOps, GitHub Actions, or Jenkins.
* Help automate deployment processes and infrastructure provisioning using Infrastructure as Code (IaC) tools such as ARM templates, Bicep, or Terraform.
* Monitor system performance and availability using Azure Monitor, Log Analytics, and Application Insights.
* Develop dashboards and configure alerts in Azure Monitor, Grafana, or similar tools to track system health and performance
* Collaborate with development and QA teams to troubleshoot and resolve application/infrastructure issues and ensure smooth application releases.
* Follow DevOps best practices including version control, configuration management, and environment management.
* Document processes and contribute to internal knowledge bases.

  

Required Skills \\& Qualifications:

* Basic understanding of core Microsoft Azure services
* Strong experience with Windows and Linux operating systems and environments.
* Familiarity with CI/CD tools and processes.
* Knowledge of scripting languages such as PowerShell, Bash, or Python.
* Exposure to source control tools such as Git.
* Working knowledge of Infrastructure as Code (Terraform or ARM/Bicep)
* Strong problem\\-solving and communication skills.
* A degree in Computer Science, Engineering, or a related field

  

UG","","https://www.glassdoor.co.in/Overview/W-EI_IE662202.htm","https://media.glassdoor.com/sql/662202/feathersoft-info-solutions-squarelogo-1503314290087.png","","","","","","","","","","",""
"gd-1009883364151","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883364151","","DevOps Engineer","Mobileprogramming PVT LTD","Bengaluru","2025-09-23","","direct_data","yearly",800000.0,950000.0,"INR",False,"","","organic","","**Job Description:**

We are looking for a **DevOps Engineer** with 6\\+ years of experience to help streamline our software development and deployment processes. The ideal candidate will have expertise in cloud platforms, CI/CD pipelines, automation tools, and infrastructure management.  
**Key Responsibilities:**

* Design, implement, and maintain CI/CD pipelines to automate software deployments.
* Manage cloud infrastructure (Azure, GCP) and ensure high availability, scalability, and security.
* Monitor system performance, troubleshoot issues, and optimize infrastructure.
* Implement infrastructure as code (IaC) using Terraform, CloudFormation, or similar tools.
* Configure and manage containerization technologies (Docker, Kubernetes).
* Automate operational processes using scripting languages like Bash, Python, or PowerShell.
* Collaborate with development and IT teams to ensure smooth deployment and integration.
* Implement security best practices for cloud and DevOps environments.
* Manage logging, monitoring, and alerting tools (Prometheus, Grafana, ELK, Splunk).
* Ensure compliance with DevOps best practices, version control (Git), and configuration management tools (Ansible, Chef, Puppet).

**Required Skills \\& Qualifications:**

* 5\\+ years of experience in DevOps, System Administration, or Cloud Engineering.
* Hands\\-on experience with **cloud platforms** like Azure, or GCP.
* Strong knowledge of **CI/CD tools** (Jenkins, GitHub Actions, GitLab CI/CD, CircleCI).
* Proficiency in **containerization and orchestration** (Docker, Kubernetes).
* Experience with **infrastructure as code (IaC)** tools like Terraform, CloudFormation, or Ansible.
* Proficiency in **scripting languages** (Python, Bash, Shell, PowerShell).
* Knowledge of **monitoring and logging** tools (Prometheus, Grafana, ELK, Datadog).
* Experience with version control systems (Git, GitHub, GitLab, Bitbucket).
* Strong understanding of **networking, security, and automation**

Job Type: Full\\-time

Pay: ₹800,000\\.00 \\- ₹950,000\\.00 per year

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE713262.htm","https://media.glassdoor.com/sql/713262/mobile-programming-squarelogo-1587408053427.png","","","","","","","","","","",""
"gd-1009883796633","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883796633","","Databricks Engineer","Pioneer IT Systems(425) 458-7002","","2025-09-23","","direct_data","yearly",2600000.0,3100000.0,"INR",True,"","","organic","","**Job Title: Databricks Engineer**  
**Remote \\=\\=\\=\\> OFFSHORE SHOULD BE LOCATED IN INDIA \\=\\=\\> Need to work in EST Time**  
**Need 10\\+ Years of experience**

**QUALIFICATIONS**

**Proven experience as a DevOps Engineer with specialization in Databricks (UI, CLI, REST APIs, Terraform).**  
**Strong expertise in Azure infrastructure \\& networking, including private endpoints, VNets, Subnets, NSGs, Load Balancers, \\& containerization.**  
**Hands \\- on experience with Infrastructure \\- as \\- Code ( Terraform ).**

Experience with CI / CD pipelines \\& automation, preferably using GitHub Actions.  
Strong troubleshooting skills in distributed systems, networking, \\& application deployments.  
Solid understanding of DevOps principles, CI / CD, \\& environment provisioning.  
Knowledge of security best practices in cloud \\& data platforms.  
Excellent communication \\& collaboration skills, with the ability to work independently as a standalone SME.  
Bachelor’s degree in Computer Science, Engineering, or related field ( or equivalent work experience ).

**RESPONSIBILITIES**

Act as the Databricks SME for infrastructure enablement, automation, \\& operations.  
Configure \\& manage Databricks workspaces using UI, CLI, REST APIs, \\& Terraform.  
Implement \\& maintain secure Azure networking \\& infrastructure, including private endpoints, VNets, Subnets, NSGs, Load Balancers, \\& policies.  
Support CI / CD pipelines \\& environment provisioning using GitHub Actions.  
Containerize workloads \\& ensure scalability \\& resilience in Databricks deployments.  
Perform operational debugging, including logs analysis, performance tuning, \\& troubleshooting compute, storage, \\& networking issues.  
Ensure compliance with security best practices \\& enterprise governance requirements.  
Collaborate with developers, data engineers, platform teams, \\& stakeholders to deliver scalable solutions.  
Provide onboarding support for Databricks users, including workspace enablement \\& troubleshooting.  
Deliver first 90 \\- day milestones:  
Enable Databricks workspaces  
Establish secure network connectivity  
Onboard users \\& troubleshoot compute, storage, \\& networking issues

Job Types: Full\\-time, Contractual / Temporary  
Contract length: 20 months

Pay: ₹2,600,000\\.00 \\- ₹3,100,000\\.00 per year

Application Question(s):

* Do you have 10 years of exp minimum ?
* Do you have Hands \\- on experience with Infrastructure \\- as \\- Code ( Terraform ). ?

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009883553265","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883553265","","Software Engineer III, ITC","NIKE","","2025-09-23","","","","","","",True,"","","sponsored","","**WHO YOU’LL WORK WITH**


You’ll be part of the team driving Globalization (G11N)—the processes that enable Nike products and experiences to launch globally, including localization, internationalization, and translation. You’ll collaborate with colleagues to ensure our content ecosystem connects seamlessly across markets, powering consumer experiences like Nike.com, Nike App, etc. Together, you’ll leverage both industry and Nike\\-specific standards (such as date formats and currency) to deliver world\\-class solutions.

**WHO WE ARE LOOKING FOR**


As a Senior Software Engineer, you will be a key contributor to our codebase, demonstrating strong ownership of both code and product. You’ll advise Product Managers on technology\\-related business challenges, evaluate solutions, and assess risks to recommend the best approach. Collaboration is central—you’ll work closely with fellow developers, conduct code reviews to uphold best practices and industry standards, and ensure robust unit and end\\-to\\-end testing. You’ll also help troubleshoot and resolve production issues escalated from customer support, and partner with cross\\-functional engineering teams to build the future of sport at Nike.


Our preferred candidate is a team\\-player with a passion for learning and taking on challenges. Attention to detail and the ability to collaborate with fellow engineers are must\\-have characteristics. You will own pieces of the architectures from design to development to deployment and production.


In addition to the requirements described above, successful candidates will exhibit the following:

* Bachelor’s degree in Computer Science or IT related discipline or any combination of equivalent relevant education, training and experience
* 5\\+ years’ experience building scalable applications, APIs, and services in the Java tech\\-stack.
* 3\\+ years’ experience developing UIs with React, including hands\\-on work with JavaScript, HTML, and CSS.
* Experience with microservice architecture, domain\\-driven design, and RESTful services using Spring Boot, GraphQL.
* 3\\+ years’ experience with relational databases (MySQL/PostGre) and non\\-relational databases (MongoDB/DynamoDB).
* Self\\-starter attitude with a passion for technology and continuous improvement.
* Experience building integrated applications using cloud services (AWS: EC2, ECS, API Gateway, Lambda).
* Proven track record implementing CI/CD and leading teams with DevOps responsibilities for deployment and production support.
* Excellent communication and collaboration skills, with the ability to work effectively with both technical and non\\-technical stakeholders.
* Innovative problem\\-solving skills, with a track record of developing creative solutions to technical challenges.

**WHAT YOU’LL WORK ON**


Your responsibilities will include:

* Building the next generation of Content Asset production and Globalization products.
* Enhancing platform excellence in non\\-functional areas like availability and observability.
* Ensuring the platform can handle large\\-scale data ingress and egress.
* Providing hyper care support after new features or capabilities are released.
* Proactively contributing ideas for new features and identifying technical improvements.
* Collaborating with other engineering teams for effective integration of capabilities and data.

**TECHNICAL SKILLS**

* Strong expertise in Java 11\\+, Spring Boot 2\\+, Gradle 6\\+, JUnit.
* Advanced knowledge and coding skills in React (v17\\), JavaScript, HTML5, CSS.
* Experience with DynamoDB and PostGreSQL.
* Familiarity with GraphQL and RESTful services.
* Hands\\-on experience with Docker, AWS (ECS, S3, SQS, Lambda), K8s.
* Understanding of GenAI concepts.","","https://www.glassdoor.co.in/Overview/W-EI_IE1699.htm","https://media.glassdoor.com/sql/1699/nike-squareLogo-1711119811190.png","","","","","","","","","","",""
"gd-1009884322633","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009884322633","","Infrastructure Engineer – CDK, Terraform, Go","TriDevSofts","","2025-09-23","","direct_data","monthly",70000.0,70000.0,"INR",True,"","","organic","","Role

Infrastructure engineer AWS, AWS CDK or Terraform with Go

Type of Role \\-Niche

Exp.\\- 5 years

Engagement Type \\- 1 month

Total number of positions \\- 20

**Role Overview \\- Infrastructure Engineer – CDK, Terraform, Go**

As an Infrastructure Engineer specializing in CDK for Terraform (CDKTF) and AWS Cloud Development Kit (AWS CDK) using Go, you will design, develop, and maintain cloud infrastructure following modern infrastructure\\-as\\-code (IaC) practices. You’ll leverage your expertise in Terraform, CDK, Go to build scalable, secure, and reusable infrastructure components across cloud environments.

**What You'll Do:**

* Design, implement, and maintain infrastructure\\-as\\-code using CDK for Terraform (CDKTF) in Go or AWS CDK with Go
* Build reusable, modular constructs in Go that encapsulate Terraform resources and modules
* Manage infrastructure deployment workflows and Terraform state using both CDKTF and CLI tools (terraform init, plan, apply, etc.)
* Write unit tests for CDK or CDKTF code using Go testing libraries (testing, testify)
* Collaborate with DevOps and cloud engineers to deploy and support AWS\\-based infrastructure at scale
* Troubleshoot deployment issues, resolve state drift, and ensure infrastructure correctness
* Document infrastructure architecture, components, and deployment processes clearly
* Stay current with updates in the Terraform, CDK, Go ecosystems

**What We're Looking For:**

* AWS Expertise: Strong knowledge of at least 10 AWS services such as EC2, Lambda, Step Functions, DynamoDB, API Gateway, RDS, VPC \\& Networking, IAM, ECS/Fargate, and S3
* Go Programming: Proficiency in Go — interfaces, modules, type system, testing, tooling
* Terraform Proficiency: Experience with writing and maintaining Terraform modules, handling state, and provider configurations
* CDK for Terraform: Experience with CDKTF in Go is a plus; willingness and ability to learn it quickly is required
* AWS CDK: Experience with AWS CDK in Go
* Testing and Quality: Comfortable writing tests and using quality tools in Go (go vet, golangci\\-lint)
* Infrastructure Debugging: Ability to investigate and resolve issues related to Terraform state, resource conflicts, or failed deployments
* Communication \\& Documentation: Clear technical writing and collaboration across teams
* Learning Mindset: Comfortable picking up new tools, languages, and IaC patterns as the ecosystem evolves

Job Types: Contractual / Temporary, Freelance  
Contract length: 1 month

Pay: ₹70,000\\.00 per month

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE10797245.htm","","","","","","","","","","","",""
"gd-1009884253918","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009884253918","","AWS DevOps Engineer","Om Software","India","2025-09-23","","direct_data","yearly",100000.0,400000.0,"INR",False,"","","organic","","**Job Description:**

We are seeking a skilled and motivated **Cloud System Administrator / AWS DevOps Engineer** with strong expertise in cloud infrastructure, automation, and CI/CD practices. The ideal candidate will have experience in managing cloud platforms like AWS and Azure, implementing DevOps pipelines, and supporting secure, scalable, and high\\-availability environments.

**Key Responsibilities:**

* Design, implement, and manage end\\-to\\-end **CI/CD pipelines** using tools like Jenkins and Bitbucket.
* Deploy, monitor, and maintain infrastructure on **AWS and Azure** cloud platforms.
* Perform **DevOps automation** and configuration management tasks.
* Handle **SSL certificate installation and configuration** on web servers.
* Manage hosting platforms including **cPanel**, perform backups, security hardening, and server optimization.
* Containerize applications using **Docker**, and manage orchestration with tools like Kubernetes or ECS.
* Integrate and support **software testing methodologies** in automated deployment pipelines.
* Collaborate with development, QA, and security teams to streamline deployment processes.
* Monitor system performance and troubleshoot infrastructure and deployment issues.

**Required Skills \\& Expertise:**

* Proficiency in **scripting and automation** using Bash, Python, or PowerShell.
* Strong experience with **containerization (Docker)** and **orchestration tools** (Kubernetes/ECS).
* Deep understanding of **cloud platforms**, primarily **AWS**, and optionally **Azure**.
* Familiarity with **DevOps tools** like Jenkins, Bitbucket, Git, Terraform, Ansible, etc.
* Knowledge of **software testing principles** and integrating test stages in CI/CD pipelines.
* Experience with **SSL configuration**, web hosting (cPanel), and server management.

Job Type: Full\\-time

Pay: ₹100,000\\.00 \\- ₹400,000\\.00 per year

Benefits:

* Health insurance
* Provident Fund

Experience:

* DevOps: 3 years (Required)
* AWS Devops: 2 years (Required)

Location:

* Hinjewadi, Pune, Maharashtra (Required)

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE833998.htm","https://media.glassdoor.com/sql/833998/om-software-squarelogo-1581161448117.png","","","","","","","","","","",""
"gd-1009883612744","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883612744","","Devops Engineer","DXC Technology","Chennai","2025-09-23","","","","","","",False,"","","organic","","**Job Description:**


D for DevOps: Roles \\& Responsibilities:

* Analyse current technology utilized within the company and develop steps and processes to improve and expand upon them.
* Creating CI \\& CD pipelines using both classic \\& Yaml based pipelines for .Net \\& related Microsoft technologies.
* Provide detailed explanation for proposed solutions including time necessary for completion
* Provide clear goals for all areas of a project and develop steps to oversee their timely execution
* Work closely with engineering professionals to maintain DevOps needed for projects to be completed efficiently
* Mentor and train other engineers within the team and seek to continually improve processes.
* Work alongside project management teams to successfully monitor progress and implementation of initiatives

  

Have hands on experience in:


1\\. Implementing DevOps Development Processes.


2\\. Implementing Continuous Integration.


3\\. Implementing Continuous Delivery.


4\\. Implementing Dependency Management. Tools that are in use are GitHub, Docker, Kubernetes, Sonar Cloud and different other services all on Microsoft Azure. The target deployment cloud is also Microsoft Azure.


At DXC Technology, we believe strong connections and community are key to our success. Our work model prioritizes in\\-person collaboration while offering flexibility to support wellbeing, productivity, individual work styles, and life circumstances. We’re committed to fostering an inclusive environment where everyone can thrive.

**Recruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available** here***.***","","https://www.glassdoor.co.in/Overview/W-EI_IE1603125.htm","https://media.glassdoor.com/sql/1603125/dxc-technology-squareLogo-1623241057027.png","","","","","","","","","","",""
"gd-1009883279526","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009883279526","","DevOps Trainee","OASYS Cybernetics Pvt Ltd","India","2025-09-23","","","","","","",False,"","","organic","","* Work with Automated environment management tools
* Enable automation of triggers and alerts when deploying applications through environments
* Build effective monitoring strategies to signal any issues or risks with applications/environments and managing platform health
* Design and implement DevOps pipelines, Continuous Integration and Continuous Delivery processes
* Design and document the DevOps process
* Schedule and track builds to various environments
* Configure automated testing and deployment processes
* Continuously analyze tasks that are performed manually and can be replaced by code
* Utilize monitoring tools to gather performance metrics
* Work closely with development team and infrastructure team to deploy builds
* Troubleshoot technical issues
* Maintain documentation on technical designs and deployment processes
* Experience with: **Java, Python, Jenkins, Chef, Maven, Puppet, Git, EFK, HP ALM, Docker, Kubernetes, Mesophere, Ansible, Splunk**
* Very comfortable with Agile, microservices, test\\-driven development and continuous delivery methodologies
* Strong problem solving and troubleshooting skills with experience exercising mature judgment

Job Types: Full\\-time, Permanent, Fresher

Work Location: In person

**Speak with the employer**  
\\+91 7401298238","","https://www.glassdoor.co.in/Overview/W-EI_IE2443704.htm","https://media.glassdoor.com/sql/2443704/oasys-cybernetics-squarelogo-1585644723606.png","","","","","","","","","","",""
