"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009880729880","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880729880","","RP | Freelancer - Graphic Design","Cimpress","","2025-09-19","","","","","","",True,"","","organic","","**Role description**  


**Who we are:**



Cimpress N.V. (NASDAQ: CMPR) is the world leader in mass customisation. Our unmatched technology, production, and supply chain operations allow us to offer products that can be personalised by an individual customer and manufactured on demand: easily, with great quality, and at affordable prices. Whether it is customised apparel, marketing materials for a business, or personalised photo products commemorating cherished family moments, we create real, tangible products that mean something to real people. Led by founder and CEO Robert Keane, Cimpress invests in and helps build customer\\-focused, entrepreneurial mass customization businesses. Through the personalized physical (and digital) products these companies create,we empower over 17 million global customers to make an impression. Last year, Cimpress generated $3\\.5B in revenue through customized print products, signage, apparel, packaging and more. The Cimpress family includes a dynamic, international group of businesses and central teams, all working to solve problems, build businesses, innovate and improve.


**About the Role:**


**What you will do:**



* Create/Review/Modify/Recreate designs from customers and produce a high\\-quality result useful for production ensuring customer satisfaction.


* Proactively raise issues regarding systems, tools, performance, and processes.


* Resolving escalations from customers or manufacturing facilities and share feedback with the Team Lead to avoid future challenges


* Involving in activities that induces continuous improvement in the skills required for the role


**Qualifications:**


* Education: 10th grade / 12th grade / Diploma \\+ Graphic Designing Course
* Certification: Minimum 1 year of professional graphic designing course, especially AI/PS tool.
* Demonstrates a good level of understanding about existing commercial designing software applications/CAD tools such as Adobe Illustrator, Adobe Photoshop etc.
* Intermediate level of Conceptualization \\& Designing Skills such as Typography, Color Theory, Layout Skills, Design Trends etc.
* Degree/diploma course in Graphics designing (or a related field).
* Good reading comprehension ability to understand customer needs in English along with Intermediate level of verbal and written communication skills in English
* Ability to adapt to new software applications/CAD tools
* Adaptability to ongoing improvements and changes, rejects cynicism
* Analytical Skills / Logical Thinking: Must be able to look at their work / project from customers point of view and examine how the design / designs output will be perceived by our customers to ensure they convey the desired message (Meaningful \\& relevant)
* Technical Skills: Must be able to operate various graphic designing software such as Ai, PS, InDesign, Adobe Stock (Understanding \\& firsthand experience working on AI, PS \\& In\\-design)
* Strong ethical behavior combined with unmatched passion, commitment, and drive for quality excellence
* Aptitude for learning \\& continuous improvement

**Nice to have:**


* Freelance (Print based \\& corporate identity work) or working with artistic media firm.
* Participated in workshops or design projects at renowned Art Institute – Design Concepts, Pencil Art, Sketching, Doodle, Calligraphy.
* Good to have knowledge of G\\-Suite.
* Creativity: Must be able to think of original approaches \\& develop unique designs that convey a recognizable meaning.

**Why you will love working here**



Being at Cimpress means that you don’t see work as just a building, a desk or a manufacturing floor. You see it as a chance to take a step forward in your career journey – and your life. We strive to give you everything you need to learn, grow, and succeed. Through innovation, collaboration, and perpetual exposure to what’s next, we’re always pushing boundaries and broadening our horizons. We embrace the chance to operate outside of our comfort zone to discover what we’re capable of. Some might call that a challenge; we just call it another great day at work.



We will help you define a clear perception of how to make the most of what you do best.


**Equal Opportunity Employer:**



Cimpress is an Equal Employment Opportunity Employer. All qualified candidates will receive consideration for employment without regard to race, color, sex, national or ethnic origin, nationality, age, religion, citizenship, disability, medical condition, sexual orientation, gender identity, gender presentation, legal or preferred name, marital status, pregnancy, family structure, veteran status or any other basis protected by human rights laws or regulations. This list is not exhaustive and, in fact, in many cases, we strive to do more than the law requires.


**We're Remote\\-First**



In 2020, Cimpress adopted a Remote\\-First operating model and culture. We heard from our team members that having the freedom, autonomy, and trust in each other to work from home and the ability to operate when they are most productive, empowers them to be their best.  

  

Please visit our company website to learn more about Cimpress and how we empower people to make an impression through mass customization by delivering uniquely personalized products in a convenient and affordable way. You'll find detailed insights into our entrepreneurial approach, global operations, and commitment to innovation at cimpress.com.

  

  

**Skills**  

  

**About Cimpress**  

Founded in 1994, Cimpress (Computer Integrated Manufacturing Press) empowers individuals and businesses worldwide to make their mark through customized, high\\-quality products. With a $5 billion market cap and a presence in 24 countries, Cimpress is a market leader in mass customization—offering a wide range of personalized items, including print, signage, apparel, and packaging. Cimpress India (CI) supports Cimpress businesses by providing top\\-tier talent and operational solutions, advancing its mission to deliver value through personalization. Operating as a ""talent container"" model, CI simplifies hiring, payroll, HR, and logistics, allowing businesses to focus on their ambitious goals. Currently, Cimpress India hosts over 2,400 team members across 14 Cimpress brands, with key hubs in Ahmedabad, Bengaluru, and Mumbai. Our teams play a vital role in Cimpress’s commitment to mass customization and innovation, making custom products accessible and impactful.","","https://www.glassdoor.co.in/Overview/W-EI_IE917184.htm","https://media.glassdoor.com/sql/917184/cimpress-squarelogo-1416170748766.png","","","","","","","","","","",""
"gd-1009881056213","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009881056213","","Graphic Designer & Video Editor","S.P SOFTWARE SOLUTIONS","India","2025-09-19","","direct_data","monthly",9894.0,28602.0,"INR",False,"","","sponsored","Ramandeep.iclickstech@gmail.com, Ramandeep.iclickstech@gmail.com","Job Description – Video Editor (After Effects)

Position: Video Editor (Adobe After Effects)

Experience: 2 – 4 Years

Location: Vijay Nagar,Indore

Company: INFINITE\\-E CLICKS TECHNOLOGIES PVT. LTD.

Email to Apply: Ramandeep.iclickstech@gmail.com

About Us

INFINITE\\-E CLICKS TECHNOLOGIES PVT. LTD. एक creative IT \\& Gaming Development Company है, जो cutting\\-edge games और digital solutions के साथ\\-साथ high\\-quality creative content पर काम करती है। हम एक talented Video Editor (After Effects) की तलाश में हैं जो हमारी टीम में नई जान डाल सके।

Key Responsibilities

Adobe After Effects का उपयोग करके engaging motion graphics, animations और visual effects बनाना।

Raw footage को edit करके final polished video तैयार करना।

Marketing, gaming और social media content के लिए high\\-quality videos बनाना।

Designers और creative टीम के साथ collaborate करके visual storytelling improve करना।

Latest trends और editing techniques सीखकर implement करना।

Required Skills

Adobe After Effects में 2–4 साल का professional अनुभव।

Video editing, motion graphics और VFX में strong portfolio।

Adobe Premiere Pro, Photoshop, Illustrator जैसे tools का knowledge।

Sound design और color grading की basic समझ।

Deadlines पर काम करने की क्षमता और attention to detail।

Nice to Have

3D animation tools (Blender, Cinema4D, Maya) का knowledge।

Gaming या tech industry में editing का अनुभव।

Social media platforms (YouTube, Instagram, TikTok) के लिए optimized video content बनाने का अनुभव।

Why Join Us?

100% Work From Home flexibility।

Creative projects पर काम करने का मौका।

Friendly और collaborative team environment।

Competitive salary और career growth opportunities।

Apply Now: Send your updated resume \\+ portfolio/showreel link to Ramandeep.iclickstech@gmail.com

with subject line ""Application – Video Editor (After Effects)"".

Job Type: Full\\-time

Pay: ₹9,894\\.02 \\- ₹28,602\\.91 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879934472","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879934472","","Freelance Graphic Designer and Illustrator","Daksha Group","Alleppey","2025-09-19","","direct_data","monthly",12000.0,18000.0,"INR",False,"","","sponsored","","What We’re Looking For:

* Strong sense of creativity and attention to detail
* Ability to adapt to different design styles and brand identities
* Willingness to accept feedback and improve designs
* Proficiency in design tools (Adobe Photoshop, Adobe Illustrator, Canva, etc.)
* **Video editing skills (added advantage)**
* **Basic knowledge of social media marketing (added advantage)**
* Ability to work from our corporate office in Alappuzha

Responsibilities:

* Design graphics for social media, ads, product packaging, and marketing campaigns
* Brainstorm and develop new visual concepts
* Edit short videos/reels for social media
* Coordinate with the marketing team to ensure brand consistency
* Manage multiple projects and meet deadlines

Why Join Us:

* Opportunity to work with multiple growing brands
* Supportive and growth\\-driven environment
* Space to express your creativity and evolve your skills
* Exposure to marketing strategies and campaigns

Job Types: Full\\-time, Contractual / Temporary  
Contract length: 3 months

Pay: ₹12,000\\.00 \\- ₹18,000\\.00 per month

Experience:

* Adobe Illustrator: 1 year (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009519337778","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009519337778","","Graphic Designer - CB0925","CuringBusy","","2025-09-19","","direct_data","yearly",400000.0,400000.0,"INR",True,"","","organic","","This is a remote position.

**Job Title:** Graphic Designer **Location:** Remote **About CuringBusy:**  

CuringBusy is a **Fully Remote company**, providing subscription\\-based, remote Executive Assistant services to busy Entrepreneurs, Business owners, and Professionals across the globe. We help entrepreneurs free up their time by outsourcing their everyday, routine admin work like calendar management, email, customer service, and marketing tasks like social media, digital marketing, website management, etc. **Job Overview:**  

We are looking for a talented and creative **Graphic Designer** to join our team. The ideal candidate will be responsible for creating visually appealing graphics, digital assets, and designs that align with the brand and marketing strategies. This is a fully remote position, offering a chance to work on a variety of projects, including social media content, marketing materials, and website design.  

  

  

### **Requirements**

**Key Responsibilities:**  

* **Design Creation:** Develop creative concepts and design visuals for digital marketing, social media, websites, and other promotional materials.
* **Brand Consistency:** Ensure all designs are consistent with the company’s brand guidelines and overall aesthetics.
* **Social Media Graphics:** Design engaging graphics for social media posts, ads, and campaigns.
* **Marketing Collateral:** Create visually compelling marketing materials, including brochures, flyers, and banners.
* **Website \\& UI Design:** Assist with website design, including UI elements, landing pages, and other web\\-based graphics.
* **Collaboration:** Work closely with the marketing team to brainstorm and execute design ideas that support our marketing goals.
* **Feedback \\& Revisions:** Incorporate feedback and make necessary adjustments to the designs to meet project requirements.
* **Stay Updated:** Keep up with the latest design trends, tools, and techniques to bring fresh ideas to the team.
  

  

**Qualifications:**  

* **Bachelor’s degree in Graphic Design, Visual Arts, or a related field.**
* **Proven experience as a Graphic Designer with a strong portfolio showcasing design skills.**
* **Proficiency in design software such as Adobe Creative Suite (Photoshop, Illustrator, InDesign).**
* **Knowledge of UI/UX design principles is a plus.**
* **Strong attention to detail and an eye for aesthetics and visual balance.**
* **Excellent communication skills and ability to work in a remote team environment.**
* **Ability to handle multiple projects and meet deadlines in a fast\\-paced environment.**
  
  

  

  

### **Benefits**


**Benefits:**  

* **Fully remote position** – work from home.
* Opportunity to grow with a fast\\-growing startup.
* Exposure to international clients.
  

**Work timings:**Evening Shift or Night Shift (3 PM \\- 12 AM / 6 PM \\- 3 AM IST, Monday \\- Friday).  

**Salary**: Up to 4LPA, based on experience and skill set.
  

Bachelors Degree","","","","","","","","","","","","","",""
"gd-1009880163760","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880163760","","Junior Graphic Designer","Bizfaro Adverts","India","2025-09-19","","direct_data","monthly",20000.0,30000.0,"INR",False,"","","organic","info@bizfaro.com","**Job Description Junior Graphic Designer**

We are looking for a creative and experienced Junior Graphic Designer who has a strong portfolio showcasing their design expertise, and a passion for delivering visually stunning and impactful designs. This role requires relocation to Kochi and offers the opportunity to work in a dynamic and collaborative environment.

**Main Responsibilities:**

* Design engaging visuals for social media, websites, ads, brochures, etc.
* Stay updated on design trends and tools to bring innovative ideas.
* Collaborate with teams to create designs that align with brand guidelines and project goals.

**Industry:** Advertising Services

**Experience:** 1\\+ Years

**Salary Range:** ₹20,000 – ₹30,000 per month

**Job Type:** Full\\-time

**Location:** Kochi

**Why Join Us?**

* Opportunity to work on exciting and diverse projects.
* Collaborative and creative work environment.
* Competitive salary and growth opportunities.

Interested Candidates are Invited to Send their Resume \\& Portfolio to **info@bizfaro.com**

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹30,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009880241100","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880241100","","Senior Graphic Designer & Video Editor","Communication Solutions","India","2025-09-19","","","","","","",False,"","","sponsored","","**Sr. GRAPHIC DESIGNER \\& VIDEO EDITOR \\- Night shift only.**

Job Summary

Privately owned since Oct. 2010, Communication Solutions is an offshore outsourcing company that offers solutions related to back\\-office research, development, analysis, and consultancy for top US brands across retail, hospitality, F\\&B, and real estate sectors.

We’re looking for a creative individual to join us as a Graphic Designer \\& Video Editor for a full\\-time position \\- night based only in our Dehradun (Uttarakhand) office.

Are you passionate about what you do? Then this is a chance to wow your audience with your cool design and creative capabilities for top US brands in the retail, hospitality, F\\&B, and real estate sectors.

**Roles \\& Responsibilities:**

* Ability to **adapt to and experiment with emerging design platforms and tools** (e.g., Canva, Figma, CapCut, AI\\-based design tools, etc.) alongside traditional Adobe Suite.
* Editing videos for multiple social media platforms and implementing feedback and changes when required.
* Develop and maintain **brand consistency** across all creative assets, ensuring alignment with brand guidelines and tone of voice.
* Partnering with the content marketing \\& design team to craft world\\-class creative work for our brands.
* Collaborate with cross\\-functional teams (content, marketing, strategy, sales) to understand project needs and deliver designs that **drive results**.
* Create **storyboards, mockups, and prototypes** to present ideas before final execution.
* Ensure all deliverables are **optimized for digital performance** (social media algorithms, file size, mobile\\-first design).
* Ability to **multi\\-task and manage tight deadlines** across multiple projects.

**Education \\& Other Requirements:**

* A Bachelor’s degree in graphic design, art, design or a related field.
* 4\\-6 years minimum experience as a Graphic Designer or Video Editor.
* Strong understanding of **branding, visual identity, and brand storytelling**.
* Experience with **motion graphics / animation** (After Effects, Lottie, or other animation tools).
* Hands\\-on knowledge of **UI/UX design principles** (required).
* Familiarity with **AI\\-powered design and video editing tools** (e.g., Runway, MidJourney, Stable Diffusion, Firefly, ChatGPT for creative support).
* Portfolio of **completed design and video projects** (mandatory for application).
* Ability to **interpret analytics/feedback** to improve creative effectiveness.
* Strong **time management and organizational skills** for a fast\\-paced environment.

What We’ll Be Offering You:

* **Skill development \\& training support** (upskilling on new tools and platforms).
* Exposure to working on **international brands** and US market trends.
* Creative freedom within structured brand guidelines.

Job Types: Full\\-time, Permanent

Benefits:

* Food provided
* Health insurance
* Paid sick time
* Provident Fund","","https://www.glassdoor.co.in/Overview/W-EI_IE811430.htm","https://media.glassdoor.com/sql/811430/communication-solutions-squarelogo-1503577996601.png","","","","","","","","","","",""
"gd-1009880599065","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880599065","","Graphic & Digital Designer","MajorBrains Technologies Pvt Ltd","India","2025-09-19","","direct_data","monthly",10464.0,35800.0,"INR",False,"","","organic","","Role Summary

We’re looking for a **Designer** to support client projects across **digital, web, and social campaigns**. The role involves creating **visual assets, layouts, and branded materials**, while experimenting with **new design tools, AI, and automation workflows** to improve creative output.

Key Responsibilities

* **Brand \\& Creative**: Develop visuals, graphics, and layouts for campaigns, ensuring brand consistency.
* **Digital Assets**: Design banners, social media posts, carousels, and ad creatives.
* **Web \\& UI Support**: Assist in designing landing pages, email templates, and simple web layouts.
* **Sales Collateral**: Support creation of presentations, brochures, catalogs, and case studies.
* **AI \\& Tools**: Explore design productivity tools (Figma, Canva, Adobe Creative Suite, and AI\\-based design tools).
* **Collaboration**: Work closely with marketing and content teams to align visuals with messaging.

Requirements

* **2–4 years** of design experience (agency or client\\-side).
* Proficiency in at least a few design tools: **Figma, Adobe Creative Suite, Canva, or similar**.
* Understanding of **digital formats** (social, web, email, ads).
* Strong eye for **layout, typography, and brand consistency**.
* Ability to work on **multiple projects** with attention to detail and deadlines.
* Curiosity and aptitude to learn **AI\\-driven design workflows** (e.g., Notion AI, Adobe Firefly, MidJourney, or others).

What We Offer

* Diverse projects across **multiple industries and client campaigns**.
* Opportunity to explore **AI\\-assisted design workflows**.
* Collaborative team with space to grow into **Senior Designer** Role

Job Types: Full\\-time, Part\\-time

Pay: ₹10,464\\.29 \\- ₹35,800\\.75 per month

Expected hours: 20 per week

Benefits:

* Work from home

Application Question(s):

* IMPORTANT \\- Share the link of your portfolio (Reels \\& Image Posts) here or in your CV
* Have you designed creatives (Video REELS) for digital platforms (social, web, or email)?
* How will you use AI/automation tools for design productivity?","","https://www.glassdoor.co.in/Overview/W-EI_IE1375608.htm","https://media.glassdoor.com/sql/1375608/majorbrains-squarelogo-1526040239957.png","","","","","","","","","","",""
"gd-1009881007546","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009881007546","","Graphics Designer","Spearmint technologies","","2025-09-19","","direct_data","monthly",10000.0,15000.0,"INR",True,"","","organic","","We are seeking a **highly skilled and creative Senior Graphic Designer** with expertise in **crypto, blockchain, and IT\\-based designs**. The ideal candidate will have a **deep understanding of the crypto space**, including DeFi, NFTs, and Web3 concepts, and be proficient in **Figma, Canva, and other design tools** to craft engaging visuals for digital platforms. This role requires a blend of **innovation, technical knowledge, and design excellence** to create graphics that resonate with the crypto community and drive brand awareness.

**Key Responsibilities:**

* **Design high\\-quality visuals** for websites, social media, presentations, and marketing campaigns within the **crypto and Web3 ecosystem**.
* Develop engaging **UI/UX designs** for blockchain\\-based platforms, ensuring a seamless user experience.
* Work on **branding, logo creation, and promotional materials** tailored to crypto projects and IT\\-based businesses.
* Collaborate with **marketing and development teams** to create visually compelling assets for token launches, NFT drops, and DeFi projects.
* Optimize designs for **web, mobile, and social media**, ensuring consistency and alignment with brand identity.
* Stay updated on **crypto trends**, blockchain advancements, and industry best practices to create cutting\\-edge visuals.
* Utilize **Figma and Canva** effectively for wireframing, prototyping, and graphic content creation.
* Maintain **brand consistency** across all creative materials while adapting to market trends.

**Requirements:**

* **3\\+ years of experience** in graphic design, preferably in **crypto, blockchain, or IT\\-based industries**.
* Proficiency in **Figma, Canva, and Adobe Creative Suite (Photoshop, Illustrator, After Effects, etc.)**.
* Strong **UI/UX design** experience, particularly for **crypto\\-related platforms**.
* A **deep understanding of cryptocurrency, NFTs, and Web3**, with the ability to translate technical concepts into engaging visuals.
* Experience designing **marketing materials, banners, social media creatives, and website assets**.
* Ability to work **independently and collaboratively** in a fast\\-paced environment.
* A **strong portfolio** showcasing previous work related to crypto, blockchain, or IT industries.
* Knowledge of **motion graphics and video editing** (preferred but not mandatory).

**Benefits:**

* Opportunity to work on **cutting\\-edge crypto projects** with a passionate team.
* Competitive compensation and **potential token incentives**.
* Remote flexibility with a **dynamic and fast\\-growing blockchain company**.
* Exposure to the **latest trends in blockchain, DeFi, and Web3**.

Job Type: Full\\-time

Pay: ₹10,000\\.00 \\- ₹15,000\\.00 per month

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009879847330","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879847330","","Senior Graphic Designer","Trueway Digital Pvt. Ltd","Cochin","2025-09-19","","direct_data","monthly",25000.0,40000.0,"INR",False,"","","organic","","We are hiring Senior Graphic designer

Above 3 years of experience required

Good knowledge in design softwares

Agency experience is preffered

Job Type: Full\\-time

Pay: ₹25,000\\.00 \\- ₹40,000\\.00 per month

Ability to commute/relocate:

* Ernakulam, Kerala: Reliably commute or planning to relocate before starting work (Required)

Experience:

* total work: 3 years (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879962659","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879962659","","Graphic Designer","Grog Events & Entertainment Pvt. Ltd.","Lajpat Nagar","2025-09-19","","direct_data","monthly",30000.0,50000.0,"INR",False,"","","organic","","We’re looking for a versatile designer who can work across both 2D and 3D. The role involves creating visuals for branding, content, and spaces, while adding depth and dimension through 3D design.

**What you’ll do:**

* Design graphics for digital and print use.
* Create 3D visuals, mockups, and layouts when required.
* Support the team in turning ideas into clear, creative visuals.
* Bring fresh design ideas and attention to detail.

**What we’re looking for:**

* Strong graphic design skills with knowledge of 3D software.
* Minimum of 2\\-3 years experience required.
* Familiar with Adobe Creative Suite.
* Able to think creatively in both flat and spatial formats.
* Flexible, collaborative, and detail\\-oriented.

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹50,000\\.00 per month

Benefits:

* Flexible schedule
* Life insurance
* Paid sick time

Application Question(s):

* Are you proficient in any 3D software?

Work Location: In person","","","","","","","","","","","","","",""
