"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009879876928","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879876928","","HR Officer","MNR Solutions Pvt. Ltd.","Gurgaon","2025-09-18","","direct_data","yearly",700000.0,700000.0,"INR",False,"","","organic","","**Position:** HR Officer

**Qualification:** MBA/BBA (HR Specialization)  
**Experience:** 3 – 7 Years  
**Location:** Gurgaon  
**CTC Range:** Up to 7 LPA  
**Employment Type:** Full\\-time

**Purpose of the Job :\\-**

To ensure effective and prompt services in the HR \\& Administration department with an aim to maintain smooth operations, employee welfare, and compliance with organizational standards and statutory guidelines.

**Key Responsibilities :\\-**

**1\\. Statutory Compliance**

* Ensure adherence to all relevant labor acts and state laws across operational locations.
* Prepare and submit all statutory returns on time.

**2\\. Vendor Management**

* Manage vendor empanelment and development as per company guidelines.
* Monitor vendor performance to ensure timely and quality service.
* Handle yearly and timely renewals of vendor agreements.
* Streamline vendor payment processes and manage salaries of outsourced staff.

**3\\. Administration Activities**

* Maintain and oversee the office premises and facilities.
* Supervise support staff including office boys, housekeeping, and security staff.
* Manage office stationery, courier, pantry (tea, snacks, lunch), and related needs.
* Organize employee travel arrangements and maintain records.
* Manage employee leave records and approvals.
* Support manual TE (Travel Expense) processing if required.
* Ensure timely clearance and record\\-keeping of sampling and medical reimbursements.

**4\\. MIS \\& Reporting**

* Prepare and share MIS reports as per DHQ (Division Headquarter) requirements.
* Maintain and update all reports and records related to staff and office operations.

**5\\. Talent Acquisition**

* Coordinate with HR Manager for vacancy replacements and hiring needs.
* Schedule and arrange interviews for candidates.
* Share interview feedback and required information with DHQ.

**6\\. Joining \\& Exit Formalities**

* Coordinate with candidates and DHQ for joining formalities.
* Notify local employment exchange regarding new joinings.
* Manage onboarding and induction plans for new employees.
* Handle resignations, exit interviews, and exit formalities.
* Share resignation details with DHQ and submit duly filled exit forms.

**7\\. Training, Events \\& Capability Building**

* Provide administrative support for training programs.
* Organize EHS (Environment, Health, Safety) training sessions.
* Assist in planning and executing company events.

**8\\. Employee Engagement \\& R\\&R (Reward \\& Recognition) Programs**

* Drive initiatives for employee engagement and satisfaction.
* Organize and manage employee engagement activities.
* Coordinate for R\\&R programs to promote employee motivation and recognition.

**Skills \\& Competencies Required :\\-**

* Strong knowledge of **HR operations, statutory compliance, and administration**.
* Hands\\-on experience in **recruitment, onboarding, exit processes, and employee engagement**.
* Vendor and people management skills.
* Excellent communication, interpersonal, and problem\\-solving abilities.
* Proficiency in **MS Office, HRIS systems, and MIS reporting**.
* Ability to multitask and work in a fast\\-paced environment.

Job Type: Full\\-time

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879810997","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879810997","","HR Recruiter","Neuraleap Hire","","2025-09-18","","direct_data","monthly",20000.0,25000.0,"INR",True,"","","organic","","**Job Title: HR Recruiter** 

(Non\\-IT \\| Domestic Hiring)

Company: Neuraleap Hire

Location: Remote (Work from Home)

Salary: Up to ₹25,000 per month

**About Us**

Neuraleap Hire is a growing staffing agency dedicated to helping businesses find the right people at the right time. We partner with clients across industries to deliver recruitment solutions that are fast, reliable, and tailored to their needs.

**Role Overview**

We are looking for a dedicated HR Recruiter with 2–3 years of experience to join our remote team. The role involves managing the complete recruitment cycle—understanding Client requirements, creating job descriptions, sourcing candidates, screening, and closing positions within deadlines.

**Key Responsibilities**

· Work closely with clients to understand hiring needs and create job descriptions accordingly.

· Source candidates through job portals, LinkedIn, Naukri, indeed, referrals, and headhunting, boolean search, and x\\-ray search techniques.

· Screen and evaluate profiles to ensure suitability for client needs.

· Coordinate interviews and manage candidate communication throughout the process.

· Support offer negotiation and onboarding activities.

· Build and maintain a strong candidate pipeline for current and future requirements.

**What We’re Looking For**

· 2–3 years of Non\\-IT recruitment experience,(preferably in a staffing/consultancy with domestic hiring exposure ).

· Strong communication and negotiation skills.

· Hands\\-on experience with job portals, LinkedIn, Naukri etc. and advance Sourcing techniques like boolean search , X\\-Ray search, Naukri Resdex .

· Ability to manage multiple requirements and deliver results in a fast\\-paced environment.

· A self\\-driven professional who can work independently in a remote environment.

**What We Offer**

· Salary up to ₹25,000 per month.

· 100% remote working opportunity.

· A supportive and growth\\-focused work culture.

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹25,000\\.00 per month

Benefits:

* Cell phone reimbursement
* Work from home

Application Question(s):

* What is your current or last drawn monthly Salary ?
* What is your expected monthly salary ?
* Are you an immediate joiner? If, not what is your notice period ?
* Are you comfortable with 6 days of working ?
* Do you have your own working laptop and a stable Wi\\-Fi connection ?

Language:

* Hindi (Required)
* English (Required)

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009880003941","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880003941","","Lead Specialist HR","Stryker","Gurgaon","2025-09-18","","direct_data","yearly",572900.0,980000.0,"INR",False,"","","organic","","Work Flexibility: Hybrid or Onsite
Lead Specialist, HRBP  



  

This position is responsible for executing the talent strategy, providing a consistent experience to managers and employees and supporting and executing the engagement strategy for the market. The Associate HR Business Partner provides HR partnership to managers focusing on the work environment, employee relations, employee retention and business processes by executing the business unit HR strategy. The HR Business Partner possesses a solid understanding of all HR functions and works with managers and/or HR partners in areas such as employee relations, compensation, and performance management.


What you will do:
  

Human Resources Expertise


* Serves as subject\\-matter expert to managers
* Applies policies and procedures across organization; assists in the interpretation and administration of company policies and guidelines and will advise and counsel others in equitable application
* Applies compliance knowledge to mitigate risk
* Implements solutions that are aligned and consistent with global HR best practices

Relationship Management


* Effectively builds strong partnerships with managers to ensure HR resources are effectively provided to each group
* Will maintain constant and effective involvement in employee relations activities

Business Acumen


* Provides guidance on HR matters, partnering with subject\\-matter experts to develop needed solutions
* Uses knowledge of business and HR metrics to facilitate business decisions
* Demonstrates working knowledge of the labor market and its relation to organizational success
* Consultation
* Partners with managers and HR to implement business solutions, utilizing HR expertise and perspective; supports managers on HR projects
* Coaches managers on HR and business\\-related issues
* Executes programs, policies, and procedures to drive an engaged and performing organizational culture
* Delivers solutions that address issues of retention, change management and employee engagement, partnering with subject\\-matter experts as appropriate
* Executes consistent HR services for the operating entity

HR Insights


* Analyzes and presents data to managers and recommends solutions that support the culture and the defined HR strategy
* Analyzes root causes of work environment issues; manages interventions and solutions in collaboration and cooperation with key stakeholders

What you need:


* MBA HR from accredited university
* 6\\+ years of work experience required \\- previous HR experience and demonstrated experience interacting with COE's and business leaders is required
* 6\\+ years of increasingly responsible human resources experience preferred
* Demonstrated ability to manage complex employee relations/performance management matters
* Strong facilitation, consulting, relationship\\-building, influence, negotiation skills, and project management skills
* Demonstrated conflict resolution skills
* Strong situational assessment and objective evaluation skills

Travel Percentage: 10%","","https://www.glassdoor.co.in/Overview/W-EI_IE1918.htm","https://media.glassdoor.com/sql/1918/stryker-squarelogo-1561463466163.png","","","","","","","","","","",""
"gd-1009879786937","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879786937","","Senior Human Resources Executive","The Language SKOOL","","2025-09-18","","direct_data","monthly",25000.0,35000.0,"INR",True,"","","organic","","**Job Title:** Senior HR Executive – **Performance Management**  
**Experience Required:** 5–8 Years **(at least 3 years in PMS)**  
**Location:** Remote  
**Reporting To:** HR Manager  
**Employment Type:** Full\\-Time  
**Work Week:** Monday to Saturday  
**Salary Range:** ₹25,000 – ₹35,000 per month **(based on experience)**

**About The Language SKOOL**

The Language SKOOL is one of India’s leading online platforms for foreign language learning. Established in 2010, it has evolved from a freelance initiative into a full\\-fledged organization with several branches in Pune and now a strong online presence. We offer high\\-quality live training in multiple languages, catering to thousands of learners worldwide. With over 100 administrative staff and 200\\+ active trainers, TLS continues to expand with a mission to make language learning accessible, engaging, and empowering.

Visit us at: www.thelanguageskool.com

**Job Summary**

We are looking for an experienced and dynamic **Senior HR Executive** with strong expertise in **Performance Management** and **Employee Engagement**. The ideal candidate will assist in managing performance cycles, drive engagement initiatives, and strengthen our organizational culture, contributing directly to a high\\-performing and motivated workforce.

**Key Responsibilities**

* Assist in designing, implementing, and managing the **full performance management process**, including goal\\-setting, mid\\-year and annual reviews, feedback collection, and performance improvement plans.
* Collaborate with department heads and leadership to align performance goals with business objectives and track progress through clear KPIs.
* Train and support managers and employees on the performance appraisal process and tools.
* Analyze performance data to identify trends and recommend actionable improvements.
* Lead employee engagement initiatives such as surveys, recognition programs, wellness activities, and team\\-building events to foster a positive work culture.
* Act as a point of contact for employee concerns, ensuring timely resolution and alignment with organizational values.
* Use HRMS tools like **Keka HR** to manage appraisals, feedback, engagement records, and reporting.
* Maintain and present key HR metrics and dashboards for leadership review.

**Skills \\& Competencies**

* Strong knowledge of performance management frameworks (KRAs, KPIs, OKRs).
* Proven ability to design and implement effective employee engagement strategies.
* Excellent interpersonal, communication, and stakeholder management skills.
* High emotional intelligence and problem\\-solving capability.
* Ability to analyze data and make insight\\-driven decisions.
* Proficiency in MS Office Suite (especially Excel and PowerPoint).
* **Experience with Keka HR** or similar HRMS platforms is a **plus**.

**Qualifications**

* Bachelor's or Master’s degree in Human Resources, Business Administration, Psychology, or a related field.
* 5–8 years of relevant experience in performance management and employee engagement roles with **at least 3 years in PMS**
* Prior experience in fast\\-paced, growth\\-oriented environments is preferred.

Job Type: Full\\-time

Pay: ₹25,000\\.00 \\- ₹35,000\\.00 per month

Benefits:

* Paid time off
* Work from home","","","","","","","","","","","","","",""
"gd-1009880142771","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880142771","","HR Manager (Manufacturing)","AccuTree Consulting","","2025-09-18","","direct_data","monthly",210227.0,252000.0,"INR",True,"","","organic","","We are currently looking to recruit a suitable candidate for the position of **HR Manager** for our **Plastic Manufacturing Plant based in Malaysia**. Kindly refer to the details below:

**Position**: **HR Manager**  
**Location**: **Malaysia**  
**Industry**: **Plastic Manufacturing**

**PLEASE NOTE YOU HAVE TO RELOCATE TO MALAYSIA**

**Key Requirements**:

* **Minimum 5–7 years** of HR experience, preferably in a **manufacturing environment**
* Proven experience in **managing manufacturing workers**, especially **foreign worker handling and documentation**
* Strong background in **recruitment** and other senior\\-level HR functions
* Familiarity with Malaysian labor laws and factory practices.

**KEY RESPONSIBILITIES**

Develop and implement recruitment strategies for attracting top talent.

* Manage the recruitment process for senior positions within the company.
* Conduct interviews, coordinate with hiring managers, and make hiring recommendations. • Oversee the onboarding process to ensure new employees are well\\-integrated
* Handle all aspects of employment for overseas staff, including expatriate assignments.
* Manage visa applications, renewals, and compliance with immigration regulations.
* Assist foreign employees with relocation and settling in.
* Manage employee benefits programs, including health insurance, and other perks.
* Conduct regular reviews of benefits to ensure competitiveness and compliance.
* Handle employee inquiries regarding benefits. • Ensure company compliance with local, state, and federal labor laws.
* Develop and update HR policies and procedures.
* Conduct training sessions on HR policies and legal compliance
* Oversee the performance appraisal process.
* Work with managers to identify training and development needs.
* Implement programs to enhance employee performance and productivity.
* Oversee the management of staff accommodations.
* Ensure that hostel facilities are maintained and meet company standards \\& local
* Address any issues or concerns related to staff housing.

**Benefits**:

* **Medical insurance coverage (outpatient and hospitalization)**
* **For expatriates: House allowance (as per company policy) and company car**
* **Annual leave based on years of service**
* **14 days of public holidays in accordance with the factory calendar and Malaysian labor law**

Job Types: Full\\-time, Permanent

Pay: ₹210,227\\.00 \\- ₹252,000\\.00 per month

Benefits:

* Health insurance
* Paid time off
* Provident Fund

Application Question(s):

* ARE YOU WILLING TO RELOCATE TO MALAYSIA?
* DO YOU HAVE EXPERIENCE IN MANUFACTURING SECTOR?

Experience:

* HR manager: 5 years (Required)

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009879850621","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879850621","","HR Executive","Aviotron Aerospace Private Limited","Noida","2025-09-18","","direct_data","monthly",30000.0,50000.0,"INR",False,"","","organic","","Requirements and skills

● Having a Bachelor’s/Master degree in human resource management or relevant field

● Ability to architect strategy along with leadership skills

● Excellent active listening, negotiation, and presentation skills

● Competence to build and effectively manage interpersonal relationships at all levels of the company

● Having a minimum of 02 Years of experience in Ed\\-Tech organization and technical recruitment\\-related tasks.

● Technically expert who can understand and explain the job requirements

● Having familiarity with HRM Tools/software

● Develop strategies and implement changes that improve job knowledge.

● Adjust employee benefits and incentive programs.

● Ensure a fair recruitment plan and oversee new hiring, interviews, and orientations.

● Exceptional verbal and written communication skills

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹50,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879073093","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879073093","","Package Consultant-Workday HCM & Compensation","IBM","Calcutta","2025-09-18","","direct_data","yearly",240000.0,680000.0,"INR",False,"","","sponsored","","A career in IBM Consulting is rooted by long\\-term relationships and close collaboration with clients across the globe. You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio \\* As a consultant you will serve as a client\\-facing practitioner who sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful Consultant is reagarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.
  
  

* As HR Transformation Consultant in EA Product Suite: \\* You own the business process design, configuration development and implementation of the solutions to meet your clients' needs \\* You lead business process and configuration workstream and their day\\-to\\-day activities \\* You analyze business requirements for configuration, plan and lead delivery of workshops and facilitate client events. You propose solutions, addressing client business issues and objectives. \\* You apply strong business skills and methodologies to interpret data, business processes and deliver solutions to clients.","","https://www.glassdoor.co.in/Overview/W-EI_IE354.htm","https://media.glassdoor.com/sql/354/ibm-squareLogo-1680100245029.png","","","","","","","","","","",""
"gd-1009879200782","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879200782","","Human Resources Assistant","EIDIM Group, Inc.","Bengaluru","2025-09-18","","direct_data","yearly",336000.0,540000.0,"INR",False,"","","organic","","**Job Title: Human Resource Assistant to a US Company**

***Description:*** 

The HR Assistant supports daily administrative tasks within the Human Resources department, focusing on clerical and entry\\-level HR duties. This role includes assisting with recruitment, maintaining employee records, organizing onboarding documentation, coordinating training logistics, and supporting payroll preparation and employee benefits. The HR Assistant ensures efficient HR operations while maintaining a high level of confidentiality and professionalism.

***Department:*** Human Resources

***Reports To:*** HR Lead/ HR Manager

***Requirements \\& Skills:***

* **Bachelor’s degree in Human Resources, Psychology, Business Administration, or related field.**
* **1 \\- 2 years of experience in an administrative or HR support role.**
* **Basic understanding of HR practices and California labor laws.**
* **Knowledgeable about US employment system and payroll.**
* Proficiency in Microsoft Office Suite (Word, Excel, Outlook).
* Strong attention to detail, organizational skills, and data management.
* Excellent written and verbal communication.
* Ability to handle sensitive information confidentially.

***Responsibilities:***

**Recruitment and Hiring Process**

* Assist in posting job advertisements on various platforms.
* Schedule interviews and coordinate with candidates and interviewers.
* Track and organize candidate applications and resumes.
* Support background check and reference verification logistics.

**Employee Onboarding Process**

* Prepare onboarding documents and orientation packets.
* Assist in collecting required employment forms (W\\-4s, I\\-9s, etc.).
* Ensure all new hires are added to the HRIS system.
* Coordinate with IT for system access and workspace preparation.

**Employee Records Management**

* Maintain digital and physical employee files securely.
* Track document expiration dates and compliance due dates.
* Assist in updating employee information in HRIS.

**Employee Development**

* Schedule internal and external training sessions.
* Maintain training attendance logs and certifications.
* Help coordinate employee birthday celebrations and service awards.

**Employee Relations and Events**

* Help coordinate company\\-wide events and wellness initiatives.
* Assist in scheduling meetings for employee concerns.
* Support employee communication regarding HR policies and updates.

**Policy Development \\& Compliance**

* Format and distribute updated HR policies.
* Help maintain labor posters and basic compliance materials.

**Compensation and Benefits**

* Distribute benefits information to employees.
* Assist employees with form submissions for enrollment or changes.
* Track benefits documents for filing and updates.

**Payroll** 

* Gather and input timesheets or timecard data for payroll.
* Confirm changes in payroll deductions with HR Lead.
* Assist in checking payroll drafts for errors.

**Tax and Document Compliance**

* Organize and maintain W\\-4s, I\\-9s, and other tax documents.
* Help with W\\-2 distribution logistics.

**Employee Exit Process**

* Collect returned company property.
* Assist in preparing exit packets and termination paperwork.
* Archive employee records post\\-exit.
* Perform other duties as assigned.

**Details:**

* 3 months Probationary Employee
* Benefits after Regularization
* Follows **US Business Time (Pacific Time)/ Graveyard in IST**

Job Type: Full\\-time

Pay: ₹26,338\\.22 \\- ₹35,117\\.62 per month

Application Question(s):

* Have you had experience being in a US based company? How many months/years?
* Salary expectation in INR/USD (Monthly)
* Do you have the necessary equipments (Laptop/Computer, Headset, Stable Internet connection) for a WFH set\\-up?

Education:

* Bachelor's (Required)

Experience:

* Human resources: 1 year (Required)
* Recruiting: 1 year (Preferred)
* Payroll: 1 year (Preferred)
* Employee relations: 1 year (Required)

Language:

* English (Required)

Location:

* Bangalore City, Bengaluru, Karnataka (Required)","","https://www.glassdoor.co.in/Overview/W-EI_IE263356.htm","https://media.glassdoor.com/sql/263356/eidim-group-squarelogo.png","","","","","","","","","","",""
"gd-1009878925906","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009878925906","","HR Head","Vplak India Pvt ltd.","Gurgaon","2025-09-18","","","","","","",False,"","","organic","","We are seeking an experienced and strategic HR Head to lead our Human Resources function. The HR Head will be responsible for developing and executing human resource strategy in support of the overall business plan and strategic direction of the organization. This includes talent acquisition, organizational development, performance management, training, employee relations, and compliance. The ideal candidate is a proactive leader with strong business acumen and a passion for creating a high\\-performing culture.

**Key Responsibilities:**

* **Strategic HR Leadership**
* Design and implement HR strategies aligned with the company’s vision and goals.
* Partner with senior leadership to drive organizational change and workforce planning.
* **Talent Acquisition \\& Management**
* Lead recruitment efforts to attract top talent.
* Develop and manage onboarding, succession planning, and retention strategies.
* **Performance \\& Culture**
* Build and maintain a performance\\-driven culture with clear KPIs and development plans.
* Oversee implementation of employee engagement and recognition programs.
* **Compliance \\& Risk Management**
* Ensure legal compliance with labor laws and HR best practices.
* Update policies and procedures in line with local and international standards.
* **Compensation \\& Benefits**
* Develop competitive compensation and benefits strategies.
* Monitor market trends and adjust policies to retain and attract talent.
* **Learning \\& Development**
* Drive a learning culture through training and professional development programs.
* **HR Operations \\& Systems**
* Oversee HR operations, including HRIS, documentation, audits, and reporting.
* Streamline HR processes through technology and automation.

**Requirements:**

* Bachelor’s/Master’s degree in Human Resources, Business Administration, or related field.
* 10\\+ years of progressive HR experience, with at least 5 years in a leadership role.
* Strong knowledge of labor laws, HR systems, and HR best practices.
* Proven experience in change management, employee relations, and leadership coaching.
* Exceptional communication, interpersonal, and decision\\-making skills.
* Experience in \\[industry, e.g., manufacturing, IT, healthcare] is preferred.

**Key Competencies:**

* Strategic thinking and problem\\-solving
* Integrity and confidentiality
* Leadership and influence
* Collaboration and team development
* Results orientation and accountability

Job Type: Full\\-time

Pay: ₹400,000\\.00 \\- ₹800,000\\.00 per year

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE1369835.htm","https://media.glassdoor.com/sql/1369835/vplak-squarelogo-1505206228360.png","","","","","","","","","","",""
"gd-1009879934772","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879934772","","Senior HR Payroll Executive","CKB Group","India","2025-09-18","","direct_data","monthly",30000.0,40000.0,"INR",False,"","","organic","","* Supervise and instruct the whole HR team
* Ensure whether the organization’s objectives and goals are being followed or not
* Work on the development of company policies and strategies that help in creating and building a better environment for employees to work
* Handle the employee complaints and addresses them with unique strategies and solutions for such challenges
* Suggest changes and improvements for the better functioning and productivity of the HR department
* Works to arrange tours and interesting interactive sessions to on\\-board the employees
* Conduct employee orientations to familiarize them with the company’s ethics and culture
* Directly supervise the employee talent acquisition processes to ensure they hire the best fit for the company’s needs
* Observe and analyze the performance metrics, and use the data in strategy and policy development
* Organize the employee training and learning programs
* Provide time\\-to\\-time feedback to employees on their performance
* Ensures that both the department and employees comply with the company’s policies and state\\-level rules and regulations
* Statuary compliance
* All over government departments \\& certificates related sound knowledge

Mandatory Requirements

* Master’s degree in human resources or business management
* 15 years of experience as an HR manager or senior HR generalist
* Excellent employee management skills

Preferred Qualifications

* Certified human resource professional with a specialization in people management or relevant field
* Excellent verbal and non\\-verbal communication skills
* Strong familiarity with human resource management systems like Applicant Tracking Systems, Performance Management System, or Payroll Systems
* Proven experience in contributing towards establishing safer and healthier work environments
* Strong analytical and problem\\-solving skills
* Sound knowledge of legal policies and labor laws
* Complete know\\-how of talent acquisition programs, and recruitment processes
* Excellent people management skills
* Prior experience as a HR manager
* Ability to develop and maintain healthy employee relations
* Complete know\\-how of budget management and employee compensation plans

Job Types: Full\\-time, Permanent

Pay: ₹30,000\\.00 \\- ₹40,000\\.00 per month

Benefits:

* Food provided
* Provident Fund

Education:

* Bachelor's (Required)

Experience:

* Manufacturing: 10 years (Required)

Work Location: In person","","","","","","","","","","","","","",""
