"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009916311938","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916311938","","I O Engineering Consultant - Mobile Device Management Engineer","Optum","Chennai","2025-10-24","","direct_data","yearly",306000.0,885000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
"gd-1009916311937","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916311937","","I O Engineering Consultant - M365 Email Engineer","Optum","Chennai","2025-10-24","","direct_data","yearly",306000.0,885000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
"gd-1009916311933","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916311933","","Senior I O Engineering Consultant - Mobile Device Management Engineer","Optum","Chennai","2025-10-24","","direct_data","yearly",306000.0,885000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
"gd-1009916311923","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916311923","","I O Engineering Consultant - M365 Email Engineer","Optum","Chennai","2025-10-24","","direct_data","yearly",306000.0,885000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
"gd-1009916251379","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916251379","","IT Support Technician","ALR Aviations Pvt. Ltd.","India","2025-10-24","","direct_data","monthly",20000.0,35000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009916301341","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916301341","","IT Solutions Engineer","Solutionix Global Services","Bengaluru","2025-10-24","","direct_data","monthly",250000.0,250000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009916311940","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916311940","","Facets Developer - Advisory Consultant - Implementation & Integration","Optum","Hyderābād","2025-10-24","","direct_data","yearly",300000.0,561600.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
"gd-1009916308052","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916308052","","Python Developer - Mid Level","White Blink","Bengaluru","2025-10-24","","direct_data","yearly",1275000.0,1275000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009916405537","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916405537","","IT Support Specialist","VXI Global Solutions","India","2025-10-24","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE249109.htm","https://media.glassdoor.com/sql/249109/vxi-global-solutions-squareLogo-1659023728043.png","","","","","","","","","","",""
"gd-1009916528387","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916528387","","Web Developer","Triedge Solutions","Kolhāpur","2025-10-24","","direct_data","monthly",120000.0,120000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2559408.htm","https://media.glassdoor.com/sql/2559408/triedge-squarelogo-1633090792178.png","","","","","","","","","","",""
