"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009909461689","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909461689","","Project Coordinator","Mighty Warner Infoserve (OPC) Pvt. Ltd.","Cochin","2025-10-17","","direct_data","monthly",30000.0,40000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009909481459","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909481459","","Project Coordinator","Netwin Infosolutions","India","2025-10-17","","direct_data","monthly",15000.0,20000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE716082.htm","https://media.glassdoor.com/sql/716082/netwin-infosolutions-squarelogo-1431584501825.png","","","","","","","","","","",""
"gd-1009909456881","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909456881","","Project Coordinator","Mighty Warner Infoserve (OPC) Pvt. Ltd.","Cochin","2025-10-17","","direct_data","monthly",30000.0,40000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009909594073","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909594073","","Configuration Specialist - Associate","Sprinklr","Bengaluru","2025-10-17","","direct_data","yearly",1000000.0,1030000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE427532.htm","https://media.glassdoor.com/sql/427532/sprinklr-squareLogo-1624446519936.png","","","","","","","","","","",""
"gd-1009909748685","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909748685","","Project Coordinator- Digital Marketing ll Noida","Ebizon","Noida","2025-10-17","","direct_data","yearly",360000.0,652000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3838507.htm","https://media.glassdoor.com/sql/3838507/ebizon-squarelogo-1646895262533.png","","","","","","","","","","",""
"gd-1009909488771","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909488771","","Project Coordinator","COWI","Chennai","2025-10-17","","direct_data","yearly",400000.0,600000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE378675.htm","https://media.glassdoor.com/sql/378675/cowi-squarelogo-1424863217271.png","","","","","","","","","","",""
"gd-1009909170927","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909170927","","Project Coordinator","4baseCare","Bengaluru","2025-10-17","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4530714.htm","https://media.glassdoor.com/sql/4530714/4basecare-squarelogo-1625755019709.png","","","","","","","","","","",""
"gd-1009909183456","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909183456","","Project Coordinator (Junior) - Face to Face Interview","DuckTale IT Services Pvt Ltd","Mohali","2025-10-17","","direct_data","yearly",300000.0,587500.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3366943.htm","https://media.glassdoor.com/sql/3366943/ducktale-it-services-squarelogo-1631884746753.png","","","","","","","","","","",""
"gd-1009908672594","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908672594","","Practice Area Senior Coordinator - Corporate Finance & Strategy","Boston Consulting Group","Gurgaon","2025-10-17","","","","","","",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3879.htm","https://media.glassdoor.com/sql/3879/boston-consulting-group-squareLogo-1692189677151.png","","","","","","","","","","",""
"gd-1009909171439","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909171439","","Project Coordinator","B Creative Solutions","Ahmedabad","2025-10-17","","direct_data","monthly",5000.0,20000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009909425348","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909425348","","Consultant – Local Area Expert and Data Coordinator","Public Health Foundation of India","","2025-10-17","","","","","","",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE353462.htm","https://media.glassdoor.com/sql/353462/phfi-squarelogo.png","","","","","","","","","","",""
"gd-1009909425623","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909425623","","Field Service Engineer","Renovision Automation Services Pvt. Ltd","Bengaluru","2025-10-17","","direct_data","monthly",20000.0,20000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE512350.htm","https://media.glassdoor.com/sql/512350/renovision-automation-services-squarelogo-1431672046269.png","","","","","","","","","","",""
"gd-1009909620033","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909620033","","Service Delivery Co- Ordinator","GTT Communications","Pune","2025-10-17","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE33029.htm","https://media.glassdoor.com/sql/33029/gtt-squareLogo-1689847502904.png","","","","","","","","","","",""
"gd-1009909804548","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909804548","","BIM Manager-Marine","COWI","Chennai","2025-10-17","","direct_data","yearly",193500.0,575268.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE378675.htm","https://media.glassdoor.com/sql/378675/cowi-squarelogo-1424863217271.png","","","","","","","","","","",""
"gd-1009909604304","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909604304","","RME Coordinator","ASSPL - Delhi","Sonipat","2025-10-17","","direct_data","yearly",414500.0,705000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","","","","","","","","","","",""
"gd-1009909341823","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909341823","","Project Engineer","Mudra Interiors and Developers","Calicut","2025-10-17","","direct_data","monthly",22000.0,25000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009909594155","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009909594155","","Lead Software Engineer","Sprinklr","Gurgaon","2025-10-17","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE427532.htm","https://media.glassdoor.com/sql/427532/sprinklr-squareLogo-1624446519936.png","","","","","","","","","","",""
"gd-1009908177711","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908177711","","IT Coordinator","naadbramha services india pvt ltd","India","2025-10-16","","direct_data","monthly",16000.0,18000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8340429.htm","","","","","","","","","","","",""
"gd-1009908151927","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908151927","","Project Coordinator Sr","Insight Enterprises","Gurgaon","2025-10-16","","direct_data","yearly",902000.0,950000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3823.htm","https://media.glassdoor.com/sql/3823/insight-squarelogo-1515779354333.png","","","","","","","","","","",""
"gd-1009908226210","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908226210","","Program Communication Executive","Olympia National School","India","2025-10-16","","direct_data","monthly",14000.0,18000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009908239623","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908239623","","Coordinator","The Association of People with Disability","Kolār","2025-10-16","","direct_data","yearly",360000.0,360000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2542813.htm","https://media.glassdoor.com/sql/2542813/the-association-of-people-with-disability-squarelogo-1639116368443.png","","","","","","","","","","",""
"gd-1009907768865","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907768865","","IT COORDINATOR","NOVOTEL","Pune","2025-10-16","","direct_data","yearly",796000.0,1083800.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3054.htm","https://media.glassdoor.com/sql/3054/accor-squareLogo-1641318761549.png","","","","","","","","","","",""
"gd-1009907861921","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907861921","","Wordpress Backend Developer - BOT","Lister Digital","India","2025-10-16","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1890474.htm","https://media.glassdoor.com/sql/1890474/lister-digital-squarelogo-1629884075388.png","","","","","","","","","","",""
"gd-1009908210019","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908210019","","IT Helpdesk Executive","The Creatif Wagon","Mumbai","2025-10-16","","direct_data","monthly",10492.0,25160.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009907552286","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907552286","","Project Accounting Coordinator","SSOE, Inc.","Mumbai","2025-10-16","","direct_data","yearly",313104.0,850000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE232538.htm","https://media.glassdoor.com/sql/232538/ssoe-group-squarelogo-1598972039407.png","","","","","","","","","","",""
"gd-1009907949939","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907949939","","Project Coordinator","AXON TECH SECURITY SOLUTIONS","Kottayam","2025-10-16","","direct_data","monthly",20000.0,25000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10351987.htm","","","","","","","","","","","",""
"gd-1009908158770","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908158770","","Project Coordinator Intern","Eleva8e Digital","","2025-10-16","","direct_data","monthly",8000.0,10000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009908160394","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009908160394","","Project Coordinator/Project Manager","SayOne","Cochin","2025-10-16","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1277404.htm","https://media.glassdoor.com/sql/1277404/sayone-technologies-squarelogo-1528462431132.png","","","","","","","","","","",""
