"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","posted_date","site_name","link"
"in-9c466a09302b23a0","indeed","https://ae.indeed.com/viewjob?jk=9c466a09302b23a0","https://jobs.egis-group.com/job/cost-controller-uae-national-in-dubai-jid-4506","Cost Controller - UAE National","Omada Rail Systems","Dubai, DU, AE","2025-10-15","contract","","","","","",False,"","","","","* **General Admin \\& Other Support Functions**
* **Permanent Contract**
* **Entry\\-Level**
* **Dubai**

  
**About Us**

 **Are you ready to take your career to the next level? Your future starts here.**  

  

Join Egis, where your ambition meets unparalleled growth opportunities. As we continue to expand within Canada, we're looking for talented professionals like you to be a part of our innovative team. Imagine working alongside over 1,000 top\\-tier engineers, architects, and planners, all dedicated to shaping the future of infrastructure and development.  

  

At Egis, your skills and aspirations will find the perfect environment to thrive. Elevate your career with us and be a driving force in our exciting journey.


Our values showcase everything we believe in:

**A Responsible Company** \\- We care about people, and we care about our impact; acting responsibly wherever we work and whatever we do.

**A People\\-First Company** \\- This is an environment of mutual respect where every team member matters, no matter who they are.

**A Creative Company** \\- Creativity is in our DNA. This is the fuel that helps us tackle the major challenges of our time.

 **About the Role**

  

We are seeking a detail\\-oriented and analytical Cost Controller to join our team in Dubai, United Arab Emirates. As a Cost Controller, you will be reporting to the Portfolio Performance Controller and play a crucial role in supporting the financial management and cost control processes of our projects. You will work collaboratively with project managers, finance teams, and other stakeholders to ensure projects are completed within approved budgets while maintaining financial health throughout the project lifecycle.

* Review and control project budgets in collaboration with project managers and your line manager, ensuring alignment with project objectives and financial constraints.
* Participate to regular variance analysis to compare actual costs against planned costs, investigating reasons for variances and implementing corrective measures.
* Support the review and analysis of earned value metrics to support project forecasting, variance analysis, and reporting to project stakeholders.
* Participate to the project cash flow, ensuring costs are aligned with project milestones and payments to vendors and subcontractors are made according to contract terms.
* Support the analysis of financial statements to identify potential improvements and develop strategies to optimize cost\\-effectiveness against approved budgets.
* Assist in the preparation of annual budgets.
* Collaborate with project managers to identify cost\\-saving opportunities and recommend measures to reduce expenses.
* Perform cost\\-benefit analysis on prospective projects and provide associated metrics to support the decision makers.
* Support the preparation of comprehensive financial reports to management to aid decision\\-making processes.

 **What do we need from you**

  

* UAE National mandatory, only UAE nationals will be reviewed and considered
* Bachelor's degree in Accounting, Finance, or a related field
* Fresh Graduate or Junior experience in cost control or financial management, preferably within the Construction / Maintenance industry
* Strong analytical and problem\\-solving abilities with a detail\\-oriented approach
* Thorough understanding of accounting principles, budgeting procedures, and Earned Value Management (EVM) principles
* Excellent communication skills, with the ability to convey complex financial information to various stakeholders
* Proficiency in MS Office Suite, particularly Excel for financial modelling and analysis
* Experience with financial forecasting, variance analysis, and project cash flow management
* Knowledge of industry\\-specific financial regulations (IFRS15\\) and reporting standards (preferred)

 **What's in it for you?**

  

Immediate joiners preferred


the role is to ensure effective cost management and margin optimization across the division's infrastructure projects by acting as the key financial liaison between Project Managers and your Management. This role ensures the integrity of project cost data, timely cost tracking, proactive margin control, and compliance with financial standards. It also supports continuous improvement through advanced Excel and Power BI utilization.","","https://ae.indeed.com/cmp/Omada-Rail-Systems","","","","","","","","","","","","","","",""
"in-04224845b06c93f1","indeed","https://ae.indeed.com/viewjob?jk=04224845b06c93f1","https://calo.applytojob.com/apply/C7Fo5iABbr/Kitchen-Admin?source=INDE&~","Kitchen Admin","CALO","Dubai, DU, AE","2025-10-14","fulltime","","","","","",False,"","","","","**About Calo**


Launched in Bahrain in November of 2019, Calo is on a mission to make healthy easy. We’re a team of dedicated people driving this mission by providing better, faster, and cheaper ways to access food through technology.

**Role overview**


To function as the Kitchen Administrator at Calo to coordinate, oversee and perform administrative support for the Head Chef and serve as the primary point of operational and administrative contact. The successful candidate will enable smooth communication between all parties by ensuring accurate and timely transmission of information while developing and managing all culinary staff records.

 **Main Responsibilities**

* The candidate will be responsible for printing recipes, filling up forms, pulling data from the dashboard and reporting summary to the head chef.
* Enter and retrieve information contained in computer databases
* Create and maintain computer\\- and paper\\-based filing and organization systems for records, reports, documents, etc.
* Creating kitchen meeting reports (weekly)
* Daily wastage sheet (Plus inputting it on the KDS)
* Compile, copy, sort, file and cross\\-check records of Kitchen activities .
* Assist Team in printing the recipes, guidelines, and daily tasks.
* Assist the stewarding team with paper work.
* Assist and maintain the leave records for Culinary and Stewarding teams.
* Maintaining and updating the data.
* Maintaining and informing chefs regarding maintenance work that needs to be done.
* Follow up with Chefs regarding the expiry dates of items and updating it into systems.
* Ensures prompt completion and delivery of documents and correspondence

 **Ideal Candidate**

**Qualifications \\& Requirements**

* Must have a minimum of 2 years of experience in administrative roles; in the hospitality industry is an advantage.
* Must be a proficient communicator in English
* Maintain a positive and professional approach with coworkers
* Outstanding communication and leadership skills
* Experience in large fast food chains is highly desirable
* Able to communicate in multiple languages is a plus
* Proficient in the use of MS Office Suite programs
* Must be currently present in Dubai

 **Personality**

* Strong communicator
* Pleasant personality and able to lead with empathy and patience.




C7Fo5iABbr","","https://ae.indeed.com/cmp/Calo","","","","","","","","","","","","","","",""
"in-3f2167d4e9cc6905","indeed","https://ae.indeed.com/viewjob?jk=3f2167d4e9cc6905","http://ae.indeed.com/job/production-admin-assistant-3f2167d4e9cc6905","Production Admin Assistant","2DOT4 Diamonds","Dubai, DU, AE","2025-10-14","fulltime","","","","","",False,"","","","","WE ARE HIRING

Be a part of a unique and incredible opportunity by joining our rapidly growing team!

2DOT4 is an established company within UAE and truly one of a kind, paving the way for the next generation of Diamonds to be curated within the UAE. With state\\-of\\-the\\-art technology and precede the way to a more ethical and sustainable future within the GCC region, the potential growth for this company is beyond measure!

WHAT WE ARE LOOKING FOR

We need an Production Administrative Assistant with precious stones experience, who will organize and maintain records for one of our fast\\-moving departments. You will contribute towards the entire department’s infrastructure, handling and updating results along with crucial information. You should be highly organized with analyzing data and driving production to optimize performance results. In collaboration with other departments, you will be responsible for preparing some reports for the department’s activities within 2DOT4\\.

* Stock Control and Inventory Management
* Experience with data audit practices, inventory reconciliation, and cycle counting
* Coordinating internal supply chain for your department.
* Working with controlled processes for traceability, product life management and anticipating advance requirements for consumables.
* Strong data entry skills and experience in production planning.
* Main POC for team communication and writing emails
* Inter\\-department coordination to ensure production requests and timeframes are in parallel.
* Work closely with a small team of decision makers and provide administrative support via Microsoft Office, Emails, PowerPoint, Excel,Odoo.
* Understand basic handling of technical equipment
* Motivating the team to reach KPIs to identify trends or provide recommendations
* Willing to take risks, fail, and learn from mistakes

WHO YOU ARE

A highly motivated and organized Individual with a genuine interest in the understanding of precious stone production. Able to implement ‘Lean Six Sigma’ methods to improve or streamline making things beautiful and structuring your work. To understand our business requirements with determination in achieving goals. There will be high demand in responsibilities within your team therefore you will need to ensure all tasks are divided in order to achieve great success. The way we work together determines the way we succeed so you need to have excellent self\\-leadership skills you see what needs to be done, and you/ team members get it done. A valuable positive attitude along with an excellent ability to adapt and work in an international environment and setting. You are a highly motivated, driven and detail\\-oriented person, willing to make a difference.

We would also love to see that you have/are:

* Minimum of 2\\+ years working with precious stones in the UAE is a MUST
* Experience of working within a startup environment preferred
* Highly driven and self\\-motivator
* Proficient in using ERP systems such as Odoo
* Highly organized with strong attention to details
* Comfortable with fast\\-paced environment continually adapting to changing requirements, schedules and priorities
* Excellent verbal and written communication skills in English/Hindi. Other language skills will be considered an advantage
* Accounting experience would be an additional benefit but not essential
* Ability to work under pressure with a high volume of workload without losing quality within your overall performance

What we are offering

* Highly competitive package
* Transportation can be provided to our offices in NIP
* Opportunity to work in a close\\-knit team with decision\\-making impact
* A chance to grow in a fast\\-growing, innovative company within the diamond industry

Candidate MUST be based within the UAE and have experience working with precious stones

Job Type: Full\\-time

Pay: AED8,000\\.00 \\- AED10,000\\.00 per month

Application Question(s):

* Do you drive?

Experience:

* working with precious stones/Diamonds: 2 years (Required)
* working in a Production facility: 3 years (Required)

Location:

* Dubai (Required)","","https://ae.indeed.com/cmp/2dot4-Diamonds","","","","","","","","","","","","","","",""
"in-2db63e8b6c35c91a","indeed","https://ae.indeed.com/viewjob?jk=2db63e8b6c35c91a","https://jobs.egis-group.com/job/administration-assistant-in-dubai-jid-4486","Administration Assistant","Omada Rail Systems","Dubai, DU, AE","2025-10-14","contract","","","","","",False,"","","","","* **General Admin \\& Other Support Functions**
* **Permanent Contract**
* **Entry\\-Level**
* **Dubai**

  
**About Us**

  

Waagner Biro Bridge Services has been a trusted leader in the UAE construction industry for over 50 years. Headquartered in Dubai, the company specializes in delivering innovative engineering and construction solutions for both government and private sector clients. Backed by a highly skilled team of civil, mechanical, structural, and electrical engineers, Waagner Biro Bridge Services provides comprehensive services that span design, construction, and ongoing maintenance. Known for its integrated approach and commitment to quality, the company has set a benchmark for excellence in construction engineering across the region.


For more information, visit: **https://waagnerbiro\\-bridgeservices.com**

 **About the Role**

  

The responsibilities of the Administration Assistant include, but are not limited to:

***Document Control:***

* Establish, maintain, and manage document control systems in compliance with company standards.
* Receive, register, distribute, and archive project documentation (drawings, technical documents, contracts, reports, correspondence).
* Track document revisions, approvals, and submissions to ensure accuracy and version control.
* Prepare and maintain logs, registers, and reports on document status for the Division Director.
* Liaise with project teams, consultants, and clients to ensure timely submission and receipt of documents

***Secretarial \\& Administrative Support:***

* Manage the Division Director’s calendar, appointments, and travel arrangements.
* Draft, review, and format letters, memos, reports, and presentations.
* Screen calls, emails, and correspondence, ensuring urgent matters are prioritized.
* Organize meetings, prepare agendas, and take minutes when required.
* Handle confidential information with professionalism and discretion.

***Coordination \\& Communication:***

* Act as the point of contact between the Division Director and internal/external stakeholders.
* Follow up on pending tasks, correspondence, and deliverables.
* Support the preparation of tender submissions, project progress reports, and executive presentations.
* Coordinate with HR, Finance, Procurement, and Project Managers to streamline processes and provide updates to the Director.

 **What do we need from you**

  

Diploma or Bachelor’s degree in Business Administration


Experience in similar business for at least 5 years

 **What's in it for you?**

  

Good communication and team working skills


Strong organizational and multitasking abilities


The ability to work to tight deadlines


Logical thinking and being able to analyze details.


Proficiency in MS Office (Word, Excel, PowerPoint, Outlook)


Reporting skills.","","https://ae.indeed.com/cmp/Omada-Rail-Systems","","","","","","","","","","","","","","",""
"in-ee9b730d712c187c","indeed","https://ae.indeed.com/viewjob?jk=ee9b730d712c187c","https://careers.zahrawigroup.com/jobs/show/584","Sales Admin Support Coordinator","Zahrawi Medical","Dubai, DU, AE","2025-10-14","fulltime","","","","","",False,"","","","","###### **About Zahrawi Group**


Zahrawi Group is a leading company in the GCC Healthcare Industry with its presence in UAE, KSA, Qatar, Bahrain, \\& Oman markets. The company supplies and distributes high\\-quality products and services to Hospitals, Clinics, Laboratories, \\& Analytical Industries.


###### **job Brief**


The incumbent helps the sales representatives improve their productivity by supporting them with any task related administrative duties.
**ACCOUNTABILITIES**

**Sales Support:**

* Support and assist fellow team members / departments, as and when needed to meet company / department goals.
* Prepare sales order checklist.
* Identify problems and address it to the team leader.
* Effectively present information and respond to questions from colleagues.

**Generate New Leads:**

* Respond to any inquiries regarding the department and task.

**Material \\& Supply Inventory:**

* Ensure that there is sufficient inventory of sales materials and supplies and ensure that all sales representatives have an adequate inventory of these materials on\\-hand.

**Documentation:**

* Prepare Letters of Warranty, Undertaking, Offer Validity Extension etc.
* Ensure all FOC sales orders must have Sales Supervisor/Division Managers approvals.
* Check that the Bid\\-bond, Performance \\-bond etc. are arranged as per the requirements of the customer.

**Database:**

* Maintain database of the quotation/tenders/other documentations file in the company shared drive for easy and quick references.

**Tenders and Quotations:**

* Responsible to submit quotations and tenders before its closing date with all the documents attached that are required by the customer.
* Quote and submit quotations online in co\\-ordination and approval from the sales team.
* Follow up with customer to know progress / status on the quotations and Tenders.

**REQUIREMENTS**

* **Education:** Bachelor’s degree
* **Additional details:**
	+ Candidate should be willing to move to Company Visa (when applicable)
	+ Candidate should be based in the UAE
* **Experience:** 3 \\- 4 years of experience
* **Job Specific Skills:** Procurement, Supply Chain, POs, LPOs


Location: UAE \\- Dubai


Job Type: FULLTIME


Job Posting Date: 14\\-10\\-2025


Division/Department: Procurement and Logistics","","https://ae.indeed.com/cmp/Zahrawi-Medical","","","","","","","","","","","","","","",""
"in-b7d66298960a6e01","indeed","https://ae.indeed.com/viewjob?jk=b7d66298960a6e01","http://ae.indeed.com/job/property-consultant-b7d66298960a6e01","Property Consultant","Positive Heights Properties","Al Barsha, DU, AE","2025-10-14","fulltime","","","","","",False,"","","","Sales@positiveheightsproperties.com","At **Positive Heights Properties LLC**, we’re redefining the real estate experience in Dubai.  
We’re a forward\\-thinking brokerage powered by innovation, teamwork, and a deep passion for property. Our mission is simple — to deliver exceptional service, build lasting relationships, and empower our people to reach new heights.

If you’re driven, confident, and hungry for success, this is your opportunity to join a fast\\-growing team in one of the most dynamic real estate markets in the world.

**The Role**

As a **Property Consultant**, you’ll act as a trusted advisor to clients — helping them buy, sell, or rent properties while delivering world\\-class service. You’ll combine market expertise, people skills, and negotiation talent to close deals and grow both your career and our brand presence in Dubai.

**Key Responsibilities**

* Source and generate new client leads through networking, marketing campaigns, and referrals.
* Build and maintain strong, long\\-term relationships with clients and property owners.
* Advise clients on market trends, pricing strategies, and investment opportunities.
* Conduct professional property viewings and provide honest, insightful feedback.
* Negotiate sales and lease agreements and ensure smooth end\\-to\\-end transactions.
* Stay up to date with RERA regulations, market developments, and competitor activity.
* Meet and exceed individual and team performance targets.

**Requirements**

* Minimum **1 year of experience** as a Property Consultant or Real Estate Agent in Dubai.
* Strong knowledge of the **Dubai real estate market** and RERA guidelines.
* Exceptional communication and negotiation skills.
* Highly motivated, results\\-driven, and eager to succeed in a competitive environment.
* RERA certification (or willingness to obtain it).
* Valid UAE driving license and own car preferred.
* Fluent in English; other languages are an advantage.

**What We Offer**

* **High\\-commission structure** with unlimited earning potential.
* **Full marketing, admin, and portal support** — focus on closing deals, not paperwork.
* Access to premium property listings and CRM tools.
* Continuous **training and mentorship** from industry leaders.
* A vibrant, collaborative, and growth\\-oriented work culture.
* Regular team events, incentives, and career development opportunities.

**How to Apply**

Ready to make your mark in Dubai’s real estate market?  
Apply now and become part of a team that’s transforming how real estate is done.

Send your CV to **Sales@positiveheightsproperties.com** or apply directly via Indeed.

Job Type: Full\\-time

Education:

* Primary (Required)

Experience:

* real estate: 1 year (Required)","","https://ae.indeed.com/cmp/Positive-Heights-Properties","","","","","","","","","","","","","","",""
"in-dbbef4e966a36843","indeed","https://ae.indeed.com/viewjob?jk=dbbef4e966a36843","http://ae.indeed.com/job/real-estate-sales-agent-dbbef4e966a36843","Real Estate Sales Agent","AVENUE REAL ESTATE","Dubai, DU, AE","2025-10-13","fulltime","","","","","",False,"","","","","**About the Role:**  
We’re looking for a driven and professional Real Estate Sales Agent to join our growing team in Dubai. You’ll connect buyers, sellers, and investors with some of the most exciting off\\-plan and ready properties across the city. If you thrive in a fast\\-paced, target\\-driven environment and have a passion for property and people, this role is for you.

**Key Responsibilities:**

* Prospect, qualify, and manage leads through CRM
* Conduct property viewings, presentations, and negotiations with clients.
* Build and maintain strong relationships with developers, investors, and property owners.
* Stay updated on Dubai’s real estate market trends, pricing, and new launches.
* Prepare and deliver professional sales proposals and property documents.
* Achieve monthly and quarterly sales targets.
* Coordinate with marketing and admin teams to ensure seamless client experience.

**Requirements:**

* Minimum 1–2 years of real estate sales experience in Dubai (off\\-plan or secondary market preferred).
* Strong knowledge of developers such as Emaar, Damac, Sobha, Nakheel, and Dubai Properties.
* Excellent communication and negotiation skills.
* Fluent in English (Arabic, Russian, Hindi, or Chinese is a plus).
* Valid UAE driving license and own car preferred.
* RERA certification is an advantage (or willingness to obtain it).

**What We Offer:**

* High\\-commission structure with no cap on earnings.
* Verified leads through our CRM.
* Marketing and admin support.
* Training and mentorship from senior agents.
* Access to top developer projects and exclusive launches.

**Join Us:**  
If you’re ambitious, confident, and ready to grow in Dubai’s most dynamic real estate market, apply today and be part of our success story.

Job Type: Full\\-time

Pay: From AED3,000\\.00 per month","","https://ae.indeed.com/cmp/Avenue-Real-Estate","","","","","","","","","","","","","","",""
"in-275ca3ee1c5886a3","indeed","https://ae.indeed.com/viewjob?jk=275ca3ee1c5886a3","http://ae.indeed.com/job/executive-assistant-senior-ea-real-estate-agent-275ca3ee1c5886a3","Executive Assistant - Senior EA for Real Estate Agent","Xperience Realty","Dubai, DU, AE","2025-10-13","fulltime","","","","","",False,"","","","chathu.r@xrealty.ae","Xperience Realty is hiring a high\\-calibre Executive Assistant to support one of their real estate agents in Dubai. This is an operator\\-first role that blends top\\-level admin, client relationship management, digital marketing support (social \\+ SEO), and light web/backend ownership, the EA will be the agent’s right hand across operations, marketing and lead generation.

**1\\) Summary of experience**

● 3\\+ years of experience as an Executive Assistant, Personal Assistant, Operations Coordinator or similar, ideally supporting C\\-suite or high\\-net\\-worth professionals.

● Preferably 2\\+ years in real estate, proptech, luxury services, brokerage, or a marketing/agency environment.

● Demonstrable social media \\+ content experience (running channels, content calendars, copywriting) and SEO exposure (on\\-page, analytics, basic keyword work).

● The ideal candidate brings hands\\-on web familiarity and is confident navigating the backend of websites and ensuring everything runs smoothly from a performance and SEO standpoint.

● Proven use of CRMs (HubSpot, Pipedrive, Salesforce or similar), scheduling tools, and automation platforms.

● Fluent English is required; Arabic, Mandarin and/or other languages are a strong advantage.

**2\\) What to expect :\\-**

● This is high\\-pace, high\\-touch: you’ll juggle calendar triage for your real estate agent, coordinate with HNW clients, last\\-minute site visits, urgent marketing campaigns, and inbound lead triage, often outside standard 9–5\\.

You are both operator and strategist: execute day\\-to\\-day admin flawlessly, and also proactively propose/implement content and lead\\-gen improvements.

● Discretion is non\\-negotiable. You’ll handle confidential documents, client details, and sensitive negotiations.

● Expect a broad remit, from booking international travel and preparing investor packs to publishing Instagram reels and helping drive lead generation.

**3\\) Role \\& responsibilities (how you’ll support the agent)**

A. Administrative \\& Client Support

● Full calendar management, appointment triage, travel booking and itinerary planning (local \\& international).

● Email management and prioritisation: draft replies, manage follow\\-ups, and ensure SLA (service level agreement) for client responses.

● Prepare property proposals, investor packs, P\\&L summaries, meeting briefs and presentation slides.

● Manage documents (NDAs, contracts) and liaise with legal/transactions teams.

● On\\-site assistance during showings, open houses and events.

B. Sales \\& Lead Management

● First\\-line qualification of inbound leads (phone, web forms, social DMs). Cold\\-call outreach and follow\\-up when required.

● Maintain and cleanse CRM data; create and execute lead routing and nurture sequences.

● Book and confirm viewings, prepare post\\-viewing follow\\-ups and feedback capture.

C. Marketing \\& Content (hands\\-on)

● Coordinate with the social media team to manage messages and comments that trickle through their social media efforts.

● Coordinate with photographers, videographers, and the editorial team to meet timelines on video production.

● SEO and web maintenance: consistently ensure the website is up to date with the latest content and has no glitches.

● Produce bi\\-weekly performance reports (social, leads, website) and action items.

D. Technical \\& Web/Backend Support

● Maintain listings on Bayut, Property Finder, Dubizzle and other global portals; keep inventory accurate.

● Basic WordPress/CMS edits (pages, listings, forms), manage plugins, and coordinate with developers for larger fixes.

● Identify gaps in lead generation process and help implement simple positive changes to overcome gaps.

● Troubleshoot hosting/DNS/email issues at a basic level and provide clear ticketing details to devs when escalation is required.

E. Operations \\& Special Projects

● Assist with event logistics, partnerships and festival activations.

● Support the agent’s wider team (marketing, operations, legal) as needed — act as a bridge and gatekeeper.

● Proactively suggest process improvements and help implement them.

**4\\) Skills — broken down clearly**

Soft skills (must\\-have)

● Exceptional verbal \\& written communication — polished, confident phone presence for cold calls and HNW interactions.

● Emotional intelligence \\& diplomacy — handle delicate client conversations, complaints and negotiations tactfully.

● Proactivity \\& ownership — anticipates needs and acts without waiting for instructions.

● Prioritisation \\& resilience — adapt quickly, multi\\-task and focus under pressure.

● Discretion \\& integrity — strict confidentiality with client and company information.

● Client\\-facing polish — professional presentation, punctuality and attention to detail.

● Positive “closer” mentality — comfortable pushing for appointments, confirmations and next steps.

Technical skills (must\\-have / important)

● CRM proficiency — HubSpot, Pipedrive or Salesforce; comfortable building pipelines and automations.

● Social media and basic video creation or direction.

● SEO basics — keyword research, on\\-page SEO, metadata, Google Search Console, basic analytics.

● Web/CMS skills — backend familiarity

● Graphic \\& video tools (basic) — Canva, CapCut, simple Adobe or Premiere skills are a plus.

● Property portals \\& listings: experience listing and optimising properties on Bayut, Property Finder, Dubizzle or other global portals would be an advantage.

● Proactive system improvement: The ideal candidate naturally identifies inefficiencies in daily workflows and researches, tests, and implements new software or integrations that can improve productivity, data accuracy, and overall team performance.

**5\\) Qualifications \\& other requirements**

● Bachelor’s degree preferred (Business, Marketing, Communications, IT or related) but demonstrable experience can substitute.

● Right to work in UAE (or willingness to relocate; employer may sponsor visa).

● Clean, professional references from previous managers/clients.

● Availability for occasional evenings/weekends and domestic travel.

● Portfolio of social posts, content calendars or case studies demonstrating past work

6\\) Nice\\-to\\-have / differentiators

● RERA familiarity or previous exposure to Dubai property regulations.

● Arabic and/or Mandarin speaker.

● Experience supporting agents targeting international investors (UK, India, Russia, GCC).

7\\) KPIs \\& how success will be measured

● Lead response SLA — initial contact within X hours (defined by agency).

● Leads qualified \\& appointments set per month.

● Calendar \\& admin accuracy — error rate in bookings and client no\\-shows.

● Content cadence \\& engagement — posts published on schedule; engagement uplift.

● Website \\& listing health — lead volume from organic/paid channels; SEO keyword improvements.

● CRM hygiene — % of contacts with complete profiles and correct tags.

● Project delivery — timely completion of campaigns, events and special projects.

8\\) Interview \\& assessment suggestions (practical screening)

Stage 1 — CV \\+ portfolio review

● Look for evidence of the exact mix: EA \\+ social \\+ web.

Stage 2 — Phone screen (30 mins)

● Evaluate phone presence, cold\\-call comfort, language fluency, availability.

● Ask for 2 examples of conflict handled with a client and 2 process improvements they implemented.

Stage 3 — Practical test (take\\-home, 24–48 hrs)

● a) Draft 3 short email templates: initial outreach, viewing follow\\-up, nurture.

● b) Perform a 1\\-page SEO checklist / quick wins audit for the agents website (3–5 actions).

Kindly Share your CV @chathu.r@xrealty.ae / WA \\+971565467362

Only selected candidates will be contacted.

Job Type: Full\\-time

Pay: From AED6,000\\.00 per month","","https://ae.indeed.com/cmp/Xperience-Realty-1","","","","","","","","","","","","","","",""
"in-c0f115a458788f57","indeed","https://ae.indeed.com/viewjob?jk=c0f115a458788f57","https://careers.adisseo.com/about-us/jobs/1591?lang=en-us&previousLocale=en-US","Regional Marketing Operations & Omnichannel Manager IMEA","ADISSEO","Dubai, DU, AE","2025-10-13","","","","","","",False,"","","","","* 1591
* Dubai, United Arab Emirates
* Marketing
* IMEA
* Permanent
* Hybrid
**Job Description**
-------------------

**Overview** *Welcome diversity and apply as you are!*  

*At Adisseo, we cherish the value of diversity whatever it may be.*  

  

**By joining Adisseo**, you will join committed people who make the difference every day to contribute to this challenge.  

**By joining Adisseo**, you will integrate a dynamic international environment.  

**By joining Adisseo**, you will discover a world full of opportunities for every stage of your career by being actor to your professional journey. **Role Purpose**
The Regional Marketing Operations \\& Omnichannel Manager will oversee and coordinate the marketing support team across the MEA and ISC regions. This role ensures operational excellence in marketing processes, drives the effective use of omnichannel and digital marketing platforms, and measures ROI to optimize marketing impact. The position supervises the Marketing Events Specialist (MEA, Dubai) and the Marketing Admin (ISC, India), ensuring seamless integration of digital, physical, and partner\\-driven activities. The role will also ensure compliance with corporate guidelines, alignment with global campaigns, and effective collaboration with sales and global marketing stakeholders  

  

**Responsibilities** **Key Responsibilities****Omnichannel Strategy \\& Execution*** Design and execute omnichannel engagement strategies across digital, physical, and partner channels to create seamless customer journeys.
* Ensure global campaigns are adapted and locally activated by developing a standardized process to support the marketing managers.
* Oversee consistent content and messaging across channels (events, social, email, webinars, distributor platforms, etc.).
* Drive collaboration between marketing, sales, and distributors to deliver a unified customer experience.

**Digital Marketing Leadership*** Lead the deployment of digital tools and channels (email, social media, SEO, paid campaigns, virtual events, analytics platforms).
* Introduce and optimize marketing automation, CRM\\-marketing integration, and dashboards to improve efficiency and personalization.
* Explore innovative channels and tactics to strengthen visibility, engagement, and lead generation.

**ROI \\& Budget Accountability*** Track, analyse, and report the ROI of marketing activities, including digital campaigns, omnichannel activations, events, and sponsorships.
* Own and monitor the regional marketing budget, ensuring accurate allocation, forecasting, and reporting.
* Provide insights and recommendations to improve the cost\\-effectiveness of marketing investments.

**Marketing Operations Excellence*** Develop standardized processes, templates, and KPIs to ensure efficiency and alignment with global and regional objectives.
* Maintain accurate documentation of marketing activities, budgets, and ROI evaluations.
* Establish reporting routines for internal stakeholders to ensure transparency, governance, and accountability.
* Ensure compliance with corporate policies, brand standards, and legal/regulatory requirements.

**Team Management \\& Coordination*** Directly manage and coach the Marketing Events Specialist (MEA) and the Marketing Admin (ISC).
* Ensure effective coordination of event management, administrative support, and record\\-keeping across regions.
* Foster a culture of continuous improvement, collaboration, and knowledge sharing within the team.


  

**Qualifications**  

* Bachelor’s or master’s degree in marketing, Business Administration, or related field.
* 5\\+ years of experience in marketing, with at least 3 years in digital and omnichannel leadership.
* Track record in managing budgets, ROI analysis, and performance reporting.
* Excellent knowledge of digital marketing, CRM, marketing automation, and analytics platforms.
* Proven people management experience, preferably across multi\\-country or regional teams.
* Strong organizational and communication skills, with ability to coordinate across geographies and functions.
* Travel time will be limited to around 20%, mainly to the exhibitions, big events i.e. Adisseo Academy and Marketing Team meetings.
* Language: English is a must. Arabic is an important asset.","","https://ae.indeed.com/cmp/Adisseo","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a1a536b1ec37bb248701822b2d0f9895","https://www.adisseo.com","ANTONY, FR","1,001 to 5,000","$1B to $5B (USD)","","","","","","","","","",""
"in-81c1f973e59d738c","indeed","https://ae.indeed.com/viewjob?jk=81c1f973e59d738c","http://ae.indeed.com/job/client-relationship-manager-81c1f973e59d738c","Client Relationship Manager","K N S Real Estate","Dubai, DU, AE","2025-10-13","fulltime","","","","","",False,"","","","","LOOKING for : Senior Real Estate Brokers / Off Plan Specialists

Sterling Keys Real Estate is the fastest growing Real Estate Company in Dubai. We are expanding our Successful Dubai team to a diversed multi cultural performance oriented team

We are recruiting Experienced Sales Professionals in both Sales \\& Renting with the chance to earn big money and enjoy an exciting lifestyle that Dubai offers.

There are currently 750 projects under development in Dubai by various developers, Sterling Keys Real Estate has partnered with all the big developers in the market including  
EMAAR, DP, DAMAC, SOBHA, Nakheel, NSHAMA etc.,

Sterling Keys Real Estate currently specializes heavily on Off Plan Properties, Residential Sales and Residential Lettings

The Role: Senior Real Estate Brokers / Off Plan Specialists \\- Attend Developer meetings, launches, to create new business by generating new listings. Book and conduct viewing, valuations. Negotiate on offers and have the ability to build strong relationships with both buyers and developers.

We are looking for brokers from estate agency experience who are self\\-motivated and extremely hard working.

Sterling Keys Real Estate has dedicated admin staff, highly experienced 24/7 IT Back office team to support on inbox guaranteed, unlimited email marketing, sms marketing and high level Search engine Optimization on every property ad that goes online including all of the off plan properties.

Sterling Keys Real Estate Requirements:

Must be Pro active, Task oriented, Self driven and Hard working.

Job Type: Full\\-time

Language:

* Arabic (Preferred)","","https://ae.indeed.com/cmp/K-N-S-Real-Estate","","","","","","","","","","","","","","",""
