"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009889205062","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009889205062","","Java Developer","MRKkinnoapps","Bengaluru","2025-09-28","","","","","","",False,"","","organic","","**SENIOR SYSTEM DEVELOPER(Java8, Spring Boot)**

 **Java Developer responsibilities include:**  

1\\. You will be responsible for requirement analysis and coding (Java Spring Boot) and designing  

and managing the DBs.  

2\\. You will also be responsible for determining the architecture of the system, and ensuring the  

coding team follows the architectural guidelines.  

3\\. You will help the team build an efficient, and scalable system.  

4\\. You will lead and help the team in software development and unit testing.  

5\\. You will be responsible for setting, managing and meeting performance goals of your team.  

6\\. You will learn any new skills or technologies that will be needed or helpful for the team to  

achieve their goals.  

7\\. You will take ownership of your tasks and the team in general.

 **Job requirements:**  

Should have minimum 3 years experience of development and design experience in all areas  

mentioned below. Ideally the experience should be in E\\-commerce field.  

  

1\\. Expert knowledge in design and implementation of server side code modelled on a  

microservice architecture \\& written using Java 8, Spring Boot, REST API, Hibernate.  

2\\. Expert level in using Eclipse, Maven.  

3\\. Expert Level in understanding of Microservices ,SQL (MySQL) and NOSQL (Mongo) DB.  

4\\. Should be expert at extracting the best performance out of the available resources.  

5\\. Experience with building the infrastructure for serving the front\\-end app and assets.  

6\\. Architecting and automating the build process for production, using task runners or scripts  

7\\. Should have robust Unit Testing and Debugging Skills. Should have used testing frameworks  

such as JUnit and Selenium.  

8\\. Knowledge of Spring Cloud, Eureka, AWS  

9\\. Knowledge of dockerising applications.  

10\\. Creating configuration, build, and test scripts for Continuous Integration environments  

11\\. Any contributions or projects on GitHub is a plus.



12\\. Knowledge of Release and code management  

13\\. Proven track record.  

14\\. Good communication skills in English.



Designation : SENIOR SYSTEM DEVELOPER  

Experience Required : 3 to 10 Years  

Job Location : Bangalore","","","","","","","","","","","","","",""
"gd-1009889115712","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009889115712","","Spring Boot Developer","Clover Infotech","Hyderābād","2025-09-28","","","","","","",False,"","","organic","","**Experience**


3\\-5 Years


**Location**


Hyderabad


**Job Summary:**


We are looking for a Spring Boot Developer with 3–5 years of experience to design and build scalable microservices and RESTful APIs. The role involves implementing secure, high\\-performance services, integrating with MuleSoft APIs, third\\-party systems, and databases, along with ensuring reliable asynchronous processing.

**Key Responsibilities:**


Build microservices using Java with Spring Boot.
Implement RESTful APIs, business logic, and data persistence.
Secure services using JWT and OAuth2\\.
Integrate with MuleSoft APIs, third\\-party services, and databases.
Implement asynchronous processing with Kafka or RabbitMQ.
Conduct unit, integration, and performance testing.
**Qualifications and Skills**


Bachelor’s degree in Computer Science, Engineering, or related field.
3–5 years of hands\\-on experience in Java development with Spring Boot.
Strong expertise in building RESTful APIs and microservices.
Experience with JWT, OAuth2, and application security best practices.
Knowledge of integrating APIs, external services, and relational databases.
Experience with Kafka or RabbitMQ for asynchronous processing.
Strong understanding of unit, integration, and performance testing.","","https://www.glassdoor.co.in/Overview/W-EI_IE323509.htm","https://media.glassdoor.com/sql/323509/clover-infotech-squarelogo-1545130789180.png","","","","","","","","","","",""
"gd-1009889323799","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009889323799","","Senior Software Developer Java","Equifax","Pune","2025-09-28","","direct_data","yearly",500000.0,850000.0,"INR",False,"","","organic","","Equifax is seeking creative, high\\-energy and driven **software engineers** with hands\\-on development skills to work on a variety of meaningful projects. Our software engineering positions provide you the opportunity to join a team of talented engineers working with leading\\-edge technology. You are ideal for this position if you are a forward\\-thinking, committed, and enthusiastic software engineer who is passionate about technology.
  

  

**What you’ll do**

* Design, develop, and operate high scale applications across the full engineering stack
* Design, develop, test, deploy, maintain, and improve software.
* Apply modern software development practices (serverless computing, microservices architecture, CI/CD, infrastructure\\-as\\-code, etc.)
* Work across teams to integrate our systems with existing internal systems, Data Fabric, CSA Toolset.
* Participate in technology roadmap and architecture discussions to turn business requirements and vision into reality.
* Participate in a tight\\-knit, globally distributed engineering team.
* Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on network, or service operations and quality.
* Manage sole project priorities, deadlines, and deliverables.
* Research, create, and develop software applications to extend and improve on Equifax Solutions
* Collaborate on scalability issues involving access to data and information.
* Actively participate in Sprint planning, Sprint Retrospectives, and other team activity

**What experience you need**

* Bachelor's degree or equivalent experience
* 5\\+ years of software engineering experience
* 5\\+ years experience writing, debugging, and troubleshooting code in mainstream Java, SpringBoot, TypeScript/JavaScript, HTML, CSS
* 5\\+ years experience with Cloud technology: GCP, AWS, or Azure
* 5\\+ years experience designing and developing cloud\\-native solutions
* 5\\+ years experience designing and developing microservices using Java, SpringBoot, GCP SDKs, GKE/Kubernetes
* 5\\+ years experience deploying and releasing software using Jenkins CI/CD pipelines, understand infrastructure\\-as\\-code concepts, Helm Charts, and Terraform constructs

**What could set you apart**

* Self\\-starter that identifies/responds to priority shifts with minimal supervision.
* Experience designing and developing big data processing solutions using Dataflow/Apache Beam, Bigtable, BigQuery, PubSub, GCS, Composer/Airflow, and others
* UI development (e.g. HTML, JavaScript, Angular and Bootstrap)
* Experience with backend technologies such as JAVA/J2EE, SpringBoot, SOA and Microservices
* Source code control management systems (e.g. SVN/Git, Github) and build tools like Maven \\& Gradle.
* Agile environments (e.g. Scrum, XP)
* Relational databases (e.g. SQL Server, MySQL)
* Atlassian tooling (e.g. JIRA, Confluence, and Github)
* Developing with modern JDK (v1\\.7\\+)
* Automated Testing: JUnit, Selenium, LoadRunner, SoapUI","","https://www.glassdoor.co.in/Overview/W-EI_IE232.htm","https://media.glassdoor.com/sql/232/equifax-squarelogo-1488821254821.png","","","","","","","","","","",""
"gd-1009889323797","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009889323797","","Engineering Lead Java","Equifax","Pune","2025-09-28","","direct_data","yearly",300000.0,310000.0,"INR",False,"","","organic","","Equifax is seeking creative, high\\-energy and driven **software engineers** with hands\\-on development skills to work on a variety of meaningful projects. Our software engineering positions provide you the opportunity to join a team of talented engineers working with leading\\-edge technology. You are ideal for this position if you are a forward\\-thinking, committed, and enthusiastic software engineer who is passionate about technology.
  

  

**What you’ll do**

* Demonstrate a deep understanding of cloud native, distributed micro service based architectures
* Deliver solutions for complex business problems through software standard SDLC
* Build strong relationships with both internal and external stakeholders including product, business and sales partners
* Demonstrate excellent communication skills with the ability to both simplify complex problems and also dive deeper if needed
* Build and manage strong technical teams that deliver complex software solutions that scale
* Manage teams with cross functional skills that include software, quality, reliability engineers, project managers and scrum masters
* Provide deep troubleshooting skills with the ability to lead and solve production and customer issues under pressure
* Leverage strong experience in full stack software development and public cloud like GCP and AWS
* Mentor, coach and develop junior and senior software, quality and reliability engineers
* Lead with a data/metrics driven mindset with a maniacal focus towards optimizing and creating efficient solutions
* Ensure compliance with EFX secure software development guidelines and best practices and responsible for meeting and maintaining QE, DevSec, and FinOps KPIs
* Define, maintain and report SLA, SLO, SLIs meeting EFX engineering standards in partnership with the product, engineering and architecture teams
* Collaborate with architects, SRE leads and other technical leadership on strategic technical direction, guidelines, and best practices
* Drive up\\-to\\-date technical documentation including support, end user documentation and run books
* Lead Sprint planning, Sprint Retrospectives, and other team activity
* Responsible for implementation architecture decision making associated with Product features/stories, refactoring work, and EOSL decisions
* Create and deliver technical presentations to internal and external technical and non\\-technical stakeholders communicating with clarity and precision, and present complex information in a concise format that is audience appropriate

**What experience you need**

* Bachelor's degree or equivalent experience
* 7\\+ years of software engineering experience
* 7\\+ years experience writing, debugging, and troubleshooting code in mainstream Java, SpringBoot, TypeScript/JavaScript, HTML, CSS
* 7\\+ years experience with Cloud technology: GCP, AWS, or Azure
* 7\\+ years experience designing and developing cloud\\-native solutions
* 7\\+ years experience designing and developing microservices using Java, SpringBoot, GCP SDKs, GKE/Kubernetes
* 7\\+ years experience deploying and releasing software using Jenkins CI/CD pipelines, understand infrastructure\\-as\\-code concepts, Helm Charts, and Terraform constructs

**What could set you apart**

* Self\\-starter that identifies/responds to priority shifts with minimal supervision.
* Strong communication and presentation skills
* Strong leadership qualities
* Demonstrated problem solving skills and the ability to resolve conflicts
* Experience creating and maintaining product and software roadmaps
* Experience overseeing yearly as well as product/project budgets
* Working in a highly regulated environment
* Experience designing and developing big data processing solutions using Dataflow/Apache Beam, Bigtable, BigQuery, PubSub, GCS, Composer/Airflow, and others
* UI development (e.g. HTML, JavaScript, Angular and Bootstrap)
* Experience with backend technologies such as JAVA/J2EE, SpringBoot, SOA and Microservices
* Source code control management systems (e.g. SVN/Git, Github) and build tools like Maven \\& Gradle.
* Agile environments (e.g. Scrum, XP)
* Relational databases (e.g. SQL Server, MySQL)
* Atlassian tooling (e.g. JIRA, Confluence, and Github)
* Developing with modern JDK (v1\\.7\\+)
* Automated Testing: JUnit, Selenium, LoadRunner, SoapUI","","https://www.glassdoor.co.in/Overview/W-EI_IE232.htm","https://media.glassdoor.com/sql/232/equifax-squarelogo-1488821254821.png","","","","","","","","","","",""
"gd-1009888562091","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888562091","","Software Engineer II, ITC","NIKE","","2025-09-27","","","","","","",True,"","","sponsored","","**WHO YOU’LL WORK WITH**
------------------------


At Nike, we leverage the power of data and technology to serve athletes\\* around the world. The Data \\& AI (DAI) team is at the forefront of this mission—building scalable, secure, and intelligent platforms that power decision\\-making and personalized experiences across the Nike ecosystem.

**WHO WE ARE LOOKING FOR**
--------------------------


We are looking for a skilled software engineer with a passion for building and maintaining data platforms. You thrive in a collaborative environment and have a proven track record of delivering reliable software.

**Skillset Required**

* 3\\+ years of experience in software development, with a strong foundation in **distributed systems and data platforms**.
* Deep expertise with cloud platforms like AWS, Azure, or GCP.
* Hands\\-on experience with **Databricks, Snowflake, AWS RDS, Azure SQL, or GCP Cloud SQL, Apache Spark and Apache Airflow**.
* Proficiency in programming languages such as **Python, Java, C\\# or SQL**.
* Strong understanding of **Lakehouse architecture, Data Mesh principles, data governance frameworks, and modern data pipelines**.
* Proven ability to deliver high\\-impact, API\\-first services at scale.
* Proficiency with tools like Terraform or AWS CloudFormation is critical for managing cloud infrastructure programmatically, ensuring consistency, and enabling automation.
* Strong problem\\-solving and analytical thinking skills.
* Excellent communication and collaboration skills.

**WHAT YOU’LL WORK ON**
-----------------------

* **Design, develop, and maintain scalable** data platforms and services.
* Develop **SDKs, APIs, and microservices** to support enterprise\\-wide data and analytics needs.
* Write clean, maintainable, and well\\-tested code.
* Implement best practices in s**oftware development, data governance, and platform observability.**
* Collaborate with senior engineers and other team members to design and implement data solutions.
* Ensure data quality and reliability through testing and validation.
* Participate in code reviews and contribute to team knowledge sharing.
* Assist in troubleshooting and resolving production issues.","","https://www.glassdoor.co.in/Overview/W-EI_IE1699.htm","https://media.glassdoor.com/sql/1699/nike-squareLogo-1711119811190.png","","","","","","","","","","",""
"gd-1009888641925","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888641925","","Full-Stack Java Developer - Retirement","Vitech","Hyderābād","2025-09-27","","direct_data","yearly",512500.0,890000.0,"INR",False,"","","organic","","### **Description**

  

**At Vitech, we believe in the power of technology to simplify complex business processes. Our mission is to bring better software solutions to market, addressing the intricacies of the insurance and retirement industries. We combine deep domain expertise with the latest technological advancements to deliver innovative, user\\-centric solutions that future\\-proof and empower our clients to thrive in an ever\\-changing landscape. With over 1,600 talented professionals on our team, our innovative solutions are recognized by industry leaders like Gartner, Celent, Aite\\-Novarica, and ISG.**  

**We offer a competitive compensation package along with comprehensive benefits that support your health, well\\-being, and financial security.**  

  

**Full\\-Stack Java Developer**
**Location: Hyderabad (Hybrid)**  

**Drive Impact with Vitech’s Cutting\\-Edge Solutions**  

Are you a **skilled Full\\-Stack Java Developer** with **4\\-5 years of experience**, eager to take your career to the next level? At **Vitech**, you’ll work on solutions that power some of the world’s most prestigious financial institutions. This role provides hands\\-on experience in **backend development** with opportunities to contribute to **front\\-end work in ReactJS**. You’ll play a crucial role in ensuring our clients get the most out of our software by delivering **production support, fixes, and continuous improvements.**  

### **What you will do:**

  

* **Lead and Develop:** Engage in the full software development lifecycle, from **design and coding to testing and deployment**.
* **Master Core Java:** Apply **advanced Core Java concepts**, including **inheritance, interfaces, abstract classes, Collections, Stream API, and Lambda expressions** to solve complex business challenges.
* **Ensure Production Success:** Support and enhance **mission\\-critical systems** to help clients maximize their investment in our software through **bug fixes, optimizations, and enhancements**.
* **Work Across the Stack:** Focus on **backend Java development** with opportunities to contribute to the **ReactJS frontend**.
* **Leverage AI \\& DevOps Tools:** Utilize **GitHub Subversion**, explore **AI\\-driven development tools (Co\\-Pilot experience is a plus)**, and work with **REST APIs** to create scalable, high\\-performance applications.
* **Enhance Technical Knowledge:** Gain exposure to **AWS and modern cloud technologies**, with opportunities for AWS certification.

### **What We're Looking For:**

* Advanced Core Java Skills:
* Deep expertise in inheritance, interfaces, loops/statements
* Strong understanding of interfaces, abstract classes, and concrete classes
* Ability to apply these concepts to solve complex, business\\-driven problems.
* Proficient SQL Knowledge:
* Strong understanding of SQL with the ability to write and optimize complex queries.
* Experience with Hibernate and Spring:
* Solid experience with these frameworks to support backend development.
* Frontend Development with ReactJS:
* Proven experience working with ReactJS to create dynamic, responsive user interfaces.

### **Join Us at Vitech!**

  

**Career Development:** At Vitech, we’re committed to your growth. You’ll have ample opportunities to deepen your expertise in both Java and ReactJS, advancing your career in a supportive environment.  

**Innovative Environment:** Work with cutting\\-edge technologies in an Agile setting where your ideas and creativity are welcomed and encouraged.  

**Impactful Work:** Your contributions will be crucial in shaping our products and delivering exceptional solutions to our global clients. At Vitech, you’re not just maintaining software but creating it.  

  

At Vitech, you’ll be part of a forward\\-thinking team that values collaboration, innovation, and continuous improvement. We provide a supportive and inclusive environment where you can grow as a leader while helping shape the future of our organization.### **About Vitech**


**At Vitech, Your Expertise Drives Transformative Change in Fintech**  

  

For over 30 years, Vitech has empowered leading players in insurance, pensions, and retirement with cutting\\-edge, cloud\\-native solutions and implementation services. Our mission is clear: harness technology to simplify complex business processes and deliver intuitive, user\\-centric software that propels our clients' success.
  

At Vitech, you won’t just fill a position; you’ll join a purpose\\-driven team on a mission that truly matters. Innovation is at our core, and we empower you to push boundaries, unleash creativity, and contribute to projects that make a real difference in the financial sector. Though our name may be new to you, our impact is recognized by industry leaders like Gartner, Celent, Aite\\-Novarica, ISG, and Everest Group.  

**Why Choose Us?**  

With Vitech, you won’t just fill a position; you’ll be part of a purpose\\-driven mission that truly matters. We **pursue innovation** relentlessly, empowering you to unleash your creativity and push boundaries. Here, you’ll work on cutting\\-edge projects that allow you to make a real difference—driving change and improving lives.  

We value **strong partnerships** that foster mutual growth. You will collaborate with talented colleagues and industry leaders, building trust and forming relationships that drive success. Your insights and expertise will be essential as you become an integral part of our collaborative community, amplifying not just your career but the impact we have on our clients.  

We are committed to a **focus on solutions** that makes a tangible difference. In your role, you will embrace the challenge of understanding the unique pain points faced by our clients. Your analytical skills and proactive mindset will enable you to develop innovative solutions that not only meet immediate needs but also create lasting value. Here, your contributions will directly influence our success and propel your professional growth.  

At Vitech, we foster an **actively collaborative culture** where open communication and teamwork are paramount. With our “yes and” philosophy, your ideas will be welcomed and nurtured, allowing you to contribute your unique insights and perspectives. This environment will enhance your ability to work effectively within diverse teams, empowering you to lead initiatives that result in exceptional outcomes.  

We believe in **remaining curious** and promoting continuous learning. You will have access to extensive resources and professional development opportunities that will expand your knowledge and keep you at the forefront of the industry. Your curiosity will fuel innovation, and we are committed to supporting your growth every step of the way.  

In addition to a rewarding work environment, we offer a competitive compensation package with comprehensive benefits designed to support your health, well\\-being, and financial security.  

At Vitech, you’ll find a workplace that challenges and empowers you to make meaningful contributions, develop your skills, and grow with a team that’s dedicated to excellence. If you’re ready to make a real impact in fintech and join a forward\\-thinking organization, explore the incredible opportunities that await at Vitech. Apply today and be part of our journey to drive transformative change!","","https://www.glassdoor.co.in/Overview/W-EI_IE486938.htm","https://media.glassdoor.com/sql/486938/vitech-squarelogo-1629466283295.png","","","","","","","","","","",""
"gd-1009888992731","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888992731","","Associate Software Engineer","Crest climber software solution pvt ltd","India","2025-09-27","","direct_data","yearly",275005.0,1237487.0,"INR",False,"","","organic","","* An Associate Software Engineer is an entry\\-level role focused on assisting in the design, development, testing, and maintenance of software applications and systems. Responsibilities include writing and debugging code, collaborating with senior engineers on project features, participating in code reviews, and learning new technologies and development tools. This role is foundational for individuals beginning their careers in software development, bridging the gap between academic knowledge and practical application within a professional team environment.
* Key Responsibilities
* Code Development: Writing and implementing code, often under the guidance of experienced team members, for specific features or sections of software.
* Debugging \\& Testing: Identifying and resolving bugs in software applications and conducting testing to ensure functionality and alignment with project requirements.
* Collaboration: Working closely with senior software engineers, designers, and other project stakeholders to understand project needs and contribute to the team's overall goals.
* Learning \\& Adaptation: Continuously learning and applying new programming languages, tools, frameworks, and technologies relevant to ongoing projects.
* Code Reviews: Participating in code reviews by reviewing others' code, providing feedback, and incorporating suggestions to maintain code quality and adhere to best practices.
* Documentation: Assisting in the creation of project documentation and ensuring code is well\\-documented according to established standards.
* Technical Support: Helping to troubleshoot and resolve technical issues affecting software projects. Typical Skills
* Programming Languages: Proficiency in languages like Python, Java, or others relevant to the role.
* SQL Knowledge: Basic knowledge of database querying is often beneficial.
* Problem\\-Solving: Strong analytical and problem\\-solving skills to address challenges and bottlenecks in the software development process.
* Teamwork: Ability to work effectively in a team environment and communicate ideas clearly.
* Software Development Life Cycle (SDLC): Understanding of the different phases of the SDLC, including requirements analysis, design, development, testing, and maintenance.
* Tamil candidates only

Job Type: Full\\-time

Pay: ₹275,005\\.03 \\- ₹1,237,486\\.71 per year

Benefits:

* Food provided

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009888770401","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888770401","","Backend Engineer (Java/Spring Boot)","Nexifyr Consulting Pvt Ltd","Bengaluru","2025-09-27","","","","","","",False,"","","organic","","**Job Title:** Backend Engineer (Java/Spring Boot)**Location:** Bangalore  

  

**Experience Required:** 5\\+ years  

  

**Employment Type:** Full\\-time

### **About the Role**


We are looking for talented **Backend Engineers** with strong expertise in **Java and Spring Boot** to design and build scalable backend services. The role involves working with RESTful APIs, relational databases, and modern backend frameworks while also exploring advanced technologies like **PostGIS, ElasticSearch, and GraphQL** .


### **Key Responsibilities**

* Design, develop, and maintain backend services using **Java and Spring Boot** .
* Build and optimize **RESTful APIs** following best practices and standards.
* Work with **relational databases (PostgreSQL)** including schema design, query optimization, and migrations (Liquibase preferred).
* Implement robust, scalable, and secure server\\-side logic.
* Collaborate with cross\\-functional teams (frontend, mobile, product) to integrate backend systems.
* Ensure application performance, reliability, and maintainability.
* Stay current with emerging backend technologies and apply them where beneficial.

### **Required Skills**

* Strong expertise in **Java** and **Spring/Spring Boot** .
* Solid knowledge of **RESTful API design principles** and related **data structures** .
* Proficiency in **SQL** and relational databases ( **PostgreSQL** ).
* Experience with **Liquibase** or other database migration tools.

### **Preferred Skills**

* Hands\\-on experience in **location\\-based systems/applications** , especially with **PostGIS** .
* Familiarity with **NoSQL databases** (ElasticSearch, Scylla preferred).
* Experience with **GraphQL** APIs.
* Understanding of **microservices architecture** .
* Knowledge of **containerization** (Docker, Kubernetes).","","https://www.glassdoor.co.in/Overview/W-EI_IE9930736.htm","","","","","","","","","","","",""
"gd-1009888867716","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888867716","","Software Engineer","Credentek Software Pvt Ltd","India","2025-09-27","","direct_data","monthly",10000.0,30000.0,"INR",False,"","","organic","","An Engineer with skills of Python, Java and DevOps. They are responsible for writing reusable, testable and efficient code — ensuring the application's performance, security and scalability.

Job Type: Full\\-time

Pay: ₹10,000\\.00 \\- ₹30,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009888620747","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888620747","","Java Developer","Capgemini Engineering","Bengaluru","2025-09-27","","direct_data","yearly",352500.0,600000.0,"INR",False,"","","organic","","At Capgemini Engineering, the world leader in engineering services, we bring together a global team of engineers, scientists, and architects to help the world’s most innovative companies unleash their potential. From autonomous cars to life\\-saving robots, our digital and software technology experts think outside the box as they provide unique R\\&D and engineering services across all industries. Join us for a career full of opportunities. Where you can make a difference. Where no two days are the same.


**Location:** Bangalore / Remote
  

**Experience:** 6–12 years


Choosing Capgemini means choosing a place where you’ll be empowered to shape your career, supported by a collaborative global community, and inspired to reimagine what’s possible. Join us in building scalable, cloud\\-native platforms that power the digital future across industries.


### **Your Role**

As a Java Backend Developer, you will play a key role in designing and developing microservices\\-based backend systems deployed in Kubernetes environments. You’ll work closely with cross\\-functional teams to deliver high\\-performance, cloud\\-agnostic SaaS solutions that scale to millions of users.


### **In this role, you will:**

* Develop and maintain microservices using **Java** and **Spring Boot**
* Deploy containerized applications in **Kubernetes** across **multi\\-cloud** environments
* Build APIs and services that integrate with **message queues** like **RabbitMQ** , **Kafka** , or **NATS**
* Implement caching strategies using **Redis** or **Memcached** to enhance system performance
* Design scalable systems for **private** , **public** , and **hybrid cloud** platforms (AWS, GCP, Azure, OpenStack)
* Collaborate with architects and DevOps teams to ensure CI/CD, observability, and performance optimization
* Contribute to solutioning and technical discussions to align with business goals
* Stay current with backend and cloud\\-native technology trends

### **Your Profile**

* 6–12 years of experience in backend development using **Java**
* Strong expertise in **Spring Boot** , **RESTful APIs** , and **microservices architecture**
* Hands\\-on experience with **Kubernetes** and **containerized deployments**
* Familiarity with **cloud platforms** (AWS, GCP, Azure, OpenStack)
* Experience with **message brokers** and **caching systems**
* Exposure to **authentication protocols** like **OAuth** , **OpenID** , or **SAML** is a plus
* Bachelor’s degree in Computer Science, Engineering, or a related field
* Strong communication skills and a collaborative mindset

### **What You’ll Love About Working Here**

* Flexible work options and a hybrid/remote\\-friendly culture
* A diverse and inclusive team that values innovation and collaboration
* Access to continuous learning, certifications, and mentorship
* Opportunity to work on high\\-impact, cloud\\-native products at scale

### **About Us**

\\[Your Company Name] is a global technology partner helping organizations accelerate their digital transformation. With a strong foundation in engineering and innovation, we deliver scalable, secure, and sustainable solutions across industries. Our teams are driven by a shared purpose: to unleash human potential through technology for a better, more inclusive future.  



Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55\\-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end\\-to\\-end services and solutions leveraging strengths from strategy and design to engineering, all fuelled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22\\.5 billion.","","https://www.glassdoor.co.in/Overview/W-EI_IE28187.htm","https://media.glassdoor.com/sql/28187/capgemini-engineering-squareLogo-1683293407841.png","","","","","","","","","","",""
