"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009888862910","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888862910","","Flutter Developer Intern","Particle14 Infotech","","2025-09-27","","","","","","",True,"","","organic","","**About the Role**

We are seeking a skilled **Flutter Developer** to join our team and contribute to building innovative, high\\-quality, and performant mobile applications for both Android and iOS. You will be responsible for designing, developing, testing, and deploying cross\\-platform mobile apps using Flutter and Dart, collaborating closely with designers, backend engineers, and product managers.

**Key Responsibilities**

* Develop and maintain cross\\-platform mobile applications using **Flutter and Dart**.
* Collaborate with the design team to implement **responsive, pixel\\-perfect UI/UX**.
* Integrate RESTful APIs, third\\-party libraries, Firebase/Supabase, and cloud services.
* Write clean, maintainable, and well\\-documented code following best practices.
* Optimize app performance for speed, scalability, and security.
* Debug and resolve issues across Android and iOS platforms.
* Participate in **code reviews, sprint planning, and Agile development practices**.
* Continuously research and implement new Flutter features and mobile app trends.

**Requirements**

* Proven experience as a **Flutter Developer** with published apps on Play Store/App Store.
* Strong knowledge of **Dart programming language**.
* Experience with **State Management (Provider, Riverpod, BLoC, GetX, etc.)**.
* Proficiency in **REST APIs, JSON, and third\\-party integrations**.
* Familiarity with **Firebase/Supabase, push notifications, authentication, and real\\-time databases**.
* Understanding of mobile app lifecycle, architecture patterns (MVC/MVVM/Clean Architecture), and performance optimization.
* Knowledge of Git/GitHub or other version control systems.
* Good problem\\-solving skills, teamwork, and attention to detail.

**Preferred Skills**

* Experience with **CI/CD pipelines** for mobile apps.
* Familiarity with **native Android (Java/Kotlin) or iOS (Swift/Objective\\-C)** development.
* Knowledge of cloud platforms (**AWS, GCP, Azure**) is a plus.
* Understanding of Agile/Scrum methodologies.

**Education \\& Experience**

* Bachelor’s degree in **Computer Science, Engineering, or related field** (or equivalent experience).
* \\[Insert experience requirement: e.g., **1–3 years** of experience in Flutter development].

**What We Offer**

* Competitive salary and benefits.
* Opportunity to work on **cutting\\-edge projects** with the latest technologies.
* Friendly, collaborative, and innovative work culture.
* Career growth and skill development opportunities.

Job Types: Full\\-time, Fresher, Internship

Benefits:

* Paid sick time
* Work from home

Application Deadline: 30/09/2025  
Expected Start Date: 28/09/2025","","https://www.glassdoor.co.in/Overview/W-EI_IE10520401.htm","","","","","","","","","","","",""
"gd-1009889055078","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009889055078","","Integration Engineer - Intern","Jangras Corporation","","2025-09-27","","direct_data","monthly",6500.0,6500.0,"INR",True,"","","organic","","**Role Overview:** We are seeking a motivated and tech\\-savvy Integration Engineer \\- Intern to join our team. In this role, you will assist merchants' developers in integrating various APIs, including payment gateway, payout, server\\-to\\-server, and Rust APIs. You will be the front\\-facing representative, ensuring smooth integration and providing top\\-notch support.

**Key Responsibilities:**

* Assist merchants' developers with the integration of KwikPaisa’s collection, payout, and Rust APIs.
* Provide technical support and guidance during the integration process.
* Troubleshoot and resolve API\\-related issues.
* Attend Google Meet sessions and other virtual meetings with clients to provide integration support.
* Collaborate with internal teams to ensure the successful deployment of APIs.
* Document integration processes and best practices.
* Serve as the primary point of contact for API integration queries.

**Requirements:**

* Currently pursuing a degree in Computer Science, Information Technology, or a related field.
* Basic understanding of API integration and payment gateway processes.
* Strong problem\\-solving skills and a keen attention to detail.
* Excellent communication skills, with the ability to explain technical concepts to non\\-technical users.
* Ability to work independently and as part of a team.
* Eagerness to learn and grow in a fast\\-paced environment.

**Preferred Qualifications:**

* Familiarity with programming languages such as PHP, Java, Node.js, and Rust.
* Prior experience with API integration (academic projects or internships).
* Knowledge of payment processing and financial technologies.

**What We Offer:**

* Hands\\-on experience in a growing fintech company.
* Opportunity to work with a dynamic and supportive team.
* Exposure to real\\-world API integration challenges and solutions.
* Potential for growth within the company.

Job Types: Full\\-time, Part\\-time, Permanent, Fresher, Contractual / Temporary, Freelance, Internship, Volunteer  
Contract length: 6 months

Pay: Up to ₹6,500\\.00 per month

Benefits:

* Cell phone reimbursement
* Flexible schedule
* Food provided
* Health insurance
* Internet reimbursement
* Life insurance
* Paid sick time
* Paid time off
* Provident Fund
* Work from home

Experience:

* total work: 1 year (Preferred)

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE8164302.htm","","","","","","","","","","","",""
"gd-1009888309811","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888309811","","Backend Developer Intern","Fundtec Service LLP","Raipur","2025-09-26","","direct_data","monthly",5000.0,5000.0,"INR",False,"","","organic","","**Key Responsibilities**

* Assist in the development and maintenance of backend services, APIs, and databases.
* Write clean, efficient, and testable code.
* Work closely with senior developers to implement new features and fix issues.
* Collaborate with front\\-end teams to integrate user\\-facing elements with server\\-side logic.
* Research and suggest improvements for performance, scalability, and security.
* Debug and troubleshoot issues in backend systems.

**Requirements**

* Pursuing or recently completed a degree in Computer Science, IT, or a related field.
* Basic understanding of at least one backend programming language (Node.js / Python / Java / PHP, etc.).
* Knowledge of databases (MySQL, PostgreSQL, MongoDB, or similar).
* Familiarity with REST APIs and web services.
* Good problem\\-solving skills and logical thinking.
* Ability to work independently and in a team environment.

**Shift Timing:** 11:00 AM – 8:00 PM, Monday to Friday

Job Type: Internship  
Contract length: 6 months

Pay: ₹5,000\\.00 per month

Benefits:

* Paid sick time
* Paid time off

Location:

* Raipur, Chhattisgarh (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009888109642","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888109642","","Software Developer Intern","Active Theory","India","2025-09-26","","","","","","",False,"","","organic","","**About the Role**

We are seeking a passionate and detail\\-oriented **Developer Intern** to join our technical team. This internship provides a great opportunity to gain hands\\-on experience in software development, coding best practices, and real\\-world project execution. You will work under the guidance of experienced developers and contribute to building, testing, and enhancing applications.

**Key Responsibilities**

* Assist in designing, coding, testing, and debugging software applications.
* Collaborate with senior developers on project tasks and deliverables.
* Participate in code reviews and follow best practices in software development.
* Write clean, efficient, and maintainable code.
* Research and suggest solutions for technical challenges.
* Support the documentation of processes, features, and workflows.
* Work on assigned modules/features and ensure timely delivery.

**Qualifications**

* Currently pursuing a degree in Computer Science, Information Technology, Engineering, or a related field.
* Basic understanding of programming languages such as **Java, Python, C\\+\\+, JavaScript, or others**.
* Familiarity with web development frameworks or tools is a plus (e.g., React, Node.js, Angular, Django).
* Strong problem\\-solving skills and logical thinking.
* Knowledge of databases (SQL/NoSQL) is desirable.
* Good communication skills and ability to work in a collaborative environment.

**What We Offer**

* Hands\\-on experience with real\\-world development projects.
* Mentorship from experienced engineers and exposure to industry practices.
* Opportunity to learn agile methodologies and software development lifecycle (SDLC).
* Skill\\-building workshops and learning sessions.
* Flexible work arrangements (onsite/remote/hybrid depending on company policy).

**Duration**

* Internship Period: 6–12 months (extension possible based on performance).

Job Type: Internship  
Contract length: 6\\-12 months

Benefits:

* Flexible schedule

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009887467404","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887467404","","Backend Developer Intern","KajKarma Innovations Private Limited","","2025-09-26","","direct_data","monthly",5000.0,5000.0,"INR",True,"","","organic","","**About Us:**  
Kajkarma Innovations Pvt. Ltd. is a growing digital solutions company. We are looking for passionate **Backend Developer Interns** who want to gain practical experience and build strong technical skills while working on live projects.

**Job Description:**  
As a Backend Developer Intern, you will be responsible for building and maintaining the server\\-side logic of web applications. You will work closely with the frontend team to ensure smooth integration and performance.

**Responsibilities**

* Develop, test, and maintain server\\-side applications using technologies such as ASP.NET, C\\#, and Java.
* Collaborate with front\\-end developers to integrate user\\-facing elements with server\\-side logic.
* Design and implement RESTful APIs for seamless communication between the client and server.
* Optimize applications for maximum speed and scalability.
* Conduct unit testing and debugging to ensure high\\-quality code.
* Participate in Agile development processes, including sprint planning, daily stand\\-ups, and retrospectives.
* Utilize version control systems like GitHub and SVN for code management.
* Work with databases such as Microsoft SQL Server, MySQL, PostgreSQL, and MongoDB for data storage solutions.
* Implement CI/CD pipelines to streamline the deployment process.
* Stay updated with emerging technologies and industry trends to continuously improve development practices.

**Requirements**

* Proficiency in back\\-end programming languages including C\\#, Java, Python, or Ruby on Rails.
* Strong experience with web development frameworks such as ASP.NET, MVC, or Node.js.
* Familiarity with front\\-end technologies like HTML, CSS, JavaScript, React, or Angular is a plus.
* Knowledge of database management systems including SQL Server, MySQL, PostgreSQL, or MongoDB.
* Experience with web services (SOAP/REST) and API development.
* Understanding of software development life cycle (SDLC) methodologies including Agile practices.
* Strong debugging skills and experience with unit testing frameworks.
* Familiarity with cloud services such as AWS or Azure is advantageous.
* Experience with multithreading concepts and microservices architecture is preferred.
* Ability to work collaboratively in a team environment while also being self\\-motivated. Join us in creating innovative solutions that make a difference!

Job Type: Internship

Pay: ₹5,000\\.00 per month

Benefits:

* Flexible schedule

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009887224684","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887224684","","Intern 1","Viavi Solutions","Chennai","2025-09-26","","","","","","",False,"","","organic","","Summary:
Duties \\& Responsibilities:
Job Summary  

This position will be responsible for developing software to automate customer\\-facing activities such as troubleshooting, diagnostics, and system configuration. The candidate should have good communication skills and strong analytical abilities along with technical expertise in Java, Spring framework, REST API, JSON, Kafka, Oracle DBMS, Linux/Unix Shell scripting, Maven, JIRA, Confluence, Git, Jenkins. Knowledge of CI/CD tools like Docker, SonarQube, Bitbucket would be added advantage. The individual should also possess basic knowledge of Agile methodologies like Scrum or Kanban. He/She must be able to work independently under guidance from senior developers while collaborating effectively across multiple teams within the organization.  

  

Responsibilities  

* Design and develop applications using Java, Spring Framework, Hibernate, and AngularJS technologies.
* Create web services (RESTful) using JSON over HTTPS protocols.
* Implement security measures throughout the application stack including authentication/authorization mechanisms.
* Integrate third party libraries into existing projects when necessary.
* Troubleshoot issues related to deployment, configuration, performance tuning, error handling, etc., during development cycles.
* Collaborate closely with other engineers on cross functional teams to ensure quality standards are met at every stage of product lifecycle.
* Ensure compliance with industry best practices regarding coding conventions, code reviews, unit testing, continuous integration / continuous deployment processes, source control management systems (Git), bug tracking tools (Jira), wikis (Confluence), chat platforms (Slack).
* Maintain documentation related to project architecture, design decisions, user guides, technical specifications, release notes, etc., throughout development cycle.
* Participate actively in agile ceremonies like sprint planning sessions, daily stand ups, retrospectives, demos, etc., to provide updates on progress made towards achieving team goals.

  

Qualifications  

* Bachelor’s degree in Computer Science or equivalent field of study. Master’s degree preferred but not required.
* Minimum 2 years of experience working with Java/JEE technologies and related frameworks like Spring Boot, Hibernate, etc.
* Strong understanding of database concepts, SQL queries, joins, aggregations, indexes, caching techniques, transaction management, etc.
* Proficiency in developing front end applications using JavaScript, HTML5, CSS3\\.
* Experience implementing REST APIs using JSON format.
* Familiarity with containerization technologies such as Docker.
* Good understanding of security principles including secure communication protocols like SSL/TLS, secure data transfer methods like SSH, secure storage solutions like encryption, access controls, etc.
* Excellent problem solving ability and attention to detail.
* Effective communication skills both written and verbal.
* Ability to learn quickly and adapt to changing requirements.
* Willingness to take ownership of tasks assigned.

Pre\\-Requisites / Skills / Experience Requirements:","","https://www.glassdoor.co.in/Overview/W-EI_IE1053141.htm","https://media.glassdoor.com/sql/1053141/viavi-solutions-squarelogo-1441314302302.png","","","","","","","","","","",""
"gd-1009887774945","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887774945","","Software Developer Intern (2025 Pass out only)","Quest Innovative solutions Pvt Ltd","Cochin","2025-09-26","","","","","","",False,"","","organic","","Python / JAVA full stack developer intern , Data Science / Analytics Intern

**About the Company**

We are a Cochin based ISO certified Software Development company, incorporated in January 2003\\. We are specialised in providing real\\-time solutions in the field of Application Software, System Software, Web Development, Mobile/PDA/Wireless Applications, and Embedded Systems with a clientele spread across United States, Europe and the Middle East.

Leveraging the valuable experience obtained over the years, Quest formed its IT Training division intended to deliver modern day training programs on domains like Embedded Systems, DSP, .NET, JAVA and Android.

For more details visit www.qisacademy.com

**Job Description:**

**Designation:** Python full stack developer intern

**Job Location: Kochi**

**Responsibilities**: Direct responsibility for all the training activities conducted under each area (regular training program, campus program, student projects). Activities include technical counselling, conducting classes, supervising, evaluations, training and mentoring junior trainees etc

**Skills required**: Good Knowledge in Python , DJango , Flask,/ Springboot

**Any Additional Experience:** Project Development/Academic project development (not mandatory)

**Experience:** 0

**Qualification:** Btech / Mtech ,BCA / MCA , BSc /Msc 2025 only

Job Type: Full\\-time

Pay: ₹10,914\\.40 \\- ₹55,357\\.44 per month

Education:

* Bachelor's (Preferred)

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE1487069.htm","https://media.glassdoor.com/sql/1487069/quest-innovative-solutions-squarelogo-1582271071632.png","","","","","","","","","","",""
"in-b4b8d9d38d1313e3","indeed","https://in.indeed.com/viewjob?jk=b4b8d9d38d1313e3","http://in.indeed.com/job/integration-engineer-intern-b4b8d9d38d1313e3","Integration Engineer - Intern","Jangras Corporation","Remote, IN","2025-09-27","parttime, fulltime, volunteer, internship","","","","","",True,"","","","","**Role Overview:** We are seeking a motivated and tech\\-savvy Integration Engineer \\- Intern to join our team. In this role, you will assist merchants' developers in integrating various APIs, including payment gateway, payout, server\\-to\\-server, and Rust APIs. You will be the front\\-facing representative, ensuring smooth integration and providing top\\-notch support.

**Key Responsibilities:**

* Assist merchants' developers with the integration of KwikPaisa’s collection, payout, and Rust APIs.
* Provide technical support and guidance during the integration process.
* Troubleshoot and resolve API\\-related issues.
* Attend Google Meet sessions and other virtual meetings with clients to provide integration support.
* Collaborate with internal teams to ensure the successful deployment of APIs.
* Document integration processes and best practices.
* Serve as the primary point of contact for API integration queries.

**Requirements:**

* Currently pursuing a degree in Computer Science, Information Technology, or a related field.
* Basic understanding of API integration and payment gateway processes.
* Strong problem\\-solving skills and a keen attention to detail.
* Excellent communication skills, with the ability to explain technical concepts to non\\-technical users.
* Ability to work independently and as part of a team.
* Eagerness to learn and grow in a fast\\-paced environment.

**Preferred Qualifications:**

* Familiarity with programming languages such as PHP, Java, Node.js, and Rust.
* Prior experience with API integration (academic projects or internships).
* Knowledge of payment processing and financial technologies.

**What We Offer:**

* Hands\\-on experience in a growing fintech company.
* Opportunity to work with a dynamic and supportive team.
* Exposure to real\\-world API integration challenges and solutions.
* Potential for growth within the company.

Job Types: Full\\-time, Part\\-time, Permanent, Fresher, Contractual / Temporary, Freelance, Internship, Volunteer  
Contract length: 6 months

Pay: Up to ₹6,500\\.00 per month

Benefits:

* Cell phone reimbursement
* Flexible schedule
* Food provided
* Health insurance
* Internet reimbursement
* Life insurance
* Paid sick time
* Paid time off
* Provident Fund
* Work from home

Experience:

* total work: 1 year (Preferred)

Work Location: Remote","","https://in.indeed.com/cmp/Jangras-Corporation","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0601f64abb5bf32f62fd540749871033","https://www.jangras.co","HQ - DLF Cyber City, Phase 2
Gurugram, Haryana,
India - 122002","11 to 50","less than $1M (USD)","","","","","","",""
"in-8b8167b76380a56d","indeed","https://in.indeed.com/viewjob?jk=8b8167b76380a56d","http://in.indeed.com/job/flutter-developer-intern-8b8167b76380a56d","Flutter Developer Intern","Particle14","Remote, IN","2025-09-27","fulltime, internship","","","","","",True,"","","","","**About the Role**

We are seeking a skilled **Flutter Developer** to join our team and contribute to building innovative, high\\-quality, and performant mobile applications for both Android and iOS. You will be responsible for designing, developing, testing, and deploying cross\\-platform mobile apps using Flutter and Dart, collaborating closely with designers, backend engineers, and product managers.

**Key Responsibilities**

* Develop and maintain cross\\-platform mobile applications using **Flutter and Dart**.
* Collaborate with the design team to implement **responsive, pixel\\-perfect UI/UX**.
* Integrate RESTful APIs, third\\-party libraries, Firebase/Supabase, and cloud services.
* Write clean, maintainable, and well\\-documented code following best practices.
* Optimize app performance for speed, scalability, and security.
* Debug and resolve issues across Android and iOS platforms.
* Participate in **code reviews, sprint planning, and Agile development practices**.
* Continuously research and implement new Flutter features and mobile app trends.

**Requirements**

* Proven experience as a **Flutter Developer** with published apps on Play Store/App Store.
* Strong knowledge of **Dart programming language**.
* Experience with **State Management (Provider, Riverpod, BLoC, GetX, etc.)**.
* Proficiency in **REST APIs, JSON, and third\\-party integrations**.
* Familiarity with **Firebase/Supabase, push notifications, authentication, and real\\-time databases**.
* Understanding of mobile app lifecycle, architecture patterns (MVC/MVVM/Clean Architecture), and performance optimization.
* Knowledge of Git/GitHub or other version control systems.
* Good problem\\-solving skills, teamwork, and attention to detail.

**Preferred Skills**

* Experience with **CI/CD pipelines** for mobile apps.
* Familiarity with **native Android (Java/Kotlin) or iOS (Swift/Objective\\-C)** development.
* Knowledge of cloud platforms (**AWS, GCP, Azure**) is a plus.
* Understanding of Agile/Scrum methodologies.

**Education \\& Experience**

* Bachelor’s degree in **Computer Science, Engineering, or related field** (or equivalent experience).
* \\[Insert experience requirement: e.g., **1–3 years** of experience in Flutter development].

**What We Offer**

* Competitive salary and benefits.
* Opportunity to work on **cutting\\-edge projects** with the latest technologies.
* Friendly, collaborative, and innovative work culture.
* Career growth and skill development opportunities.

Job Types: Full\\-time, Fresher, Internship

Benefits:

* Paid sick time
* Work from home

Application Deadline: 30/09/2025  
Expected Start Date: 28/09/2025","","https://in.indeed.com/cmp/Particle14","","","","","","","","","","","",""
"in-6060bd171bf06251","indeed","https://in.indeed.com/viewjob?jk=6060bd171bf06251","http://in.indeed.com/job/backend-developer-intern-6060bd171bf06251","Backend Developer Intern","Fundtec Service LLP","CT, IN","2025-09-26","internship","","","","","",False,"","","","","**Key Responsibilities**

* Assist in the development and maintenance of backend services, APIs, and databases.
* Write clean, efficient, and testable code.
* Work closely with senior developers to implement new features and fix issues.
* Collaborate with front\\-end teams to integrate user\\-facing elements with server\\-side logic.
* Research and suggest improvements for performance, scalability, and security.
* Debug and troubleshoot issues in backend systems.

**Requirements**

* Pursuing or recently completed a degree in Computer Science, IT, or a related field.
* Basic understanding of at least one backend programming language (Node.js / Python / Java / PHP, etc.).
* Knowledge of databases (MySQL, PostgreSQL, MongoDB, or similar).
* Familiarity with REST APIs and web services.
* Good problem\\-solving skills and logical thinking.
* Ability to work independently and in a team environment.

**Shift Timing:** 11:00 AM – 8:00 PM, Monday to Friday

Job Type: Internship  
Contract length: 6 months

Pay: ₹5,000\\.00 per month

Benefits:

* Paid sick time
* Paid time off

Location:

* Raipur, Chhattisgarh (Required)

Work Location: In person","","https://in.indeed.com/cmp/Fundtec-3","","","","","","","","","","","",""
