"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009882762433","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882762433","","Mern stack developer trainer","Edure Learning","Thiruvananthapuram","2025-09-22","","direct_data","monthly",15000.0,25000.0,"INR",False,"","","organic","","**Exp:1\\-2yrs**  
**Only for malayali candidates**

We are seeking a highly skilled and passionate **MERN Stack Developer Faculty** to train students and professionals in web development using the MERN stack (MongoDB, Express.js, React.js, Node.js). The ideal candidate should have strong practical knowledge, teaching skills, and industry experience to mentor learners and prepare them for real\\-world projects.

**Key Responsibilities:**

* Teach and train students in MERN stack technologies (MongoDB, Express.js, React.js, Node.js).
* Develop and deliver interactive lectures, lab sessions, and workshops.
* Prepare curriculum, study materials, and coding assignments.
* Guide students on live projects, coding practices, and industry\\-relevant case studies.
* Mentor learners to build end\\-to\\-end full\\-stack web applications.
* Keep track of student performance, provide feedback, and support improvement.
* Stay updated with the latest industry trends, tools, and frameworks.
* Assist in organizing hackathons, coding competitions, and seminars.
* Support curriculum enhancement and academic planning with management.

Job Type: Full\\-time

Pay: ₹15,000\\.00 \\- ₹25,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882811388","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882811388","","MERN Stack (with Next.js)","Innovative Glance","Ahmedabad","2025-09-22","","","","","","",False,"","","organic","career@innovativeglance.com","**Live** **your****best** **work\\-life**
----------------------------------------

WE OFFER A GREAT WORK ENVIRONMENT WITH UNLIMITED GROWTH OPPORTUNITIES AND REWARDS!



### **5 Days Working**
**Per Week**

### **Competitive**
**Salary**

### **Training \\&**
**Development**

### **Performance**
**Bonus**

### **Flexible**
**Environment**

### **Celebrations \\&**
**Events**


  
We are inviting self\\-driven and passionate young minds to join our team


Send your resume to career@innovativeglance.com


  
### **MERN Stack Developer**

Minimum Experience


### **2\\+ Years**


Workplace type


### **On\\-site**


Innovative Glance is looking for a skilled MERN Stack Developer with expertise in Next.js \\& Node.js to join our dynamic team. You’ll be responsible for building high\\-performance, user\\-centric web applications, from frontend interfaces to scalable backend systems — with a strong focus on clean code, secure architecture, and timely delivery.

**Required Technical Skills:**


* Next.js, React.js, Node.js, Express.js, MongoDB
* REST APIs, JWT Authentication
* Payments Integration(PayPal Pro / Stripe)
* Version Control
* Responsive Design, Code Optimization, Web Security
* Bonus Skills: Experience with CMS, SR/SSG, and dynamic routing in Next.js


**Key Responsibilities:**


* Develop and maintain scalable full\\-stack applications using MERN \\+ Next.js.
* Build and implement features like:
	+ Booking systems
	+ Advanced search and filtering
	+ Secure payment and donation workflows
* Create dashboards tailored for multiple user roles.
* Integrate interactive components like maps, review systems, and smart filters.
* Manage dynamic content (blogs, testimonials, stories) using CMS or custom solutions.
* Develop and consume REST APIs to ensure smooth frontend\\-backend interaction
* Utilize SSR, SSG, and dynamic routing for performance and SEO.
* Write clean, maintainable, and secure code using Git\\-based version control.
* Take ownership of modules and ensure timely, production\\-ready delivery.
* Collaborate with product and design teams to build meaningful, high\\-impact features.


**Qualifications:**


* Expertise in programming languages and relational databases.
* Strong debugging and troubleshooting skills
* Minimum 2\\+ Years of relevant experience.","","https://www.glassdoor.co.in/Overview/W-EI_IE10263474.htm","","","","","","","","","","","",""
"gd-1009882722444","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882722444","","Full Stack Web Developer (MERN Stack) - Onsite Hyderabad","Uncle Sam Tours","Hyderābād","2025-09-22","","direct_data","yearly",280000.0,360000.0,"INR",False,"","","organic","","Job Description

We are looking for a skilled Full Stack Web Developer proficient in the MERN stack (MongoDB, Express.js, React, Node.js) to join our team onsite in Hyderabad. The candidate will be responsible for designing and implementing the backend system for a booking management platform along with a scalable and user\\-friendly frontend.

Responsibilities

* Develop robust backend systems using Node.js and Express with MongoDB.
* Build responsive and interactive frontend applications using React.
* Integrate and implement external APIs effectively, with strong ability to read and understand API documentation.
* Design scalable, maintainable, and efficient databases and system architecture with good knowledge of high\\-level system design.
* Write clean, modular, reusable, and well\\-documented code following industry best practices.
* Collaborate closely with the team and communicate effectively in a fast\\-paced environment.
* Adapt and learn new technologies and tools as required.
* Participate actively in code reviews, project planning, and discussions.

Requirements

* Proven experience in MERN stack development with a strong portfolio or GitHub projects.
* Solid understanding of backend and frontend development, RESTful APIs, and database design.
* Ability to design scalable and maintainable systems (experience with system design and high\\-level architecture).
* Strong problem\\-solving skills and attention to detail.
* Experience documenting code clearly for ease of maintenance and team collaboration.
* Experience working in agile teams and good communication skills.
* Willingness to work onsite in Hyderabad.
* Eagerness to learn and adapt to new technologies and challenges.

Job Type: Full\\-time

Pay: ₹280,000\\.00 \\- ₹360,000\\.00 per year

Benefits:

* Food provided

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882715611","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882715611","","Dot Net Developer","smartData Enterprises","Mohali","2025-09-22","","direct_data","monthly",65000.0,65000.0,"INR",False,"","","organic","","**Job Description** 

* Experience of using .NET Core framework.
* Web development experience in HTML5, ASP.NET, C\\#, .NET Core, CSS3, JavaScript, Angular latest version
* Good experience in MVC/ Web API/ Web services.
* Good experience in Entity framework, SQL server (Writing Complex Queries, Store Proc.) and reporting.
* Object Oriented Programming, Design Patterns, Solid Design Principle (Mandatory For 4\\+ Experience).
* Familiar with version control/ development tools such as GIT,CI/CD, Subversion, Bitbucket, TFS, Hudson, Bamboo or equivalents.
* Agile/ Scrum development on complex aapplications/ products across distributed teams. Use of Jira/ Ace/ Trello (or similar tools) is essential.
* Good exposure of client communication (voice \\& text chat through Skype).
* Strong analytical skills.

**Company overview:** smartData is a leader in global software business space when it comes to business consulting and technology integrations making business easier, accessible, secure and meaningful for its target segment of startups to small \\& medium enterprises. As your technology partner, we provide both domain and technology consulting and our inhouse products and our unique productized service approach helps us to act as business integrators saving substantial time to market for our esteemed customers. With 8000\\+ projects, vast experience of 20\\+ years, backed by offices in the US, Australia, and India, providing next door assistance and round\\-the\\-clock connectivity, we ensure continual business growth for all our customers. Our business consulting and integrator services via software solutions focus on important industries of healthcare, B2B, B2C, \\& B2B2C platforms, online delivery services, video platform services, and IT services. Strong expertise in Microsoft, LAMP stack, MEAN/MERN stack with mobility first approach via native (iOS, Android, Tizen) or hybrid (React Native, Flutter, Ionic, Cordova, PhoneGap) mobility stack mixed with AI \\& ML help us to deliver on the ongoing needs of customers continuously. For more information, visit http://www.smartdatainc.com

Job Type: Full\\-time

Pay: Up to ₹65,000\\.00 per month

Benefits:

* Provident Fund

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE2591881.htm","https://media.glassdoor.com/sql/2591881/appwrk-it-solutions-squareLogo-1738147520668.png","","","","","","","","","","",""
"gd-1009882375381","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882375381","","MERN Stack Developer","Cresol Infoserv Pvt Ltd","India","2025-09-21","","direct_data","yearly",600000.0,700000.0,"INR",False,"","","organic","","We are looking for an experienced MERN Stack Developer to join our team. The ideal candidate will have 3–5 years of hands\\-on experience in building scalable web applications using MongoDB, Express.js, React.js, and Node.js. You will work closely with our product, design, and QA teams to deliver high\\-quality applications that meet client and business needs.

**Key Responsibilities**

* Design, develop, test, and deploy full\\-stack web applications using the MERN stack.
* Build responsive and user\\-friendly front\\-end interfaces with React.js and related libraries.
* Develop scalable backend services and RESTful APIs using Node.js and Express.js.
* Work with MongoDB for database design, queries, and performance optimization.
* Integrate third\\-party APIs and services as required. Ensure application performance, security, and scalability.
* Collaborate with cross\\-functional teams including UI/UX designers, testers, and project managers.
* Troubleshoot, debug, and upgrade existing applications.
* Participate in code reviews and maintain coding standards.
* Stay up to date with emerging technologies and best practices in full\\-stack development.

**Required Skills \\& Qualifications**

* 3–5 years of professional experience as a MERN stack/full\\-stack developer.
* Strong proficiency in JavaScript (ES6\\+) and TypeScript (preferred).
* Expertise in React.js (hooks, state management, Redux/Context API). Solid experience with Node.js and Express.js.
* Hands\\-on experience with MongoDB (Mongoose/aggregation framework).
* Understanding of RESTful APIs and Web Services.
* Experience with version control (Git/GitHub/GitLab).
* Familiarity with deployment tools (Docker, CI/CD pipelines, AWS/Cloud platforms).
* Knowledge of frontend build tools (Webpack, Babel, NPM/Yarn).
* Strong problem\\-solving, debugging, and optimization skills.
* Good communication and teamwork skills.

Good to Have

Experience with Next.js or React Native. Knowledge of GraphQL and Socket.io.

Familiarity with unit testing \\& automation (Jest, Mocha, Cypress).

Understanding of Agile/Scrum methodology.

Job Type: Full\\-time

Pay: ₹600,000\\.00 \\- ₹700,000\\.00 per year

Benefits:

* Provident Fund

Experience:

* total work: 3 years (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882415485","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882415485","","Full Stack Developer (MERN)","Ackrolix Innovations Pvt Ltd","Gurgaon","2025-09-21","","direct_data","yearly",700000.0,1200000.0,"INR",False,"","","organic","","Ackrolix Innovations is a **product conceptualization and development powerhouse** obsessed with user\\-centered design. We transform client visions into scalable digital solutions across **Web/Mobile Apps, ERP Systems, Workflow Automation, Intranet Portals, and Digital Marketing**. As we enter the AI revolution, we’re seeking a visionary leader to build our AI practice from the ground up and redefine how clients leverage intelligent automation.

**The Opportunity**

We’re seeking a **Senior MERN Stack Developer** with leadership experience and a passion for AI integration. In this role, you’ll lead the development of full\\-stack applications using the MERN stack (MongoDB, Express.js, React, Node.js), mentor a team of developers, manage client relationships, and integrate AI tools (including OpenAI models) into our products. You’ll bridge technical execution, team growth, and client success while ensuring our solutions are innovative, scalable, and impactful.

**Total Experience : 5\\+ Years**  
**Job Location: Gurgaon (No WFH)**  
**Joining : immediate**

Key Responsibilities1\\. **Full\\-Stack Development (MERN)**

* Architect, build, and deploy robust, scalable web applications using **MongoDB, Express.js, React, and Node.js**.
* Optimize application performance, security, and responsiveness across frontend and backend.
* Implement RESTful APIs, state management (Redux/Context API), and modern React patterns (hooks, components).
* Manage database design, queries, and performance tuning (MongoDB aggregation, indexing).

2\\. **AI Integration \\& Tools**

* Integrate **OpenAI models** (GPT\\-3\\.5, GPT\\-4, embeddings) and other AI tools (Hugging Face, LangChain) into MERN applications.
* Develop AI\\-powered features (e.g., chatbots, content generation, semantic search) using OpenAI APIs and vector databases (Pinecone, Chroma).
* Optimize AI performance, token usage, and cost\\-efficiency in production environments.
* Stay updated on AI advancements and evaluate new tools for potential adoption.

3\\. **Team Leadership \\& Mentorship**

* Lead and mentor a team of 3–5 developers (frontend/backend), fostering best practices in code quality, testing, and agile workflows.
* Conduct code reviews, provide technical guidance, and drive architectural decisions.
* Manage sprint planning, task delegation, and project timelines using tools like **Jira, Trello, or Asana**.
* Identify skill gaps and champion upskilling in MERN stack, AI, and DevOps.

4\\. **Client Management \\& Collaboration**

* Act as the primary technical liaison for clients, translating business needs into technical solutions.
* Present progress, demos, and technical roadmaps to clients and stakeholders.
* Gather feedback, manage expectations, and ensure deliverables align with client goals.
* Collaborate with product managers, designers, and QA teams to deliver end\\-to\\-end solutions.

5\\. **DevOps \\& Deployment**

* Implement CI/CD pipelines (**GitHub Actions, Jenkins**), containerization (**Docker**), and cloud deployment (**AWS/Azure/GCP**).
* Ensure applications are scalable, secure, and maintainable through infrastructure\\-as\\-code (IaC) and monitoring.

Qualifications \\& Skills**Must\\-Have Technical Skills**

* **5\\+ years** of professional experience in **MERN stack development** (MongoDB, Express.js, React, Node.js).
* **Expertise in React**: Advanced state management, component architecture, hooks, and performance optimization.
* **Strong backend skills**: RESTful APIs, authentication (JWT/OAuth), security best practices, and Node.js frameworks (Express.js).
* **Database proficiency**: MongoDB schema design, aggregation pipelines, and indexing.
* **AI Integration**: Practical experience with **OpenAI APIs**, prompt engineering, and vector databases (Pinecone, Chroma).
* **DevOps**: Docker, CI/CD pipelines, and cloud platforms (AWS EC2/S3, Azure App Service, or GCP Cloud Run).
* **Version Control**: Git (GitHub/GitLab) and collaborative workflows.

**Leadership \\& Soft Skills**

* **3\\+ years** leading or mentoring technical teams.
* **Client\\-facing experience**: Ability to communicate technical concepts to non\\-technical stakeholders.
* **Problem\\-solving**: Strong analytical skills to troubleshoot complex issues across the stack.
* **Agile Methodologies**: Experience with Scrum/Kanban and sprint management.

**Preferred Qualifications**

* Experience with **TypeScript**, Next.js, or GraphQL.
* Knowledge of **testing frameworks** (Jest, React Testing Library, Mocha).
* Familiarity with **MLOps tools** (MLflow, Kubeflow) or AI model deployment.
* Contributions to open\\-source projects or technical blogs.

What We Offer

* Opportunity to work on AI\\-driven products with real\\-world impact.
* Professional development budget for conferences, certifications, and AI tools.
* Comprehensive benefits (health, dental, vision, 401k).
* Collaborative culture with hackathons, tech talks, and innovation days.

Job Types: Full\\-time, Permanent

Pay: ₹700,000\\.00 \\- ₹1,200,000\\.00 per year

Benefits:

* Health insurance
* Life insurance
* Provident Fund

Application Question(s):

* Can you join immidiately
* Willing to relocate or Travel Gurgaon

Education:

* Bachelor's (Preferred)

Experience:

* Minimum: 5 years (Required)
* MERN: 5 years (Preferred)
* Software development: 5 years (Preferred)

Location:

* Gurugram, Haryana (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882246860","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882246860","","MERN Stack Developer","HL TECH INDIA PRIVATE LIMITED","India","2025-09-21","","","","","","",False,"","","organic","career@hltechindia.com","**Position:** MERN Stack Developer  
**Location:** \\[On\\-site, 78 Indirapuri sector c , Bhopal]  
**Employment Type:** Full\\-time  
**Experience Required:** freshers \\- 1yr

**About Us**

HL Tech India Pvt. Ltd. is a fast\\-growing IT solutions company specializing in website development, application development, digital marketing, and custom software solutions. We are looking for a skilled **MERN Stack Developer** to join our dynamic team and work on innovative projects for Indian and international clients.

**Roles \\& Responsibilities**

* Develop, test, and deploy scalable web applications using **MongoDB, Express.js, React.js, and Node.js (MERN)**.
* Collaborate with UI/UX designers to implement user\\-friendly interfaces.
* Integrate third\\-party APIs, services, and databases as required.
* Write clean, maintainable, and well\\-documented code.
* Optimize applications for maximum speed and scalability.
* Troubleshoot, debug, and upgrade existing applications.
* Participate in code reviews, brainstorming sessions, and agile development processes.
* Stay updated with emerging trends and best practices in web development.

**Key Skills Required**

* Strong proficiency in **JavaScript (ES6\\+)** and the MERN stack.
* Hands\\-on experience with **RESTful APIs and GraphQL**.
* Good understanding of **HTML5, CSS3, Bootstrap, and responsive design**.
* Knowledge of **state management libraries** (Redux, Context API, etc.).
* Experience with **version control (Git/GitHub)**.
* Familiarity with **cloud platforms** (AWS, Azure, or others) is a plus.
* Strong problem\\-solving and debugging skills.

**Qualifications**

* Bachelor’s degree in Computer Science, Engineering, or a related field (preferred).
* Proven experience working on **real\\-world MERN stack projects**.
* Portfolio or GitHub profile showcasing previous work (preferred).

**What We Offer**

* Competitive salary package \\[₹5000 – ₹10000 per month depending on experience].
* Opportunity to work on exciting national and international projects.
* Professional growth and skill development support.
* Collaborative and supportive work environment.

**How to Apply:**  
Send your updated resume, portfolio, or GitHub link to **\\[career@hltechindia.com]** with the subject line **“Application – MERN Stack Developer”**.

Job Type: Full\\-time

Pay: ₹5,000\\.00 \\- ₹55,597\\.20 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882275129","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882275129","","MERN Stack Intern","Nizzcorp","Malappuram","2025-09-21","","","","","","",False,"","","organic","","We are looking for a **MERN Stack Developer Intern** to join our team. This is an excellent opportunity for students and fresh graduates who want to gain hands\\-on experience in full\\-stack web development. You will work on real\\-world projects and collaborate with experienced developers.

**Responsibilities:**

* Develop and maintain web applications using **MongoDB, Express.js, React.js, and Node.js**
* Collaborate with the development team to design and implement new features
* Write clean, scalable, and efficient code
* Debug and troubleshoot application issues
* Integrate third\\-party APIs and services as required
* Participate in daily stand\\-up meetings and code reviews

**Requirements:**

* Basic knowledge of **MERN Stack (MongoDB, Express, React, Node.js)**
* Understanding of **JavaScript, HTML, CSS, and RESTful APIs**
* Familiarity with Git and version control
* Strong problem\\-solving skills and a willingness to learn
* (Preferred) Experience with state management (Redux/Context API)

**Benefits:**

* Hands\\-on experience with real\\-world projects
* Mentorship from experienced developers
* Certificate of completion
* (Optional) Stipend based on performance

Job Types: Full\\-time, Internship  
Contract length: 3 months

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882240159","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882240159","","MERN Stack Developer Interns & Juniors","The King Phoenix IT Solutions","Tiruchchirāppalli","2025-09-21","","direct_data","monthly",5000.0,7500.0,"INR",False,"","","organic","","**Requirements:**

* Must have completed a **MERN Stack course** or equivalent self\\-learning
* Good understanding of **React.js \\& Node.js**
* Strong foundation in **HTML, CSS \\& JavaScript**
* Eagerness to learn and contribute to real projects
* Commitment to a **6\\-month full\\-time internship** (on\\-site)
* Stipend: **₹5,000 – ₹7,500/month** (based on skill)
* Performance\\-based opportunity for **full\\-time role after internship**

What We Offer

* Opportunity to **work on live projects** in a fast\\-paced environment
* Hands\\-on experience with **industry\\-standard development practices**
* Mentorship from experienced developers
* Growth path from Intern → Junior → Full\\-time Developer

Education:

* Bachelor's (Required)

Experience:

* JavaScript: 1 year (Required)
* React: 1 year (Required)
* Node.js: 1 year (Required)

Job Types: Internship, Contractual / Temporary, Volunteer  
Contract length: 6 months

Pay: ₹5,000\\.00 \\- ₹7,500\\.00 per month

Benefits:

* Flexible schedule

Ability to commute/relocate:

* Trichy, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Experience:

* MERN: 1 year (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009882401151","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009882401151","","MERN Stack devlopment intern","Gravit InfoSystems Pvt. Ltd.","India","2025-09-21","","direct_data","monthly",12000.0,15000.0,"INR",False,"","","organic","","**Job description:**

The ideal candidate is a creative problem solver who will work in coordination with cross\\-functional teams to design, develop, and maintain our next\\-generation websites and web applications. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.

**Responsibilities**

* Understand Technical Requirements
* Develop innovative, robust, and scalable web applications
* Work with cross\\-functionally to enhance the overall user experience of our platforms
* Own various design tasks involved in the web development life cycle from start to finish

**Key Skills**

Express.js, ReactJS,, Node.js, Angular, PHP, HTML 5, CodeIgniter, Laravel, Ajax, JQuery, MySQL, Javascript, Angular JS, JSON, Magento, REST API VueJs, MongoDB

**Required Experience and Qualifications**

* Bachelor's degree or equivalent experience in Computer Science
* At least 1 \\- 2 years of experience using Node.js, PHP, Codeigniter, MySQL, JavaScript, JQuery, AJAX, API (REST \\& SOAP), XML, JSON, Angular.JS, NodeJS, HTML5, CSS, Bootstrap
* Excellent working knowledge of Web Technologies and Frameworks
* Knowledge of object\\-oriented PHP programming.
* Knowledge of MVC design patterns like CodeIgniter or any other MVC framework
* Excellent Communication, Self Motivator, Team Player
* Be committed to the deadlines through follow up of tasks with team members
* Time Management to ensure projects are delivered on schedule.
* Should be well\\-versed with OOPS concepts, CMS like Joomla, Drupal, and WordPress, E\\-commerce.
* Knowledge of Mobile application development is a bonus.

Job Type: Internship

Contract length: 6 months

Ability to commute/relocate:

* Govindpuri, Gwalior, Madhya Pradesh: Reliably commute or planning to relocate before starting work (Required)

Experience:

* React: 1 year (Preferred)
* Node.js: 1 year (Preferred)
* Web development: 1 year (Preferred)

Work Location: In person

Job Types: Full\\-time, Internship

Contract length: 6 months

Ability to commute/relocate:

* Govindpuri, Gwalior, Madhya Pradesh: Reliably commute or planning to relocate before starting work (Preferred)

Education:

* Bachelor's (Preferred)

Experience:

* React: 1 year (Preferred)
* Node.js: 1 year (Preferred)
* Web development: 1 year (Preferred)

Work Location: In person

Job Types: Full\\-time, Internship

Contract length: 6 months

Ability to commute/relocate:

* Govindpuri, Gwalior, Madhya Pradesh: Reliably commute or planning to relocate before starting work (Preferred)

Education:

* Bachelor's (Preferred)

Experience:

* React: 1 year (Preferred)
* Node.js: 1 year (Preferred)
* Web development : 1 year (Preferred)

Work Location: In person

Job Types: Full\\-time, Internship  
Contract length: 6 months

Pay: ₹12,000\\.00 \\- ₹15,000\\.00 per month

Ability to commute/relocate:

* Govindpuri, Gwalior, Madhya Pradesh: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

* will you able to relocate for Gwalior location

Education:

* Bachelor's (Preferred)

Experience:

* Node.js: 1 year (Preferred)
* React: 1 year (Preferred)
* Web development: 1 year (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
