"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009887829246","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887829246","","Head of Electrical Division","Noster Associates","India","2025-09-26","","","","","","",False,"","","sponsored","","Job Description: **Head of Electrical Division**  
Company: **Noster Associates**  
Position: **Executive/Senior Management** Reports to MD

**Company Overview:**

Noster Associates is a leading interior and fit out firm who also provide Mechanical, Electrical, and Plumbing (MEP) engineering design and consultancy services. We are committed to delivering innovative, sustainable, and cost\\-effective solutions for a diverse portfolio of projects, including commercial, residential, healthcare, industrial, and data centers. Our success is built on a foundation of technical excellence, client partnership, and a dynamic team of professionals.

**Position Summary**

We are seeking a strategic and results\\-driven Head of Electrical Division to lead, manage, and grow our electrical engineering department. This senior leadership role is pivotal to the company's success, responsible for the division's overall performance, technical quality, financial health, and strategic direction. The ideal candidate will be a licensed Professional Engineer (PE) with a proven track record in business development, project management, and team leadership within the MEP industry.

**Key Responsibilities**

1\\. Strategic Leadership \\& Business Development:

* Develop and execute the strategic business plan for the Electrical Division, aligning with the company's overall goals.
* Drive business development efforts by identifying new market opportunities, cultivating relationships with key clients (architects, developers, contractors), and leading proposal efforts.
* Represent the company at industry events, conferences, and client meetings to enhance our market presence.
* Achieve and exceed annual revenue and profitability targets for the division.

2\\. Operational \\& Project Management:

* Provide overarching technical oversight and ensure the highest quality standards for all electrical design deliverables, including power systems, lighting, fire alarm, telecommunications, and sustainable design.
* Implement and maintain quality assurance/quality control (QA/QC) processes for the division.
* Oversee the division's project portfolio, ensuring projects are delivered on time, within budget, and to client specifications.
* Allocate resources effectively, managing staffing needs, workload distribution, and utilization rates.

3\\. Financial Management:

* Prepare, manage, and control the division's annual budget, including revenue forecasting and cost management.
* Monitor key financial metrics (KPIs) such as profit/loss, backlog, accounts receivable, and project profitability.
* Review and approve major project expenditures, contracts, and change orders.
* Ensure timely and accurate invoicing and collaborate with the finance department on collections.

4\\. Team Leadership \\& Development:

* Lead, mentor, and inspire a team of electrical engineers, designers, and drafters.
* Foster a collaborative, high\\-performance culture focused on innovation, continuous improvement, and technical excellence.
* Manage recruitment, training, professional development, and performance reviews for division staff.
* Identify and develop future leaders within the team.

5\\. Technical Excellence \\& Innovation:

* Stay abreast of industry trends, emerging technologies (e.g., BIM, Revit, smart buildings, renewable energy), and relevant electrical codes (NEC, IEC, etc.).
* Champion the adoption of new tools and methodologies to improve efficiency and service offerings.
* Act as the ultimate technical authority and provide guidance on complex engineering challenges.

**Qualifications \\& Experience**

**Essential:**

* Bachelor’s degree in Electrical Engineering or a related field.
* Licensed Professional Engineer (PE) is mandatory.
* Minimum of 12\\-15 years of progressive experience in electrical engineering design within the MEP industry.
* At least 5\\-7 years in a senior leadership or management role, with direct P\\&L responsibility.
* Proven track record in business development, client relationship management, and winning projects.
* Extensive experience with all phases of project delivery, from conceptual design to construction administration.
* Deep knowledge of building codes, standards, and regulations.
* Proficiency in engineering software (e.g., Revit, AutoCAD, SKM PowerTools, ETAP).

**Desirable:**

* Master’s degree in Electrical Engineering or Business Administration (MBA).
* LEED AP accreditation or similar sustainability credential.
* Experience working on a wide variety of project types (e.g., high\\-rise, mission\\-critical, healthcare).
* Strong existing network of contacts in the local or regional industry.

**Personal Competencies**

* Strategic Thinker: Ability to see the big picture and set a long\\-term vision.
* Exceptional Leader: Inspires trust, motivates teams, and manages conflict effectively.
* Superb Communicator: Excellent verbal, written, and presentation skills for client and internal interactions.
* Commercial Acumen: Strong business and financial savvy.
* Problem\\-Solver: Decisive and adept at navigating complex challenges.
* Client\\-Focused: Dedicated to understanding and exceeding client expectations.

**What We Offer**

* A competitive executive compensation package, including performance\\-based bonuses.
* Comprehensive benefits package.
* Opportunity to lead and shape a critical division within a respected firm.
* A collaborative and supportive work environment.
* Professional development and continuing education support.

**To Apply: Please submit your resume and a cover letter outlining your relevant experience and leadership philosophy with the subject line ""Head of Electrical Division Application."".**

Job Type: Full\\-time

Benefits:

* Health insurance
* Provident Fund

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009886774272","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886774272","","Network Engineer","Cordova Educational Solutions","Thiruvananthapuram","2025-09-26","","direct_data","monthly",45000.0,55000.0,"INR",False,"","","organic","","We are seeking skilled and dedicated **Network Engineers** to join our IT team. The ideal candidate will be responsible for designing, implementing, managing, and supporting our organization’s networking systems. Candidates must be **willing to relocate to the UAE** and work in a fast\\-paced environment.

**Key Responsibilities:**

* Design, configure, and maintain LAN, WAN, VPN, and wireless networks.
* Install, configure, and troubleshoot network devices (routers, switches, firewalls, access points).
* Monitor network performance and security, ensuring high availability.
* Perform regular network maintenance, upgrades, and patch management.
* Provide technical support for network\\-related issues and incidents.
* Implement and maintain network security solutions (firewalls, IDS/IPS, VPNs).
* Work closely with IT teams to support server, cloud, and application infrastructure.
* Document network configurations, processes, and system changes.
* Ensure compliance with company IT security policies and international standards.

**Qualifications \\& Experience:**

* Bachelor’s degree in Computer Science, IT, or related field.
* 2–5 years of proven experience as a **Network Engineer**.
* Strong knowledge of TCP/IP, DNS, DHCP, routing protocols (BGP, OSPF, EIGRP), and switching.
* Hands\\-on experience with Cisco/Juniper/Fortinet/HP networking devices.
* Familiarity with cloud networking (AWS, Azure, Google Cloud) is a plus.
* Relevant certifications preferred (**CCNA, CCNP, CompTIA Network\\+, Fortinet NSE**).
* Excellent troubleshooting, problem\\-solving, and communication skills.
* Must be ready to **relocate to UAE**.

**Key Skills:**

* Network design, installation \\& troubleshooting
* Firewall \\& network security management
* Routing \\& switching expertise
* VPN \\& remote access configuration
* Cloud networking knowledge
* Strong documentation \\& teamwork skills

**What We Offer:**

* Competitive salary package with relocation support.
* Opportunity to work in a dynamic international environment.
* Exposure to advanced networking technologies and projects.
* Career growth and certification support.

Job Types: Full\\-time, Permanent

Pay: ₹45,000\\.00 \\- ₹55,000\\.00 per month

Benefits:

* Health insurance","","","","","","","","","","","","","",""
"gd-1009887647919","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887647919","","Sr. Engineer - Managed Service","Semperfi Solutions and Services","","2025-09-26","","direct_data","yearly",400000.0,650000.0,"INR",True,"","","organic","","Position: Sr. Engineer \\- Managed Services

Total Exp: 3\\-5 Years in System Admin

**Communication: Excellent (must not be compromised)**

**Skills in:**

* **Patching and Managed Services**
* **Automation**
* **RMM tools**
* **Monitoring and Alerting**
* **Email delivery systems**
* **Microsoft Exchange**
* **Active Directory**
* **Azure Active Directory**

Notice Period: Immediate to 15 days

Shifts: 24/7 Rotational

Location: Gurgaon

Mode of work: Work from home

Sr. Engineer \\- Managed Service

**We are looking for a proactive and technically proficient Senior System Administrator to manage and support our IT infrastructure** 

**across desktop, server, and Microsoft 365 environments. This role requires hands\\-on expertise in resolving end\\-user desktop issues,** 

**administering physical and virtual servers, and managing Microsoft 365 services, including Exchange Online, SharePoint, Teams, and** 

**Intune.**

**Experience \\& Skills:**

∙**2\\-5 years of IT support experience** in an enterprise environment.

∙Strong knowledge of **Windows OS, Active Directory, and Microsoft 365 administration**.

∙Understanding of **basic networking concepts (DNS, DHCP, TCP/IP, VPNs)**.

∙Basic Platform knowledge of **Azure**

∙Experience with **remote support tools** and **ITSM platforms (ServiceNow, Jira, etc.)**.

∙Familiarity with **PowerShell for basic automation** (preferred).

∙Excellent **communication and customer service skills**.

∙Ability to **work independently and collaborate** with teams across different time zones.

∙**Certifications** like **CompTIA A\\+, Microsoft 365 Fundamentals (MS\\-900\\), ITIL Foundation** are a plus.

**Desktop Support:** 

∙Provide **Level 2 support** for **end\\-user computing issues** (hardware, software, network).

∙Manage and resolve **Windows OS, macOS, and basic Linux issues**.

∙Troubleshoot **VPN, Wi\\-Fi, printer, and application\\-related problems**.

∙Assist users with **software installations, configurations, and upgrades**.

∙Manage and troubleshoot **VDI solutions (e.g., Citrix, Azure Virtual Desktop, VMware Horizon)**.

∙Document issues and solutions in the **ITSM ticketing system (ServiceNow, Jira, Zendesk, etc.)**.

**Server Support:** 

∙Perform **basic Windows Server and Active Directory administration** (user management, password resets, group policies,

permissions).

∙Monitor and report on **server health, performance, and patch updates**.

∙Assist in troubleshooting **basic server issues, backup failures, and connectivity problems**.

**Microsoft 365 Support:** 

∙Assist with **user account management** in **Microsoft 365 (Azure AD, Exchange Online, OneDrive, Teams, SharePoint, Intune)**.

∙Provide **basic troubleshooting** for **Outlook, Teams, SharePoint, and OneDrive sync issues**.

∙Support **email flow, distribution lists, and mailbox permissions**.

∙Help enforce **security policies, MFA configurations, and compliance guidelines**.

∙Work with **L2/L3 teams for complex M365 issues**.

Job Type: Full\\-time

Pay: ₹400,000\\.00 \\- ₹650,000\\.00 per year

Education:

* Bachelor's (Preferred)

Experience:

* IT support /System Admin: 3 years (Preferred)
* Windows OS, Active Directory, and M365 : 2 years (Preferred)

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE6712064.htm","https://media.glassdoor.com/sql/6712064/semperfi-solutions-squarelogo-1653988534524.png","","","","","","","","","","",""
"gd-1009886613852","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886613852","","Hardware & Network Engineer","JKC Solutions","India","2025-09-26","","direct_data","monthly",20000.0,25000.0,"INR",False,"","","organic","","**Hardware \\& Network Field Engineer:**

**Having 1 to 2 Year Experience**

**Key Responsibilities:**

* **Technical Support \\& Troubleshooting:**
* **Provide first\\-level support for hardware, software, and network\\-related issues for internal and external users.**
* **Troubleshoot and resolve issues related to operating systems, application software, and peripherals.**
* **Installation \\& Configuration:**
* **Set up, configure, and install desktop hardware and software.**
* **Install, configure, diagnose, and resolve technical issues related to Microsoft products, including:**
* **Microsoft client operating systems (Windows 7, Windows 8, Windows 10\\)**
* **Email (Outlook)**
* **File print services**
* **MS Office and other business applications**
* **Install, configure, diagnose, and resolve issues related to technology peripherals such as desktops, thin clients, laptops, printers, and scanners.**
* **System Migration \\& Deployment:**
* **Perform migration and deployment of desktops and laptops as per company standards.**
* **Remote Support \\& Communication:**
* **Communicate with overseas customers and resolve their desktop\\-related problems using remote tools like MS Teams and Skype.**
* **Security \\& Maintenance:**
* **Support desktop maintenance, security maintenance, including virus updates and patch management.**
* **Perform routine system maintenance, including updates and patches.**
* **User Assistance \\& Training:**
* **Assist with setting up workstations for new employees.**
* **Provide training on standard software and systems.**
* **Documentation \\& Compliance:**
* **Document and track issues and their resolutions.**
* **Ensure compliance with IT policies and security standards.**
* **Collaboration \\& Technical Communication:**
* **Interact with technical personnel at various levels.**
* **Address technical issues for non\\-technical associates effectively.**
* **Service Efficiency:**
* **Ensure timely and efficient resolution of issues within the defined timeframe.**

The scope of work is not limited to outlined herein. These responsibilities are subject to modification or expansion based on evolving business needs and requirements.

Job Type: Full\\-time

Pay: ₹20,000 \\- ₹25,000per month

Schedule:

* Day shift

Work Location: In person

Job Type: Full\\-time

Pay: ₹20,000\\.00 \\- ₹25,000\\.00 per month

Benefits:

* Cell phone reimbursement

Work Location: In person

Expected Start Date: 10/10/2025","","","","","","","","","","","","","",""
"gd-1009886733053","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886733053","","Network Engineer L2+ (5-9 yrs) - Bengaluru","Add On IT Systems","Bengaluru","2025-09-26","","direct_data","yearly",600000.0,1650000.0,"INR",False,"","","organic","","**Relevant Experience :**

Must be expert in any 4 of the following areas in an Enterprise / Data Centre infrastructure environment. Should have strong hands\\-on experience in Network Security, Configuration and Troubleshooting.

* NW Security ( PAN, Cisco ASA, Fortinet etc)
* Documenting and maintaining network documents such as network topology diagrams, configuration reviews, and firewall standards compliance
* Routing
* Cisco routers administration
* OSPF, BGP routing protocols
* MPLS, QOS, VPN
* Switching

Additionally, must be expert in troubleshooting leveraging the below items:

* Analysis using logs
* Analysis of Alerts
* Able to Perform Root Cause Analysis for the incidents
* Must have done firmware or OS upgrade and patching of related networking devices

**Educational Qualification :** Bachelors/Master's Degree in any stream (engineering background preferred) with excellent academic track record.

**Job Description :**

\\- Deployment \\& Technical Support engineer have to have sound understanding of IT networking, router configuration, understanding of VPN, Linux, Red Hat, CentOS).

\\- Basic knowledge of current cryptography and public key infrastructure being used in existing enterprise network besides awareness of 4G and 5G network.

\\- Knowledge on Networking monitoring and diagnostic tools.

\\- Knowledge on Scripting \\- Shell, python, perl etc.

\\- Problem determination and resolution within SLA's

\\- High quality of all deliverables ( Clean and detailed design documents, RCAs, trackers etc)

\\- Troubleshooting tasks with proper perspective

\\- Acquire new skills \\& keep updated

\\- Self\\-driven and taking up ownership of tasks

\\- Team work and knowledge sharing

\\- Resolve Day to day Operational issues, Incidents and Service requests and Project tasks

\\- Respond and resolve escalated incidents, problems or outages and accurately report and document solutions

\\- Lead and own, complex major technical issues’ resolution, in collaboration with various groups 24\\*7 on demand.

\\- Exposer in customer operations involving solution delivery and technical support

**Key Responsibilities:**

\\- Independently Install, configure, maintain and troubleshoot various networking devices ( Routers, Switches, Firewalls, UTMs, Load balancers, VPN, QoS)

\\- Perform network maintenance and system upgrades including service packs, patches, hot fixes, and security configurations.

\\- Monitor performance and ensure system availability and reliability.

\\- Monitor system resource utilization, trending, and capacity planning

\\- Provide Level\\-2/3 support and troubleshooting to resolve issues.

\\- Performing systems administration, maintenance, and engineering in multiple large enterprise server environments (Linux, Red Hat, CentOS)

\\- Supervision of Installation network which includes power system, IT Infrastructure and Access Point.

\\- Configuration and performing functional testing of various elements used in IT networking.

\\- Creation of test plan and execution of all the test cases at client location.

\\- Compilation of test results and generation of reports

\\- Client sign\\-off on acceptance report

\\- Providing feedback to planning team to improve the network plan.

\\- Delivery of hands\\-on training to user  
\\- Problem determination and resolution within SLA's for Major Incidents \\- Able to troubleshoot complex Network issues independently

Job Type: Contractual / Temporary

Pay: ₹600,000\\.00 \\- ₹1,650,000\\.00 per year

Ability to commute/relocate:

* Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* Current CTC:
* Expected CTC:
* Notice Period:
* Possible dates for Online Interview?

Education:

* Bachelor's (Preferred)

Experience:

* total work: 5 years (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009887537757","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887537757","","Software Engineer 4 (Simpleview)","Granicus India","","2025-09-26","","direct_data","yearly",3000000.0,4140000.0,"INR",True,"","","organic","","The Company:
**Serving the People Who Serve the People**  

Granicus is driven by the excitement of building, implementing, and maintaining technology that is transforming the Govtech industry by bringing governments and its constituents together. We are on a mission to support our customers with meeting the needs of their communities and implementing our technology in ways that are equitable and inclusive. Granicus has consistently appeared on the GovTech 100 list over the past 5 years and has been recognized as the best companies to work on BuiltIn.  

Over the last 25 years, we have served 5,500 federal, state, and local government agencies and more than 300 million citizen subscribers power an unmatched Subscriber Network that use our digital solutions to make the world a better place. With comprehensive cloud\\-based solutions for communications, government website design, meeting and agenda management software, records management, and digital services, Granicus empowers stronger relationships between government and residents across the U.S., U.K., Australia, New Zealand, and Canada. By simplifying interactions with residents, while disseminating critical information, Granicus brings governments closer to the people they serve—driving meaningful change for communities around the globe.  

Want to know more? See more of what we do here.
Job Summary:

The Software Engineer role at Granicus is for developers growing their technical and software development skills developing products in a SaaS based environment. They take on challenging technical tasks and consistently make significant contributions to all areas of the Granicus product suite. Software Engineers are proficient in multiple different technologies and gain on\\-the\\-job experience applying their knowledge and experience in improving the design and quality of our products. They understand the deployment process and support our applications in all environments. As they gain expertise, they share their knowledge with the broader engineering team.



What Your Impact Will Look Like:
* Collaborate with product management and business stakeholders to deliver SaaS based solutions.
* Communicate and work effectively with others to create great high\\-quality software.
* Work in line with the software development process and actively seek to improve it.
* Proactively improve the design and architecture of our products.
* Design and implement solutions that are highly secure, performant, scalable and highly available.
* Support and maintain existing products.
* Come up with technical solutions to problems and push them through to implementation.
* Mentor and provide technical training to team members. Help train and onboard new hires.
* Champion the development team’s core values


You Will Love This Job If You Have:
* 6\\+ years of experience developing, testing, shipping, and supporting production\\-quality SaaS based web applications
* Strong knowledge and experience with web frameworks React, GraphQL, and Node.js
* Experience developing unit tests
* Experience with databases (MongoDB, SOLR, Redis)
* Experience with GCP services – storage, queues, cache, etc
* Commitment to quality and the craft of software development
* Excellent communication and time management skills
* Strong analytical and problem\\-solving skills
* Passion for learning new things and the ability to do so quickly
* Experience mentoring Junior team members
* Ability to serve as a technical leader of an open, collaborative, and extraordinarily skilled software development team


About Us:

Don’t have all the skills/experience mentioned above? At Granicus, we are trying to build diverse, inclusive teams. We do not have degree requirements for most of our roles. If you don’t meet every requirement above but are excited to learn more, we encourage you to apply. We might just be able to find another role that could be a perfect fit! **Security and Privacy Requirements*** Responsible for Granicus information security by appropriately preserving the Confidentiality, Integrity, and Availability (CIA) of Granicus information assets in accordance with the company's information security program.
* Responsible for ensuring the data privacy of our employees and customers, their data, as well as taking all required privacy training in a timely manner, in accordance with company policies.

 **The Team*** We are a remote\\-first company with a globally distributed workforce across the United States, Canada, United Kingdom, India, Armenia, Australia, and New Zealand.

 **The Culture*** At Granicus, we are building a transparent, inclusive, and safe space for everyone who wants to be  

a part of our journey.
* A few culture highlights include – Employee Resource Groups to encourage diverse voices
* Coffee with Mark sessions – Our employees get to interact with our CEO on very important and  

sometimes difficult issues ranging from mental health to work\\-life balance and current affairs.
* Microsoft Teams communities focused on wellness, art, furbabies, family, parenting, and more.
* We bring in special guests from time to time to discuss issues that impact our employee  

population

 **The Impact*** We are proud to serve dynamic organizations around the globe that use our digital solutions to make the world a better place — quite literally. We have so many powerful success stories that illustrate how our solutions are impacting the world. See more of our impact here.


The Benefits: At Granicus, we offer a **comprehensive and flexible benefits package** designed to support your well\\-being, growth, and work\\-life balance.  

  

Here’s what you can expect as a India\\-based team member:
**Flexibility \\& Balance**


* **Paid Time Off–** Take the time you need to rest, recharge, and live your life.
* **Company\\-Wide Wellbeing Days –** Paid days off to unplug and focus on your mental health.
* **Work From Home Reimbursement –** Support a productive home office environment.


**Health \\& Wellness**
* **Private healthcare benefits \\-** Comprehensive coverage for you and your family.
* **On\\-Demand Mental Health Support –** Access to Headspace and other wellness tools.
* **Fitness Reimbursement \\& Cycle Program –** Stay active, your way.
* **Critical Illness and Life Insurance Benefits**


**Family \\& Future**
* **Paid Parental Leave \\-** For both birthing and non\\-birthing parents.
* **Pension plan with employer contributions**


**Growth \\& Recognition**
* **Online Learning Platforms –** Fuel your professional development.
* **Competitive Salary \\& Bonuses –** Your contributions are valued and rewarded.","","https://www.glassdoor.co.in/Overview/W-EI_IE228598.htm","https://media.glassdoor.com/sql/228598/granicus-squarelogo-1522027767375.png","","","","","","","","","","",""
"gd-1009886847258","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886847258","","Network Engineer L1","IMPACT Infotech Pvt. Ltd","India","2025-09-26","","direct_data","monthly",20000.0,30000.0,"INR",False,"","","organic","","**Key Responsibilities:**

* Design, configure, and maintain LAN, WAN, WLAN, and VPN solutions.
* Manage and monitor network infrastructure (routers, switches, firewalls, load balancers, IDS/IPS).
* Perform regular network performance monitoring, troubleshooting, and optimization.
* Implement and maintain network security protocols, firewall rules, and access control policies.
* Support VoIP, video conferencing, and unified communications systems.
* Conduct root cause analysis of network issues and ensure timely resolution.
* Document network architecture, changes, and configurations.
* Collaborate with system administrators, security teams, and vendors to ensure reliable connectivity.
* Plan and implement network upgrades, migrations, and new deployments.
* Provide support for disaster recovery, business continuity, and backup strategies.

Job Type: Full\\-time

Pay: ₹20,000\\.00 \\- ₹30,000\\.00 per month

Benefits:

* Health insurance
* Provident Fund

Application Question(s):

* What is your current location?
* What is your current CTC and Take home salary?
* What is your Notice Period?
* what is your total years of experience?

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE1151830.htm","https://media.glassdoor.com/sql/1151830/impact-infotech-squarelogo-1639046762098.png","","","","","","","","","","",""
"gd-1009887064361","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887064361","","Network engineer","WEBASTO ROOF SYSTEMS PVT LTD","Chennai","2025-09-26","","direct_data","monthly",9182.0,43669.0,"INR",False,"","","organic","","We are looking for a Network Engineer to design, implement, maintain, and support our growing network infrastructure. You will be part of a systems engineering team that is responsible for designing and developing scalable, maintainable, highly available network architectures that meet business objectives and SLAs. Responsibilities Configure and install various network devices and services (e.g., routers, switches, firewalls, load balancers, VPN, QoS) Perform network maintenance and system upgrades including service packs, patches, hot fixes and security configurations Monitor performance and ensure system availability and reliability Monitor system resource utilization, trending, and capacity planning Provide Level\\-2/3 support and troubleshooting to resolve issues Work within established configuration and change management policies to ensure awareness, approval and success of changes made to the network infrastructure Select and implement security tools, policies, and procedures in conjunction with the company’s security team Liaise with vendors and other IT personnel for problem resolution

Job Types: Full\\-time, Fresher

Pay: ₹9,182\\.43 \\- ₹43,669\\.73 per month

Benefits:

* Provident Fund

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE393572.htm","https://media.glassdoor.com/sql/393572/webasto-squarelogo-1672894705586.png","","","","","","","","","","",""
"gd-1009886840841","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886840841","","Network Engineer L1","Cosmoserve Tech Private Limited","Bengaluru","2025-09-26","","direct_data","monthly",21000.0,21000.0,"INR",False,"","","organic","","Looking for Basic knowledge in IT Hardware Trouble shooting / installation / configuration , of Router , Switches , Server Trouble Shooting

Job Type: Contractual / Temporary  
Contract length: 3 months

Pay: From ₹21,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009886743807","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009886743807","","Network Engineer","Global OEM Solution","Mohali","2025-09-26","","direct_data","monthly",10137.0,35935.0,"INR",False,"","","organic","","**Job Title: Network Engineer** 

**Job Summary:**

We are seeking experienced freelance Network Engineers to support onsite projects at client offices and data centres. The role involves configuring, troubleshooting, and maintaining network devices such as switches, routers, firewalls, and wireless systems, as well as performing network health checks and documentation.

Interested candidates must register and create an engineer profile on our company platform: proengineerz.com

. All assignments, work orders, and project updates will be managed through the platform.

Key Responsibilities:

Visit assigned client sites or data centres to perform network\\-related tasks.

Configure, maintain, and troubleshoot network devices (switches, routers, firewalls, wireless).

Perform network connectivity and performance checks (latency, bandwidth, uptime).

Collect device logs and update configurations as per project scope.

Document all activities with structured reports and configuration details.

Escalate major incidents to client IT/security teams when required.

Ensure compliance with client’s site access and data security guidelines.

Skills \\& Qualifications:

Prior experience as a Network Engineer / Network Support Engineer / System Engineer.

Hands\\-on knowledge of Cisco, Juniper, HP, Fortinet, Ruijie or similar devices.

Familiarity with network protocols (TCP/IP, BGP, OSPF, VLANs, VPNs, etc.).

Ability to perform basic troubleshooting using CLI/GUI tools.

Strong technical documentation skills (Excel, Word, Visio, PDF).

Excellent communication and client\\-handling skills.

Flexibility to travel and work onsite at client data centres.

Requirements:

Bachelor’s degree/diploma in IT, Computer Science, Networking, or related field (preferred).

Must register on proengineerz.com and create an engineer profile.

Freelance/contract\\-based availability.

Valid ID for site/data centre access.

Deliverables:

Network device configuration updates and logs as per project scope.

Daily/weekly project progress updates.

Final detailed network report/documentation submission.

Job Types: Part\\-time, Contractual / Temporary, Freelance  
Contract length: 3 months

Pay: ₹10,137\\.78 \\- ₹35,935\\.18 per month

Work Location: In person","","","","","","","","","","","","","",""
