"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009887289380","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887289380","","Project Co-ordinator","Orion Systems Integrators, Inc.","India","2025-09-26","","","","","","",False,"","","organic","","Orion Innovation is a premier, award\\-winning, global business and technology services firm. Orion delivers game\\-changing business transformation and product development rooted in digital strategy, experience design, and engineering, with a unique combination of agility, scale, and maturity. We work with a wide range of clients across many industries including financial services, professional services, telecommunications and media, consumer products, automotive, industrial automation, professional sports and entertainment, life sciences, ecommerce, and education.


Project Co\\-ordinator



Experience\\- 3\\+ years



Location\\- Kochi

  



We are looking for a proactive and organized **Project Coordinator** **Hours \\& Flexibility\\-** Must have **overlap with EST hours (e.g., 9 AM – 1 PM EST minimum)**.


* + Bachelor's degree in Business, Project Management, or a related field
	+ Ability to work effectively across global teams with a **required overlap of 4–5 hours with EST (New York time)**.
	+ Excellent organizational and multitasking skills.
	+ Strong written and verbal communication skills.
	+ Proficient in Microsoft Office and/or Google Workspace.
	+ Familiarity with project management tools (e.g., Jira, Asana, Trello, or MS Project).
	
	
	**or** to support our project delivery teams. The ideal candidate will ensure smooth coordination, timely tracking of deliverables, and effective communication across cross\\-functional teams.
	
	
	
	This role is requires **significant overlap with Eastern Standard Time (EST)** hours. There is flexibility to start your day later, provided core collaboration hours with the EST team are covered.
	
	
	
	### **Key Responsibilities:**
	
	
		- Assist Project Managers in planning, scheduling, and tracking project activities.
		- Coordinate and facilitate meetings, including preparing agendas, taking minutes, and following up on action items.
		- Track project timelines, deliverables, and dependencies to ensure timely execution.
		- Maintain and update project documentation and status reports.
		- Collaborate with internal teams and external stakeholders across time zones.
		- Identify and escalate risks, delays, or blockers as needed.
		- Update project management tools and dashboards (e.g., Asana, Jira, Trello).
		- Support the team with general administrative and coordination tasks.

### **What We Offer:**


* Competitive compensation
* Flexible work schedule
* Opportunity to work with a global, diverse team
* Learning and career growth opportunities
Orion is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, citizenship status, disability status, genetic information, protected veteran status, or any other characteristic protected by law.



Candidate Privacy Policy



Orion Systems Integrators, LLC and its subsidiaries and its affiliates (collectively, “Orion,” “we” or “us”) are committed to protecting your privacy. This Candidate Privacy Policy (orioninc.com) (“Notice”) explains:


* What information we collect during our application and recruitment process and why we collect it;
* How we handle that information; and
* How to access and update that information.


Your use of Orion services is governed by any applicable terms in this notice and our general Privacy Policy.","","https://www.glassdoor.co.in/Overview/W-EI_IE234200.htm","https://media.glassdoor.com/sql/234200/orion-innovation-squareLogo-1626792127363.png","","","","","","","","","","",""
"gd-1009888146482","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888146482","","eDiscovery Project Coordinator-eDDR (India)","Elevate Services","India","2025-09-26","","","","","","",False,"","","organic","","Elevate is recruiting for **eDiscovery Project Coordinator** in our eDDR – eDiscovery team. This role will be responsible for supporting the eDiscovery team with managing customer communications, timelines and internal resources to reduce risk of delays, enhance communication and follow\\-ups, and assist in routine reporting.  

  

**Specifically, the Project Coordinator** **will**
* Respond to and track incoming customer requests.
* Initiate and update internal task tracking.
* Coordinate with customers and internal stakeholders regarding status of requests.
* Update and maintain project trackers with eDiscovery team.
* Maintain defensibility documentation.
* Ensure all customer data is being tracked and accounted.
* Support routine customer and department reporting needs.
* Coordinate between various Elevate business units.
* Coordinate with analysts, project managers and consultants in the preparation of work requests to coordinate requests and deliverables to customers.
* Participate in internal projects and initiatives.
* Assist with workflow and standard operating procedure.
* Participate in internal and customer calls and prepare call summaries.


  

**Skills for Success**
* Excellent communication skills (written and oral).
* Attention to detail.
* Ability to multitask, time management, maintain working notes.
* Collaboration with a global team and customers.
* Ability to support US business hours.
* Self\\-starter with a demonstrated ability to effectively prioritize and multi\\-task under deadlines.


  

**Experience**
* 1\\-2 Years of experience in similar kind of role.
* Experience in collaboration with a global team and customers.


  

**Qualifications**
* Any Graduate


  

**Company Information**  

Elevate is a law company. We provide software and services for the intersection of business and law. Our legal, business, and technology professionals offer practical ways for global law departments and law firms to improve efficiency, quality, and business outcomes.  

  

Our most recent achievements and distinctions include:
* Certified as one of the UK’s Best Workplaces® for Development 2025 by Great Place to Work®.
* Certified as a Great Place to Work® 2025 in the US, UK, India, and Philippines.
* For the tenth consecutive year, in 2025, Chambers \\& Partners named Elevate as a Top global services provider, ranking us as Band 1 (highest ranking) in all applicable categories (Contract Lifecycle Management, Litigation Services, and Flexible Legal Staffing) and as an Alternative Legal Service Provider in Asia\\-Pacific.
* *Newsweek* named Elevate one of ‘America’s Greatest Workplaces in Professional Services’ for 2025 and previously awarded it the highest rating in the ‘America’s Greatest Workplaces for Diversity’ and ‘America’s Greatest Workplaces for 2024’ lists.
* For the fourth year in a row, Elevate’s integrated law firm is designated as a top law firm in Commercial Litigation in the 2024 edition of Best Lawyers/US News \\& World Report Best Law Firms.
* Elevate named a top ALSP in Asia by Thomson Reuters’ *Asian Legal Business* in 2024\\.
* Winner, *Inc*. 5000 Fastest\\-Growing Private Companies: 2022, 2021, 2020, 2018, 2017, and 2016\\.
* Co\\-winner, 2022 *Financial Times* Collaborative Innovation Award for Industry Impact.


  

Learn more at: **https://elevate.law**  

See more jobs at: **https://elevate.law/careers/**  

  

Follow us on social media:  

**https://www.linkedin.com/company/elevate\\-services**  

  

All qualified applicants will be considered for employment and will be treated equally during the process, regardless of race, colour, religion, gender, gender identity, gender expression, sexual orientation, national origin, genetics, disability, age, veteran status, or any other characteristic protected by law.","","https://www.glassdoor.co.in/Overview/W-EI_IE924078.htm","https://media.glassdoor.com/sql/924078/elevate-squarelogo-1640098034984.png","","","","","","","","","","",""
"gd-1009888095698","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888095698","","Project Coordinator","Happy Staffers","Noida","2025-09-26","","direct_data","yearly",600000.0,1200000.0,"INR",False,"","","organic","","Job title: Project Coordinator Location: Noida (Work from office) Shift: US Shift Job Responsibilities: To assist Project Coordinator in managing the efficiency and productivity of multilingual translation projects by scheduling and monitoring workflows and ensuring that all projects are strategized to be cost effective by means of departmental data analysis. Duties: • Serve as the liaison between clients and the company • Maintain CRM database up to date with all the information relevant to each account • Monitor daily production of assigned projects • Communicate on a daily basis with linguistic teams • Prepare client quote and/or project, as needed • Develop project workflows to help ensure lowest cost, while maintaining highest customer quality • Ensure processes used meet all client and vendor contractual requirements • Assist in management of linguistic teams according to project assignments • Provide the translation team with all necessary tools in order to ensure delivery of a top\\-quality product; (i.e. translation tools training, glossaries, and guidelines) • Schedule quality control processes for active or completed projects with a higher\\-level team member • Ensure projects are completed and delivered to clients in a timely manner with the utmost attention to quality, following all established department and company ISO\\-documented quality processes • Maintain effective vendor relationship to ensure quality product delivery • Relay relevant complaints related to vendor, translation quality, and/or formatting to a higher\\-level team member and recommend needs to maintain the accounts in good standing • Perform data entry to facilitate proper and timely invoicing Authority: • Manage/choose work team for projects • Purchase/vendor translation services Skills/Qualifications: • 1\\.5\\+ years of project management experience..Associates or Bachelors degree in Business Administration, Translation, or language related field • Proficiency in Microsoft Office, Internet Explorer and Adobe • Bilingual; Native fluency in at least one language and strong command of at least one other language. • Excellent communication and interpersonal skills; ability to interact with all levels within the organization • Strong business acumen, client services abilities and results\\-oriented approach • Excellent verbal, written, and presentation skills • Ability to work in a fast\\-paced team environment • Attention to detail with emphasis on accuracy and quality • Ability to prioritize work to efficiently balance multiple projects and deadlines Think global. Think BIG.

Job Type: Full\\-time

Pay: ₹600,000\\.00 \\- ₹1,200,000\\.00 per year

Benefits:

* Provident Fund

Application Question(s):

* Are You an Immediate Joiner ?

Education:

* Bachelor's (Preferred)

Language:

* English (Required)
* Spanish (Required)
* Hindi (Required)

Shift availability:

* Night Shift (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009887910814","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887910814","","Ops & Admin Coordinator","Semco Infratech Pvt. Ltd.","India","2025-09-26","","direct_data","monthly",20000.0,35000.0,"INR",False,"","","organic","","**Job Title:** Ops \\& Admin Coordinator  
**Location:** Patparganj or Sahibabad  
**Department:** Admin \\& Operations

**About Us**  
Established in 2006, **SEMCO Infratech Pvt. Ltd.** is a leading provider of lithium\\-ion battery manufacturing and testing solutions in India. We specialize in turnkey solutions for battery pack assembly lines, testing labs, and automation equipment. Our mission is to empower energy storage innovation through engineering excellence and project\\-driven solutions.

**About the Role:**  
We are looking for a proactive and detail\\-oriented **Ops \\& Admin Coordinator** to support our admin, operations, sales, and service activities. This role is crucial in ensuring smooth day\\-to\\-day functioning of office operations, client communication, and coordination across internal teams. The ideal candidate will take ownership of administrative tasks, handle client interactions, and support business operations with efficiency and professionalism.

**Key Responsibilities:**

* Manage office coordination, day\\-to\\-day operations, and provide comprehensive admin support.
* Provide support in managing office supplies, vendor coordination, and other operational requirements.
* Coordinate with internal teams to ensure smooth project execution and service delivery.
* Act as the primary point of contact for clients, ensuring prompt and professional communication.
* Draft and prepare professional letters, memos, presentations, and reports as required.
* Handle email correspondence, maintain accurate records, and ensure timely follow\\-ups.
* Assist in scheduling meetings, preparing minutes, and ensuring documentation accuracy.
* Allocate and track tasks across teams, ensuring deadlines are met.
* Monitor client requests, resolve issues, and escalate when necessary.

**Skills \\& Requirements**

* Strong communication and drafting skills.
* Proactive, organized, and able to multitask effectively.
* 2\\+ years’ experience in coordination, admin, or office support.
* Proficient in MS Office \\& Google Workspace.
* Knowledge of CRM software and familiarity with AI tools preferred.
* Experience in client handling, team coordination \\& office administration.
* Able to work independently and thrive in a fast\\-paced environment.

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹35,000\\.00 per month","","","","","","","","","","","","","",""
"gd-1009887833063","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887833063","","Project Coordinator","V support Solutions","Coimbatore","2025-09-26","","direct_data","yearly",300000.0,430000.0,"INR",False,"","","organic","murugesh@vsupportsolutions.in","Job Title: Project Coordinator



Industry : IT/Media



Functional Area : Leading Graphic , website ,digital marketing and sales team.



Employment Type: Permanent Job, Full Time



Work Location: Coimbatore



UG: Any Graduate – Any Specialization



PG: Any Postgraduate – Any Specialization



Salary : 3,00,000 to 4,30,000 P.A



Job description ;


* Leading the project execution team
* Responsible for PAN India Project Management
* Project Planning, Execution and Management
* Monitoring and controlling projects with respect to quality, Cost and time
* Privilege candidate: handling print \\& electronic media
* He will collaborate and build bridges among the industry, people and company.
* Project Management for conceptualization and visualization to technology mapping, budgeting, resource \\& task scheduling and final execution of projects
* Monitor progress and make adjustments as needed
* Track project costs in order to meet budget
* Develop and manage a detailed project schedule and work plan


Qualifications/Skills Needed


* Knowledge of techniques and tools
* Proficiency in project management software tools
* Critical thinking and problem solving
* Excellent decision \\-making and leadership capabilities
* Contract negotiation
* Conflict resolution experience
* Adaptability
* Able to tolerate stress
* Communication skills


Interested Candidates Send Your Profiles To murugesh@vsupportsolutions.in



Reach Us At : 8220014457



**Job Category:** Project Coordinator
**Job Type:** Full Time
**Job Location:** coimbatore
**Industry:** IT","","https://www.glassdoor.co.in/Overview/W-EI_IE7036729.htm","https://media.glassdoor.com/sql/7036729/v-support-solutions-squarelogo-1655887615543.png","","","","","","","","","","",""
"gd-1009887793864","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887793864","","Technical Project Coordinator","EncureIT Systems Private Limited","India","2025-09-26","","direct_data","yearly",300000.0,350000.0,"INR",False,"","","organic","","**Job Title**: Technical Project Coordinator

**Location**: On\\-site

**Employment Type**: Full\\-time

About Us We are a cutting\\-edge software and AI product development company focused on building intelligent, efficient, and scalable digital solutions. Our team is passionate about pushing the boundaries of innovation, and we’re looking for a like\\-minded Technical Project Coordinator to drive the execution and delivery.

**Role Summary** 

As a Technical Project Coordinator, you will be a key player in aligning project teams, leveraging AI\\-enhanced productivity tools, and ensuring seamless product lifecycle execution. This is a technically oriented coordination role—ideal for someone who understands the software development process and is fluent in modern tooling that accelerates project delivery.

**Key Responsibilities** 

● Coordinate day\\-to\\-day activities across multiple AI and software development projects using Taiga and other modern tools.

● Collaborate closely with stakeholders, product managers, and developers to define timelines, milestones, and deliverables.

● Evaluate, adopt, and integrate AI\\-powered and modern productivity tools to enhance team efficiency and reduce friction.

● Manage task tracking, sprint planning, and team communication across platforms such as **Asana, Jira, ClickUp, Notion, Trello, and Taiga.** 

● Maintain structured documentation of tasks, sprints, decisions, and retrospectives.

● Monitor sprint velocity, flag blockers, and help maintain momentum through active issue triaging and prioritization.

● Drive continuous improvement in team productivity, communication, and transparency through data\\-backed retrospectives.

● Assist in resource planning, effort estimation, and risk identification.

● Strong verbal, written, and organizational skills.

**Required Qualifications** 

● **1\\-2 years** of experience in a technical project coordination or delivery support role.

● Experience working within **Agile/Scrum environments.** 

● Proficiency in Taiga and working knowledge of other tools such as Jira, Asana, ClickUp, Trello, and Notion.

● Demonstrated ability to use or implement **AI\\-enhanced productivity tools.** 

● Solid understanding of the software development lifecycle and collaboration workflows. ● Excellent organizational, problem\\-solving, and communication skills.

● Comfortable working with Git\\-based version control systems and technical documentation tools.

**Preferred Qualifications** 

● Bachelor’s degree in Computer Science, Computer/Management Information Systems, Information Technology, Software Engineering, or a related field.

● Experience evaluating and integrating **AI tools or APIs** into internal workflows.

● Exposure to version control systems, CI/CD tools, or ML ops platforms is a plus.

● Project management certification (e.g., PMI\\-ACP, CAPM, or equivalent) is a bonus.

**What You’ll Get** 

● Competitive salary and benefits tailored to your experience.

● A tech\\-forward culture that values innovation and autonomy.

● The opportunity to work with a forward\\-looking team building next\\-gen AI products.

● Flexible work arrangements and a results\\-driven environment.

Job Types: Full\\-time, Permanent

Pay: ₹300,000\\.00 \\- ₹350,000\\.00 per year

Benefits:

* Health insurance
* Provident Fund

Ability to commute/relocate:

* Market Yard, Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)

Education:

* Bachelor's (Preferred)

Experience:

* IT: 1 year (Preferred)

Work Location: In person

**Speak with the employer**  
\\+91 9359824897","","https://www.glassdoor.co.in/Overview/W-EI_IE912909.htm","https://media.glassdoor.com/sql/912909/encureit-system-squareLogo-1659593442705.png","","","","","","","","","","",""
"gd-1009888089763","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888089763","","Project Coordinator","Cushman & Wakefield","Pune","2025-09-26","","direct_data","yearly",602000.0,835250.0,"INR",False,"","","organic","","**Job Title**


Project Coordinator**Job Description Summary**


This role is responsible for all scheduling and planning activities as per contract requirements or Client Requirements. And translate the scope of work of the project into activities and prepare and update project progress reports.**Job Description**

**About the Role:**

* To supervise and execute Projects Efficiently, Effectively and to track Progress, Time, Cost, Quality \\& EHS for the project as per schedule.
* Risk analysis and mitigation plan.
* Resolving cross\\-functional issues at project level.
* Resource Planning \\& Control, Productivity Analysis.
* Coordination with all Contractors engaged in project work to ensure inter dependency issues of the project and to ensure objectives are achieved
* Look ahead plans 30,60 \\& 90 days
* Preparing presentations for senior management meetings \\& shall be able to present the same.
* Prepare integrated schedule (L2/L3/L4 WBS) in primavera or MS Project.
* Update and re baseline the schedule based on inputs
* Highlight the critical path and generate the critical path report.
* Schedule delay analysis and generate the delay reports as per the requirement like department wise, plant wise, contractor wise etc.
* Develop the catch\\-up plan
* Resource loading and resource levelling, including the resource utilization reporting.
* Schedule crashing and fast tracking as per requirement
* Reporting \\- Progress S curve, Cost consumption S Curve, Delay analysis Report, Catch up plan, 30 days look ahead report, Milestone reporting, Risk and risk mitigation report, Schedule and cost overrun report, if applicable.

**About You:**

* Proficiency with planning and scheduling software like MS Project / Primavera software.
* Knowledge of PMP certification process.
* Technical awareness of civil, electro\\-mechanical, and architectural works
* Excellent organizational and motivational skills
* Outstanding attention to detail and observation ability
* Exceptional communication and interpersonal abilities

**Why join Cushman \\& Wakefield?**

As one of the leading global real estate services firms transforming the way people work, shop and live working at Cushman \\& Wakefield means you will benefit from;

* Being part of a growing global company;
* Career development and a promote from within culture;
* An organisation committed to Diversity and Inclusion


We're committed to providing work\\-life balance for our people in an inclusive, rewarding environment.  

We achieve this by providing a flexible and agile work environment by focusing on technology and autonomy to help our people achieve their career ambitions. We focus on career progression and foster a promotion from within culture, leveraging global opportunities to ensure we retain our top talent. We encourage continuous learning and development opportunities to develop personal, professional and technical capabilities, and we reward with a comprehensive employee benefits program.

**We have a vision of the future, where people simply belong.**

*That's why we support and celebrate inclusive causes, not just on days of recognition throughout the year, but every day. We embrace diversity across race, colour, religion, sex, national origin, sexual orientation, gender identity or persons with disabilities or protected veteran status.*

*We ensure DEI is part of our DNA as a global community \\- it means we go way beyond than just talking about it \\- we live it. If you want to live it too, join us.*

  


INCO: “Cushman \\& Wakefield”","","https://www.glassdoor.co.in/Overview/W-EI_IE7416.htm","https://media.glassdoor.com/sql/7416/cushman-and-wakefield-squarelogo-1452893847588.png","","","","","","","","","","",""
"gd-1009888091418","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009888091418","","Sr. Project Co-Ordinator","Dynarex Technologies Private Limited","Mohali","2025-09-26","","direct_data","monthly",50000.0,70000.0,"INR",False,"","","organic","","**Profile \\- Sr. Project Coordinator**  
**Experience \\-4 to 8 Years**  
**Location \\- Mohali**  
**Required\\- Good Communication skills**

**Job Description** 

A Project Coordinator plays a vital role in supporting project management activities, ensuring that projects are executed efficiently and successfully. A Project Coordinator ensures that the project runs smoothly by providing essential support in planning, execution, communication, and documentation, ultimately contributing to the successful delivery of projects

**Skills Required:**

Project Management Tools: Jira, Azure Boards, Asana, Trello or any recognized project management software.

Agile \\& Scrum Methodologies: Strong understanding and hands\\-on experience in Agile frameworks, including Scrum, sprint planning, retrospectives, and backlog grooming.

Tools \\& Platforms: Microsoft Office Suite (Excel, Word, PowerPoint), Google Workspace, MS Teams, Zoom.

Project Planning \\& Execution: Proficient in defining project scope, setting timelines, resource allocation, and driving project delivery

Team Handling \\& Coordination: Experience managing cross\\-functional teams, ensuring task ownership, accountability, and productivity.

Delivery \\& Quality Review: Strong skills in monitoring progress, reviewing deliverables, and ensuring high\\-quality outputs aligned with project goals

Job Types: Full\\-time, Permanent

Pay: ₹50,000\\.00 \\- ₹70,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009887647891","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887647891","","Junior Project Coordinator (Construction Support)","Auswide Pvt.Ltd","Mohali","2025-09-26","","direct_data","monthly",30000.0,35000.0,"INR",False,"","","organic","","**Job Description – Junior Project Coordinator (Construction Support)**   
**Location: Mohali, Punjab**   
**Department: Construction Support – Auswide Pvt Ltd (India KPO)** 

**Role Overview**  
We are looking for a proactive and well\\-organized **Junior Project Coordinator** to support our Australian construction projects from our Mohali office. This role is client\\-facing and coordination\\-driven – ensuring smooth communication with clients during their colour/material selection process, and liaising with suppliers and trades to make sure orders and schedules are executed on time.

The **Junior Project Coordinator** will act as a bridge between Australian clients, trades, suppliers, and our onshore project team.

**Key Responsibilities**   
**1\\. Client Coordination (Selections \\& Communication)** 

* Guide clients through colour/material selections and record decisions in line with builder guidelines.
* Maintain selection sheets and ensure timely approvals.
* Provide updates to onshore teams and ensure clients are always informed about progress.

**2\\. Supplier \\& Trade Liaison**

* Raise purchase orders and coordinate with suppliers for timely material delivery.
* Communicate with trades (e.g., electricians, plumbers, carpenters) regarding scheduling and order confirmations.
* Follow up on delays or issues and escalate where required.

**3\\. Project Support \\& Documentation**

* Track orders, deliveries, and client approvals in project management systems.
* Ensure all documents, contracts, invoices, and selection sheets are saved correctly in the central filing system.
* Assist the Australian project team with day\\-to\\-day coordination tasks.

**4\\. Reporting \\& Progress Tracking**

* Prepare weekly status reports on client selections, pending supplier orders, and trade schedules.
* Flag any issues, delays, or risks to the operations manager.
* Support payment processing by preparing trade/supplier invoice summaries.

**Qualifications \\& Skills**

* Education: Graduate in Construction Management / Business Administration / Civil Engineering (preferred).
* Experience: 1–2 years in construction project support, supplier/trade coordination, or client\\-facing role.
* Excellent English communication skills (written and verbal). Good understanding of construction materials and processes.
* Proficient in MS Office, Google Workspace, Zoho/Asana or similar project management tools.
* Strong organizational skills, attention to detail, and follow\\-up ability.

**What We Offer**

* Work on international construction projects with exposure to Australian market standards.
* Health insurance, performance incentives, and career growth opportunities.
* Dynamic, supportive, and professional work culture.
* Pathway to progress into Project Coordinator / Senior Coordinator roles.

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹35,000\\.00 per month

Benefits:

* Food provided
* Health insurance

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009887288284","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009887288284","","Sr. Clinical Project Coordinator","Labcorp","Bengaluru","2025-09-26","","","","","","",False,"","","organic","","Follow applicable departmental Standard Operating Procedures and Work Instructions. Complete required trainings according to required timelines. Manage day\\-to\\-day tasks ensuring quality and productivity. Manage project and technical documentation in an appropriate manner. Provide administrative and technical support to internal departments as needed. Perform checks to ensure quality of work completed. Ensure timely escalation and issue resolution. Other duties as assigned by management.

**Labcorp is proud to be an Equal Opportunity Employer:**


Labcorp strives for inclusion and belonging in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications and merit of the individual. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. Additionally, all qualified applicants with arrest or conviction records will be considered for employment in accordance with applicable law.

**We encourage all to apply**


If you are an individual with a disability who needs assistance using our online tools to search and apply for jobs, or needs an accommodation, please visit our accessibility site or contact us at Labcorp Accessibility. For more information about how we collect and store your personal data, please see our Privacy Statement.","","https://www.glassdoor.co.in/Overview/W-EI_IE1679.htm","https://media.glassdoor.com/sql/1679/labcorp-squarelogo-1608085527142.png","","","","","","","","","","",""
