"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009879936704","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879936704","","Python/Django Developer","Smarg Technologies Pvt.Ltd","Indore","2025-09-18","","direct_data","yearly",500000.0,700000.0,"INR",False,"","","organic","","**Responsibilities:**

* Develop robust and user\\-friendly web applications using Python, Django, and other relevant technologies.
* Collaborate with product management and design teams to understand user requirements and translate them into technical solutions.
* Design and implement front\\-end components using modern JavaScript frameworks (such as React, Angular, or Vue.js) to create responsive and intuitive user interfaces.
* Create and maintain databases, optimize performance, and ensure data security.
* Conduct code reviews, identify areas for improvement, and implement best practices for software development.
* Troubleshoot and debug applications to ensure optimal performance and reliability.
* Stay updated with industry trends and technologies to propose new ideas and improvements.

**Requirements:**

* Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent experience).
* Proven experience as a Full Stack Developer or similar role.
* Strong proficiency in Python and its frameworks (Django, Flask, etc.).
* Experience with front\\-end technologies such as HTML5, CSS3, JavaScript, and modern JavaScript frameworks/libraries.
* Knowledge of database technologies (SQL and NoSQL databases) and experience in database design.
* Familiarity with version control systems (e.g., Git).
* Ability to work in an Agile/Scrum environment.
* Excellent communication and teamwork skills.

**Preferred Qualifications:**

* Experience with cloud platforms (such as AWS, Azure, or GCP).
* Understanding of containerization and orchestration tools (Docker, Kubernetes).
* Knowledge of RESTful API development.
* Familiarity with testing frameworks (e.g., PyTest, Jasmine, Jest).
* Continuous integration/continuous deployment (CI/CD) experience.

Job Type: Full\\-time

Pay: ₹500,000\\.00 \\- ₹700,000\\.00 per year

Experience:

* Django: 5 years (Preferred)
* Total: 5 years (Preferred)
* Python: 5 years (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009880159322","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880159322","","Python Developer Intern","Craft Interactive Technology LLC","Calicut","2025-09-18","","direct_data","monthly",8000.0,12000.0,"INR",False,"","","organic","","Key Responsibilities:

* **Code Development:**
* Write, test, and debug Python code according to project requirements.
* Implement and maintain Python scripts for automation and testing.
* Contribute to the development of both backend and frontend components.
* **Collaboration and Learning:**
* Work closely with senior developers to understand project requirements and best practices.
* Participate in code reviews and learn from experienced developers.
* Contribute to the documentation of the software development process.
* **Testing and Quality Assurance:**
* Write and execute unit tests to ensure code quality and functionality.
* Identify and fix bugs and issues in the code.
* Participate in testing and quality assurance activities.
* **Other Tasks:**
* Assist in integrating applications with third\\-party web services.
* Contribute to the maintenance and improvement of existing software systems.
* Stay up\\-to\\-date with the latest Python technologies and trends.

Job Type: Full\\-time

Pay: ₹8,000\\.00 \\- ₹12,000\\.00 per month

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE4502402.htm","https://media.glassdoor.com/sql/4502402/craft-interactive-technology-squarelogo-1626170985240.png","","","","","","","","","","",""
"gd-1009879830930","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879830930","","Python Developer","Big Rattle Technologies Private Limited","India","2025-09-18","","direct_data","yearly",200000.0,700000.0,"INR",False,"","","organic","","**Position: Python Developer (1\\-2 years)**

**Location \\- Mumbai**

**Open for candidates from Mumbai only**

**Immediate Joiners only**

We are looking for an experienced developer to join our team. You must have 1\\-2 years of work experience in Python and should have delivered at least 2 projects.

**Role Objectives and Responsibilities:**

* Develop, test and maintain high\\-quality software using the Python programming language.
* Design and implementation of low\\-latency, high\\-availability, and high\\-performance applications
* Integrate data storage solutions such as databases, key\\-value stores, blob stores, etc.
* Participate in the entire software development lifecycle.
* Write clean, high\\-quality and reusable code that can be easily maintained and scaled.
* Integrate user\\-facing elements developed by front\\-end developers with server\\-side code/ logic
* Implement security and data protection measures
* Follow design \\& development best practices (including code coverage, secure development)
* Participate in developer code reviews and provide feedback on coding/security standards.
* Manage builds, deployments and environments.
* Experience in a fast\\-paced work environment/ projects.

**Key skills \\& Qualification:**

* Bachelor’s degree in computer science, engineering, or a related technical field
* 1\\-2 Years of relevant experience in Python Web Development.
* Cloud, SaaS based multi tenant development experience
* Hands\\-on with Fast APIs, Flask, Django or similar technologies
* Microservices – API based architectural experience
* Hands\\-on experience using RDBMS (preferably in PostgreSQL)
* Knowledge of object\\-relational mapping (ORM)
* Unit Testing to ensure superior code quality and test coverage.
* Good knowledge of structured and unstructured databases, data lakes.

**Good to have skills:**

* Understanding of deep learning frameworks such as PyTorch, TensorFlow or Keras.
* Familiarity with object detection algorithms like FasterRCNN, Yolo, SSD
* Working knowledge of how Neural networks work and various pre\\-trained models.
* Experience with DevOps/ GCP/ Docker, etc.
* Knowledge of React or frontend frameworks

**Why should I join Big Rattle?**

Big Rattle Technologies specializes into development of Mobile and Web applications. Our clients include Fortune 500 companies. Over the past 13 years, we have delivered multiple projects for clients from various industries like FMCG, Restaurants, Banking and Finance, Automobiles, Ecommerce, Television and Broadcast Agencies. Big Rattle Technologies Private Limited is ISO27001:2022 certified and CyberGRX certified.

**What We Offer:**

* Opportunity to work on diverse projects for Fortune 500 clients and various industries.
* Competitive salary and performance\\-based growth
* A dynamic, collaborative, and growth\\-oriented work environment.
* Direct impact on product quality and client satisfaction.
* 5\\-day hybrid work week.
* Certification Reimbursement.
* Healthcare Coverage.

Job Type: Full\\-time

Pay: ₹200,000\\.00 \\- ₹700,000\\.00 per year

Benefits:

* Flexible schedule
* Health insurance
* Leave encashment
* Life insurance
* Provident Fund
* Work from home

Application Question(s):

* Any Knowledge of ORM?
* Any Knowledge in FE Technologies like Javascript, Html?
* Any experience in frameworks like Numpy and Panda?
* What is your notice period?
* Are you from Mumbai/Navi Mumbai/Thane?
* Any Experience in frameworks like Django, FastAPI, Flask?
* Any experience in Cloud, SaaS based multi tenant development?
* What is your current CTC? and in hand salary per month
* What is your expected CTC? and expectation of in hand salary per month
* Any Hands\\-on experience using RDBMS (PostgreSQL or MySQL) ?

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE597660.htm","https://media.glassdoor.com/sql/597660/big-rattle-technologies-squarelogo-1456738094369.png","","","","","","","","","","",""
"gd-1009880206936","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880206936","","Developer (Python | PySpark)","NRCUP INDIA","Bengaluru","2025-09-18","","direct_data","yearly",8000000.0,10000000.0,"INR",False,"","","organic","","We’re Hiring – Developer (Python \\| PySpark)

Location: Chennai / Bangalore

CTC: ₹13 – 14 LPA

Experience: 8 – 10 Years

Notice Period: Max 20 Days

Key Responsibilities:

Design, develop \\& maintain scalable data pipelines using PySpark on cloud (AWS / Azure / GCP)

Write complex, optimized SQL queries for data extraction, transformation \\& analysis

Build automation scripts \\& data processing tools using Python

Skills Required:

Strong hands\\-on experience in Python \\& PySpark

Expertise in SQL \\& Cloud platforms

Ability to deliver efficient, scalable data solutions

Job Types: Full\\-time, Permanent

Pay: ₹8,000,000\\.00 \\- ₹10,000,000\\.00 per year

Benefits:

* Provident Fund

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009880116344","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880116344","","Lead AI/ML Engineer","Optum","Hyderābād","2025-09-18","","direct_data","yearly",240000.0,582000.0,"INR",False,"","","sponsored","","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start **Caring. Connecting. Growing together.**

  



We are seeking a highly skilled and experienced Senior AI Developer to join our team in India. The ideal candidate will have a solid background in AI development and proven experience in communicating with senior management. This role requires a strategic thinker who can drive AI initiatives and collaborate effectively with various stakeholders.

  


**Primary Responsibilities:**


* Lead the development and implementation of AI solutions to address business challenges
* Collaborate with cross\\-functional teams to integrate AI technologies into existing systems
* Communicate complex AI concepts and project updates to senior management and other stakeholders
* Stay updated with the latest advancements in AI and machine learning technologies
* Mentor and guide teams in AI development best practices
* Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re\\-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so

**Required Qualifications:**

* Bachelor's degree in Computer Science, Artificial Intelligence, or a related field
* 15\\+ years of experience in software engineering.
* 5\\+ years of experience in AI development, including hands\\-on experience with machine learning, deep learning, and natural language processing.
* 3\\+ years of experience in AI operations (AI Ops).
* Proven experience in communicating with senior management, including presenting technical information in a clear and concise manner
* Experience with AI frameworks and tools such as TensorFlow, PyTorch, or Keras
* Experience with Large Language Models (LLMs) and their applications in natural language processing tasks
* Proven solid programming skills in languages such as Python, R, or Java
* Proven solid interpersonal and communication skills, with the ability to work effectively in a team environment
* Proven excellent problem\\-solving skills and the ability to think critically and creatively

 **Preferred Qualifications:**

* Experience in the healthcare industry
* Knowledge of cloud platforms such as AWS, Azure, or Google Cloud

 *At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone\\-of every race, gender, sexuality, age, location and income\\-deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes \\- an enterprise priority reflected in our mission.*\\#exetech","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
"gd-1009880184656","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880184656","","Junior Python Developer","Clepr Technologies","Mohali","2025-09-18","","direct_data","monthly",15000.0,35000.0,"INR",False,"","","organic","","**Job Title:** Python AI Developer

**Location:** \\[On\\-site]

**Experience Required:** Minimum 1 year

**Job Overview**

We are looking for a highly motivated and skilled **Python AI Developer** who has hands\\-on experience in building AI\\-driven applications, particularly using **RAG (Retrieval\\-Augmented Generation)** frameworks, **LLMs (Large Language Models)**, and modern AI agentic systems. The ideal candidate should have practical experience with frameworks like **Ollama, LangChain, or similar**, and a solid understanding of **AI Agents and Agentic Architectures**.

**Key Responsibilities**

* Design, develop, and deploy AI\\-powered solutions leveraging **RAG pipelines and LLMs**.
* Work with **Ollama, LangChain**, or similar frameworks to build intelligent conversational agents.
* Implement and optimize **AI Agent and Agentic Agent architectures** for various projects.
* Integrate AI models with APIs, databases, and knowledge bases to build scalable solutions.
* Collaborate with cross\\-functional teams to translate business requirements into technical implementations.
* Write clean, modular, and well\\-documented **Python code**.
* Perform research and prototyping of new AI technologies to enhance current solutions.

**Required Skills \\& Experience**

* **Minimum 1 year of experience** as an AI/ML or Python Developer.
* Strong proficiency in **Python** and libraries like FastAPI, Flask, or Django.
* Hands\\-on experience with **RAG architectures** and **LLMs** (OpenAI, LLaMA, Falcon, etc.).
* Experience with **Ollama, LangChain, or other AI frameworks**.
* Knowledge of **AI Agents and Agentic Agent systems** (e.g., Auto\\-GPT, BabyAGI, CrewAI).
* Familiarity with vector databases (Pinecone, FAISS, Weaviate, Milvus).
* Good understanding of NLP pipelines, embeddings, and model fine\\-tuning.
* Experience with APIs, cloud services (AWS/GCP/Azure), and containerization (Docker).
* Problem\\-solving mindset and ability to work independently on AI projects.

**Preferred Qualifications (Nice to Have)**

* Prior contributions to open\\-source AI agentic frameworks.
* Knowledge of advanced prompt engineering techniques.
* Exposure to RAG\\-enhanced chatbots and document Q\\&A systems.
* Understanding of MLOps and model deployment pipelines.

**What We Offer**

* Competitive salary based on skills and experience.
* Opportunity to work on cutting\\-edge AI projects with RAG and LLM integrations.
* A collaborative, innovation\\-driven environment with career growth potential.
* Flexible working hours and remote\\-friendly culture.

Job Type: Full\\-time

Pay: ₹15,000\\.00 \\- ₹35,000\\.00 per month

Experience:

* Python: 1 year (Preferred)

Location:

* Mohali, Punjab (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879795827","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879795827","","Python Developer - API Testing/Immediate/Remote","GiantMind Solutions","","2025-09-18","","","","","","",True,"","","organic","","**Key Responsibilities:**

**Design, develop, and maintain robust and scalable backend applications and services using Python and relevant frameworks (e.g., Django, Flask, FastAPI).**

**Design, implement, and optimize MySQL databases, including schema design, table creation, and view management.**

**Write and optimize complex SQL queries for data retrieval, manipulation, and reporting.**

**Integrate Python applications with MySQL databases, ensuring efficient data exchange and integrity.**

**Collaborate with front\\-end developers to define API specifications and integrate backend services.**

**Perform testing, debugging, and performance tuning of Python applications and MySQL queries.**

**Implement data processing pipelines and ensure data security and integrity.**

**Participate in code reviews, contribute to architectural discussions, and adhere to best practices.**

**Monitor database performance, identify bottlenecks, and implement solutions for optimization.**

**Stay updated with the latest Python and MySQL technologies and trends.**

Required Skills and Experience:

Proficiency in Python programming language and its core concepts.

Experience with Python web frameworks like Django, Flask, or FastAPI.

Strong understanding of relational database concepts and extensive experience with MySQL.

Expertise in writing and optimizing complex SQL queries.

Experience in API Testing

Experience with database design, modeling, and administration.

Familiarity with RESTful APIs and microservices architecture.

Knowledge of version control systems, preferably Git.

Understanding of data structures, algorithms, and object\\-oriented programming (OOP).

Experience with testing frameworks and debugging tools.

Excellent problem\\-solving and analytical skills.

Job Types: Full\\-time, Contractual / Temporary  
Contract length: 3 months

Application Question(s):

* Do you have experience with FastAPI?
* Are you fine with short term contract(2\\-3 Months)?

Experience:

* Python: 6 years (Required)
* API Testing: 5 years (Required)

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE10536103.htm","","","","","","","","","","","",""
"gd-1009878927921","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009878927921","","Sr Software Engineer","CommScope Inc.","Bengaluru","2025-09-18","","direct_data","yearly",336000.0,973000.0,"INR",False,"","","sponsored","talentacquisition@commscope.com","In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.  

  

Are you a tech enthusiast who loves exploring new technologies, getting hands\\-on, and setting engineering best practices for the current generation? Do you aspire to own and architect next\\-gen cloud products?  

  

Join our dynamic and focused team to develop state\\-of\\-the\\-art WiFi and IoT applications. As a Senior Software Engineer, you will implement core software components and be involved in scalable software architecture design. This is an opportunity to develop cutting\\-edge IoT services. You will work with a variety of technologies including GoLang, Python, and Java, and explore new tech stacks to meet evolving challenges and drive innovation.  

  

**How You'll Help Us Connect the World**  

* **Lead Technical Initiatives:** Design and develop complex features and system components. Provide technical leadership and mentorship to engineering teams.
* **Design Subsystems:** Create scalable and efficient back\\-end architectures that align with business goals and technical requirements.
* **Collaborate Cross\\-Functionally:** Work closely with product managers, designers, and other engineers to understand requirements, propose solutions, and deliver high\\-quality products.
* **Develop and Maintain Code:** Write clean, maintainable, and efficient code in GoLang, Python, Java, and other technologies. Ensure the reliability, performance, and security of back\\-end systems.
* **Drive Innovation:** Explore and evaluate new technologies, tools, and methodologies to continuously improve our development processes and product offerings.
* **Code Review and Best Practices:** Conduct code reviews, ensure adherence to best practices, and promote high standards for software quality and development processes.
* **Problem Solving:** Troubleshoot and resolve complex technical issues. Identify root causes and implement effective solutions.
* **GenAI Adoption:** Effectively incorporate and utilize Generative AI within the engineering development process to fully leverage its benefits.
* **Documentation and Reporting:** Maintain comprehensive documentation of code, architecture, and processes. Report progress, challenges, and achievements to stakeholders.

  

**Qualifications:**  

* **Education:** BE in Computer Science, Engineering. Advanced degrees or certifications are a plus.
* **Experience:** 4\\+ years of professional experience in back\\-end software development.
* **Technical Skills:** Proven experience with Go, Python, and Java, with a strong understanding of their ecosystems and frameworks.
* **Development Practices:** Experience with modern software development practices including Agile methodologies, CI/CD, and DevOps.
* **Systems Knowledge:** Experience with distributed systems, microservices architecture, and cloud platforms (GCP, Azure, AWS).

  

**You Will Excite Us If You Have**  

* **API Design:** Proficiency in designing and implementing RESTful APIs and working with databases (SQL and NoSQL).
* **Problem\\-Solving:** Strong analytical and problem\\-solving skills.
* **Communication:** Excellent communication and collaboration skills.
* **Tech Savvy:** Ability to stay up\\-to\\-date with emerging technologies and industry trends.
* **Containerization:** Experience with containerization and orchestration technologies (Docker, Kubernetes).
* **Front\\-End Knowledge:** Knowledge of front\\-end technologies and frameworks (React, Angular, etc.) is a plus.
* **Networking:** Knowledge of networking background is a huge plus.

  

Some reference links:  

* https://www.ruckusnetworks.com/products/iot\\-networking\\-systems/
https://www.youtube.com/playlist?list\\=PLySwoo7u9\\-KKFiezMUeOd6LskdvU3FM5n  
* 

  

  

What happens after you apply**:**  

  

Learn how to prepare yourself for the next steps in our hiring process by visiting https://jobs.commscope.com/content/How\\-We\\-Hire/?locale\\=en\\_US
  

  

**Why CommScope?**  

  

CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables game\\-changing discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.  

  

RUCKUS Networks builds and delivers purpose\\-driven networks that perform in the demanding environments of the industries we serve. Together with our network of trusted go\\-to\\-market partners, we empower our customers to deliver exceptional experiences to the guests, students, residents, citizens and employees who count on them. **www.ruckusnetworks.com**
  

  

If you want to grow your career alongside bright, passionate, and caring people who strive to create what's next.....come connect to your future at CommScope.  

  

CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at talentacquisition@commscope.com
  

  

**Learn more about how we're on a quest to connect the future and build what's next.**  

  

**Job Segment:** Front End, Cloud, Software Engineer, Developer, Java, Technology, Engineering","","https://www.glassdoor.co.in/Overview/W-EI_IE7061.htm","https://media.glassdoor.com/sql/7061/commscope-squareLogo-1691384361544.png","","","","","","","","","","",""
"gd-1009879960935","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879960935","","AI/ML Trainee Developer","Acetech Information Systems Pvt. Ltd","","2025-09-18","","direct_data","monthly",15321.0,50004.0,"INR",True,"","","organic","","We are seeking a motivated and curious **AI/ML Trainee Developer** to join our team. This role is designed for fresh graduates or early\\-career professionals with a strong interest in Artificial Intelligence and Machine Learning. The trainee will work under the guidance of senior developers and project leads to learn, design, and implement AI/ML solutions that solve real\\-world problems across diverse domains such as healthcare, logistics, SaaS platforms, and enterprise applications.

**Key Responsibilities**

* Assist in the **design, development, and testing** of AI/ML models for various projects.
* Perform **data preprocessing, cleaning, and feature engineering** to prepare datasets for training.
* Explore and apply standard ML algorithms (classification, regression, clustering, anomaly detection, NLP, etc.).
* Work with **Python, TensorFlow, PyTorch, Scikit\\-learn, and NLP libraries** to build prototypes and proof\\-of\\-concepts.
* Collaborate with the engineering team to **integrate ML models into production systems** (APIs, web apps, or mobile apps).
* Conduct literature reviews and explore **state\\-of\\-the\\-art AI techniques** to suggest innovative solutions.
* Assist in **evaluation and performance tuning** of ML models.
* Document research findings, experiments, and results for knowledge sharing within the team.

**Required Skills \\& Qualifications**

* Bachelor’s degree in Computer Science, Engineering, Mathematics, Statistics, or related field.
* Strong foundation in **Python programming**.
* Basic knowledge of **Machine Learning algorithms** and statistics.
* Understanding of **data structures, algorithms, and problem\\-solving techniques**.
* Familiarity with **SQL and databases** for handling datasets.
* Exposure to ML libraries/frameworks like **NumPy, Pandas, Scikit\\-learn** (hands\\-on projects a plus).
* Good communication skills and eagerness to **learn and adapt quickly**.

**Preferred (Nice\\-to\\-Have) Skills**

* Familiarity with **deep learning frameworks** (TensorFlow/PyTorch/Keras).
* Understanding of **Natural Language Processing (NLP)** concepts.
* Knowledge of **cloud platforms** (Azure, AWS, GCP) for AI/ML deployment.
* Experience with version control (Git) and working in collaborative environments.
* Exposure to **LangChain, RAG, or LLMs** (bonus if familiar).

**Personal Attributes**

* Strong analytical mindset with a passion for **AI/ML research and experimentation**.
* Ability to work in a **team\\-oriented, fast\\-paced environment**.
* Self\\-motivated, with strong curiosity to explore **new technologies and frameworks**.
* Willingness to take on challenges and solve real\\-world problems using AI.

**Growth Opportunities**

* Hands\\-on mentorship from senior AI/ML engineers.
* Real\\-world exposure to **AI in healthcare, logistics, SaaS, and enterprise products**.
* Opportunity to transition into **AI Engineer / Data Scientist roles** based on performance.

Job Type: Full\\-time

Pay: ₹15,321\\.56 \\- ₹50,004\\.38 per month

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE669357.htm","https://media.glassdoor.com/sql/669357/acetech-information-systems-squarelogo-1512400653378.png","","","","","","","","","","",""
"gd-1009880116324","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880116324","","Principal Full Stack Engineer","Optum","Hyderābād","2025-09-18","","direct_data","yearly",614675.0,1050000.0,"INR",False,"","","sponsored","","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start **Caring. Connecting. Growing together.**

  

We are seeking an experienced Full Stack Developer to lead the integration of Power BI Embedded analytics into our customer\\-facing products. The ideal candidate will have strong expertise in both front\\-end and back\\-end development, specifically in building secure, scalable web applications, use of REST API's that serve embedded Power BI dashboards and reports to external clients. This role involves managing the end\\-to\\-end implementation, from configuring Azure services to developing the client\\-side user interface

 **Primary Responsibilities:**

* Full\\-stack development: Design, develop, and maintain the host application's front\\-end and back\\-end, including web interfaces, APIs, and business logic required to support embedded analytics
* Authentication and security: Architect and implement secure authentication and authorization protocols (e.g., service principal profile) to ensure Row\\-Level Security (RLS) and grant customers access only to their relevant data
* Azure cloud services: Configure and manage necessary Azure services, including Azure Active Directory (now Microsoft Entra ID), Power BI Embedded capacity, and relevant data sources (e.g., Azure SQL Database, Azure Data Lake)
* Data integration and modeling: Collaborate with data engineers to ensure robust and performant data pipelines, and apply expertise in data modeling (using Power BI Desktop and DAX) to create performant datasets for customer\\-facing reports
* Customer engagement: Work directly with customers and product managers to gather requirements, provide technical consultation, and deliver an intuitive, high\\-performance embedded analytics experience.  

Performance optimization: Continuously monitor and optimize the performance of embedded reports, addressing issues related to data refresh, query execution, and report rendering speed
* Testing and maintenance: Conduct unit and integration testing of all embedded components and manage ongoing maintenance and upgrades of the embedded solution
* Copilot (Github, Azure, etc.): Code Generation, Test case generation, Error troubleshooting and code refactoring, Insights Generation, etc.  

Microsoft Copilot Studio \\+ Power Automate : Create AI Agents for Automation and Productivity enhancement (nice to have)
* Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re\\-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so

**Required Qualifications:**

* Bachelor's degree in Computer Science, Information Technology, or a related field with relevant experience
* 6\\+ years of experience in software development and platform administration
* Proven experience as a full\\-stack developer with a solid understanding of both front\\-end and back\\-end technologies
* Demonstrable experience integrating Power BI Embedded (or similar embedded analytics) into custom web applications for external customers
* Experience with Azure services, including Azure AD (Microsoft Entra ID), App Registrations, and Power BI Embedded capacity management
* Experience with server\\-side languages and frameworks (e.g., .NET, Node.js, React JS, Python) for building APIs
* Hands\\-on experience with Programming languages such as Python, .Net, C\\#, Java
* Experience with Azure cloud services
* Experience with Terraform for managing Infrastructure as Code (IaC) based platforms
* Server: Experience working with Apache servers with a solid background in Linux
* Development languages: Knowledge of server\\-side programming languages including Net, Java, Ruby and Python
* Basic design ability: Including knowledge of UI/UX and basic prototype design
* Database and cache: Familiarity with DBMS technology, including SQLServer, Oracle, MongoDB and MySQL and caching mechanisms such as Redis, Memcached and Varnish
* Proficiency in front\\-end development using modern JavaScript frameworks (e.g., React, Angular, Vue), along with HTML and CSS
* Proficiency in Python and React JS for application development.  

Strong understanding of data modeling concepts, DAX, and Power Query
* Proven solid SQL skills for optimizing queries on large datasets and platform metadata
* Proven solid skills with automation tools like Power Automate, shell scripting, or PowerShell
* Proven ability to thrive in dynamic environments with shifting priorities
* Demonstrated expertise in debugging, data analysis, and vulnerability management
* Proven ability to build and maintain positive working relationships across teams and leadership levels
* Front\\-end technology: Proven expertise in front\\-end technologies, including .Net, C\\#, JavaScript, CSS3 and HTML5 and third\\-party libraries such as React Js, Angular, jQuery
* Proven excellent writing and communication skills
* Proven ability to visualize a proposed system and be able to build it

 **Preferred Qualification:**

* 1\\+ years of experience in the healthcare domain

 *At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone\\-of every race, gender, sexuality, age, location and income\\-deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes \\- an enterprise priority reflected in our mission.*


\\#exetech","","https://www.glassdoor.co.in/Overview/W-EI_IE2409113.htm","https://media.glassdoor.com/sql/2409113/optum-squareLogo-1752691189920.png","","","","","","","","","","",""
