"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009879686758","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879686758","","QA Tester","daiviktech","Cochin","2025-09-18","","","","","","",False,"","","organic","","#### **Job Overview**


Do you like to test large applications that serve a huge customer base with constantly growing demand and usage?


We are seeking a QA Tester whose primary responsibility will be to run and test systems, applications and software products to identify issues.


You should report all the bugs and execute test cases efficiently. Your ultimate goal will be to make sure that all our systems and apps work smoothly without any glitch.


If you consider yourself competent enough to carry out this role successfully, this job is for you.


#### **Responsibilities**

* Running and testing new apps and software.
* Executing all levels of QA tests that are System, Integration, and Regression.
* Developing test design, test process, test data, test automation, and test cases and prioritizing test activities.
* Analyzing the system and ensuring the test strategy is aligned with the requirements of the development process.
* Executing and clearly documenting test plans (not just the test cases) for the module covering all aspects of testing for software quality.
* Identifying bugs and creating reports to highlight the status of all modules.
* Updating all bug databases with accurate and complete information.
* Running debug programs to fix the defects.
* Coordinating with the development team of Software QA Engineers and Software Test Manager for the development of effective test plans and strategies.
* Making improvements to the system throughout the software development phase.
* Dealing with the maintenance of test environments.

#### **Requirements**

* Bachelor’s or Master’s Degree in Computer Science, Information Technology or equivalent.
* 2\\-5 years of relevant experience in QA Engineer, Software Tester or a similar role.
* Professional Certifications like ISTQB and CTFL Certifications will be preferred.
* Strong understanding of Software Development methodologies like Agile, Defect Management System, Quality Assurance and documentation.
* Excellent knowledge of Selenium IDE, Selenium web driver, NUnit, Loadrunner, JMeter, etc.
* Outstanding knowledge designing and writing automation test scripts.
* Strong analytical and troubleshooting skills
* Exceptional understanding of Database testing SQL.
* Working knowledge of software programming languages.
* Excellent organizational and project management skills.
* Good oral and written communication skills
* Effective time management.
* Strong critical thinking.
* Ability to solve complex problems.","","","","","","","","","","","","","",""
"gd-1009879025279","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879025279","","Game QA Tester","Playdawn Consulting","Bengaluru","2025-09-18","","direct_data","yearly",312500.0,611000.0,"INR",False,"","","organic","","**Game QA**
===========


**Location:** Bangalore  

**Employment Type:** Full\\-time (On\\-site), Normal Day timings


### **About**



Our client is a mobile game development studio creating **high\\-quality word puzzle games for a global audience**. Our games focus on **visual fidelity, smooth functionality, and engaging gameplay**, matching the standards of the worlds top mobile games. We are passionate about delivering seamless user experiences that delight players everywhere.


### **Role Overview**



As a **Game Tester**, you will play a critical role in ensuring the **quality, stability, and performance** of our mobile games. You will work closely with developers, designers, and product managers to identify bugs, verify fixes, and ensure the game feels polished and enjoyable for players across devices and regions.


### **Key Responsibilities**


* Test mobile word puzzle games across multiple devices, OS versions, and screen resolutions.
* Identify, log, and track bugs, glitches, or usability issues with clear documentation.
* Verify fixes and conduct regression testing to ensure no new issues are introduced.
* Evaluate **UI/UX, animations, performance, and game functionality** against global top game benchmarks.
* Collaborate with developers and designers to reproduce and troubleshoot reported issues.
* Contribute to test plans and suggest improvements to enhance game quality and player experience.
* Provide feedback on gameplay balance, difficulty, and user engagement from a players perspective.

### **Requirements**


* Bachelors degree in Computer Science, Game Design, or related field (preferred, not mandatory).
* 2 \\- 4 years of experience in **game testing** (mobile testing experience required).
* Strong knowledge of **mobile platforms (iOS \\& Android)** and mobile testing tools.
* Familiarity with bug tracking tools such as **JIRA, Trello, or Bugzilla**.
* Good understanding of **UI/UX, performance optimization, and player experience**.
* Excellent attention to detail, communication, and documentation skills.
* Passion for games, especially puzzle or word games, with an eye for quality.","","https://www.glassdoor.co.in/Overview/W-EI_IE2349010.htm","https://media.glassdoor.com/sql/2349010/playdawn-squarelogo-1630063810374.png","","","","","","","","","","",""
"gd-1009880175540","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880175540","","Manual Tester / Quality Analyst","Ayekart Private Limited","Pune","2025-09-18","","direct_data","yearly",500000.0,700000.0,"INR",False,"","","organic","jobs@ayekart.com","We are looking for a skilled Manual Tester / Quality Analyst with 3\\+ years of experience to join our QA team in Pune.

**Key Responsibilities:**

Create, review, and execute test cases, test plans, and test scenarios

Perform functional, regression, integration, and system testing of web and mobile applications

Identify, document, and track defects using tools like Slack, JIRA, or Bugzilla

Work closely with development and product teams to reproduce and resolve issues

Validate bug fixes and perform re\\-testing

Ensure test coverage, prepare test reports, and maintain QA documentation

**Required Skills:**

3\\+ years of hands\\-on manual testing experience

Strong understanding of STLC, SDLC, and defect life cycle

Proficiency in test case writing \\& execution

Knowledge of SQL and database testing

Familiarity with bug\\-tracking tools

Strong analytical, problem\\-solving, and communication skills

**Good to Have (Optional):**

API testing experience (Postman, Swagger, etc.)

Automation tools exposure (Selenium, etc.)

Agile methodology knowledge

**Why Join Us?**

Work on impactful projects

Learning\\-driven, collaborative environment

Career growth opportunities

**Email:** jobs@ayekart.com

Job Type: Full\\-time

Pay: ₹500,000\\.00 \\- ₹700,000\\.00 per year

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009880100472","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880100472","","Software Tester (Manual)","SpireHub Softwares Private Limited","India","2025-09-18","","direct_data","yearly",200000.0,400000.0,"INR",False,"","","organic","","**Job Summary:**  
We are looking for a detail\\-oriented **Software Tester (Manual/Automation)** to ensure the quality, performance, and reliability of our software products. The ideal candidate will have experience in both manual and automated testing and a strong understanding of the software development lifecycle.

**Key Responsibilities:**

* Design, develop, and execute test cases for web, mobile, and desktop applications.
* Perform manual testing for functional, regression, integration, and system testing.
* Develop, maintain, and execute automated test scripts using tools like Selenium, QTP, or similar.
* Identify, record, track, and report bugs and issues using bug tracking tools (e.g., JIRA).
* Collaborate with developers, product managers, and other stakeholders to ensure software quality.
* Participate in requirement analysis and contribute to the test strategy.
* Ensure timely execution of testing activities and meet project deadlines.
* Continuously improve testing processes, tools, and best practices.

**Required Skills \\& Qualifications:**

* Bachelor’s degree in Computer Science, IT, or related field.
* Proven experience in manual and/or automation testing.
* Strong knowledge of SDLC, STLC, and QA methodologies.
* Hands\\-on experience with testing tools like Selenium, Postman, JIRA, or similar.
* Basic knowledge of programming/scripting languages is a plus (Java, Python, etc.).
* Excellent analytical, problem\\-solving, and communication skills.
* Ability to work independently and as part of a team.

**Preferred Qualifications:**

* Certification in Software Testing (ISTQB, CSTE, or equivalent).
* Experience with Agile/Scrum methodology.
* Knowledge of CI/CD and DevOps pipelines is a plus.

**What We Offer:**

* Opportunity to work with advanced technologies and diverse projects.
* Supportive and collaborative work environment.
* Career growth and skill development opportunities.

Job Types: Full\\-time, Permanent

Pay: ₹200,000\\.00 \\- ₹400,000\\.00 per year

Benefits:

* Cell phone reimbursement
* Health insurance
* Paid sick time
* Paid time off
* Provident Fund

Experience:

* Software testing: 1 year (Required)

Language:

* English (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879140454","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879140454","","Manual QA Engineer II","Fivetran","Bengaluru","2025-09-18","","direct_data","yearly",300000.0,918000.0,"INR",False,"","","organic","","From Fivetran’s founding until now, our mission has remained the same: to make access to data as simple and reliable as electricity. With Fivetran, customer data arrives in their warehouses, canonical and ready to query, with no engineering or maintenance required. We’re proud that more organizations continue to leverage our technology every day to become truly data\\-driven.

**About the Role**



We are looking for a QA Engineer who will focus on solving complex testing difficulties by designing and executing test plans, test scenarios and test cases. The engineer will invest in improving the testing process at Fivetran. The ideal candidate will be highly technical, detail\\-oriented, creative, motivated, and focused on achieving results.



This is a full\\-time position based out of our Bangalore office. Our hybrid work model offers a blend of remote flexibility and in\\-person collaboration, including two days in the office each week to connect and build as a team.


**Technologies You’ll Use**


* Docker, AWS, GCP, OnPrem
* Postgres, REST API
* Java,C, Python
* Git, Jenkins


**What You’ll Do**


* Execute test cases (manual or automated) and analyze results
* Arranging environments to execute the test cases
* Conduct post\\-release/ post\\-implementation testing
* Analyzing the requirements
* UX/UI testing
* Communicating with test and product managers
* Working with test plans
* Report bugs and errors to development teams
* Summary reports
* Writing test scenarios
* Develop a deep expertise of Fivetran’s Product, Infrastructure and Platform
* Support other QA engineers teammates through training, mentoring and problem solving


**Skills We’re Looking For**


* Proven 7\\+ experience as a Quality Assurance Tester or similar role
* Familiarity with Agile frameworks and regression testing
* Ability to document and troubleshoot errors
* Independence in creating test validation steps for complex end\\-to\\-end scenarios
* Working knowledge of test management software
* SQL knowledge
* Attention to details
* Analytical mind and problem\\-solving aptitude
* Experience in DataReplication domain
* Hands\\-on experience working with cloud technologies \\& containerization methodologies like docker, VM's and Data warehousing
* Good written and verbal English skills to support complex analysis.
* Knowledge of ETL/Data pipelines.
* Exp with Database setup
* Experience in creating or maintaining automation tests is a huge plus


\\#LI\\-HYBRID \\#LI\\-VM1


**Perks and Benefits**


* 100% employer\\-paid medical insurance**\\***
* Generous paid time\\-off policy (PTO), plus paid sick time, inclusive parental leave policy, holidays, and volunteer days off
* RSU stock grants\\*
* Professional development and training opportunities
* Company virtual happy hours, free food, and fun team\\-building activities
* Monthly cell phone stipend
* Access to an innovative mental health support platform that offers personalized care and resources in areas such as: therapy, coaching, and self\\-guided mindfulness exercises for all covered employees and their covered dependents.


* *May vary by country and worker type \\- please reach out to your recruiter for more information*

  



We’re honored to be **valued at over $5\\.6 billion**, but more importantly, we’re proud of our **core values of Get Stuck In, Do the Right Thing, and One Team, One Dream**. Read about us in **Forbes**.



Fivetran brings together high\\-quality talent across the globe to make data access as easy and reliable as electricity for our customers. We value and recognize that our customers benefit from having innovative teams made of people from many backgrounds, experiences, and identities. Fivetran promotes diversity, equity, inclusion \\& belonging through attracting, recruiting, developing, and retaining a diverse workforce, not only because it is the right thing to do, but because it helps us build a world\\-class company to better serve our customers, our people and our communities.

  



*We are committed to ensuring that all candidates have an equal opportunity to participate in our interview process. If you require accommodations at any stage of the process due to a disability, medical condition, or any other circumstance, please don't hesitate to submit your request* *We will work with you to provide reasonable accommodations to facilitate your participation and ensure a fair and accessible interview experience. Your request and any information provided will be kept confidential and will not impact your candidacy. We look forward to hearing from you and accommodating your needs to the best of our ability.*","","https://www.glassdoor.co.in/Overview/W-EI_IE1415980.htm","https://media.glassdoor.com/sql/1415980/fivetran-squareLogo-1656708973967.png","","","","","","","","","","",""
"gd-1009879782093","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879782093","","Quality Analyst ( Tester)","Paras Technologies","Mohali","2025-09-18","","direct_data","monthly",10000.0,35000.0,"INR",False,"","","organic","","**For Software Tester**

**Job brief:**

We are looking for apassionate Software Tester to join our team!. As a Software Tester at our company, you will have the opportunity to work on new and exciting projects and develop your career.

**Software Tester duties and responsibilities:**

* Good Communication Skills is must.
* Collaborate closely with other team members and departments
* Execute all levels of testing (System, Integration, and Regression)
* Design and develop automation scripts when needed
* Detect and track software defects and inconsistencies
* Provide timely solutions
* Apply quality engineering principals throughout the Agile product lifecycle
* Provide support and documentation

**Software Tester requirements and qualifications:**

Ability to handle multiple tasks simultaneously.

* Ability to work in a fast\\-paced environment with minimal supervision.
* Sense of ownership and pride in your performance and its impact on the company’s success
* Critical thinker and problem\\-solving skills.
* Team player.
* Good time\\-management skills.
* Great interpersonal and communication skills are must.

Job Type: Full\\-time

Pay: ₹10,000\\.00 \\- ₹35,000\\.00 per month

Benefits:

* Health insurance

Experience:

* QA: 1 year (Preferred)

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE1343257.htm","https://media.glassdoor.com/sql/1343257/paras-technologies-squarelogo-1557750820739.png","","","","","","","","","","",""
"gd-1009879498106","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879498106","","Quality Assurance Trainee","Talentfied","India","2025-09-18","","","","","","",False,"","","organic","","We are looking for a QA intern with basic understanding of programming and has sufficient level of curiosity to explore the application’s limitations and scope.The QA intern will be working in an agile team environment with the development team and project managers. You will be engaging in testing an application manually and creating test automation.

**What you’ll do:**

* Create, execute and analyze test cases and results
* Report bugs and errors to the development team
* Assist in replicating and troubleshooting issues
* Have the initiative to search for solutions and share them with the team
* Perform manual testing of applications
* Create and maintain test automation

**Why we’re excited about you:**

* You understand the basic concept of testing and programming cycle
* You have the ability to think outside the box
* You have been in a team with you as a tester
* Graduating Students are preferred

**What you’ll learn about from this internship:**

* Create test case and test plan documents
* Perform manual, regression and/or smoke testing
* Automation testing using Playwright (Javascript Programming Language)
* Importance of team coordination and communication

**Benefits** :

* Remote, work from home
* Tamperproof Certificate of Completion
* Full time job opportunity for top performer
* Completion Bonus

Job Type: Internship  
Contract length: 6 months

Benefits:

* Flexible schedule
* Work from home

Application Question(s):

* How many hours are you available per week for this internship? (Can be 30 \\-40 hours/week)
* What is your preferred working schedule (days and times of day in Singapore Time, SGT GMT \\+8\\)?
* Are you open to a 4 to 6 months internship?
* How long before you will graduate?
* Are you open to a Full\\-time position after this internship? This is a remote, work\\-from\\-home setting.
* Provide a link to your portfolio/past work outputs.","","","","","","","","","","","","","",""
"gd-1009880153411","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880153411","","Automation and Manual Tester","AVIA Technologies","India","2025-09-18","","direct_data","yearly",180000.0,240000.0,"INR",False,"","","organic","","**Job Title: Automation \\& Manual Tester** 

**Location:** Bangalore  
**Employment Type:** Full\\-time  
**Experience Required:** 6 months to 2 Years

**Job Summary:**

We are looking for a passionate and detail\\-oriented **Automation \\& Manual Tester** with 2 years of experience to join our QA team. The candidate will be responsible for ensuring the quality and reliability of applications by designing, executing, and automating test cases.

**Key Responsibilities:**

* **Windows Automation experience is mandatory. (if have knowledge also fine)**
* Design, develop, and execute **manual test cases** for functional, regression, integration, and system testing.
* Create, maintain, and execute **automation test scripts** using tools like Selenium, TestNG, JUnit, or similar.
* Perform **bug tracking and reporting** using JIRA, Bugzilla, or other tools.
* Collaborate with developers, business analysts, and product owners to ensure clear requirements and quality deliverables.
* Conduct **API testing** using tools such as Postman or RestAssured.
* Participate in **test planning, test strategy, and estimation activities**.
* Ensure test coverage and maintain proper **documentation** for all test cases and results.
* Identify areas for **automation improvements** and contribute to building regression suites.
* Support UAT and production release validation.

**Required Skills \\& Qualifications:**

* Bachelor’s degree in Computer Science, IT, or a related field.
* **2 years of experience** in both manual and automation testing.
* Hands\\-on experience with **automation tools** like Selenium WebDriver, TestNG, or similar frameworks.
* Strong understanding of **SDLC, STLC, and Agile methodologies**.
* Experience with **version control tools** like Git/GitHub/Bitbucket.
* Proficiency in **writing SQL queries** for database validation.
* Knowledge of **API testing** (Postman, Rest Assured).
* Strong problem\\-solving, analytical, and communication skills.
* Attention to detail and ability to work independently or in a team.

**Good to Have:**

* Experience with **CI/CD pipelines** (Jenkins, GitLab CI).
* Knowledge of **performance testing tools** (JMeter, LoadRunner).
* Familiarity with **cloud environments** (AWS, Azure).

**Perks \\& Benefits:**

* Competitive salary package.
* Health insurance and other benefits.
* Learning \\& development opportunities.
* Friendly and collaborative work culture.

Job Type: Full\\-time

Pay: ₹180,000\\.00 \\- ₹240,000\\.00 per year

Benefits:

* Health insurance
* Paid sick time
* Provident Fund

Work Location: In person

**Speak with the employer**  
\\+91 8050341414","","","","","","","","","","","","","",""
"gd-1009879827142","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879827142","","Mainframe Hogan Tester","Luxoft","Bengaluru","2025-09-18","","direct_data","yearly",991000.0,1085000.0,"INR",False,"","","organic","","##### **Project description**

We are looking for Mainframe Hogan Engineer to join our Quality Assurance team. The ideal candidate will be responsible for designing, developing, and maintaining automated test cases using Tricentis Tosca, ensuring high\\-quality software delivery across various projects. This role will work closely with developers, business analysts, and testers to implement scalable and efficient automation solutions.


##### **Responsibilities**


Key Responsibilities:


Define and implement test automation strategy, standards, and best practices using Tricentis Tosca.


Design scalable and reusable Tosca automation frameworks tailored to enterprise needs.


Provide technical leadership across multiple automation projects and teams.


Guide implementation, including module creation, test case design, and execution setup.


Oversee integrations with CI/CD pipelines, test management tools, and DevOps environments.


Collaborate with business analysts, developers, QA, and DevOps teams to align automation with business goals.


Conduct code reviews, provide mentorship, and enforce automation standards.


Evaluate new features and tools, and make recommendations for improvement.


Lead troubleshooting and optimization of automation processes and performance.


Ensure regulatory and compliance standards are met in test environments (if applicable).


##### **Skills**


Must have


4\\+ years of Mainframe experience.


1\\+ years of Hogan application testing experience.


Experience with API and web services testing.


Knowledge of databases and the ability to write SQL queries.


Experience integrating Tosca with Jira, qTest, Jenkins, or Azure DevOps.


Exposure to SAP, Salesforce, or other enterprise platforms.


Exposure to testing the mainframe application is an added advantage.


Nice to have


Hogan Applications experience


##### **Other**


Languages


English: B1 Intermediate


Seniority


Regular


  
Bengaluru, India


Req. VR\\-114498


Hogan


BCM Industry


18/09/2025


Req. VR\\-114498","","https://www.glassdoor.co.in/Overview/W-EI_IE116344.htm","https://media.glassdoor.com/sql/116344/luxoft-squareLogo-1680621207572.png","","","","","","","","","","",""
"gd-1009880148685","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880148685","","QA Automation Engineer","ChicMic Studios","Mohali","2025-09-18","","direct_data","monthly",30000.0,90000.0,"INR",False,"","","organic","","**Job Overview:**

We are seeking a skilled Automation Tester to join our team with the experience of **2\\-5 years.** The candidate will design, implement, and maintain automation frameworks while executing automated tests to ensure software quality and reliability.

**Responsibilities:**

* B.Tech /Mtech/MCA Candidate only.
* Design, implement, and maintain automation frameworks to enhance testing efficiency.
* Develop and execute automated test scripts using Java, Python, Ruby, or C\\#.
* Perform API testing with Postman, SoapUI, and database testing using SQL.
* Conduct performance testing with JMeter/LoadRunner to evaluate scalability and responsiveness.
* Integrate automation into DevOps \\& CI/CD pipelines.
* Debug and troubleshoot automation scripts and frameworks.
* Apply security testing using OWASP ZAP, Burp Suite, and related tools.
* Automate tests with Selenium WebDriver, Appium, TestNG, JUnit, and Cucumber.
* Participate in test planning, test case design, and execution.
* Document results, track defects, and report to stakeholders.

**Why Join Us?**

* Flexible working hours and paid leaves.
* Quarterly Recognition and rewards for your contributions.
* Opportunity to work on innovative \\& global projects.
* A collaborative and supportive team culture.

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹90,000\\.00 per month

Benefits:

* Provident Fund

Work Location: In person","","","","","","","","","","","","","",""
