id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1009879900843,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009879900843,,UI/UX Designer,Xyvin Technologies Pvt Ltd,Cochin,18-09-2025,,direct_data,monthly,20000,25000,INR,FALSE,,,organic,,,,,,,,,,,,,,,,
gd-1009880166376,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009880166376,,UI/UX Designer,eSearch Logix Technologies Pvt. Ltd.,India,18-09-2025,,direct_data,monthly,10000,25000,INR,FALSE,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE5956010.htm,https://media.glassdoor.com/sql/5956010/esearch-logix-technologies-squarelogo-1646744880879.png,,,,,,,,,,,
gd-1009398446740,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009398446740,,UI / UX Designer,IOSS,Calicut,18-09-2025,,direct_data,yearly,255000,717000,INR,FALSE,,,organic,,"We're Looking for Talented Individuals like You! Here, your skills will be recognized, appreciated, and rewarded. We believe in fostering a collaborative working environment that encourages innovation, teamwork, and personal development.


  
##### **UI / UX Designer**

##### **Description:**


We are looking for a creative and detail\\-oriented UI/UX Designer with 0–2 years of experience to join our product team. The ideal candidate should have a strong sense of design, a passion for user experience, and the ability to work independently within a collaborative team environment. As a UI/UX Designer, you will be responsible for designing clean, user\\-friendly, and visually appealing website pages that align with our brand and business goals. Your work will directly contribute to enhancing user journeys and bringing higher engagement to our web pages. You will also be responsible for developing your designs into responsive HTML pages.


##### **Qualification:** **Any Degree**

##### **Job Location:** **Calicut**

##### **Experience:** **0 \\-2 Year**

**Requirements**
* Design mobile\\-responsive web pages with a focus on user experience and visual appeal
* Collaborate with developers and product teams to ensure accurate implementation of designs
* Develop responsive HTML pages based on approved UI designs
* Understand user behavior and apply design principles to enhance web engagement
* Work independently while ensuring designs meet team objectives and deadlines
* Create Figma Design for website and landing pages design
* The ideal candidate will be working with Digital marketing team, UI Developers, Design and development team.

**Skills**
* 0–2 years of experience in UX/UI design
* Strong creativity and visual thinking skills
* Good understanding of user interface principles and interaction design
* Must be familiar with Figma; Adobe XD experience is a plus
* Ability to work independently and also thrive in a team environment
* Must have a good understanding of HTML5, CSS3, Bootstrap and JavaScript
* WordPress development experience is a plus
* Expertise of using UI/UX software such as Adobe Photoshop, Illustrator will be an added advantage.",,https://www.glassdoor.co.in/Overview/W-EI_IE1474896.htm,https://media.glassdoor.com/sql/1474896/infinite-open-source-solutions-squarelogo-1524010777481.png,,,,,,,,,,,
gd-1009880017289,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009880017289,,ui ux designer,Appz Global Tech Pvt.Ltd.,Ghaziabad,18-09-2025,,,,,,,FALSE,,,organic,,"**We’re Hiring – UI/UX Designer Intern**  
Location: Ghaziabad (Work from Office)

Company: Appz Global Tech

Position: UI\\-UX Designer Intern

We are looking for a **creative and passionate UI/UX Designer Intern** to join our team!  
Gain hands\\-on experience in designing web \\& mobile interfaces, wireframes, prototypes, and collaborate with developers to bring ideas to life.

**Requirements:**

* Knowledge of Figma/Adobe XD/Photoshop/Illustrator
* Basic understanding of UI/UX principles \\& trends
* Creativity, attention to detail \\& teamwork skills

**Perks:** Live project exposure \\| Mentorship \\| Growth opportunities \\| Full\\-time conversion based on performance

Job Type: Full\\-time

Work Location: In person",,,,,,,,,,,,,,
gd-1009880160636,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009880160636,,UI/UX Designer,aayojana,,18-09-2025,,direct_data,monthly,25000,25000,INR,TRUE,,,organic,,"Job description:

**Job Summary:**  
We are seeking a creative and strategic Senior UI/UX Designer to lead the design of our digital products across web, mobile, and tablet platforms. In this role, you will be instrumental in shaping the user experience from concept to execution, ensuring our products are not only visually stunning but also intuitive and user\\-centric. You will collaborate closely with cross\\-functional teams to translate business objectives and user needs into elegant, functional design solutions.

**Key Responsibilities:**

* **End\\-to\\-End Design Leadership:** Own the entire design process for key product features, from initial discovery and concept to final implementation and iteration.
* **Articulate \\& Validate Ideas:** Create user flows, journey maps, wireframes, interactive prototypes, and high\\-fidelity mockups to effectively communicate design concepts and validate ideas with stakeholders and users.
* **User Advocacy:** Conduct and synthesize user research, usability testing, and competitive analysis to generate insights and drive data\\-informed design decisions.
* **Systematic Design:** Develop, maintain, and evangelize our design system, style guides, and reusable UI component library to ensure consistency and efficiency across all products.
* **Collaborative Execution:** Partner with Product Managers to define requirements, and with Developers to ensure flawless design implementation and build feasible, innovative solutions.
* **Quality \\& Consistency Champion:** Uphold the highest standards of design excellence, ensuring visual consistency and adherence to brand guidelines across all platforms and devices.
* **Mentorship:** Provide constructive guidance and feedback to junior designers, fostering a culture of growth and design excellence within the team.
* **Industry Expertise:** Stay current with the latest design trends, tools, accessibility standards (WCAG), and emerging technologies.

**Qualifications \\& Required Skills:**

* **Experience:** 2\\+ years of professional UI/UX design experience, with a compelling portfolio that demonstrates your process and successful web and mobile applications.
* **Technical Proficiency:** Expert proficiency in modern design and prototyping tools such as **Figma** (highly preferred), Adobe XD, Sketch, or similar.
* **Design Foundation:** Deep understanding of user\\-centered design (UCD) principles, interaction design, information architecture, and responsive/adaptive design patterns.
* **Collaborative Approach:** Proven experience working effectively in Agile/Scrum environments alongside product managers and front\\-end developers.
* **Communication Skills:** Exceptional communication, presentation, and storytelling skills with the ability to articulate design rationale to diverse audiences.
* **Education:** Bachelor’s degree in Design, Human\\-Computer Interaction (HCI), Fine Arts, or a related field is preferred.

Job Type: Full\\-time

Pay: From ₹25,000\\.00 per month

Benefits:

* Work from home

Work Location: Remote",,,,,,,,,,,,,,
gd-1009879961077,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009879961077,,UI/UX Designer,G3 INTERACTIVE,India,18-09-2025,,direct_data,monthly,20000,25000,INR,FALSE,,,organic,,"G3 Interactive is a growing software development and staff augmentation company. We are seeking a talented **UI/ UX Designer** with 1 \\- 3 years of industry experience join our team and play a key role in shaping user\\-centered digital experiences. The ideal candidate will have a strong understanding of user research, interaction design, and usability principles, and will collaborate with cross\\-functional teams to deliver intuitive, engaging, and accessible products.

**Key Responsibilities**

* Create wireframes, mockups, prototypes, and interactive flows in **Figma** (and other design tools) to communicate design concepts clearly.
* Work closely with product managers, and developers to align on requirements, feasibility, and timelines.
* Build, maintain, and evolve scalable design systems and component libraries in **Figma** for consistency across products.
* Develop user flows, site maps, and journey maps to ensure logical navigation and intuitive interactions.
* Ensure designs follow WCAG and accessibility best practices, providing inclusive experiences for all users.
* Collect stakeholder and user feedback, analyze it, and refine designs to continuously improve user experiences.
* Use product analytics, heatmaps, and behavioral insights (e.g., Hotjar, Google Analytics) to inform design choices.
* Provide clear specifications, annotations, and handoff files for developers in Figma and project management tools (e.g., Jira, Trello, Asana).
* Stay up to date with emerging UX trends, tools, and technologies, and advocate for their adoption when valuable.

**Requirements**

* 1 \\- 3 years of proven experience in UI/UX design with a strong portfolio showcasing web and mobile projects.
* Proficiency in UI/UX design tools such as **Figma**, **Adobe XD**
* Strong understanding of **user\\-centered design principles** and design thinking methodologies
* Excellent visual design skills with a keen eye for typography, color, and layout
* Strong communication and presentation skills to articulate design concepts effectively.
* Ability to work independently and as part of a collaborative team.
* Positive attitude, eagerness to learn, and passion for UI/UX design
* Problem\\-solving mindset and a passion for creating exceptional user experiences.

Job Type: Full\\-time

Pay: ₹20,000\\.00 \\- ₹25,000\\.00 per month

Work Location: In person",,,,,,,,,,,,,,
gd-1009879934078,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009879934078,,UI/UX Designer,Wafer Technologies,Panaji,18-09-2025,,,,,,,FALSE,,,organic,,"We are looking for a passionate and detail\\-oriented UI/UX Designer with at least 1 year of hands\\-on experience in crafting intuitive and visually appealing digital products. You will work closely with our product, development, and marketing teams to transform ideas into beautiful, user\\-centered designs.

Requirements

* Bachelor’s degree in Design, Fine Arts, or related field (or equivalent practical experience).
* 1\\+ year of experience in UI/UX design, preferably in a product or tech\\-driven environment.
* Proficiency in design tools such as Figma, or similar.
* Strong portfolio showcasing UI/UX design work on real\\-world projects.
* Excellent communication and collaboration skills.

Job Type: Full\\-time

Application Question(s):

* Current CTC (LPA):
* Expected CTC (LPA):
* Notice Period (in days):

Experience:

* UI/UX: 1 year (Preferred)
* Figma: 1 year (Preferred)
* Canva: 1 year (Preferred)
* Adobe Photoshop/ Illustrator: 1 year (Preferred)

Work Location: In person",,,,,,,,,,,,,,
gd-1009879826743,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009879826743,,UI/UX Designer,C.T Solution Pvt. Ltd.,,18-09-2025,,direct_data,monthly,30000,30000,INR,TRUE,,,organic,,"**Job description: PLEASE READ JD BEFORE APLLYING, DON'T SHARE CV WITHOUT READING.** 

**We Are Hiring – UI/UX Designer**  
CT Solutions Pvt. Ltd. is looking for a **creative and skilled UI/UX Designer** who not only thinks out of the box but also knows how to work smartly with design tools. If you're passionate about delivering high\\-quality work and eager to learn something new every day – we want to hear from you! **A portfolio IS A MUST FOR THIS ROLE**

**Important Note:**  
We will respond **only to applicants whose CV matches our requirements**.  
Please **read the job description carefully** before applying.  
And don't forget to **include your portfolio link** in your CV – it's a must!

Exp : 5 years

**Key Responsibilities:**

* Design intuitive user interfaces for websites, web apps, and mobile applications.
* Understanding of web animation and prototyping animation tools like After Effects, Framer, Protopie etc.
* Should be able to adapt the latest trends and technologies and should be able to use AI tools for graphic creation and animations
* Conduct user research, competitor analysis, and usability testing to guide design decisions.
* Create wireframes, prototypes, and user flows using tools like Figma, Adobe XD, or Sketch.
* Collaborate with product managers, developers, and stakeholders to implement user\\-centric solutions.
* Develop and maintain design systems, style guides, and UI components.
* Iterate on feedback and test designs to improve user experience and performance.
* Stay updated with the latest design trends, UI guidelines, and best practices.

**Required Skills:**

* Strong portfolio showcasing web and mobile UI/UX work.
* Proficiency in design tools like **Figma**, **Adobe XD**, **Sketch**, **Illustrator**, or **Photoshop**.
* Good understanding of responsive design and accessibility principles.
* Solid grasp of UX fundamentals, including user research, journey mapping, and testing.
* Basic knowledge of HTML/CSS is a plus.
* Excellent communication and collaboration skills.
* Ability to manage multiple projects and meet deadlines.

**Educational Qualification:**

* Bachelor’s degree in Design, Fine Arts, HCI, or a related field.
* Certification in UI/UX Design (preferred but not mandatory).

Job Type: Full\\-time

Pay: From ₹30,000\\.00 per month

Work Location: Remote",,,,,,,,,,,,,,
gd-1009880098800,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009880098800,,UI/UX Designer (Remote),Linesketch,Calcutta,18-09-2025,,direct_data,yearly,250000,432000,INR,FALSE,,,organic,,"We are looking for a creative and detail\\-oriented UI/UX Designer to join our team on an immediate basis. Your responsibility will be to design modern, user\\-friendly, and visually engaging web and mobile interfaces. You should be confident with design tools, workflows, and be able to translate concepts into pixel\\-perfect layouts.

#### **Requirements:**

* 1–3 year of proven experience as a UI/UX Designer
* Strong skills in **Figma** (preferred) and/or Adobe XD, Photoshop, Illustrator
* Ability to create **wireframes, prototypes, and final designs** for responsive websites and mobile apps
* Solid understanding of **UI principles, UX flows, and usability heuristics**
* Good knowledge of **design systems, typography, grids, and responsive layouts**
* Ability to handle projects **independently and responsibly**
* Creative mindset with **new ideas** and ability to leverage **AI tools** for faster workflows

#### **What We Offer:**

* Fully remote position with flexibility
* Opportunity to work on diverse projects (websites, mobile apps, dashboards, branding)
* A supportive team that values **creativity, innovation, and responsibility**
* Room to grow into senior design and product roles",,https://www.glassdoor.co.in/Overview/W-EI_IE3136378.htm,,,,,,,,,,,,
gd-1009879835541,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009879835541,,Lead UI/UX Designer,Canibuild,,18-09-2025,,,,,,,TRUE,,,organic,,"**About Us**


Canibuild automates the residential construction industry’s design, approval, and sales processes, allowing clients to answer 'Can I build this on this plot of land?' instantly. As a fast\\-growing SaaS platform backed by Australia’s largest hedge fund, we serve clients across Australia, New Zealand, Canada, and the US.


**Job Summary**  

We’re looking for a **Lead UI/UX Designer who combines creative vision with technical discipline** — someone who can make experiences look amazing while building scalable, professional systems that elevate canibuild’s product. At canibuild, design is more than making things look good — it’s about building slick, scalable, and innovative experiences that solve real problems for our users. In this role, you’ll be hands\\-on with design while also shaping our design culture and processes. You’ll create forward\\-thinking solutions, establish a design system that scales, and make sure design is seamlessly integrated into our product development lifecycle. You’ll be the bridge between product, engineering, and leadership, ensuring we’re not just building what was first imagined, but pushing towards something smarter and better.If you’ve led design for web products (not just websites), know how to keep design and engineering aligned, and have a passion for creating products that feel modern, usable, and polished, this role is for you. Experience with real estate or map\\-based design is a big plus.


**Key Responsibilities**


* **Raise the design bar:** Deliver innovative solutions that go beyond stakeholder ideas and set a higher standard for usability and polish.
* **Own the source of truth:** Keep designs up to date across what’s live, in development, and in scope, so there’s no confusion between teams.
* **Build for scale:** Create and maintain a design system in Figma with reusable components, ensuring consistency across products and screen sizes.
* **Design end\\-to\\-end:** Translate business and user needs into engaging, intuitive product experiences — not just screens, but complete flows.
* **Prototype fast:** Use Figma to explore ideas quickly, get early feedback, and avoid endless rework.
* **Research \\& testing:** Run user interviews and usability tests, and turn insights into clear, practical design improvements.
* **Trends \\& micro\\-interactions:** Stay sharp on design trends and use micro\\-interactions thoughtfully, always mindful of performance and load times.
* **Stress\\-test \\& advocate:** Push your designs beyond the happy path, account for edge cases, and champion the user’s perspective when tough trade\\-offs come up.
* **DesignOps mindset:** Bring process to design — align design work with the software development lifecycle so engineers know exactly what’s ready and what’s next.
* **Mentor \\& lead:** Guide junior and mid\\-level designers, share best practices, and create a design culture that’s both creative and disciplined.


**What We’re Looking For**


* 5\\+ years of UI/UX design experience, including 2\\+ years in a senior or lead role.
* Strong track record designing and maintaining **complex web products** (SaaS or platform experience is ideal).
* Deep knowledge of responsive design and scaling across multiple resolutions.
* **Expert in Figma — not just for creating screens, but for managing design systems, components, auto\\-layout, variants, and rapid prototyping.**
* Skilled in usability testing methods and tools to validate designs early.
* Understanding of Agile ways of working and how design fits into the SDLC.
* Basic knowledge of HTML/CSS to communicate effectively with developers.
* Excellent communication skills, able to explain design decisions to both internal teams and customers.
* **Bonus:** Experience in real estate, GIS, or map\\-based design.
* **Portfolio requirement:** Please include a link to your portfolio or share a Figma file that demonstrates your ability to design, structure, and maintain a web product. We’re especially interested in seeing examples of design systems, responsive layouts, and how you’ve solved complex product challenges.


**What Success Looks Like**


* A **design system in Figma** is built, documented, and in active use by the team.
* Designs consistently scale across resolutions with less back\\-and\\-forth during development.
* There’s a **clear source of truth for design status** — live, in development, or being scoped — removing misunderstandings with engineering.
* Stakeholders notice fewer rework cycles because ideas are explored and validated earlier through prototyping and testing.
* **DesignOps practices** are embedded, and design handover to engineering feels smooth and predictable.
* The product experience is seen as **slick, modern, and ahead of competitors**, with micro\\-interactions and thoughtful details that feel deliberate.
* User research is a regular input into design, ensuring solutions reflect real needs instead of assumptions.
* Other designers are learning from you and raising their game, with higher\\-quality output across the board.


**Benefits**


* Competitive salary, benefits, and opportunities for growth.
* A collaborative, fast\\-paced, and innovative culture that values initiative, ownership, and smart solutions.
* A remote\\-first environment with global collaboration.",,https://www.glassdoor.co.in/Overview/W-EI_IE4780234.htm,https://media.glassdoor.com/sql/4780234/canibuild-squareLogo-1699846712714.png,,,,,,,,,,,
