"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009906989203","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906989203","","Business Relationship Manager - AP and Telangana","ACCA","","2025-10-15","","","","","","",True,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE332826.htm","https://media.glassdoor.com/sql/332826/acca-squarelogo.png","","","","","","","","","","",""
"gd-1009906884411","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906884411","","Customer Support Executive (CSE)","miko.ai","","2025-10-15","","","","","","",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009907225424","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907225424","","WordPress Developer & Microsoft Teams Administrator (Full-Time, On Payroll)","FCRA Attorneys","","2025-10-15","","direct_data","monthly",50000.0,85000.0,"INR",True,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009907414502","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907414502","","Tax Accountant US GAAP Enrolled Agent","TBB","","2025-10-15","","direct_data","monthly",30000.0,40000.0,"INR",True,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009907382826","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907382826","","Senior Immigration Caseworker","Breakway Immigration","Moga","2025-10-15","","direct_data","monthly",18000.0,25000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009907208684","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907208684","","Accountant","SS Agro Industries","India","2025-10-15","","direct_data","monthly",10550.0,15000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009907402242","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907402242","","Manager, IT Developer Systems Governance (L09)","Synchrony Financial","Hyderābād","2025-10-15","","direct_data","yearly",800000.0,885000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE852160.htm","https://media.glassdoor.com/sql/852160/synchrony-financial-squarelogo-1512591611460.png","","","","","","","","","","",""
"gd-1009907367473","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907367473","","QA Automation Engineer","Freightcom Inc.","","2025-10-15","","direct_data","yearly",1600000.0,1900000.0,"INR",True,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1479080.htm","https://media.glassdoor.com/sql/1479080/freightcom-squarelogo-1570209102103.png","","","","","","","","","","",""
"gd-1009907397517","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907397517","","Talent Management Head","Openmind Technologies","Bengaluru","2025-10-15","","direct_data","yearly",1500000.0,2500000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE429133.htm","https://media.glassdoor.com/sql/429133/openmind-technologies-squarelogo-1442220777234.png","","","","","","","","","","",""
"gd-1009907404183","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907404183","","Bench Sales Recruiter","AVINI PROBPM","Vijayawāda","2025-10-15","","direct_data","monthly",30000.0,48594.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009907004292","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907004292","","Sr.Analyst - Exception & Control Reporting (L08)","Synchrony Financial","Hyderābād","2025-10-15","","direct_data","yearly",650000.0,880000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE852160.htm","https://media.glassdoor.com/sql/852160/synchrony-financial-squarelogo-1512591611460.png","","","","","","","","","","",""
"gd-1009907095430","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907095430","","Graphic Designer & Video Editor","Inkbolt","","2025-10-15","","direct_data","monthly",5000.0,20000.0,"INR",True,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906888261","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906888261","","Front End Developer Intern","Silverhooks Technologies","","2025-10-15","","direct_data","monthly",5000.0,20000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
