"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009906618331","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906618331","","Data Engineer","ASYVA INFOTECH","","2025-10-14","","direct_data","monthly",70000.0,80000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10797245.htm","","","","","","","","","","","",""
"gd-1009906789517","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906789517","","Data Analyst","Greenwolf Tech Labs","","2025-10-14","","direct_data","monthly",20000.0,25000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905861287","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905861287","","Senior Software Engineer (Big Data)","Zelis","Hyderābād","2025-10-14","","direct_data","yearly",500000.0,965500.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1342526.htm","https://media.glassdoor.com/sql/1342526/zelis-squareLogo-1633107790335.png","","","","","","","","","","",""
"gd-1009906453524","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906453524","","Data Analyst","Cognitive Stars India Pvt. ltd.","Jaipur","2025-10-14","","direct_data","yearly",243022.0,600000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906640596","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906640596","","Associate, ML Data Operations, GO-AI Operations","ADCI - Uttar Pradesh - F26","Calcutta","2025-10-14","","direct_data","yearly",234000.0,480000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","","","","","","","","","","",""
"gd-1009906664401","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906664401","","Data Research Analyst","IT Path Solutions","Ahmedabad","2025-10-14","","direct_data","yearly",282000.0,444000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1149256.htm","https://media.glassdoor.com/sql/1149256/it-path-solutions-squareLogo-1620391199338.png","","","","","","","","","","",""
"gd-1009906586201","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906586201","","Data Entry Professional","HankersNest","Jabalpur","2025-10-14","","direct_data","monthly",10000.0,25000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906660609","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906660609","","Data operation lead","ASYVA INFOTECH","","2025-10-14","","","","","","",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10797245.htm","","","","","","","","","","","",""
"gd-1009905918063","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905918063","","Senior Biostatistician (Early Clinical)","Sanofi EU","Hyderābād","2025-10-14","","direct_data","yearly",400000.0,600000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE9347.htm","https://media.glassdoor.com/sql/9347/sanofi-squareLogo-1647945858603.png","","","","","","","","","","",""
"gd-1009905918069","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905918069","","Senior Statistical Programmer","Sanofi EU","Hyderābād","2025-10-14","","direct_data","yearly",1000000.0,1181750.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE9347.htm","https://media.glassdoor.com/sql/9347/sanofi-squareLogo-1647945858603.png","","","","","","","","","","",""
