"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009917303184","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009917303184","","Accounting Analyst","Real","Mumbai","2025-10-24","","direct_data","yearly",264500.0,465000.0,"INR",False,"","","organic","","**Who We Are:**


Real (Nasdaq: REAX) is a publicly traded, fast\\-growing global real estate brokerage powered by technology and driven by people. Since our founding in 2014, we’ve been reimagining the residential real estate experience. With operations across the U.S., Canada, India, and the District of Columbia, we’re leading the industry with our cutting\\-edge platform that empowers agents, simplifies the buying and selling journey, and unlocks greater financial opportunities.


At Real, we believe in pairing Tech x Humanity to create something truly different.

  

Learn more at https://www.onereal.com/

**Work Schedule:** Monday \\- Friday EST 9:00am to 5:00 pm

**About the Role:**


We’re looking for an **Accounting Analyst** to join our **Finance** team. In this role, you’ll support accounting operations by managing fund releases, verifying transactions, and assisting with agent payments and audits. The ideal candidate is analytical, detail\\-oriented, and eager to learn, with a strong sense of ownership and adaptability.


This is a great opportunity for a **CA fresher** to gain hands\\-on experience in real estate accounting, collaborate with cross\\-border teams, and contribute to process improvements in a fast\\-paced, technology\\-driven environment.

 **What You’ll Do:**

* Release funds to title companies for terminated transactions.
* Verify wire receipts in Rezen for each transaction.
* Assist the U.S. accounting team with transaction closings to ensure timely agent payments.
* Use Excel and other firm systems to create efficiencies and process improvements.
* Support year\\-end audits and provide requested documentation as needed.
* Participate in special projects, system enhancements, and ad hoc analyses as assigned.

**What You’ll Bring:**

* Strong analytical and communication skills.
* Proficiency in Microsoft Excel (required).
* Familiarity with Business Central (a plus).
* Highly organized, attentive, and adaptable with a strong sense of urgency.
* Ability to multitask and work independently with minimal supervision.

**Education \\& Experience:**

* Chartered Accountant (CA) fresher.
* Strong academic foundation in accounting or finance.
* Prior internship or exposure to accounting operations preferred.

 **How We Work: Our Operating Principles**


Our Operating Principles are the blueprint of Real’s culture. They guide how we show up, make decisions, and bring our mission to life every day:

* **Be Agent Obsessed:** We design every decision around creating value for our agents and their clients.
* **Move Fast with Purpose:** We act with urgency, clarity, and focus—without compromising our standards.
* **Own Your Outcome:** Effort matters, but results matter more. We adapt, learn, and improve.
* **Be Bold; Challenge Often:** We challenge assumptions, rethink “the usual,” and push for smarter, simpler solutions.
* **Win Together:** We set high standards, collaborate deeply, and celebrate shared success.

**Additional Details:**

* **Location Requirements:** Candidates must be based in India to be considered.
* **Physical Requirements:** Ability to sit for long periods of time.

 **Our Commitment:**


Reax Technology Platform Private Limited is proud to be an equal opportunity employer. We celebrate diversity and are committed to building an inclusive environment for all employees. We welcome applicants of all backgrounds and identities, and we do not discriminate on the basis of race, color, ancestry, religion, sex, sexual orientation, gender identity or expression, age, marital or family status, disability, citizenship, veteran status, or any other status protected by applicable law.","","https://www.glassdoor.co.in/Overview/W-EI_IE1609272.htm","https://media.glassdoor.com/sql/1609272/real-squarelogo-1496993024557.png","","","","","","","","","","",""
"gd-1009917253480","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009917253480","","Market Research Analyst","T2M Technology India Pvt Ltd","India","2025-10-24","","direct_data","yearly",300000.0,400000.0,"INR",False,"","","organic","","**JOB TITLE : Market Research Analyst**

**LOCATION :** Noida

As a Market Research Analyst, you will play a pivotal role in providing valuable market insights to support our business growth. You will work closely with marketing teams to develop effective strategies and make data\\-driven decisions. Your expertise will be instrumental in identifying market trends, understanding consumer/client behaviour, and evaluating potential opportunities.

**Responsibilities:**

· Collect and analyse data on market trends, consumer preferences, and competitor activities.

· Monitor and analyse competitor products, services, and strategies.

· Interpret complex data sets and distil findings into actionable insights.

· Stay abreast of. industry trends, technological advancements, and market developments.

· Provide recommendations based on emerging opportunities or threats.

**Requirements:**

· 0\\-2 years of experience in Market Research industry with exposure to multiple domains.

· Freshers can also apply.

· Strong analytical and report writing skills.

· Good communication skills.

· Well versed with MS Excel and G\\-sheet.

· Hands\\-on experience with AI tools for data analysis, market insights, or report automation will be an added advantage.

· B.Tech preferred.

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹300,000\\.00 \\- ₹400,000\\.00 per year

Benefits:

* Health insurance
* Paid sick time
* Paid time off
* Provident Fund

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916389590","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916389590","","Data Analyst (Entry Level)","DITINUS TECHNOLOGY PRIVATE LIMITED","Mohali","2025-10-24","","direct_data","monthly",8000.0,15000.0,"INR",False,"","","organic","","**Job Title: Data Analyst (Entry Level)**

**About the Role:**

We are looking for a detail\\-oriented and analytical Data Analyst to join our team. The role involves scraping, collecting, and organizing business data from various online sources, including Google My Business, company directories, and other relevant portals.

The extracted data will serve as high\\-quality leads for our Sales \\& Business Development team to reach out and offer our IT services.

This is an entry\\-level position, ideal for individuals who are analytical, tech\\-savvy, and eager to start their career in data and market research.

**Key Responsibilities:**

* Conduct web scraping and data collection from online sources such as Google My Business, directories, and social platforms.
* Ensure all collected data is accurate, relevant, and up\\-to\\-date.
* Organize and maintain data in spreadsheets for easy access by the Sales team.
* Analyze trends and patterns in collected data to improve lead quality.
* Collaborate with the Sales \\& Marketing team to define data collection goals and criteria.
* Maintain data confidentiality and comply with company’s data handling standards.

**Required Skills \\& Competencies:**

* Strong analytical and research skills.
* Good understanding of online platforms and business directories.
* Basic knowledge of Excel/Google Sheets and data organization tools.
* Familiarity with web scraping tools or manual data collection techniques (a plus).
* Good written and verbal communication skills.
* Attention to detail and ability to handle repetitive tasks with accuracy.
* Ability to work independently as well as in a team environment.

**Eligibility:**

* Freshers with strong analytical mindset and good communication skills are welcome.
* Candidates with up to 1 year of experience in data research, data entry, or web scraping will be preferred.
* Graduate in any stream (preferably Computer Science, IT, or Business\\-related fields).

Job Types: Full\\-time, Fresher, Internship

Pay: ₹8,000\\.00 \\- ₹15,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009917207037","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009917207037","","Business Analyst","The Art of Living HR","Coimbatore","2025-10-24","","direct_data","yearly",447964.0,1551873.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE5539764.htm","https://media.glassdoor.com/sql/5539764/art-of-living-hr-squarelogo-1645016971280.png","","","","","","","","","","",""
"gd-1009917117474","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009917117474","","Business Analyst","SOURJAY FINTECH","India","2025-10-24","","direct_data","monthly",9063.0,38565.0,"INR",False,"","","organic","","**Sourjay Fintech LLP** is a fast\\-growing financial service company based in **MP Nagar, Bhopal**.  
We specialize in **stock market research, investment solutions, mutual funds, loans, and financial consulting.**  
Our mission is to empower individuals with the right financial knowledge and provide seamless investment opportunities that help them achieve financial growth and stability

We are looking for **enthusiastic and confident female telecallers** who are passionate about sales and the stock market.  
You will be responsible for calling potential clients, explaining investment plans, and converting leads into active customers.

**Key Responsibilities:**

* Handle outbound and inbound calls for stock market services.
* Explain company products and services clearly to clients.
* Maintain accurate records of customer interactions.
* Follow up on leads and ensure proper client engagement.
* Meet daily and monthly targets assigned by the company.
* **Required Skills:**
* Excellent communication and convincing skills.
* Positive attitude and confidence in client handling.
* Basic understanding of financial or stock market concepts (training provided).
* Goal\\-oriented and team player.

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹9,063\\.76 \\- ₹38,565\\.02 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009917249463","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009917249463","","Solution Consultant (Business Analyst)","SignDesk","Bengaluru","2025-10-24","","direct_data","yearly",456427.0,600000.0,"INR",False,"","","organic","","**About the Role**

The role includes performing detailed requirements analysis, documenting processes, and performing user acceptance testing. This position requires analytical thinking and the ability to explain complicated concepts to non\\-technical individuals.

**Job Responsibilities:**

* Determine the requirements of Clients.
* Convert Client requirements into Business Requirements.
* Convert Business requirements into Software Requirements specifications.
* This SRS should be a go\\-to document for Developers and Testers.
* Prepare API documents.
* Work with the technical team, business team and client POCs to make products easier to use and thus need fewer instructions.
* Prepare user guides for our products.
* Provide application content/email content/SMS content etc.
* Standardise content across products.
* Gather usability feedback from Clients, designers, QA, and other teams.
* Revise/Update documents as new issues arise/new requirements or changes arise.
* Understanding customer requirements and our product, creates the right valuable solution for the customer.
* Strongly collaborate and support the sales team in upselling
* Work towards achieving fewer than 20% of service requests from the clients

**Skills \\& Requirements:**

* Creating a detailed business analysis, outlining problems, opportunities, and solutions for a business.
* Defining business requirements and reporting them back to stakeholders.

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹456,427\\.11 \\- ₹600,000\\.00 per year

Benefits:

* Health insurance
* Provident Fund

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009917181820","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009917181820","","Data Analyst","TWILIGHT IT PROFESSIONALS PVT.LTD","Hyderābād","2025-10-24","","direct_data","yearly",200000.0,240000.0,"INR",False,"","","organic","","**Job Title:** Data Analyst (Fresher)**Location:** Hyderabad (On\\-site / Hybrid / Remote – as per your company policy)**Experience:** 0 – 1 Year**Employment Type:** Full\\-time**Company:** \\[Your Company Name]**About the Role:**

**Key Responsibilities:**

* Collect, clean, and organize large datasets from multiple sources.
* Perform data analysis to identify trends, patterns, and insights.
* Generate reports and dashboards using tools like Excel, Power BI, or Tableau.
* Work closely with business and technical teams to support data\\-driven decision\\-making.
* Assist in maintaining data accuracy and integrity in databases.
* Support the team in automating recurring data process
* Strong knowledge of **MS Excel** and basic understanding of **SQL**.
* Familiarity with **data visualization tools** (Power BI, Tableau, or similar).
* Basic understanding of Python or R for data analysis (preferred, not mandatory).
* Good problem\\-solving and communication skills.
* Strong attention to detail and eagerness to learn.

Job Types: Full\\-time, Fresher

Pay: ₹200,000\\.00 \\- ₹240,000\\.00 per year

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916144022","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916144022","","Reinsurance Analyst","RAPTEE ENERGY PVT LTD","Chennai","2025-10-23","","direct_data","yearly",246945.0,1040926.0,"INR",False,"","","organic","","* Post\\-secondary education working towards a technical finance or business designation.
* P\\&C insurance industry experience is an asset.
* Completion of Insurance Institute courses an asset

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹246,944\\.89 \\- ₹1,040,925\\.67 per year

Benefits:

* Health insurance
* Provident Fund

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE3689160.htm","https://media.glassdoor.com/sql/3689160/raptee-motors-squarelogo-1662456247417.png","","","","","","","","","","",""
"gd-1009915147518","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009915147518","","Manual QA Tester","Extrovert Information Technology Pvt. Ltd.","Pitampura","2025-10-23","","direct_data","yearly",200000.0,500000.0,"INR",False,"","","organic","","**Job Summary:**  
We are looking for a **Manual QA Fresher** with strong spoken English and good technical knowledge to join our team. The ideal candidate will be responsible for testing web and mobile applications, ensuring the highest quality standards, and reporting bugs effectively. This role is **onsite** and requires candidates to attend in\\-person interviews.

**Key Responsibilities:**

* Understand project requirements and software specifications.
* Prepare, document, and execute **manual test cases**.
* Identify, report, and track **bugs and issues** in JIRA or other defect management tools.
* Perform **functional, regression, and user acceptance testing (UAT)**.
* Collaborate with developers, business analysts, and other team members to ensure software quality.
* Communicate effectively in English during meetings and reporting sessions.
* Learn and apply basic technical concepts related to databases, APIs, and web/mobile technologies.

**Key Skills \\& Requirements:**

* Strong **spoken and written English** communication skills.
* Basic understanding of **software testing concepts (SDLC, STLC, types of testing, bug life cycle)**.
* Knowledge of **manual testing of web and mobile applications**.
* Familiarity with **bug tracking tools** (e.g., JIRA, Bugzilla) is a plus.
* Basic understanding of **databases, SQL queries, and APIs** is preferred.
* Highly **detail\\-oriented**, analytical, and a fast learner.
* Must be able to attend **onsite work** at \\[location].

**Educational Qualification:**

* B.Tech / B.E / BCA / MCA / IT\\-related degree (freshers can apply).

Job Type: Full\\-time

Pay: ₹200,000\\.00 \\- ₹500,000\\.00 per year

Benefits:

* Paid time off
* Provident Fund

Application Question(s):

* How much would you rate your English speaking skills out of 10?
* Will you be available to attend an in\\-person interview at our office location? Only candidates who can attend in person will be considered for the next round.

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916210393","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916210393","","Senior Analyst - Capability","WNS Global Services","Mumbai","2025-10-23","","direct_data","yearly",495000.0,700000.0,"INR",False,"","","organic","","**Company Description**  

WNS (Holdings) Limited (NYSE: WNS), is a leading Business Process Management (BPM) company. We combine our deep industry knowledge with technology and analytics expertise to co\\-create innovative, digital\\-led transformational solutions with clients across 10 industries. We enable businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities to re\\-imagine their digital future and transform their outcomes with operational excellence.We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative models that are tailored to address the unique business challenges of each client. We co\\-create and execute the future vision of 400\\+ clients with the help of our 44,000\\+ employees.

 **Job Description**  

Work closely with operations team to collect data and assess the current situation• Identify key opportunity areas with client processes during analysis and recommend process efficiencies• Contribute and support client reviews \\& meetings• Introduce different innovative concepts• Achieve Quality Savings and Productivity targets.• Proactive Account Remediation, before it goes up the leadership chain• Proactive Data collection \\& Analyst support for the vertical• Ability to work with multiple stake holders• Align with Process Leads for inside out gaps \\& challenges• Participation in special / strategic projects from time to time• Conducting diagnostics, validation or due diligence exercise• Understand client digital transformation needs \\& recommend solutions

 **Qualifications**  

B.Com/MBA Finance/CA Fresher","","https://www.glassdoor.co.in/Overview/W-EI_IE240095.htm","https://media.glassdoor.com/sql/240095/wns-squarelogo.png","","","","","","","","","","",""
