"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009885661202","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885661202","","Technical Support Executive","Dipen Safety Equipment Pvt Ltd","","2025-09-25","","direct_data","monthly",10749.0,25000.0,"INR",True,"","","organic","","Responsible for installation, maintenance, troubleshooting, and providing technical support for CCTV surveillance, access control, fire \\& burglar alarm systems, and related security solutions at client locations and remotely.

Key Responsibilities

Installation, configuration, and testing of CCTV cameras (IP \\& Analog), DVRs, NVRs, and alarm panels.

Diagnose and resolve technical issues (hardware/software/networking) in surveillance and alarm systems.

Provide remote and on\\-site support to clients for system faults, breakdowns, and escalations.

Preventive \\& corrective maintenance of security systems to ensure uptime and performance.

Coordinate with vendors and suppliers for material replacement, spares, and warranty claims.

Handle customer complaints and service requests within SLA timelines.

Maintain service logs, installation reports, and documentation of all technical activities.

Assist in system upgrades, integration with networks, and configuration of user access.

Train end\\-users on system operation, safety protocols, and troubleshooting basics.

Skills \\& Competencies Required

Strong knowledge of CCTV (IP \\& Analog), DVR, NVR, and alarm systems.

Understanding of networking (LAN, WAN, switches, routers, IP addressing).

Hands\\-on experience with power supply units, cabling (coaxial, CAT6, fiber), and connectors.

Ability to read technical drawings, layouts, and manuals.

Good communication \\& customer\\-handling skills.

Problem\\-solving and analytical thinking.

Basic knowledge of fire alarm and access control systems (preferred).

Qualifications

Diploma / ITI / B.Tech in Electronics, Electrical, IT, or related field.

1–3 years of relevant experience (fresher with good technical knowledge can also apply).

Certifications in CCTV, Networking, or Security Systems (added advantage).

Work Environment

Field support \\& client site visits.

Flexible to travel \\& work on\\-call for urgent issues.

Coordination with technical team \\& reporting to service/operations manager.

Job Type: Full\\-time

Pay: ₹10,749\\.20 \\- ₹25,000\\.00 per month

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009885382140","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885382140","","Desktop Support Engineer","Printstudio India Pvt Ltd","India","2025-09-25","","direct_data","monthly",13000.0,13000.0,"INR",False,"","","organic","","We are looking for enthusiastic and skilled Desktop Support Engineers to join our team.

Location: Bangalore

Experience: 0 to 1 year

Key Responsibilities:

Provide technical support for desktop, laptops, and related hardware/software.

Troubleshoot and resolve IT issues efficiently.

Manage system update, installations, and configurations.

Assist users with IT\\-related concerns and ensure smooth operations.

Requirements:

0 to 1 year of relevant experience in desktop support.

Freshers can also apply

Strong troubleshooting skills for Windows OS, networking, and hardware

Join us and grow your career in a dynamic work environment

Apply now! Contact us at Email and phone

Job Type: Full\\-time

Pay: From ₹13,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009884883349","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009884883349","","Java and Python Developer","Dibwas Websoft Technologies LLP","India","2025-09-25","","direct_data","monthly",30000.0,40000.0,"INR",False,"","","organic","","Dibwas Websoft Technologies LLP (https://www.websofttechs.com) is a Kolkata based IT company. Company has stable clients in India, USA, Europe, Australia, etc. With more than 900 projects completed, company is looking for expansion.

Company is urgently looking to hire Java Developer having skills/knowedge in Spring boot, etc

* Write effective, clean and scalable codes
* Coordinating with development teams to determine application requirements
* Writing scalable code using Python and Java programming language
* Testing and debugging applications
* Developing back\\-end components
* Integrating user\\-facing elements using server\\-side logic.
* Assessing and prioritizing client feature requests.
* Must have self\\-learning attitude
* Must have a Github link for projects
* Ability to integrate multiple data sources into a single system.
* Familiarity with testing tools.
* Ability to collaborate on projects and work.

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹30,000\\.00 \\- ₹40,000\\.00 per month

Benefits:

* Provident Fund

Application Question(s):

* Important \\- List / provide Github link to projects you have done.

Education:

* Bachelor's (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009885696107","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885696107","","Telecaller","Hostspica Private Limited","","2025-09-25","","direct_data","monthly",8000.0,10000.0,"INR",True,"","","organic","","**Responsibilities:**

* Make calls to potential customers (data provided).
* Explain services (Website, App, Marketing).
* Record feedback and update reports.
* Flexible working hours (within business hours).

**Requirements:**

* Freshers can apply.
* Strong communication skills (Hindi/English).
* Smartphone/laptop with internet.

**Pay:**

* No fixed pay during 15\\-day selection.
* Incentives per successful conversion.
* Salary \\+ Incentives after final selection.

**Job Location:** Remote (Work from Home)

**Apply now to join our growing IT startup and build your career in sales \\& marketing!**

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹8,000\\.00 \\- ₹10,000\\.00 per month

Benefits:

* Flexible schedule
* Work from home

Language:

* Hindi (Preferred)
* English (Preferred)

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009885272844","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885272844","","Recruitment Executive","MRR IT Services","","2025-09-25","","direct_data","monthly",10000.0,10000.0,"INR",True,"","","organic","","About MRR IT Services: MRR IT Services is a consultancy that runs a specialized program designed to help clients secure jobs in the US. Our program includes managing LinkedIn profiles, applying for jobs strategically, and ensuring successful placements.  
We are dedicated to empowering our clients and helping them achieve their career goals. Roles and Responsibilities:  
1\\. Support in Job Placement Program:  
Assist in executing the structured program to enhance client employability. Provide personalized support to clients throughout their job search journey.  
2\\. LinkedIn Profile Management: o Create, optimize, and manage LinkedIn profiles for clients. Conduct research to include relevant keywords and highlight client expertise.  
Only freshers and candidates with **0 to 1 year of experience** can apply.  
Location: Remote (6 pm to 2 am)

Job Type: Full\\-time

Pay: ₹10,000\\.00 per month

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009885598414","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885598414","","Junior Software Developer","8848 Digital llp","Mumbai","2025-09-25","","direct_data","yearly",232470.0,756019.0,"INR",False,"","","organic","","**Junior Software Developer**

8848 Digital LLP provides clients with high\\-quality ERPNext implementations, application customizations, management consulting, and a variety of technical infrastructure services. 8848 Digital offers enterprise resource planning (ERP) solutions to mid\\-market companies around the world, including custom solutions on web and mobile platforms.

We are looking for a passionate and detail\\-oriented **Junior Software Developer** to join our team. The ideal candidate will have a strong foundation in SQL and backend development, along with a keen understanding of AI/ML concepts and working knowledge of large language models (LLMs) such as LLaMA. This role involves working on database design, backend development, and AI\\-driven solutions to support robust, scalable applications.

**Duties and Responsibilities:**

* Develop and optimize complex SQL queries, stored procedures, and database schemas.
* Design and manage database objects, ensuring data integrity and efficiency.
* Write and maintain backend scripts and logic using Python or a similar language.
* Implement ETL processes for data migration and transformation.
* Build and integrate AI/ML solutions, including working with large language models (e.g., LLaMA, LLMs).
* Monitor, troubleshoot, and optimize database and backend performance.
* Collaborate with internal stakeholders and clients to deliver technical solutions and reports.
* Maintain technical documentation for all development tasks.
* Conduct data research and build relevant reporting deliverables.

**Qualification and Requirements:**

* Bachelor’s or Master’s degree in Computer Science, Software Engineering, Information Technology, or a related field.
* 6 months to 1 year of experience in SQL development and backend programming.
* Strong foundation in SQL and relational databases (MySQL, PostgreSQL, SQL Server, or Oracle).
* Working knowledge of at least one backend programming language such as Python (preferred), Node.js, or PHP.
* Understanding of query optimization, indexing, and stored procedures.
* **Understanding of AI/ML fundamentals and hands\\-on familiarity with large language models (e.g., LLaMA, LLMs) is a must.**
* Experience with basic ETL processes and database security best practices.
* Good understanding of API integration, backend logic, and data handling.
* Certifications in SQL, Python, AI/ML, or backend development (preferred but not mandatory).
* Strong analytical skills, attention to detail, and ability to work in collaborative environments.
* Excellent verbal and written communication skills.

Job Type: Full\\-time

Pay: ₹232,470\\.45 \\- ₹756,018\\.82 per year

Benefits:

* Health insurance
* Paid sick time

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009885599978","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885599978","","Full Stack Developer- Intern","Jobin & Jismi","India","2025-09-25","","direct_data","monthly",5000.0,5000.0,"INR",False,"","","organic","","**Job Title: Full Stack Developer Intern**

 **Location: Kottat,Chalakudy**

 **Duration:** 6 months

 **Stipend:** 5000 per Month

 **About the Role:**

  

We are looking for a passionate and motivated **Full Stack Developer\\- Intern** to join our development team. As an intern, you will work closely with senior developers and contribute to both front\\-end and back\\-end development tasks. This is a great opportunity to gain hands\\-on experience in building scalable web applications and learning industry best practices. Freshers with related fields of study are welcome.

 **Responsibilities:**

  

* Assist in developing and maintaining web applications using modern frameworks.
* Collaborate with designers and backend developers to implement user interfaces.
* Write clean, efficient, and well\\-documented code.
* Participate in code reviews and team meetings.
* Debug and troubleshoot issues across the stack.
* Learn and apply new technologies as needed.

 **Requirements:**

  

* B.Tech or Degree in Computer Science, IT, or related field.
* Basic understanding of front\\-end technologies like HTML, CSS, JavaScript.
* Familiarity with frameworks like React, Angular, or Vue.js.
* Knowledge of back\\-end development using Node.js, Python, Java, or similar.
* Experience with databases (SQL or NoSQL).
* Good problem\\-solving and communication skills.
* Eagerness to learn and grow in a fast\\-paced environment.

 **What You’ll Gain:**

  

* Real\\-world experience in full stack development.
* Mentorship from experienced developers.
* Opportunity to work on live projects.
* Certificate of Internship and potential for full\\-time offer.","","https://www.glassdoor.co.in/Overview/W-EI_IE2591845.htm","https://media.glassdoor.com/sql/2591845/jobin-and-jismi-it-services-squarelogo-1591163307010.png","","","","","","","","","","",""
"gd-1009885253721","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885253721","","Junior Software Developer","8848 Digital llp","Mumbai","2025-09-25","","","","","","",False,"","","organic","","**Junior Software Developer**

8848 Digital LLP provides clients with high\\-quality ERPNext implementations, application customizations, management consulting, and a variety of technical infrastructure services. 8848 Digital offers enterprise resource planning (ERP) solutions to mid\\-market companies around the world, including custom solutions on web and mobile platforms.

We are looking for a passionate and detail\\-oriented **Junior Software Developer** to join our team. The ideal candidate will have a strong foundation in SQL and backend development, along with a keen understanding of AI/ML concepts and working knowledge of large language models (LLMs) such as LLaMA. This role involves working on database design, backend development, and AI\\-driven solutions to support robust, scalable applications.

**Duties and Responsibilities:**

* Develop and optimize complex SQL queries, stored procedures, and database schemas.
* Design and manage database objects, ensuring data integrity and efficiency.
* Write and maintain backend scripts and logic using Python or a similar language.
* Implement ETL processes for data migration and transformation.
* Build and integrate AI/ML solutions, including working with large language models (e.g., LLaMA, LLMs).
* Monitor, troubleshoot, and optimize database and backend performance.
* Collaborate with internal stakeholders and clients to deliver technical solutions and reports.
* Maintain technical documentation for all development tasks.
* Conduct data research and build relevant reporting deliverables.

**Qualification and Requirements:**

* Bachelor’s or Master’s degree in Computer Science, Software Engineering, Information Technology, or a related field.
* 6 months to 1 year of experience in SQL development and backend programming.
* Strong foundation in SQL and relational databases (MySQL, PostgreSQL, SQL Server, or Oracle).
* Working knowledge of at least one backend programming language such as Python (preferred), Node.js, or PHP.
* Understanding of query optimization, indexing, and stored procedures.
* **Understanding of AI/ML fundamentals and hands\\-on familiarity with large language models (e.g., LLaMA, LLMs) is a must.**
* Experience with basic ETL processes and database security best practices.
* Good understanding of API integration, backend logic, and data handling.
* Certifications in SQL, Python, AI/ML, or backend development (preferred but not mandatory).
* Strong analytical skills, attention to detail, and ability to work in collaborative environments.
* Excellent verbal and written communication skills.

Job Types: Full\\-time, Permanent

Benefits:

* Health insurance
* Provident Fund

Ability to commute/relocate:

* Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

* Python: 1 year (Required)
* SQL: 1 year (Required)
* LLM: 1 year (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009885262955","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885262955","","Business Developer Executive/IT sales","Reboot-software","","2025-09-25","","direct_data","yearly",100000.0,300000.0,"INR",True,"","","organic","","**About Reboot\\-Software**: At Reboot Software We are a team of young and passionate minds, with years of expertise in Projects and Portfolio Management (PPM), Software and solution Development, consulting, Business Services and Outsourcing. Partners of Microsoft Silver.

**Role: Business Development/IT sale**

**Employment Type**

Full Time with Reboot\\-Software

**MBA fresher can apply**

**Notice Period**

**immediate joiner**

**Work Location**

Bangalore

**Shift Timing**

Regular Shift

**Must Skills:** IT sales, software sales, sharepoint sales,IT product sales

Job Types: Full\\-time, Permanent

Pay: ₹100,000\\.03 \\- ₹300,000\\.22 per year

Benefits:

* Health insurance
* Provident Fund

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009885578947","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885578947","","Non-Voice Process Associate","Andrew's Group","Hyderābād","2025-09-25","","direct_data","yearly",207000.0,207000.0,"INR",False,"","","organic","","**Job Summary**

We are hiring enthusiastic and detail\\-oriented graduates to join Wipro’s **Non\\-Voice Process** team. This role involves handling back\\-end operations, ensuring accuracy in processing information, and supporting business requirements with efficiency and professionalism.

**Package \\& Benefits**

* **Salary:** ₹2\\.07 LPA \\+ ₹30,000 Allowance
* **Benefits:** Free Food \\+ Two\\-Way Cab Facility
* **Shifts:** Rotational shifts
* **Work Mode:** Work from Office (Hyderabad)

**Eligibility**

* Graduates from **2022 to 2024** batches
* Good communication skills (written)
* Ability to work in rotational shifts
* Basic computer knowledge and typing skills

**Responsibilities**

* Handle non\\-voice (back\\-end) operations efficiently
* Process and verify data with accuracy
* Maintain confidentiality of client information
* Meet daily/weekly productivity and quality targets
* Work collaboratively with the team to achieve business goals

**Why Join Wipro?**

* Opportunity to start your career with a leading global IT company
* Professional work environment with growth opportunities
* Additional benefits like free food and cab services

**Interested candidates can apply by sharing their updated resume.**

Job Types: Full\\-time, Permanent, Fresher

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009885386525","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885386525","","Hiring for IT Executive- Sat and Sunday Off","3 Business","Mahape","2025-09-25","","direct_data","monthly",12000.0,20000.0,"INR",False,"","","organic","laxmi.more@threebiz.co.uk","**Position \\-** IT Executive

* Location: Mahape, Navi Mumbai
* Work Mode: Work from Office
* Employment Type: Full\\-Time, Permanent
* **Exp : Minimum 6 months of relevant experience**
* Edu \\- HSC \\+ diploma or relevant education
* Working Hours: 9:00 AM – 7:00 PM (Monday to Friday)
* Weekly Off: Saturday \\& Sunday
* Salary: To be discussed based on experience and fit for the role
* Joining: Immediate joiners preferred
* Interview Fees: No charges applicable

Interested candidate mail your CV at **laxmi.more@threebiz.co.uk** or call on 9769464986\\.

Job Types: Full\\-time, Fresher

Pay: ₹12,000\\.00 \\- ₹20,000\\.00 per month

Application Question(s):

* How many years of experience do you have in Hard ware and Networking?
* How many years of experience do you have in managing ADDS?
* Your last or current inhand salary?
* Details of Notice Period if applicable?
* Where in Mumbai do you stay?
* How many years of experience do you have in Networking and TCP
* How many years of experience do you have in managing group policies?
* How many years of experience do you have in managing IP security?

Education:

* Diploma (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009885847959","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009885847959","","US Recruiter (Entry-Level/Fresher)","infinitize solutions","Mohali","2025-09-25","","direct_data","monthly",15000.0,25000.0,"INR",False,"","","organic","","**About the Role**

We are looking for motivated and enthusiastic individuals to join our team as **US Staffing Recruiters**. This role is ideal for fresh graduates or candidates with up to 6 months of staffing experience who are eager to build a career in recruitment. You will be trained to source, screen, and place qualified candidates for clients across the United States while learning best practices in recruitment and staffing.

**Key Responsibilities**

* Source potential candidates through job portals, social media platforms, networking, and internal databases.
* Screen resumes and conduct initial interviews to assess candidate suitability.
* Coordinate with candidates for interviews, feedback, and onboarding.
* Build and maintain candidate pipelines for current and future job requirements.
* Collaborate with senior recruiters and account managers to understand client hiring needs.
* Maintain recruitment records in the applicant tracking system (ATS).
* Ensure timely communication with candidates throughout the hiring process.

**Required Skills \\& Qualifications**

* Bachelor’s degree in any field (preferred).
* Strong communication skills (verbal and written) in English.
* Ability to work in a fast\\-paced, target\\-driven environment.
* Proficient in using MS Office (Word, Excel, Outlook).
* Willingness to work in US time zones (Night Shift).

**Preferred Qualifications**

* Prior internship or up to 6 months of experience in recruitment or US staffing.
* Familiarity with US tax terms (W2, 1099, C2C) and recruitment processes (a plus, not mandatory).

**What We Offer**

* Comprehensive training and mentorship from experienced recruiters.
* Growth opportunities in US IT \\& Non\\-IT staffing.
* Dynamic, collaborative, and supportive work culture.

Job Types: Full\\-time, Fresher

Pay: ₹15,000\\.00 \\- ₹25,000\\.00 per month

Education:

* Bachelor's (Required)

Language:

* English (Required)

Shift availability:

* Night Shift (Required)

Work Location: In person","","","","","","","","","","","","","",""
