"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009916642769","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916642769","","Executive Secretary to Director","Chambers of Prakkash Rohira","India","2025-10-24","","direct_data","monthly",30000.0,65000.0,"INR",False,"","","sponsored","","**Our offices at Bandra West** ***(A law Firm)*** is seeking a highly motivated and organized **Secretary to Legal Director / Advocate** to join our dynamic team. In this role, you'll play a vital part in ensuring the smooth operation of our functioning by managing our administrative and Executive Tasks, and interactions with Legal, Real Estate Team and clients.

***Office timing 10 am to 7:30 pm; Monday to Saturday Working***.

**Skills Must:**

* **Punctual.**
* **Super organized.**
* **Simple \\& Effective Communication.**
* **Disciplined.**
* **Problem Solving Mindset.**

**Responsibilities:**

* **Team Management \\& Organized Reporting of Team Activities.**
* **Calendar and Communications Management.**
* **File Management.**
* **Use of MIS / Task Management software.**
* **Compiling documents.**
* **Reading and replying to emails.**
* **Communication \\- Internal, external and with Clients.**

**Qualifications:**

* Minimum of 5 years of experience in an administrative experience (legal preferred).
* Discipline and timely work and attendance is non negotiable.
* Excellent organizational skills and attention to detail.
* Strong communication and interpersonal skills, with the ability to motivate and collaborate with team members.
* Proactive and resourceful, with a problem\\-solving mindset.
* Ability to work independently and manage multiple tasks simultaneously.

**Bonus points:**

* Knowledge of legal terminology and processes.
* Ability to create and maintain reports and dashboards.

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹65,000\\.00 per month

Experience:

* total work: 5 years (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916579141","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916579141","","Social Media Intern","INDIC MONEY(FinancialFFreedome)","","2025-10-24","","direct_data","monthly",20000.0,80000.0,"INR",True,"","","organic","","""Social Media Marketing and Engagement Intern"" This title emphasizes the dual focus on creating marketing content and interacting with audiences, which are key responsibilities for a social media intern. It suggests tasks like crafting posts, analyzing trends, and fostering online community engagement, while still keeping it concise and professional.

Job Types: Full\\-time, Part\\-time, Fresher

Pay: ₹20,000\\.00 \\- ₹80,000\\.00 per month

Benefits:

* Cell phone reimbursement
* Health insurance
* Paid sick time
* Provident Fund
* Work from home

Education:

* Higher Secondary(12th Pass) (Required)

Language:

* English, Hindi (Required)

Location:

* Remote (Required)

Willingness to travel:

* 25% (Preferred)

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009916376523","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916376523","","Clerk /Social Media Handler","The Stemfields International School","Patiala","2025-10-24","","","","","","",False,"","","sponsored","","\\-Responsible individual with pleasing \\& positive attitude, who is self disciplined believes in integrity and honest work with a sense of business growth strategies.  
\\-Action oriented. Initiative taker, dedicated individual with good work ethics

Job Type: Full\\-time

Work Location: In person

Application Deadline: 31/10/2025","","","","","","","","","","","","","",""
"gd-1009916132555","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916132555","","Social Science Teacher","King's Academy","","2025-10-24","","","","","","",True,"","","organic","","We are hiring social science subject teachers for online teaching work (Classes 6 to 10Th – CBSE Curriculum).

This is a work\\-from\\-home and part\\-time opportunity suitable for both male and female candidates.

Pay Structure: \\-

Recorded Video Lectures: ₹250 – ₹600 per lecture.

Live Classes: ₹500 – ₹1200 per live session.

(Note : \\- This is a performance and task based payment system, not a fixed monthly salary)

Medium: \\-

English and Hindi only.

Important Tools :\\- White board or laptop compulsory.

At least one article is compulsory for teaching.

Interested candidates can apply.

Job Types: Part\\-time, Freelance

Benefits:

* Flexible schedule
* Work from home

Work Location: Remote","","https://www.glassdoor.co.in/Overview/W-EI_IE4675847.htm","https://media.glassdoor.com/sql/4675847/king-s-academy-squarelogo-1627985259998.png","","","","","","","","","","",""
"gd-1009915975355","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009915975355","","Chef Indian+Tandoor Havelock","Cafe 4","Port Blair","2025-10-24","","direct_data","monthly",20000.0,25000.0,"INR",False,"","","sponsored","","**Key Responsibilities:**

* Prepare authentic Indian dishes and tandoor specialties (naan, kebabs, tikka, curries, biryanis)
* Operate and maintain a tandoor oven
* Work with fresh, local, and seasonal ingredients
* Maintain food safety and quality standards
* Train junior kitchen staff

**Requirements:**

* 3\\-5 years experience as Indian/Tandoor Chef
* Expert in tandoor operations and Indian cooking techniques
* Ability to prepare vegetarian and diverse dietary options
* FSSAI knowledge preferred
* Flexible with working hours, weekends, and holidays
* Willing to relocate to Havelock Island

**We Offer:**

* Competitive salary
* Accommodation assistance
* Work in an award\\-winning island paradise
* Growth opportunities

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹25,000\\.00 per month

Benefits:

* Food provided

Ability to commute/relocate:

* Port Blair, Andaman and Nicobar Islands: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* 1\\) What is your current take home monthly salary?

2\\) What is your expected take home monthly salary?  
3\\) If currently employed, what is the notice period?  
Answer to all the 3 questions are required to process your application.

Experience:

* Indian/Tandoor: 3 years (Required)

Language:

* English (Preferred)
* Hindi (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916058817","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916058817","","SEO friendly blog Writer","NovoScan","","2025-10-24","","direct_data","monthly",10000.0,25000.0,"INR",True,"","","organic","","Job Title: Freelance SEO Blog Writer

Job Description:

We are looking for a creative and SEO\\-friendly blog writer to create engaging, original, and well\\-optimized content. The ideal candidate should know how to write blogs that attract readers and rank on search engines.

\\*Responsibilities:\\*

\\- Write high\\-quality and plagiarism\\-free blogs.

\\- Use SEO keywords naturally in content.

\\- Research topics and ensure accuracy.

\\- Create catchy titles and meta descriptions.

\\- Meet deadlines and follow given guidelines.

\\*Requirements:\\*

\\- Proven writing experience (preferably SEO blogs).

\\- Good command of English and grammar.

\\- Basic SEO knowledge.

\\- Ability to deliver quality work on time.

Job Type: Part\\-time

Pay: ₹10,000\\.00 \\- ₹25,000\\.00 per month

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009916143149","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916143149","","Female Ayurveda Pharmacist – Hospital Pharmacy (OMR, Chennai)","Shree Kriyas Hospitals OPC Private Limited","India","2025-10-24","","direct_data","monthly",10000.0,15000.0,"INR",False,"","","sponsored","","**Female Ayurveda Pharmacist – B.Pharm (Ayurveda) / D.Pharm (Ayurveda) \\-Okkiyam Thoraipakkam (OMR), Chennai. ₹18K – ₹28K\\- Shree Kriyas Ayurveda Hospitals invites Ayurvedic Pharmacist to manage hospital pharmacy operations, medicine dispensing, stock control \\& basic formulations.** 

**About Us:**

**Shree Kriyas Ayurveda Hospitals (OPC) Pvt. Ltd.**, located on OMR (Okkiyam Thoraipakkam, Chennai), is a full\\-service Ayurveda hospital focused on authentic treatments, Panchakarma therapies, and holistic patient care.

**Role:**

To manage the day\\-to\\-day operations of the Ayurvedic pharmacy — including dispensing medicines, stock management, formulation support, and ensuring compliance with hospital and AYUSH standards.

**Key Responsibilities:**

* Dispense Ayurvedic medicines accurately as per physician prescriptions.
* Maintain daily medicine issue registers, batch numbers, and expiry logs.
* Monitor stock levels, initiate purchase requests, and maintain FIFO/LASA compliance.
* Assist in medicine preparation (churnam, lehyam, oils, kashayam) under physician guidance.
* Label, pack, and store medicines hygienically according to AYUSH norms.
* Maintain NABH\\-aligned pharmacy records and stock audits.
* Explain dosage, timing, and storage instructions to patients politely.
* Coordinate with doctors, therapists, and suppliers for smooth pharmacy flow.

**Eligibility Criteria:**

* **Education:** B.Pharm (Ayurveda) / D.Pharm (Ayurveda)
* **Experience:** 1–5 years in Ayurvedic hospital or pharmacy preferred (freshers with internship welcome)
* **Skills:** Inventory management, patient communication, record keeping, MS\\-Excel basics
* **Languages:** Tamil \\+ English (Hindi/Malayalam added advantage)

**Work Details:**

* **Location:** Shree Kriyas Ayurveda Hospitals – OMR, Okkiyam Thoraipakkam, Chennai
* **Work Type:** Full\\-Time (Onsite)
* **Weekly Off:** Tuesday

**Why Join Us:**

* Opportunity to work in a growing, quality\\-focused Ayurveda hospital.
* Exposure to Hospital documentation and in\\-house formulation processes.
* Supportive work environment with training from senior doctors.

**Tag :**Ayurveda Pharmacist, Ayurvedic Pharmacy, B.Pharm Ayurveda, D.Pharm Ayurveda, Ayurvedic Hospital Chennai, Panchakarma Hospital Pharmacy, Pharmacy Executive, Medicine Stock Management, Hospital Pharmacist, Ayurvedic Formulation, Ayurvedic Medicine Dispensing, OMR Okkiyam Thoraipakkam Jobs, Tamil Nadu Ayurveda Jobs, NABH Hospital Pharmacy, Ayurveda Hospital Jobs Chennai

Job Type: Full\\-time

Pay: ₹10,000\\.00 \\- ₹15,000\\.00 per month

Experience:

* Ayurvedic Pharmacy: 1 year (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916138942","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916138942","","Animation Video Content Creator","EducateMe Group Ltd","Bhuj","2025-10-24","","direct_data","monthly",16000.0,20000.0,"INR",False,"","","sponsored","","**About Us**

EducateMe Group is a UK\\-based education consultancy with offices in India, dedicated to empowering students through innovative learning solutions. Our in\\-house Communicative English Program helps learners enhance their language skills through engaging, concept\\-based educational videos and interactive content.

**Job Description**

We are looking for a creative and skilled Educational Video Content Creator to join our team in Madhapar, Bhuj. The ideal candidate will be responsible for conceptualizing, designing, and producing animated educational videos for our Communicative English courses.

You will work closely with our academic and creative teams to transform learning modules into visually engaging and easy\\-to\\-understand animated content.

**Key Responsibilities**

* Create animated educational videos for our Communicative English programs.
* Develop creative concepts and storylines for videos based on provided reference materials.
* Collaborate with the curriculum and design teams to ensure alignment with learning objectives.
* Use tools like Adobe After Effects, Premiere Pro, Canva, or similar software to design and edit videos.
* Add voiceovers, sound effects, and transitions to enhance viewer engagement.
* Maintain a consistent visual style aligned with the brand’s educational identity.
* Continuously research and innovate on visual storytelling techniques to make learning fun and effective.

**Requirements**

* 1–2 years of experience in video content creation, preferably in the education or e\\-learning domain.
* Strong command of video creation and animation tools (Adobe After Effects, Premiere Pro, Canva, etc.).
* Good understanding of graphic design principles and motion graphics.
* Creative mindset with a problem\\-solving attitude and keen attention to detail.
* Ability to conceptualize and execute ideas independently while working within deadlines.
* Bachelor’s degree in Design, Animation, Media, or related field (preferred).

**Why Join Us**

* Opportunity to contribute to a meaningful educational mission.
* Creative and collaborative work environment.
* Work on impactful projects that reach students across India.
* Growth opportunities within a fast\\-evolving edtech organization.

Job Type: Full\\-time

Pay: ₹16,000\\.00 \\- ₹20,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009916571512","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916571512","","Customer Service (TECH SUPPORT)","Sieva Networks Solutions Pvt Ltd","","2025-10-24","","direct_data","monthly",20000.0,30000.0,"INR",True,"","","organic","","**JOB DESCRIPTION:**

**Customer Service (TECH SUPPORT)**

Sieva Networks Solutions is hiring for its exclusive US client, based in California. The client is manufacturing and selling GPS trackers, mainly in the US. Website details:

B2C team: www.family1st.io

B2B Team: www.matrackinc.com

Working hours :

Night shift: Approximately 9 pm to 5am Indian Standard Time

JOB PROFILE:

❖Prior experience in dealing with GPS trackers, ELD or related products

❖Self learner with quick grasping skills to become a product expert

❖Confident with excellent communication skills, both verbal and written.

❖Tech savvy: Proficiency in Microsoft applications including Word, Excel, and Outlook.

❖Strong problem\\-solving and analytical skills and common sense.

❖Empathetic and expert in customer experience and ensuring quality service

❖Experience with CRM software and ticketing systems is a plus.

❖Team player with excellent management and coordination skills

❖Candidates ready to do night shifts(California morning time) only need apply.

❖No relocation: Work from Home only

PLEASE NOTE CAREFULLY THE FOLLOWING POINTS:

\\*Apply only if you have prior experience in GPS tracking and ELD customer service.

\\*Those who have applied before , kindly DO NOT apply again.

\\*Interested candidates can send a one minute long audio clip to recruitment@sievanetworks2\\.com

\\*Enter the contact details in the form below:

https://forms.gle/23Soh9QCix8JBmQn8

Initially, you will be appointed on probation (2 to 3 months) on a stipend .

Post training , the offer letter will be issued with the salary terms. PF and health insurance will be a part of the package.

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹30,000\\.00 per month

Benefits:

* Health insurance
* Work from home

Application Question(s):

* How many of experience do you have in GPS tracking and ELD customer service?
* This is a night shift job. Do you have any medical condition which prevents you from doing night shift?
* Are you proficient in excel shortcut keys, navigation and reporting?
* Have you done customer voice support for American clients?
* Are you confident and proficient in speaking with American accent ?

Experience:

* total work: 2 years (Preferred)

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009916581333","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009916581333","","Junior Business Analyst / UAT execution","Citi","Pune","2025-10-24","","direct_data","yearly",600000.0,1000000.0,"INR",False,"","","sponsored","","Junior Business Analyst is a developing professional role. Applies specialty area knowledge in monitoring, assessing, analyzing and/or evaluating processes and data. Identifies policy gaps and formulates policies. Interprets data and makes recommendations. Researches and interprets factual information. Identifies inconsistencies in data or results, defines business issues and formulates recommendations on policies, procedures or practices. Integrates established disciplinary knowledge within own specialty area with basic understanding of related industry practices. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Develops working knowledge of industry practices and standards. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own team.


The individual will work on the Asset Servicing Transformation program for the core Asset Servicing applications including upgrades, lead phases of the project lifecycle for strategic, cross functional business initiatives. The program this role will focus on is system replatforming including the main Asset Servicing processing platforms and peripheral systems. Additional projects may involve: process optimization, risk mitigation, regulatory mandates and operating model re\\-engineering.  

  

**Responsibilities:**

* This role will manage reconciling and processing positions related to Corporate Action events
* These activities include revisions of communications, notifications and facilitating postings for Corporate Action or Proxy events
* Reviews all Corporate Action/Proxy events received and ensures detailed understanding and processing requirements
* Liaise with all units and departments relating and impacting clients on Corporate Action Proxy items
* Researches and resolves all discrepancies within department standards
* Reviews and updates all processes and procedures timely and accurately
* Identifies and reports any gaps/system enhancement
* Participates in all testing and successful implementations
* Escalates issues to management, participates in cross\\-training activities and all other job duties as assigned
* Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

**Qualifications:**

* 0\\-2 years relevant experience from banking / other financial industry
* Has project experience, ideally with JIRA/Bancs knowledge
* Knowledge of multiple types of investment instruments including: Equity securities, Fixed Income and Asset Backed securities
* Proficient in MS Office (Excel, Word, Access\\- is desired)
* Familiar with project management methodologies
* Proven success as a team player

**Education:**

* Bachelor’s/University degree or equivalent experience


\\-

**Job Family Group:**

Operations \\- Transaction Services
\\-

**Job Family:**


Asset Servicing
\\-

**Time Type:**


Full time
\\-

**Most Relevant Skills**

Please see the requirements listed above.
\\-

**Other Relevant Skills**

For complementary skills, please see above and/or contact the recruiter.
\\-

*Citi is an equal opportunity employer, and qualified candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other characteristic protected by law.*

 *If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review* *Accessibility at Citi**.*  

  

*View Citi’s* *EEO Policy Statement* *and the* *Know Your Rights* *poster.*","","https://www.glassdoor.co.in/Overview/W-EI_IE8843.htm","https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png","","","","","","","","","","",""
