"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009906490209","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906490209","","Senior Executive - HR","FuelBuddy Fuel Supply Services LLC","Gurgaon","2025-10-15","","direct_data","monthly",30000.0,45000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906796711","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906796711","","HR Operations Executive","HUMANCLOUD TECHNOLOGIES PVT. LTD","India","2025-10-15","","direct_data","yearly",300000.0,400000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906807562","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906807562","","HR & Admin Executive","Cost Effective Hiring","Noida","2025-10-15","","direct_data","monthly",20000.0,30000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906547084","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906547084","","HR Executive","The needleads technology","Mohali","2025-10-15","","direct_data","monthly",20000.0,30000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906850094","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906850094","","Senior Executive - HR","Kranium Hr Services Pvt Ltd","India","2025-10-15","","direct_data","monthly",25000.0,40000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906890173","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906890173","","Sr. HR Executive","PMK SCANS AND LABS PVT LTD","Hosūr","2025-10-15","","direct_data","yearly",327000.0,540000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10541207.htm","","","","","","","","","","","",""
"gd-1009906938551","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906938551","","Human Resource Manager","SGH Management India Pvt Ltd","Mohali","2025-10-15","","direct_data","monthly",300000.0,700000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10529898.htm","","","","","","","","","","","",""
"gd-1009906917371","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906917371","","HR Executive & Admin","TECH SOFT SOLUTIONS","India","2025-10-15","","direct_data","monthly",30000.0,45000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10112469.htm","","","","","","","","","","","",""
"gd-1009906906926","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906906926","","SR. HR Operations Executive","Vimbri Media Pvt. Ltd","Hyderābād","2025-10-15","","direct_data","monthly",35000.0,50000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1365527.htm","https://media.glassdoor.com/sql/1365527/the-dollar-business-squarelogo-1502970210924.png","","","","","","","","","","",""
"gd-1009906957284","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906957284","","Human Resources (HR) Executive / Manager","Varistor Technologies Private Limited","India","2025-10-15","","direct_data","monthly",17577.0,45000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2076378.htm","https://media.glassdoor.com/sql/2076378/varistor-technologies-squarelogo-1525189382100.png","","","","","","","","","","",""
"gd-1009906528331","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906528331","","HR & Talent Acquisition Executive","Invente Innovation Labs Private Limited","India","2025-10-15","","direct_data","monthly",20000.0,45000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906237375","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906237375","","HR Executive","SkillAim","Vāranāsi","2025-10-15","","","","","","",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906490125","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906490125","","Factory HR - Executive","CABCON INDIA LTD","Howrah","2025-10-15","","direct_data","monthly",30000.0,40000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009907150061","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009907150061","","HR Lead / HRBP","FoodChain ID Group, Inc","Mumbai","2025-10-15","","direct_data","yearly",253200.0,620250.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE889614.htm","https://media.glassdoor.com/sql/889614/foodchain-id-squarelogo-1629953987196.png","","","","","","","","","","",""
"gd-1009906747874","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906747874","","Executive HR & Admin","Corelynx Solutions Pvt Ltd","India","2025-10-15","","direct_data","monthly",25000.0,35000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906848479","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906848479","","Human Resources Manager","Human Care International Private Limited","India","2025-10-15","","direct_data","monthly",25000.0,35000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906580897","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906580897","","HR Executive","Rework","Himatnagar","2025-10-15","","direct_data","monthly",35000.0,50000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1838948.htm","","","","","","","","","","","",""
"gd-1009906699423","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906699423","","HUMAN RESOURCES MANAGER","Hyatt Regency Kasauli","Kasauli","2025-10-15","","","","","","",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906543307","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906543307","","HR Executive","Saya Stationery Private Limited","Sonipat","2025-10-15","","direct_data","monthly",13179.0,25000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906553548","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906553548","","HR Executive","Arks Universal Pvt Ltd","India","2025-10-15","","direct_data","monthly",15000.0,30000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906871946","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906871946","","Hiring "" HR & Admin Executive"" - Khordha Industrial","ONE ZONE HR SOLUTION","Bhubaneshwar","2025-10-15","","direct_data","monthly",32000.0,35000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906989300","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906989300","","HR Executive","cfuture","India","2025-10-15","","direct_data","monthly",10977.0,30329.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906475058","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906475058","","HR Executive","Le Seasons Group","","2025-10-15","","direct_data","monthly",12639.0,20207.0,"INR",True,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906527019","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906527019","","HR Executive – Medical Billing","MercVen Healthcare","Ahmedabad","2025-10-15","","","","","","",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906555633","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906555633","","Senior HR Executive","The People's Corp","Kānchipuram","2025-10-15","","direct_data","monthly",40000.0,50000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906965298","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906965298","","HR Executive","Auto Scope Cars Pvt Ltd Pune","Pimpri-Chinchwad","2025-10-15","","direct_data","yearly",300000.0,500000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10795050.htm","","","","","","","","","","","",""
"gd-1009906887119","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906887119","","HR & Admin Executive","Featleap OPC Pvt. Ltd.","India","2025-10-15","","direct_data","monthly",15000.0,40000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
