"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009880174702","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880174702","","Company Secretary","Sacheerome Limited","","2025-09-18","","direct_data","monthly",500000.0,500000.0,"INR",True,"","","organic","akshita.hr@sacheerome.com","About the Company:

Founded in 1992 and headquartered in New Delhi, Sacheerome Limited is a leading B2B manufacturer of fragrances and flavours for top FMCG, personal care, home care, and food \\& beverage brands across India, the Middle East, and Africa. Backed by strong R\\&D (SachTech), global sourcing, and a 760\\-tonne annual production capacity, we offer a wide portfolio—from fine perfumes to food additives. With 150\\+ employees, ISO 9001:2015 certification, and a successful NSE\\-SME IPO in June 2025, Sacheerome continues to grow as a trusted name in sensory innovation.

Key Responsibilities :

* Ensure timely compliance with all statutory obligations under the Companies Act, 2013, SEBI, FEMA, and other applicable regulations.
* Draft, review, and maintain statutory records including minutes of Board, General, and Committee Meetings.
* File necessary forms, returns, and documents with ROC, MCA, SEBI, and other regulatory authorities.
* Manage secretarial work relating to Board Meetings, AGMs, and EGMs, including drafting of agendas, notices, and resolutions.
* Maintain and update statutory registers including Register of Members, Directors, Charges, etc.
* Liaise with internal stakeholders, auditors, and regulatory authorities for inspections and compliance audits.
* Draft and review MOUs, agreements, contracts, and support in legal and compliance matters.
* Provide support for corporate restructuring, investments, and M\\&A activities, if applicable.
* Assist in corporate disclosures, investor communications, and preparation of the Annual Report.
* Monitor changes in legal and regulatory environments and advise management on compliance frameworks.
* Ensure compliance with industry\\-specific regulations relevant to the fragrance, flavour, and chemical manufacturing sector.

Required Skill sets:

* Strong knowledge of Companies Act, SEBI Regulations, FEMA, and Industrial Laws.
* Proficiency in MCA portal filings.
* Strong drafting, legal interpretation, and documentation skills.
* Understanding of compliance frameworks in manufacturing, chemicals, or allied industries.
* Familiarity with environmental and industrial safety compliance (preferred).
* Excellent communication and interpersonal skills with high integrity and professionalism.

Qualification \\& Experience:

* Qualified Company Secretary (ACS).
* 2–4 years of post\\-qualification experience, preferably in a manufacturing setup (fragrance, flavour, chemicals, plastics, or allied industries).

Share CV at akshita.hr@sacheerome.com

Job Type: Full\\-time

Pay: From ₹500,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879097306","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879097306","","Legal","Xerox","Gurgaon","2025-09-18","","direct_data","yearly",300000.0,697500.0,"INR",False,"","","organic","talentacquisitionsupport@xerox.com","**Location: Gurgaon**  

  

**Job Purpose****:** As the company pursues newer business models and strategic initiatives in a high technology area, the inhouse attorney would deal with cutting edge legal issues. In this role the incumbent is to support the organization by rendering legal advisory \\& support across its major business segments while ensuring compliance to various laws and interacting with internal business stakeholders and external stakeholders like government regulatory bodies. This support will cover the areas of work as defined below and will be a key role in managing change and ensuring the achievement of the organization’s strategic goals through effective management practices.
  

  

**Areas of work:**  

  

1\\. Transactional Advisory : Drafting \\& negotiating various strategic and non\\-strategic commercial agreements like Partner/ distributor contracts , customer contracts, RFPs, MOUs \\& NDAs’ including development \\& updation of agreement templates on a periodic basis. This will also include managing and updating the contractual data base. Monitoring and enforcing performance of contracts and invoking contractual remedies and defense of contractual claims.
  

  

2\\. Legal advisory on complex \\& contentions business matters including but not limited to partnering with key stakeholders to provide a result driven counsel.
  

  

3\\. Advisory to business on applicable business regulations including but not limited to Information Technology laws , Legal Metrology Law , Consumer Law , Competition Law , Environment laws ( E \\- waste \\& Plastic waste) including conducting legal research on such topics and providing relevant business advisory.
  

  

4\\. Advisory on employment law matters not only for India but other countries in APAC. This will not only cover advisory on operational matters but also other strategic transitions involving employment laws.
  

  

5\\. To support new business initiatives and models.
  

  

6\\. To assist the team in implementing policies and providing trainings/ awareness session on business relevant legal issues.
  

  

7\\. Any exposure or work with business law regulators and indirect product supply model will be an added advantage.
  

  

**Skills:** Must possess excellent analytical abilities with keen eye for detail. Outstanding legal, drafting, negotiation and commercial counseling skills including the ability to identify risks and suggest mitigation strategies. The attorney must possess excellent interpersonal, communication and problem\\-solving skills and an assertive attitude. The incumbent must be good at building relationships and ability to influence others. Ability to work with regulators, authorities as well as senior management and corporate functions in a result\\-oriented, high\\-pressured environment. Must be a team player.
  

  

Experience: Desired post qualification experience of 10 to 15 years having business acumen, technical legal skills, and experience in similar industry and a stint with a law firm would be an added advantage.
  

  

**Qualification** \\- LLB from an accredited/recognized university. 10\\- 15 years of combined law firm and in\\-house experience with a global company.
  

  

Xerox is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, creed, religion, ancestry, national origin, age, gender identity or expression, sex, marital status, sexual orientation, physical or mental disability, use of a guide dog or service animal, military/veteran status, citizenship status, basis of genetic information, or any other group protected by law. Learn more at \\[3] www.xerox.com and explore our \\[4] commitment to diversity and inclusion! People with disabilities who need a reasonable accommodation to apply or compete for employment with Xerox may request such accommodation(s) by sending an e\\-mail to talentacquisitionsupport@xerox.com. Be sure to include your name, the job you are interested in, and the accommodation you are seeking.

  

\\#L1 \\- SM1


\\#L1 \\- HYBRID","","https://www.glassdoor.co.in/Overview/W-EI_IE747.htm","https://media.glassdoor.com/sql/747/xerox-squareLogo-1630000532144.png","","","","","","","","","","",""
"gd-1009879522584","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879522584","","Legal Counsel II","HERE Technologies","Mumbai","2025-09-18","","direct_data","yearly",810000.0,1050000.0,"INR",False,"","","organic","","What's the role?:

HERE is looking for an experienced lawyer to join our APAC Legal team based in Mumbai/Gorgaon/Bangalore. As Legal Counsel, you will be a point of contact and serve as primary legal support on commercial contracts for HERE Sales team in India and across APAC region.

  

You will be a member of the APAC Legal Team, reporting to the Head of APAC Legal – Commercial Transactions, and be part of the Global Legal Team, comprising highly qualified and experienced lawyers located around the world.

 **Your main responsibilities include:**

* Reviewing, redlining, drafting and negotiating a wide variety of commercial agreements across all business units, software licensing agreements (Saas/PaaS), RFP/tender responses, data acquisition agreements, master services agreements, SOWs, handling legal requests from HERE’s business units spanning corporate, commercial, IP licensing, privacy, regulatory and content.
* Working independently with HERE’s internal business clients, supporting end\\-to\\-end negotiations and execution of contracts, focused on taking a practical and solutions\\-oriented approach
* Advising senior management and cross\\-functional teams regarding HERE’s operations in India, highlighting potential legal risks, regulatory and compliance obligations
* Undertaking legal reviews of HERE’s product offerings and business initiatives in India, working closely with HERE’s internal stakeholders and engaging with regulators and authorities where necessary
* Providing support in regional or global\\-focused projects
* Conducting training for the business on legal and compliance matters, including developing, updating, and presenting training materials, playbooks, and agreement templates


Who are you?:
**Role Requirements:**

  

You are a strong fit for this role if you possess the following qualifications, skills, abilities and experience:

  

* LLB, LLM or equivalent qualification and strong academic credentials from a top tier law school in India or abroad
* A minimum of three years’ relevant legal experience at a top\\-tier law firm or in\\-house experience with a technology company
* Excellent drafting and negotiation skills
* Experience advising clients on a wide range of subject matters, including corporate, commercial, IP licensing, privacy, regulatory and content
* Excellent organizational, communication, interpersonal and management skills, with proven ability to manage several simultaneous projects within required deadlines
* Attention to detail, speed and efficiency in reviewing and drafting documents
* Ability to work well independently as well as in a cross\\-functional team and build rapport and trust with internal clients and external suppliers and customers

**Job location: Airoli, Navi Mumbai****Work mode: 5 days office**  

HERE is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, age, gender identity, sexual orientation, marital status, parental status, religion, sex, national origin, disability, veteran status, and other legally protected characteristics.
Who are we?:

HERE Technologies is a location data and technology platform company. We empower our customers to achieve better outcomes – from helping a city manage its infrastructure or a business optimize its assets to guiding drivers to their destination safely.  

At HERE we take it upon ourselves to be the change we wish to see. We create solutions that fuel innovation, provide opportunity and foster inclusion to improve people’s lives. If you are inspired by an open world and driven to create positive change, join us. Learn more about us on our YouTube Channel.","","https://www.glassdoor.co.in/Overview/W-EI_IE753677.htm","https://media.glassdoor.com/sql/753677/here-technologies-squareLogo-1659524679326.png","","","","","","","","","","",""
"gd-1009879236386","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879236386","","Legal Associate","Unilever","Bengaluru","2025-09-18","","","","","","",False,"","","organic","","**Job Title:** Legal Associate

 **Location:** Bangalore, India

**ABOUT UNILEVER:**


Be part of the world’s most successful, purpose\\-led business. Work with brands that are well\\-loved around the world, that improve the lives of our consumers and the communities around us. We promote innovation, big and small, to make our business win and grow; and we believe in business as a force for good. Unleash your curiosity, challenge ideas and disrupt processes; use your energy to make this happen. Our brilliant business leaders and colleagues provide mentorship and inspiration, so you can be at your best. Every day, nine out of ten Indian households use our products to feel good, look good and get more out of life – giving us a unique opportunity to build a brighter future. Every individual here can bring their purpose to life through their work. Join us and you’ll be surrounded by inspiring leaders and supportive peers. Among them, you’ll channel your purpose, bring fresh ideas to the table, and simply be you. As you work to make a real impact on the business and the world, we’ll work to help you become a better you.

**ABOUT UNIOPS:**


Unilever Operations (UniOps) is the global technology and operations engine of Unilever offering business services, technology, and enterprise solutions. UniOps serves over 190 locations and through a network of specialized service lines and partners delivers insights and innovations, user experiences and end\\-to\\-end seamless delivery making Unilever Purpose Led and Future Fit.

 **Where this position fits\\-into the team:**

* Part of the Unilever Legal Powerhouse – a team we’re currently building, which consists of around 60 colleagues in Bangalore
* Integral part of the Unilever’s Legal Function \\- a global operation consisting of approximately 500 lawyers and specialists
* Based alongside the UniOps Function in Bangalore – a wider team of 1,600 that powers Unilever’s compass strategy through world class business operations enabled by technology and innovation

 **Your Key Responsibilities:**

  

As part of the Market (Greater Asia) Legal:

* Handling, managing and administrating the contract lifecycle for the Greater Asia market
* Support the Greater Asia market with Legal research, analysis and operational \\& legal tasks as required
* Maintaining accurate and up\\-to\\-date records and files
* Submission of documents to the official entities
* Simplification and innovation; supporting innovation and use of technology to simplify and improve the provision of legal services and contracts


Engaging with and supporting other lawyers across Greater Asia

**Contracting:**

  

To negotiate terms and conditions with third parties with whom Unilever business wish to contract, by both influencing them to accept our own standard templates or, alternatively, negotiating the use of their templates, with changes that suit Unilever’s interests. To ensure there are adequate schedules included in the overall supplier contracts so that the contract risk profile of 3rd party suppliers providing or supporting Unilever information and systems is adequately managed and addressed. To interact with Unilever legal team who own the contracts’ expertise in order to ensure that up to date version  

of clauses, templates and schedules are used.


General administrative and office support as needed

**Governance \\& Compliance**

* Support the operation of governance schedules and processes for key suppliers
* Support the operation of required ongoing compliance activities for key suppliers.
* Understand changes to standard clauses, and highlight deviations and risks, if outside of standard clauses.
* Ensure the organisation's internal contract document templates are accurate and up to date.
* Identify opportunities to improve current contract processes and devise plans to implement these changes.

**Stakeholder Management**

  

Support the development and management of stakeholder relationships within Unilever and with key third parties, including within Legal, Procurement, Finance, Digital Marketing, HR, local Data Protection Officers and other businesses.

**Key Interfaces**

* Legal (including external legal counsel)
* Procurement
* Data Privacy

**Skills and Experience:**

* Professional qualification in Law
* Contract negotiation skills, from both a Legal and Procurement perspective
* Excellent communication and stakeholder management
* PQE of 1\\-3 years of experience practicing law in a law firm or corporate legal department
* Achieving outcomes and results by influencing the way resources not in your control are utilised
* Attention to detail
* Ability to work with colleagues across multiple time zones and countries
* Willingness and drive for process excellence
* Excellent written and verbal communication skills

**Preferred Experience:**

  

Experience of working for a large multinational and/or in a B2C business and/or FMCG business

**Leadership Behaviours**

* Care deeply
* Focus on what counts
* Stay 3 steps ahead
* Deliver with excellence


At HUL, we believe that every individual irrespective of their race, colour, religion, gender, sexual orientation, gender identity or expression, age, nationality, caste, disability or marital status can bring their purpose to life. So apply to us, to unleash your curiosity, challenge ideas and disrupt processes; use your energy to make the world a better place. As you work to make a real impact on the business and the world, we’ll work to help you become a better you!


""All official offers from Unilever are issued only via our Applicant Tracking System (ATS). Offers from individuals or unofficial sources may be fraudulent—please verify before proceeding.""","","https://www.glassdoor.co.in/Overview/W-EI_IE3513.htm","https://media.glassdoor.com/sql/3513/unilever-squarelogo-1702514404450.png","","","","","","","","","","",""
"gd-1009880010278","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880010278","","Company Law compliance executive","Madhav Kawde Company Secretary","India","2025-09-18","","direct_data","monthly",10000.0,25000.0,"INR",False,"","","sponsored","","A fresher with legal , secretarial educational background will be trained in corporate compliance , secretarial record keeping ,audit and due diligence.

Experinced person will have further exposure to corporate compliance , audit and due diligence

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹10,000\\.00 \\- ₹25,000\\.00 per month

Ability to commute/relocate:

* Vashi, Navi Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

* willingness to learn corporate compliance

Education:

* Bachelor's (Preferred)

Experience:

* Compliance management: 1 year (Preferred)

Language:

* English (Preferred)
* Hindi (Preferred)

License/Certification:

* N A (Preferred)

Location:

* Vashi, Navi Mumbai, Maharashtra (Preferred)

Shift availability:

* Day Shift (Preferred)

Willingness to travel:

* 25% (Preferred)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009880123854","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880123854","","Advocate/Legal Intern","Nirvaana Constructions Co.","India","2025-09-18","","direct_data","monthly",15000.0,40000.0,"INR",False,"","","organic","","we are a real estate firm, looking for legal intern to do drafting, vetting and RERA work along with other litigation.

Job Types: Full\\-time, Permanent, Fresher, Internship

Pay: ₹15,000\\.00 \\- ₹40,000\\.00 per month

Experience:

* total work: 1 year (Preferred)

Work Location: In person","","https://www.glassdoor.co.in/Overview/W-EI_IE6108635.htm","","","","","","","","","","","",""
"gd-1009880192943","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009880192943","","Medical Record Review job at Madurai - BDS & Msc Nursing Freshers","Medico Legal Request","","2025-09-18","","direct_data","monthly",15000.0,50000.0,"INR",True,"","","organic","","Job description:

As a medical records review company, we are recruiting **Fresher/1\\+ years** of experience candidates for drafting demand letters, chronologies, summaries, and other medical record review services.

**Job description:**

* Reviewing medical records
* Ability to analyze a case of medical malpractice, personal injury, and mass tort cases.
* Identify/classify various types of medical records and capture relevant data as per instruction, must be well\\-versed in interpreting the medical information from the medical records.
* Qualification: **BDS or MSc Nursing**
* Should have basic knowledge on drugs, medical devices, and common medical treatment procedures at Primary care, Secondary care or Tertiary care level in healthcare systems.
* Performing the Case Analysis and Peer Review (Quality check)
* Perform the medical review, validate follow\\-up request, and perform medical assessment.
* Look at each individual medical record to check for missing documentation Prioritize workloads to ensure expedited cases are processed within defined timelines.
* Responsible for the timely completion of individual cases.

**Candidate Profile:**

* **Fresher/1\\+ years of experience as a medical record reviewer**
* Excellent communication and collaboration skills.
* Ability to read patient records and decode.
* Ability to understand and summarize the records in chronological order
* Good interpersonal, written, and verbal communication skills
* Good knowledge of client\\-specific process rules and regulatory requirements.

**Key Skills:** medical record analysis, good communication skills, computer skills, nurse, doctors, pharmacist, and etc...

**Services:** Settlement Demand Letter, Medical Chronology, Medical Narrative Summary,

Job Types: Full\\-time, Permanent, Fresher

Job Types: Full\\-time, Part\\-time, Permanent, Contractual / Temporary, Freelance

Pay: ₹15,000\\.00 \\- ₹50,000\\.00 per month

Work Location: Remote","","","","","","","","","","","","","",""
"gd-1009879854389","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879854389","","Legal Advocate","RANAWAT GROUP","India","2025-09-18","","direct_data","monthly",30000.0,45000.0,"INR",False,"","","organic","","* **Required Compulsory Real estate Experience Minimum 4 yrs**
* **Qualification: LLB**
* **Experience: 4\\-6 years (Real Estate Experience)**
* Skills Required: Excel in preparing, revising and finalizing various legal documents.
* Accurately review, proofread and assist with any materials, including documents, contracts, applications
* forms and other items ensuring accuracy and completeness.
* Assisting in Legal matters \\& Compliance along with advising the management on the various contracts, legal \\& secretarial matters.
* RERA Experience
* Immediate Joiner

**Interested Candidate Kindly share your CV on 8799957144 (Only WhatsApp no call please) with Below Details**

* Position applied for
* Current CTC
* Expecting Salary
* Notice period
* Total experience
* Total real estate experience
* Reason for job change
* Current location

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹45,000\\.00 per month

Benefits:

* Provident Fund

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879210143","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879210143","","Fresher Advocate","Advocate vishal sharma","Mohali","2025-09-18","","","","","","",False,"","","organic","","Required Fresher Advocate with proficiency in English. Good legal research and drafting skills. Primarily forMohali district court

Job Type: Full\\-time

Pay: ₹10,405\\.63 \\- ₹25,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009879248884","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009879248884","","(Punjab) Sales Associate - Immigration Law Firm","Dalal & Mehta Law Firm","","2025-09-18","","","","","","",True,"","","organic","","**Experienced Intake Specialist / Sales Consultant**
====================================================


**Mehta \\& Dalal Immigration Law Firm – New Jersey (Remote Role)**


### **About Mehta \\& Dalal**


Mehta and Dalal is a virtual immigration law firm based in New Jersey, proudly serving clients across the United States and internationally. We are committed to providing reliable, compassionate services to fellow immigrants, helping them secure lawful status, citizenship, and peace of mind—without fear of deportation or abusive relationships. Our guiding principle is simple yet powerful: **“Hum Sath Hain – We are together.”**


### **Overview**


We see the consultation process as a **service for our prospective new clients (PNCs)**—not as a transactional fee collection. Do you share that mindset?


In this role within our Intake Department, you will directly impact the lives of immigrants by using your **knowledge of immigration law (from past paralegal or intake work), consultative skills, and empathy** to guide clients through their first steps with our firm. You will meet with prospective new clients (via phone and video), educate them about their options, help them find clarity, and sign them up for a consultation with one of our legal team members.


This role blends **sales and client care**—a critical bridge between individuals seeking help and our attorneys who will serve them.


### **Key Responsibilities**


* Conduct meetings with PNCs via phone and video, guiding them toward clarity and consultation enrollment.
* Follow up with PNCs who initially declined and with current clients for **quality control calls and interviews**.
* Keep detailed, accurate notes in the firm's CRM/database, documenting all PNC contacts before, during, and after meetings, including follow\\-ups.
* Facilitate a **professional handoff** to the legal team once an engagement is signed and open the client file.
* Manage the **welcome process** for new clients and ensure smooth onboarding.
* Conduct quality control checks at set milestones during the first 30 days and, in some cases, throughout the pendency of the case.
* Meet regularly with team members to review performance metrics, intake goals, and lead quality.
* Track and maintain records regarding billable hours spent on specific cases.
* Assist in organizing case filing systems, ensuring documents are properly categorized and accessible.
* Actively engage with management on **lead quality and volume**, offering insights from your front\\-line experience.
* Perform other administrative duties as assigned.


### **Qualifications**


* Proven experience converting prospects into paying clients for **high\\-ticket professional services** (legal, financial, or similar industries preferred).
* Prior experience in immigration intake or paralegal work is highly valued.
* Strong ability to empathize with PNCs facing **challenging, personal situations**.
* Embraces metrics, accountability, and transparency.
* Excellent interpersonal and communication skills across phone, video, and email.
* Strong organizational and time\\-management skills.
* Lifelong learner with a proven record of **self\\-improvement and sales skill development**.
* Exceptional ability to build rapport, identify client needs, and provide appropriate guidance.
* Must thrive in a client\\-facing, service\\-oriented role—**references required**.


### **Why Join Dalal \\& Mehta?**


* Competitive compensation with **base salary \\+ commission/bonuses** (monthly, quarterly, annual).
* Remote work and flexible work/life balance.
* Supportive, diverse, and inclusive culture.
* Paid Time Off.
* A collaborative team driven by impact, purpose, and client care.


**Compensation:** $k base \\+ up to $4k total with commission/bonuses. (Significant earning potential based on performance.)


### **Work Conditions**


* Remote role with standard office equipment (computer, phone, video conferencing).
* Some physical activity may be required (typing, filing, light lifting up to 25 lbs).


### **Equal Opportunity Statement**


Dalal \\& Mehta is an equal opportunity employer committed to diversity, inclusion, and fair hiring practices. Applicants are considered without regard to race, sex, sexual orientation, gender identity, religion, national origin, age, disability, veteran status, or other legally protected characteristics.


**Background and references required.**  

**Drug\\-Free Workplace.**","","","","","","","","","","","","","",""
