"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009924839413","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009924839413","","Finance Professional","Jai Bharath College of Management and Engineering Technology","Cochin","2025-10-31","","direct_data","monthly",25000.0,35000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4451483.htm","https://media.glassdoor.com/sql/4451483/jai-bharath-college-of-management-and-engineering-technology-squarelogo-1626690028302.png","","","","","","","","","","",""
"gd-1009924927506","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009924927506","","2020-Design Analyst","TECHAVIDITY BUSINESS SOLUTIONS PRIVATE LIMITED","Chennai","2025-10-31","","direct_data","monthly",8086.0,39756.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009925004954","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009925004954","","Data Analyst Trainee","CAMERINFOLKS PVT.LTD","India","2025-10-31","","direct_data","monthly",10000.0,15000.0,"INR",False,"","","organic","","**Launch Your Career in Data Analytics!**

Do you have a knack for working with numbers, patterns, and insights?  
We are offering an opportunity for freshers and IT\\-background students to kickstart their career as a **Data Analyst Trainee**.

In this role, you’ll gain hands\\-on experience in **data collection, processing, visualization, and reporting**, working with real\\-time datasets and industry\\-standard tools.

**Key Responsibilities:**

* Work with datasets to clean, organize, and analyze data
* Create reports and dashboards using tools like **Excel, Power BI, or Tableau**
* Assist in identifying trends and patterns to support business decisions
* Write SQL queries to extract and manipulate data
* Collaborate with the analytics team for project deliverables

**Who Can Apply:**

* Students or graduates in BTech, BSc, BCA, MCA, MTech (preferably IT, CS, or related fields)
* Freshers passionate about a career in data analytics or data science
* Candidates with basic knowledge of Excel, SQL, or Python will have an advantage

**What You’ll Gain:**

✅ Hands\\-on training in data analysis tools and techniques  
✅ Internship Certificate upon completion  
✅ 100% Placement Assistance  
✅ Exposure to real\\-time analytics projects  
✅ Mentoring from experienced industry professionals

**About Us:**  
Camerin Edutech, based in Carnival Infopark Kakkanad, is Kerala’s leading IT training and development institute. We have successfully helped 8000\\+ students start their tech careers with practical skill\\-building and job placement support.

Job Types: Full\\-time, Fresher, Internship  
Contract length: 4 months

Pay: ₹10,000\\.00 \\- ₹15,000\\.00 per month

Education:

* Higher Secondary(12th Pass) (Required)

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009924703047","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009924703047","","Sales Executive (Stock Market)","PRIME RESEARCH","Satna","2025-10-31","","direct_data","monthly",7000.0,20000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE16067.htm","https://media.glassdoor.com/sql/16067/cision-squareLogo-1722577941997.png","","","","","","","","","","",""
"gd-1009924914418","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009924914418","","Sales Operations Executive","Brego Business","India","2025-10-31","","direct_data","yearly",200000.0,300000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009924962004","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009924962004","","IT Recruiter","Syncwell Infotech Private Limited","Nāgpur","2025-10-31","","direct_data","monthly",14000.0,14000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE9539598.htm","https://media.glassdoor.com/sql/9539598/syncwell-infotech-squareLogo-1751434013983.png","","","","","","","","","","",""
"gd-1009923380021","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009923380021","","Associate Healthcare Research & Data Analyst","Clarivate","","2025-10-30","","","","","","",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1556432.htm","https://media.glassdoor.com/sql/1556432/clarivate-squarelogo-1595527924052.png","","","","","","","","","","",""
"gd-1009923461879","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009923461879","","Business Development Analyst","RND Experts Pvt Ltd","Mohali","2025-10-30","","direct_data","monthly",10000.0,12000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE9869581.htm","","","","","","","","","","","",""
"gd-1009923752425","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009923752425","","Investor Relationship Officer","Crest climber software solution pvt ltd","India","2025-10-30","","direct_data","monthly",9749.0,30107.0,"INR",False,"","","organic","","* An Investor Relations (IR) Officer acts as the primary link between a company's executive team and the financial community, including investors, analysts, and the media. This role involves managing communication, providing financial insights, and helping to shape the company's reputation and valuation in the market.
* Key duties and responsibilities The responsibilities of an IR Officer can vary by company size and industry, but core functions include:
* Financial reporting and communication: Prepare and distribute financial reports, earnings releases, and annual reports to investors and analysts. The IR officer also coordinates quarterly earnings calls and annual shareholder meetings.
* Stakeholder engagement: Manage relationships and respond to inquiries from a variety of stakeholders, from retail and institutional investors to financial analysts and the media.
* Strategic communication: Develop and execute strategic communication plans to convey the company's financial performance, business strategy, and future outlook. This involves crafting compelling presentations and messaging.
* Market intelligence: Monitor and report on market trends, competitor activities, and investor sentiment. This feedback is critical for advising senior management on market perceptions and strategies.
* Crisis management: Serve as the key communication contact during times of financial crisis or corporate controversy to maintain investor trust and manage expectations.
* Regulatory compliance: Ensure the company's financial disclosures and communications comply with all securities regulations, such as those from the SEC.
* Database management: Maintain and manage databases of investors and shareholder records using Customer Relationship Management (CRM) tools.
* Essential skills and qualifications Qualifications
* A bachelor's degree in finance, economics, business administration, or communications is typically required. An advanced degree, such as an MBA, or a
* professional certification like a Chartered Financial Analyst (CFA) or Investor Relations Charter (IRC), is often preferred.
* Most IR roles are not entry\\-level, requiring several years of prior experience in a related financial field, such as investment banking, equity research, or corporate finance. Skills
* Financial acumen: Must have a strong grasp of financial statements, valuation concepts, and key performance indicators (KPIs) to effectively analyze and present financial data.
* Communication: Exceptional written and verbal communication skills are necessary to translate complex financial information into clear and concise narratives for various audiences.
* Relationship management: Excellent interpersonal skills are essential for building and maintaining trust with investors and analysts.
* Strategic thinking: The ability to think strategically and align investor relations activities with the company's long\\-term business objectives is crucial.
* Regulatory knowledge: A strong understanding of financial regulations and compliance requirements is mandatory.
* Technology and analytics: Proficiency with financial data platforms (e.g., Bloomberg) and analytics tools, in addition to the MS Office suite, is expected.
* Tamil candidates only

Job Types: Full\\-time, Fresher

Pay: ₹9,749\\.66 \\- ₹30,107\\.46 per month

Benefits:

* Food provided

Work Location: In person","","","","","","","","","","","","","",""
"gd-1009923332130","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009923332130","","Jr Odoo Developer (Freshers/Intern Exp Candidates Only)","Harwex Technology Private Limited","Calicut","2025-10-30","","direct_data","monthly",15000.0,25000.0,"INR",False,"","","organic","","Job description:

**Job Overview**

We are seeking a skilled and motivated **Odoo Developer** to join our dynamic software development team. The ideal candidate will have hands\\-on experience in designing, developing, and implementing Odoo ERP modules, integrating third\\-party systems, and customizing business workflows to meet client needs.

**Key Responsibilities**

* Develop and customize Odoo modules (Sales, CRM, Accounting, Inventory, HR, Manufacturing, etc.) based on client requirements.
* Integrate Odoo with third\\-party applications using APIs.
* Develop new functional business modules while maintaining existing modules.
* Manage Odoo server configuration, deployment, and performance optimization.
* Collaborate with business analysts and clients to gather and analyze business needs.
* Create and maintain technical documentation for modules and integrations.
* Troubleshoot, debug, and upgrade existing Odoo systems.
* Support end\\-users with technical and functional assistance.

**Required Skills \\& Qualifications**

* Bachelor’s degree in Computer Science, IT, Engineering, or related field.
* 0\\-1 years of experience in Odoo development (for junior roles)
* Strong knowledge of Python and Odoo framework (Odoo v13–v17 preferred).
* Experience with PostgreSQL, XML, JavaScript, HTML, and CSS.
* Familiarity with Linux/Ubuntu environments and Git version control.
* Good understanding of ERP workflows and business processes.
* Excellent problem\\-solving and communication skills.

**Preferred Qualifications**

* Odoo certification or similar ERP\\-related credentials.
* Experience with RESTful APIs, payment gateways, or eCommerce integration.
* Knowledge of Docker, CI/CD pipelines, and cloud deployment (AWS, Azure, etc.).
* Previous work experience in a software or IT services company.

**Benefits**

* Competitive salary based on experience.
* Flexible work hours and hybrid/remote options.
* Opportunity to work on innovative ERP projects for diverse clients.
* Career growth and training support in ERP and automation technologies.

Job Types: Full\\-time, Permanent, Fresher

Ability to commute/relocate:

* Kozhikode, Kerala: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

* Odoo: 1 year (Preferred)

Work Location: In person

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹15,000\\.00 \\- ₹25,000\\.00 per month

Work Location: In person","","","","","","","","","","","","","",""
