"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","posted_date","site_name","link"
"in-5cc8eddaf18547c8","indeed","https://ae.indeed.com/viewjob?jk=5cc8eddaf18547c8","http://ae.indeed.com/job/hotel-driver-5cc8eddaf18547c8","Hotel Driver","Holiday Inn Express Dubai Internet City","Dubai, DU, AE","2025-10-15","fulltime","","","","","",False,"","","","","Our Hotel is currently looking for a Hotel Driver who will be responsible for providing safe, efficient, and courteous transportation services for hotel guests. This role is a vital part of the guest experience, requiring a high degree of professionalism, punctuality, and excellent customer service. The driver serves as a key representative of the hotel's brand, ensuring guests are transported comfortably and receive a welcoming, friendly, and informative service.

**Key Duties and Responsibilities:**

***Guest Transportation***

* Safely and punctually transport guests to and from designated locations, such as airports, malls, and beach , using the hotel's vehicle.
* Adhere to all traffic laws, safety regulations, and hotel policies while operating vehicles.
* Plan and follow the most efficient routes, considering traffic and weather conditions, and use GPS and navigation systems effectively.

***Customer Service \\& Guest Relations***

* Greet all guests warmly upon arrival and departure, assisting with opening and closing vehicle doors.
* Provide assistance with guest luggage, including loading, unloading, and securing it properly.
* Offer local knowledge and recommendations about the city, attractions, and hotel services in a friendly and informative manner.
* Maintain a high level of discretion and professionalism, especially when transporting VIP or high\\-profile guests.
* Address guest inquiries, requests, and concerns promptly and courteously.

***Vehicle Maintenance \\& Safety***

* Conduct daily pre\\- and post\\-trip vehicle inspections, checking for cleanliness, damage, tire pressure, and fluid levels.
* Ensure the vehicle's interior and exterior are meticulously clean and well\\-maintained at all times.
* Report any mechanical issues, accidents, or incidents to the supervisor immediately.
* Ensure the vehicle is fueled and ready for use at all times.
* Maintain accurate trip logs, including mileage, passenger count, and fuel consumption.

***Hotel and Team Collaboration***

* Communicate effectively with the Front Office team to coordinate pick\\-up and drop\\-off schedules and to be aware of guest needs.
* Maintain a professional appearance and wear the designated uniform at all times.
* Assist with other reasonable duties as requested by management, which may include light administrative tasks or other guest\\-facing support.

**Qualifications and Requirements:**

**Experience**

* Proven experience as a professional driver, preferably in a hotel or hospitality environment.
* A clean driving record with a valid \\[Country/State]\\-issued driver's license for the type of vehicle being operated (e.g., standard, commercial, etc.).

**Skills**

* Exceptional customer service and communication skills.
* Strong knowledge of local geography, traffic patterns, and alternate routes.
* Excellent time management and organizational skills.
* Ability to remain calm and professional under pressure.
* Physical ability to lift and carry luggage up to \\[e.g., 50 pounds] and assist guests as needed.

**Personal Attributes**

* A friendly, polite, and well\\-presented demeanor.
* Reliable, punctual, and adaptable to a flexible schedule, including weekends and holidays.
* A strong commitment to guest safety and satisfaction.
* Ability to work both independently and as part of a team.

Job Types: Full\\-time, Permanent, Fresher

Pay: AED1,600\\.00 \\- AED1,800\\.00 per month

Experience:

* Hotel Driver: 1 year (Required)

License/Certification:

* UAE driving license (Required)","","https://ae.indeed.com/cmp/Holiday-Inn-Express-Dubai-Internet-City-1","","","","","","","","","","","","","","",""
"in-108f17732d3956b5","indeed","https://ae.indeed.com/viewjob?jk=108f17732d3956b5","http://ae.indeed.com/job/applications-functional-specialist-oracle-108f17732d3956b5","Applications Functional Specialist (Oracle)","Aldelia","Dubai, DU, AE","2025-10-17","fulltime","","","","","",False,"","","","","**Start: Depending on work visa completion and notice period**

**Duration: Unlimited**

**Status: Permanent/Staff, Resident**

**Alternatively, you can apply through this link:** https://app.beehire.com/invite/dAr5YX\\_c6

**Main Task:**

* To provide support services on the implementation, integration and on\\-going administration of all company systems and applications.

**Qualifications:**

* 10\\+ years IT industry experience.
* 5\\+ years' experience in a direct user\\-facing functional consulting role.
* Small scale project management experience essential.
* Experience of following ITIL framework / processes is a strong advantage.
* Experience in modern project delivery methodologies (e.g. agile) and management is an advantage.
* Experience with Robotic Process Automation and AI Tools is a strong advantage.
* Valid United Arab Emirates (UAE) Driving License.
* Functional experience in **Oracle E\\-Business Suite** including the following domains:
* Enterprise Asset Management (must)
* Oracle Time and Labour Module (must)
* Inventory (must)
* Warehouse Management (must)
* Purchasing and Advanced procurements (Sourcing, iProcurement \\& Procurement Contracts) \\- (must)
* Human Resources (Advantage)
* Experience / Knowledgeable in Oracle database programming (Advantage)
* Experience with non\\-ERP applications / integrated applications with ERP (Advantage)
* Upstream oil/gas industry experience is a strong advantage.
* Experience in modern project delivery methodologies (E.G. Agile) and small\\-scale application project management is essential.

Job Type: Full\\-time","","https://ae.indeed.com/cmp/Aldelia","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/875cf9f7c79e5ef82e920cdd8af8ba74","https://www.aldelia.com","London","2 to 10","$5M to $25M (USD)","","","","","","","","","",""
"in-123372693855180d","indeed","https://ae.indeed.com/viewjob?jk=123372693855180d","https://careers.accor.com/global/en/job/cluster-social-media-executive-in-pullman-dubai-jumeirah-lakes-towers-hotel-and-resi-jid-72440","Cluster Social Media Executive","Accor","Dubai, DU, AE","2025-10-16","fulltime","","","","","",False,"","","","","Company Description **Pullman Dubai JLT, Novotel \\& Ibis Abu Dhabi Gate Hotels**


Why work for Accor?  

We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.

  

Job Description  

We’re looking for a creative, strategic, and highly motivated Social Media Executive to manage and grow the online presence of our cluster hotels and their dining destinations including Pullman Dubai Jumeirah Lakes Towers, Novotel \\& ibis Gate Abu Dhabi, and their key F\\&B outlets.


This role is ideal for someone who lives and breathes social media from ideation and storytelling to performance tracking and paid campaign optimization. You’ll play a key role in bringing our brand stories to life, creating engaging content, and driving community engagement across all digital platforms.

**What is in it for you:**

* Employee benefit card offering discounted rates in Accor worldwide
* Learning programs through our Academies and the opportunity to earn qualifications while you work
* Opportunity to develop your talent and grow within your property and across the world
* Ability to make a difference in the local community through our Corporate Social Responsibility activities.

**What you will be doing:**

**Key Responsibilities:**

* Content Creation \\& Planning
* Develop monthly social media content calendars for all hotels and F\\&B outlets.
* Plan, produce, and edit engaging photo, video, and reel content aligned with brand guidelines.
* Write compelling captions and ensure consistent brand voice across all accounts.
* Collaborate with the marketing team, chefs, and operations to capture daily stories and campaigns.

**Strategy \\& Growth**

* Build and execute creative social media strategies to enhance brand visibility and engagement.
* Identify trends, emerging platforms, and content opportunities relevant to hospitality and F\\&B.
* Support brand campaigns and activations through creative digital storytelling.

**Community Management**

* Manage all social media pages (Facebook, Instagram, TikTok, LinkedIn, YouTube, etc.).
* Engage with audiences, respond to comments/messages, and maintain an active online community.
* Coordinate influencer collaborations, UGC opportunities and stakeholder/brand partnerships.

**Paid Media \\& Analytics**

* Plan and manage paid social media campaigns to boost reach and engagement.
* Track, analyze, and report on social media performance, providing insights and recommendations.
* Ensure ROI\\-driven performance for campaigns and promotions.

**Collaboration**

* Work closely with the Cluster Digital \\& PR Manager on overall brand direction.
* Coordinate with design, PR, and operations teams to align campaigns across departments.
* Stay updated with Accor brand standards and ensure compliance in all content.

  

Qualifications **Your experience and skills include:**

* Bachelor's degree in Marketing, Communications, or a related field.
* 2–3 years of experience managing multiple social media accounts, ideally in hospitality or F\\&B.
* Strong knowledge of major platforms (Instagram, Facebook, TikTok, YouTube, LinkedIn).
* Proven experience in content creation \\- reels, short videos, photography, and editing.
* Hands\\-on experience with paid ad campaigns and social analytics tools.
* Excellent copywriting and visual storytelling skills.
* Creative mindset, attention to detail, and ability to work under tight deadlines.
* Basic design knowledge (Canva/Photoshop) is a plus.
* Valid UAE driver's license is required as the job entails traveling between Dubai and Abu Dhabi.

  

Additional Information **Our commitment to Diversity \\& Inclusion:**  

We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.


By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/  

Do what you love, care for the world, dare to challenge the status quo! \\#BELIMITLESS","Restaurants Travel And Leisure","https://ae.indeed.com/cmp/Accor","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eaff30a751d077870ddf324a72d24ea6","http://careers.accor.com","82, rue Henri Farman - 92130 Issy-les-Moulineaux - France","10,000+","$1B to $5B (USD)","To become a Heartist® is to live a unique experience where every personality and every action counts.","","","","","","","","",""
"in-09e570b77e1b9607","indeed","https://ae.indeed.com/viewjob?jk=09e570b77e1b9607","https://careers.accor.com/global/en/job/painter-in-swissotel-al-ghurair-dubai-united-arab-emirates-jid-72427","Painter","Accor","Dubai, DU, AE","2025-10-16","fulltime","","","","","",False,"","","","","Company Description  

Swissotel Al Ghurair \\& Swissotel Living Al Ghurair Hotel is a 620\\-room\\-and\\-suite upper upscale property. Catering for both business and leisure clientele. The hotel is located in Deira in the heart of Dubai and within easy reach of major tourist landmarks, leisure destinations and city services. It is linked to the Al Ghurair Shopping Centre, only 3 stops away on the Dubai Metro from the Dubai World Trade Centre and a 10 minute drive from Dubai International Airport.

  

Job Description **Painter**

As a Painter you are responsible in maintenance and upkeep of all final finishes in Guest rooms, public areas and other premises.

**What’s in it for you:**

* Employee benefit card offering discounted rates in Accor worldwide
* Learning programs through our Academies
* Opportunity to develop your talent and grow within your property and across the world!
* Ability to make a difference through our Corporate Social Responsibility activities.

**What you will be doing:**

* Maintain and upkeep of all decorations, furniture’s and other related, on Guest rooms, public areas, back of the house and external to maintain the Hotel standards in order to ensure Guest satisfaction
* Maintain highest standards for the maintenance and safe operations of issued tools and equipment’s
* Adhere strict grooming and appearance as per Hotel standards
* Work collaboratively with Guest room technician in Holi care to ensure maintenance request are done on time
* Operate in a safe and environmentally friendly way to protect guests’ and employees’ health and safety, as well as protect and conserve the environment
* Comply with the hotel environmental, health and safety policies and procedures

  

Qualifications  

* Minimum of two years’ experience in a similar role within the hotel industry, preferably in a five\\-star property.
* Proficient in all manner of carpentry, interior design and FF\\&E repair, refurbishment, and maintenance
* The ability to use all general repair tools, read shop drawings and specifications, make rough estimates of required materials.
* Strong communication skills (verbal, listening, writing)

**Physical Aspects of Position (include but are not limited to):**

* Constant standing and walking throughout shift
* Frequent lifting and carrying up to 20 lbs
* Occasional kneeling, pushing, pulling, lifting
* Occasional ascending or descending ladders, stairs and ramps

  

Additional Information **Visa requirements:**


Please note that you must be eligible to live and work in Dubai. Swissotel Al Ghurair \\& Swissotel Living Al Ghurair will cover visa costs and flights for selected candidates from place of origin.

**Our commitment to Diversity \\& Inclusion:**


We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.

**Why work for Accor?**


Guided by our purpose **“Pioneering the Art of Responsible Hospitality, Connecting Cultures, with Heartfelt Care.”** we empower every team member to bring their passion and creativity to life.


At Accor, we believe that hospitality is a work of heart. We understand the ways in which individual passion for our work and a shared sense of accomplishment create a more rewarding experience for our guests. We foster this culture through a diverse and inclusive workplace that values the contribution of each and every member of our team. We are committed to taking positive action in terms of business ethics and integrity, responsible tourism, sustainable development, community outreach, and diversity and inclusion. With an expansive portfolio of iconic hotels and brands, Accor offers boundless opportunities for career advancement and professional development across the globe.


Joining the team where you can be all you are, grow and create your path, work with purpose, and enjoy and feel valued.


By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/


Do what you love, care for the world, dare to challenge the status quo! **\\#HOSPITALITY IS A WORK OF HEART**","Restaurants Travel And Leisure","https://ae.indeed.com/cmp/Accor","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eaff30a751d077870ddf324a72d24ea6","http://careers.accor.com","82, rue Henri Farman - 92130 Issy-les-Moulineaux - France","10,000+","$1B to $5B (USD)","To become a Heartist® is to live a unique experience where every personality and every action counts.","","","","","","","","",""
"in-9dcd10be5a4cc36a","indeed","https://ae.indeed.com/viewjob?jk=9dcd10be5a4cc36a","https://careers.accor.com/global/en/job/carpenter-in-pullman-dubai-jumeirah-lakes-towers-hotel-and-resi-jid-72448","Carpenter","Accor","Dubai, DU, AE","2025-10-16","fulltime","","","","","",False,"","","","","Company Description  

""Why work for Accor?  

We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.  

By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/  

Do what you love, care for the world, dare to challenge the status quo! \\#BELIMITLESS""

  

Job Description  

We are seeking a skilled and detail\\-oriented Carpenter to join our team in Dubai, United Arab Emirates. As an integral part of our facilities management department, you will be responsible for constructing, installing, and repairing wooden structures and fixtures throughout our organization.

**What is in it for you:**

* Employee benefit card offering discounted rates in Accor worldwide
* Learning programs through our Academies and the opportunity to earn qualifications while you work
* Opportunity to develop your talent and grow within your property and across the world
* Ability to make a difference in the local community through our Corporate Social Responsibility activities.

**What you will be doing:**

**Key Responsibilities:**

* Construct, install, and repair wooden structures, fixtures, and furniture
* Read and interpret blueprints, drawings, and specifications to determine job requirements
* Select appropriate materials and tools for each project
* Measure, cut, and shape wood, plastic, and other materials
* Install doors, windows, trim, and hardware
* Perform preventive maintenance on wooden structures and equipment
* Ensure compliance with safety regulations and maintain a safe work environment
* Collaborate with team members and other departments to complete projects
* Maintain accurate logs of completed work and materials used

  

Qualifications **Your experience and skills include:**

* High school diploma or equivalent; valid carpenter certification preferred
* Minimum of 3\\-5 years of experience in carpentry, with knowledge of construction techniques and safety regulations
* Proficiency in reading blueprints and using various carpentry tools and equipment
* Strong problem\\-solving abilities and attention to detail
* Excellent communication skills with a customer\\-focused approach
* Physical ability to lift heavy materials and work in various positions
* Willingness to work flexible hours, including evenings, weekends, and holidays as needed

  

Additional Information **Your team and working environment:**

* Dynamic working environment.
* Defined development career path.
* Friendly and supportive team","Restaurants Travel And Leisure","https://ae.indeed.com/cmp/Accor","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eaff30a751d077870ddf324a72d24ea6","http://careers.accor.com","82, rue Henri Farman - 92130 Issy-les-Moulineaux - France","10,000+","$1B to $5B (USD)","To become a Heartist® is to live a unique experience where every personality and every action counts.","","","","","","","","",""
"in-56e1e549023004d1","indeed","https://ae.indeed.com/viewjob?jk=56e1e549023004d1","https://jobs.doehler.com/job/Dubai-Inside-Sales-Support-KSARiyadh/1259165001/","Inside Sales Support KSA/Riyadh","Döhler Group","Dubai, DU, AE","2025-10-16","","","","","","",False,"","","","","**Reference ID:** 42454



Are you interested in high\\-quality, natural, and tasty nutrition?


We are! It’s our ambition to shape the future of nutrition.



Döhler is a leading global producer of natural ingredients and solutions for the food, beverage, lifestyle and nutrition industries. We use innovative technology to process plant\\-based raw materials and enrich products such as lifestyle drinks, cereals, dairy, and confectionery goods for almost every well\\-known brand. Close to 10\\.000 dedicated employees in more than 70 countries share one common goal \\- to ensure that millions of people around the world enjoy the products created by us.



We strive to inspire and empower our employees in everything we do, and we invite you to join our team – together WE BRING IDEAS TO LIFE

  



Your Role  

* Processing samples on time, taking into account the throughput and delivery times, optimum number of samples and costs, in collaboration with the colleagues responsible in Sales.
* Preparing quotations, contracts, and price agreements quickly in collaboration with Pricing and on the basis of agreed minimum order quantities, bulk prices, extra packaging charges, payment and delivery conditions etc.
* Documenting efficient and effective processes in the company's internal IT systems.
* Continuously updating customer master data.
* Regularly monitoring visit reports, opportunities, contracts, prices, order quantities, batch sizes, delivery packaging, payment and delivery conditions, payment receipts and complaints and preparing corresponding customer\\-specific evaluations.
* Organizing and supporting internal and external customer visits in consultation with the divisions involved.
* Following up on customer complaints in collaboration with Notification Management and in consultation with the colleagues responsible in Sales and Quality; conducting appropriate communication with the respective customers and implementing suitable measures (e.g. credit notes) in consultation with the line manager and Sales.
* Supporting sales and customers during entire Lead\\-to\\-Order process, including Opportunity management and Requests for Information (RFI).
* Fulfilling administrative tasks to support Account Managers, including Forecast entry and update.
* Proactively managing overdues to support cashflow, overdue payments, dispute cases.
  

Your Profile  

* A bachelor degree in a relevant discipline
* 3\\-5 years of experience in sales support / customer service preferably in the Food \\& Beverage Industry.
* Strong interpersonal, organizational, oral and written communication skills.
* Fluent in English / Arabic is a plus.
* Strong customer orientation, solution\\-driven.
* Dynamic and energetic business attitude.
* Computer proficient (Word, PowerPoint and Excel)
* Team player with strong customer focus
* Problem solving/Analytical thinking
* Priority will be given to candidates currently in Riyadh/KSA
  



Your Benefits  

* The motivating working atmosphere of a high\\-tech, innovative company
* The opportunity to realize your full potential and your ideas
* The freedom to strike out in new directions
* The great exposure and learning experience in various functions within the compan
  



Please apply online and provide us with your earliest possible entry date and your salary expectation. HR Team will get back to you as soon as possible.","","https://ae.indeed.com/cmp/D%C3%B6hler-Group","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a151a55d1556ef300d1b6d1f64afb0f1","https://www.doehler.com/","Joinville","1,001 to 5,000","$100M to $500M (USD)","","","","","","","","","",""
"in-ba7cd3473d52770f","indeed","https://ae.indeed.com/viewjob?jk=ba7cd3473d52770f","http://ae.indeed.com/job/accountant-billing-own-visa-ba7cd3473d52770f","Accountant - Billing - own visa","Majida khanam Consultancy LLc","Dubai, DU, AE","2025-10-16","fulltime, contract","","","","","",False,"","","","hello@majidakhanam.com","Required :

Experienced in Billing

Billing \\& Invoicing

follow\\-ups

To do reconciliation

Preferably on own or family

Salary: AED 4,000\\-5,000

It is a 6 \\- 10 month job

Please send CV in word format , mentioning the position in the subject\\-line, at

**hello@majidakhanam.com**

Job Types: Full\\-time, Contract

Pay: AED4,000\\.00 \\- AED5,000\\.00 per month

Application Question(s):

* Do you have your own visa and can you keep it for a year or so?
* How many years have you worked in billing?","","https://ae.indeed.com/cmp/Majida-Khanam-Consultancy-LLC","","","","","","","","","","","","","","",""
"in-e359c157558117ec","indeed","https://ae.indeed.com/viewjob?jk=e359c157558117ec","http://ae.indeed.com/job/accountant-ar-own-visa-e359c157558117ec","Accountant - AR - own visa","Majida khanam Consultancy LLc","Dubai, DU, AE","2025-10-16","fulltime, contract","","","","","",False,"","","","hello@majidakhanam.com","Required :

Experienced in Accounts receivables

Invoicing

follow\\-ups

To do reconciliation

Preferably on own or family visa

Salary: AED 4,000\\-5,000

It is a 6 \\- 10 month job

Please send CV in word format , mentioning the position in the subject\\-line, at

**hello@majidakhanam.com**

Job Types: Full\\-time, Contract

Pay: AED4,000\\.00 \\- AED5,000\\.00 per month

Application Question(s):

* Do you have your own visa and can you keep it for a year or so?
* How many years have you worked in accounts receivable?","","https://ae.indeed.com/cmp/Majida-Khanam-Consultancy-LLC","","","","","","","","","","","","","","",""
"in-3d2a8accd9f7fa9b","indeed","https://ae.indeed.com/viewjob?jk=3d2a8accd9f7fa9b","https://careers.marriott.com/guest-experience-expert/job/EF0FA4FF0965C9017D465CB659C1EE52?utm_medium=jobboard&utm_source=indeed","Guest Experience Expert","Marriott International","Dubai, DU, AE","2025-10-16","fulltime","","","","","",True,"","","","","**Additional Information**  

**Job Number**25165623  

**Job Category**Rooms \\& Guest Services Operations  

**Location**Sheraton Mall of the Emirates Hotel Dubai, Sheikh Zayed Road, al Barsha 1, Dubai, United Arab Emirates, United Arab Emirates  

**Schedule**Full Time  

**Located Remotely?**N  

**Position Type** Non\\-Management  

**POSITION SUMMARY**

  



Our jobs aren’t just about giving guests a smooth check\\-in and check\\-out. Instead, we want to build and experience that is memorable and unique. Our Guest Experience Experts take the initiative to deliver a wide range of services that guide guests through their entire stay. They are empowered to move about their space and do what needs to be done. Whether processing operational needs, addressing guest requests, completing reports, or sharing the highlights of the local area, the Guest Experience Expert makes transactions feel like part of the experience.

  



No matter what position you are in, there are a few things that are critical to success – creating a safe work place, following company policies and procedures, maintaining confidentiality, protecting company assets, upholding quality standards, and ensuring your uniform, personal appearance, and communications are professional. Guest Experience Experts will be on their feet and moving around (stand, sit, or walk for an extended time) and taking a hands\\-on approach to work (move, lift, carry, push, pull, and place objects weighing less than or equal to 10 pounds without assistance). Doing all these things well (and other reasonable job duties as requested) is critical for Guest Experience Experts – to get it right for our guests and our business each and every time.

  



PREFERRED QUALIFICATIONS


Education: High school diploma or G.E.D. equivalent.


Related Work Experience: No related work experience.


Supervisory Experience: No supervisory experience.


License or Certification: None

  



*At Marriott International, we are dedicated to being an equal opportunity employer, welcoming all and providing access to opportunity. We actively foster an environment where the unique backgrounds of our associates are valued and celebrated. Our greatest strength lies in the rich blend of culture, talent, and experiences of our associates. We are committed to non\\-discrimination on any protected basis, including disability, veteran status, or other basis protected by applicable law.*


When you join the Sheraton family, you become a member of its global community. We’ve been a place to gather and connect since 1937\\. At Sheraton, associates create a sense of belonging in more than 400 communities around the world. We invite, we welcome, and we connect guests through engaging experiences and thoughtful service. If you’re a team player who is excited to deliver a meaningful guest experience, we encourage you to explore your next career opportunity with Sheraton. Join us on our mission to be ‘The World’s Gathering Place’. In joining Sheraton Hotels \\& Resorts, you join a portfolio of brands with Marriott International. **Be** where you can do your best work, **begin** your purpose, **belong** to an amazing global team, and **become** the best version of you.","Restaurants Travel And Leisure","https://ae.indeed.com/cmp/Marriott-International","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/35c575587ce04e0f016b7d1b7f3215cf","https://www.marriott.com","Global Headquarters

7750 Wisconsin Avenue
Bethesda, MD 20817","10,000+","more than $10B (USD)","With more than 8,300 hotels and 30+ hotel brands worldwide, the career opportunities with Marriott are endless. Experience our story.","","","","","","","","",""
"in-362b35f4e4ab94a5","indeed","https://ae.indeed.com/viewjob?jk=362b35f4e4ab94a5","https://careers.marriott.com/chief-accountant/job/C4000B912739D7F4218FD6B547BB75DA?utm_medium=jobboard&utm_source=indeed","Chief Accountant","Marriott International","Dubai, DU, AE","2025-10-16","fulltime","","","","","",True,"","","","","**Additional Information**  

**Job Number**25167515  

**Job Category**Finance \\& Accounting  

**Location**The Dubai EDITION, Dubai Fountain Street, Downtown Dubai, Dubai, United Arab Emirates, United Arab Emirates, 11788  

**Schedule**Full Time  

**Located Remotely?**N  

**Position Type** Management  

**JOB SUMMARY**

  



Supports the day\\-to\\-day execution of general ledger impacted processes, including support to clients/departments as they work with and understand these processes. Performs accounting functions specifically in the areas of account balancing, ledger reconciliation, reporting and discrepancy resolution. Works with other Finance and Accounting employees in areas relating to general ledgers, subsidiary ledgers and related reporting.

  



**CANDIDATE PROFILE**

  



**Education and Experience**


* 4\\-year bachelor's degree in Finance and Accounting or related major; no work experience required.

  



**CORE WORK ACTIVITIES**

  



**Managing Work, Projects, and Policies**


* Coordinates and implements accounting work and projects as assigned.


* Coordinates, implements and follows up on Accounting SOP audits for all areas of the property.


* Complies with Federal and State laws applying to fraud and collection procedures.


* Generates and provides accurate and timely results in the form of reports, presentations, etc.


* Analyzes information and evaluates results to choose the best solution and solve problems.


* Compiles, codes, categorizes, calculates, tabulates, audits, or verifies information or data.


* Balances credit card ledgers.


* Verifies contracts for groups and performs credit reference checks for direct billed groups if necessary.

  



**Maintaining Finance and Accounting Goals**


* Achieves and exceeds goals including performance goals, budget goals, team goals, etc.


* Develops specific goals and plans to prioritize, organize, and accomplish your work.


* Submits reports in a timely manner, ensuring delivery deadlines.


* Ensures profits and losses are documented accurately.


* Monitors all taxes that apply, ensuring that taxes are current, collected and/or accrued.


* Maintains a strong accounting and operational control environment to safeguard assets.


* Completes period end function each period.


* Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures, and efficient control and utilization of financial resources.

  



**Demonstrating and Applying Accounting Knowledge**


* Demonstrates knowledge of job\\-relevant issues, products, systems, and processes.


* Demonstrates knowledge of return check procedures.


* Demonstrates knowledge of the Gross Revenue Report.


* Demonstrates knowledge and proficiency with write off procedures.


* Demonstrates knowledge and proficiency with consolidated deposit procedures.


* Keeps up\\-to\\-date technically and applying new knowledge to your job.


* Uses computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.


* Uses relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.

  



**Additional Responsibilities**


* Provides information to supervisors, co\\-workers, and subordinates by telephone, in written form, e\\-mail, or in person.


* Demonstrates personal integrity.


* Uses effective listening skills.


* Demonstrates self confidence, energy and enthusiasm.


* Manages group or interpersonal conflict effectively.


* Informs and/or updates the executives, the peers and the subordinates on relevant information in a timely manner.


* Manages time well and possesses strong organizational skills.


* Presents ideas, expectations and information in a concise well organized way.


* Uses problem solving methodology for decision making and follow up.


* Makes collections calls if necessary.
  

*At Marriott International, we are dedicated to being an equal opportunity employer, welcoming all and providing access to opportunity. We actively foster an environment where the unique backgrounds of our associates are valued and celebrated. Our greatest strength lies in the rich blend of culture, talent, and experiences of our associates. We are committed to non\\-discrimination on any protected basis, including disability, veteran status, or other basis protected by applicable law.*


EDITION Hotels combine the visionary genius of boutique hotelier Ian Schrager, the service delivery of a world\\-class luxury hotel, and the global reach of Marriott International to create an entirely new experience in the world of hospitality. EDITION delivers the best of both worlds in a delicate balancing act – polish with personality, perfectionism with individualism, and comfort with charisma and charm. The brand targets sophisticated, knowledgeable consumers who understand quality, originality, design, and service excellence, but who want it without limitations – breaking the bounds of convention and demanding an attitude and a feeling wrapped in a package that showcases the exceptional.  




  

But to create this magical experience, we need you. We are looking for outgoing, authentically amazing people who are looking for a place to work that inspires them, challenges them and makes them proud to come to work. A place where service comes from the heart, not from a handbook. A place that delivers a never\\-ending theatrical performance that continuously delights and enchants each and every one of our guests.
  

We invite you to join us today. In joining EDITION, you join a portfolio of brands with Marriott International. **Be** where you can do your best work, **begin** your purpose, **belong** to an amazing global team, and **become** the best version of you.","Restaurants Travel And Leisure","https://ae.indeed.com/cmp/Marriott-International","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/35c575587ce04e0f016b7d1b7f3215cf","https://www.marriott.com","Global Headquarters

7750 Wisconsin Avenue
Bethesda, MD 20817","10,000+","more than $10B (USD)","With more than 8,300 hotels and 30+ hotel brands worldwide, the career opportunities with Marriott are endless. Experience our story.","","","","","","","","",""
