"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009906603885","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906603885","","Showroom Sales Executive male/ female","Crystal Furnitech Private Limited","India","2025-10-14","","direct_data","monthly",15000.0,20000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906536397","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906536397","","Sales Executive","Talent Vision Services","India","2025-10-14","","direct_data","yearly",450000.0,450000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3678434.htm","https://media.glassdoor.com/sql/3678434/lls-aus-services-squareLogo-1725909171511.png","","","","","","","","","","",""
"gd-1009906045075","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906045075","","Business Development Representative","Abhiman Innovations Pvt Ltd","","2025-10-14","","direct_data","monthly",25000.0,30000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906791412","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906791412","","Inside Sales | WFH | up to 20K","Sudo24 Learning Private Limited","","2025-10-14","","direct_data","monthly",15000.0,20000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906033358","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906033358","","Business Development Executive [Night]","Digi Hawks Marketing Solutions","Mohali","2025-10-14","","direct_data","monthly",20000.0,30000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10245753.htm","","","","","","","","","","","",""
"gd-1009906774013","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906774013","","Remote Sales Executive","ELENO Energy LLP","","2025-10-14","","direct_data","monthly",9488.0,33179.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906779460","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906779460","","Business Development Executive (BDE)","Abhiman Innovations Pvt Ltd","","2025-10-14","","direct_data","monthly",22000.0,30000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906823441","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906823441","","Sales Executive /Adoor","Edimannickal Edge Opticals","Adūr","2025-10-14","","direct_data","monthly",15000.0,25000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906837254","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906837254","","E-Commerce Executive","Tic Tac Toe Footwear","","2025-10-14","","direct_data","monthly",15000.0,20000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906267808","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906267808","","Customer executive","PepsiCo","Mathura","2025-10-14","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE522.htm","https://media.glassdoor.com/sql/522/pepsico-squareLogo-1684858464866.png","","","","","","","","","","",""
"gd-1009906830326","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906830326","","Counter Sales Executive","Nibco Pvt. Ltd","India","2025-10-14","","direct_data","monthly",13000.0,15000.0,"INR",False,"","","sponsored","","","","https://www.glassdoor.co.in/Overview/W-EI_IE5592.htm","https://media.glassdoor.com/sql/5592/nibco-squarelogo.png","","","","","","","","","","",""
"gd-1009906710299","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906710299","","Outbound Telesales Executive","Pentoz technology","","2025-10-14","","direct_data","monthly",5000.0,15000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1711241.htm","https://media.glassdoor.com/sql/1711241/pentoz-squarelogo-1629988116782.png","","","","","","","","","","",""
"gd-1009906477147","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906477147","","Sales Executive - Remote","QHT CLINIC","","2025-10-14","","direct_data","monthly",12000.0,24000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10174664.htm","","","","","","","","","","","",""
"gd-1009905791142","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905791142","","Field Sales Executive","Medikop","","2025-10-14","","direct_data","monthly",25000.0,35000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906543532","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906543532","","E-Commerce Executive","Blinc Media","","2025-10-14","","direct_data","monthly",30000.0,30000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009906662483","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906662483","","HR Executive (Part-Time Remote)","SocialSEO Solutions Pvt Ltd","","2025-10-14","","direct_data","monthly",5000.0,6000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10338080.htm","","","","","","","","","","","",""
"gd-1009906475058","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906475058","","HR Executive","Le Seasons Group","","2025-10-14","","direct_data","monthly",12639.0,20207.0,"INR",True,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906497891","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906497891","","Business Development Executive (BDE)","NFCI","Ludhiana","2025-10-14","","direct_data","monthly",12000.0,22000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906827281","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906827281","","Gold Loan Officer- Pan India","Medcity Study Abroad","Cochin","2025-10-14","","","","","","",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009906645533","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009906645533","","Sales Intern","HealTether Healthcare Services Private Limited","","2025-10-14","","","","","","",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905801840","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905801840","","Senior Inside Sales Executive","STREETVIEW FOODS LLP","Bengaluru","2025-10-14","","direct_data","monthly",50000.0,60000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905452909","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905452909","","Outbound Sales & Growth Manager","KLYVEN SOCIALSECT LLP","","2025-10-13","","direct_data","monthly",50000.0,100000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905757251","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905757251","","Sales Executive","Talent Vision Services","India","2025-10-13","","direct_data","yearly",450000.0,450000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3678434.htm","https://media.glassdoor.com/sql/3678434/lls-aus-services-squareLogo-1725909171511.png","","","","","","","","","","",""
"gd-1009905706283","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905706283","","Retail Jewelry Greeter (Gobichettipalayam)","Dhamu Chettiar Nagai Maaligai","Gopichettipālaiyam","2025-10-13","","direct_data","monthly",15000.0,18000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009905539509","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905539509","","Lead Generation & Market Research Executive (Female)","Seamless Speciality Infra Projects Pvt. Ltd.","","2025-10-13","","direct_data","monthly",40000.0,50000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8117570.htm","","","","","","","","","","","",""
"gd-1009905572343","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905572343","","VP of Sales (Pentoz Technology)","Pentoz technology","","2025-10-13","","direct_data","yearly",2400000.0,10000000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1711241.htm","https://media.glassdoor.com/sql/1711241/pentoz-squarelogo-1629988116782.png","","","","","","","","","","",""
"gd-1009905337865","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905337865","","Sr. Business Development Executive","Neural Gen-AI Networks","","2025-10-13","","direct_data","monthly",50000.0,80000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905609554","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905609554","","Sales Executive","Catalysts HR","","2025-10-13","","direct_data","monthly",25000.0,35000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE10525093.htm","","","","","","","","","","","",""
"gd-1009905681087","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905681087","","Chat Support Executive--Fresher,Mohali(Punjab)","Ram krishan Astrologer","Mohali","2025-10-13","","direct_data","monthly",20500.0,35500.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905732728","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905732728","","Inside Sales Executive","Gandiva Innovations","","2025-10-13","","direct_data","monthly",20000.0,70000.0,"INR",True,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905696221","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905696221","","Automotive Sales Executive","Dugar Automotives Private Limited","India","2025-10-13","","direct_data","monthly",10000.0,16000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009905652960","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905652960","","Sr. Executive - Warehouse / Dispatch","Krigler Fragrance Private Limited","Pārdi","2025-10-13","","direct_data","monthly",50000.0,50000.0,"INR",False,"","","organic","","","","","","","","","","","","","","","",""
"gd-1009905552418","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905552418","","Client Relation Executive","Abic and Mani","Kottayam","2025-10-13","","direct_data","monthly",20000.0,40000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
"gd-1009905726539","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009905726539","","Business Development Executive (BDE) Ladies Only","Body wave","Calicut","2025-10-13","","direct_data","monthly",15000.0,40000.0,"INR",False,"","","sponsored","","","","","","","","","","","","","","","",""
